# Energy(MeV) Phi16 Phi84
1.800000e+00 1.256637e-29 nan
1.822942e+00 1.256637e-29 nan
1.846177e+00 1.256637e-29 nan
1.869708e+00 1.256637e-29 nan
1.893539e+00 1.256637e-29 nan
1.917674e+00 1.256637e-29 nan
1.942116e+00 1.256637e-29 nan
1.966870e+00 1.256637e-29 nan
1.991940e+00 1.256637e-29 nan
2.017328e+00 1.256637e-29 nan
2.043041e+00 1.256637e-29 nan
2.069081e+00 1.256637e-29 nan
2.095453e+00 1.256637e-29 nan
2.122162e+00 1.256637e-29 nan
2.149210e+00 1.256637e-29 nan
2.176604e+00 1.256637e-29 nan
2.204346e+00 1.256637e-29 nan
2.232442e+00 1.256637e-29 nan
2.260897e+00 1.256637e-29 nan
2.289714e+00 1.256637e-29 nan
2.318898e+00 1.256637e-29 nan
2.348454e+00 1.256637e-29 nan
2.378387e+00 1.256637e-29 nan
2.408702e+00 1.256637e-29 nan
2.439402e+00 1.256637e-29 nan
2.470495e+00 1.256637e-29 nan
2.501983e+00 1.256637e-29 nan
2.533873e+00 1.256637e-29 nan
2.566169e+00 1.256637e-29 nan
2.598877e+00 1.256637e-29 nan
2.632002e+00 1.256637e-29 nan
2.665549e+00 1.256637e-29 nan
2.699523e+00 1.256637e-29 nan
2.733931e+00 1.256637e-29 nan
2.768777e+00 1.256637e-29 nan
2.804067e+00 1.256637e-29 nan
2.839808e+00 1.256637e-29 nan
2.876003e+00 1.256637e-29 nan
2.912660e+00 1.256637e-29 nan
2.949784e+00 1.256637e-29 nan
2.987382e+00 1.256637e-29 nan
3.025458e+00 1.256637e-29 nan
3.064020e+00 1.256637e-29 nan
3.103074e+00 1.256637e-29 nan
3.142625e+00 1.256637e-29 nan
3.182680e+00 1.256637e-29 nan
3.223246e+00 1.256637e-29 nan
3.264329e+00 1.256637e-29 nan
3.305936e+00 1.256637e-29 nan
3.348072e+00 1.256637e-29 nan
3.390746e+00 1.256637e-29 nan
3.433964e+00 1.256637e-29 nan
3.477733e+00 1.256637e-29 nan
3.522059e+00 1.256637e-29 nan
3.566951e+00 1.256637e-29 nan
3.612415e+00 1.256637e-29 nan
3.658458e+00 1.256637e-29 nan
3.705088e+00 1.256637e-29 nan
3.752312e+00 1.256637e-29 nan
3.800138e+00 1.256637e-29 nan
3.848574e+00 1.256637e-29 nan
3.897627e+00 1.256637e-29 nan
3.947306e+00 1.256637e-29 nan
3.997617e+00 1.256637e-29 nan
4.048570e+00 1.256637e-29 nan
4.100173e+00 1.256637e-29 nan
4.152433e+00 1.256637e-29 nan
4.205359e+00 1.256637e-29 nan
4.258959e+00 1.256637e-29 nan
4.313243e+00 1.256637e-29 nan
4.368219e+00 1.256637e-29 nan
4.423896e+00 1.256637e-29 nan
4.480282e+00 1.256637e-29 nan
4.537387e+00 1.256637e-29 nan
4.595219e+00 1.256637e-29 nan
4.653789e+00 1.256637e-29 nan
4.713105e+00 1.256637e-29 nan
4.773178e+00 1.256637e-29 nan
4.834016e+00 1.256637e-29 nan
4.895629e+00 1.256637e-29 nan
4.958028e+00 1.256637e-29 nan
5.021222e+00 1.256637e-29 nan
5.085222e+00 1.256637e-29 nan
5.150037e+00 1.256637e-29 nan
5.215678e+00 1.256637e-29 nan
5.282156e+00 1.256637e-29 nan
5.349482e+00 1.256637e-29 nan
5.417665e+00 1.256637e-29 nan
5.486718e+00 1.256637e-29 nan
5.556650e+00 1.256637e-29 nan
5.627475e+00 1.256637e-29 nan
5.699201e+00 1.256637e-29 nan
5.771842e+00 1.256637e-29 nan
5.845409e+00 1.256637e-29 nan
5.919913e+00 1.256637e-29 nan
5.995368e+00 1.256637e-29 nan
6.071783e+00 1.256637e-29 nan
6.149173e+00 1.256637e-29 nan
6.227549e+00 1.256637e-29 nan
6.306925e+00 1.256637e-29 nan
6.387311e+00 1.256637e-29 nan
6.468723e+00 1.256637e-29 nan
6.551172e+00 1.256637e-29 nan
6.634672e+00 1.256637e-29 nan
6.719236e+00 1.256637e-29 nan
6.804878e+00 1.256637e-29 nan
6.891612e+00 1.256637e-29 nan
6.979451e+00 1.256637e-29 nan
7.068410e+00 1.256637e-29 nan
7.158503e+00 1.256637e-29 nan
7.249744e+00 1.256637e-29 nan
7.342148e+00 1.256637e-29 nan
7.435729e+00 1.256637e-29 nan
7.530504e+00 1.256637e-29 nan
7.626486e+00 1.256637e-29 nan
7.723692e+00 1.256637e-29 nan
7.822136e+00 1.256637e-29 nan
7.921836e+00 1.256637e-29 nan
8.022806e+00 1.256637e-29 nan
8.125063e+00 1.256637e-29 nan
8.228624e+00 1.256637e-29 nan
8.333504e+00 1.256637e-29 nan
8.439722e+00 1.256637e-29 nan
8.547293e+00 1.256637e-29 nan
8.656235e+00 1.256637e-29 nan
8.766566e+00 1.256637e-29 nan
8.878303e+00 1.256637e-29 nan
8.991464e+00 1.256637e-29 nan
9.106067e+00 1.256637e-29 nan
9.222132e+00 1.256637e-29 nan
9.339675e+00 1.256637e-29 nan
9.458717e+00 1.256637e-29 nan
9.579276e+00 1.256637e-29 nan
9.701372e+00 1.256637e-29 nan
9.825023e+00 1.256637e-29 nan
9.950251e+00 1.256637e-29 nan
1.007708e+01 1.256637e-29 nan
1.020552e+01 1.256637e-29 nan
1.033559e+01 1.256637e-29 nan
1.046733e+01 1.256637e-29 nan
1.060074e+01 1.256637e-29 nan
1.073586e+01 1.256637e-29 nan
1.087270e+01 1.256637e-29 nan
1.101128e+01 1.256637e-29 nan
1.115162e+01 1.256637e-29 nan
1.129376e+01 1.256637e-29 nan
1.143771e+01 1.256637e-29 nan
1.158349e+01 1.256637e-29 nan
1.173113e+01 1.256637e-29 nan
1.188066e+01 1.256637e-29 nan
1.203208e+01 1.256637e-29 nan
1.218544e+01 1.256637e-29 nan
1.234076e+01 1.256637e-29 nan
1.249805e+01 1.256637e-29 nan
1.265735e+01 1.256637e-29 nan
1.281868e+01 1.256637e-29 nan
1.298206e+01 1.256637e-29 nan
1.314753e+01 1.256637e-29 nan
1.331510e+01 1.256637e-29 nan
1.348482e+01 1.256637e-29 nan
1.365669e+01 1.256637e-29 nan
1.383076e+01 1.256637e-29 nan
1.400704e+01 1.256637e-29 nan
1.418557e+01 1.256637e-29 nan
1.436638e+01 1.256637e-29 nan
1.454949e+01 1.256637e-29 nan
1.473493e+01 1.256637e-29 nan
1.492274e+01 1.256637e-29 nan
1.511294e+01 1.256637e-29 nan
1.530557e+01 1.256637e-29 nan
1.550065e+01 1.256637e-29 nan
1.569822e+01 1.256637e-29 nan
1.589831e+01 1.256637e-29 nan
1.610095e+01 1.256637e-29 nan
1.630616e+01 1.256637e-29 nan
1.651400e+01 1.256637e-29 nan
1.672448e+01 1.256637e-29 nan
