Energy_MeV	Diff_Fluence
1.000000e-01	2.074482e+10
1.133557e-01	1.759810e+10
1.284952e-01	1.492713e+10
1.456566e-01	1.265992e+10
1.651101e-01	1.073561e+10
1.871617e-01	9.102305e+09
2.121585e-01	7.716129e+09
2.404938e-01	6.539685e+09
2.726135e-01	5.541346e+09
3.090230e-01	4.694159e+09
3.502952e-01	3.975322e+09
3.970796e-01	3.365417e+09
4.501124e-01	2.848000e+09
5.102282e-01	2.409085e+09
5.783728e-01	2.036810e+09
6.556186e-01	1.721105e+09
7.431811e-01	1.453409e+09
8.424383e-01	1.226478e+09
9.549519e-01	1.034129e+09
1.082493e+00	8.711555e+08
1.227067e+00	7.330862e+08
1.390951e+00	6.161852e+08
1.576722e+00	5.172148e+08
1.787305e+00	4.334989e+08
2.026012e+00	3.626888e+08
2.296600e+00	3.028724e+08
2.603328e+00	2.523416e+08
2.951021e+00	2.097335e+08
3.345151e+00	1.738058e+08
3.791920e+00	1.435843e+08
4.298357e+00	1.181713e+08
4.872434e+00	9.686498e+07
5.523182e+00	7.901859e+07
6.260843e+00	6.412520e+07
7.097023e+00	5.171968e+07
8.044881e+00	4.143401e+07
9.119332e+00	3.293402e+07
1.033728e+01	2.595075e+07
1.171790e+01	2.024394e+07
1.328291e+01	1.561530e+07
1.505694e+01	1.189151e+07
1.706790e+01	8.924887e+06
1.934744e+01	6.589553e+06
2.193143e+01	4.774620e+06
2.486053e+01	3.387955e+06
2.818083e+01	2.346261e+06
3.194458e+01	1.582024e+06
3.621101e+01	1.033717e+06
4.104725e+01	6.527889e+05
4.652940e+01	4.030183e+05
5.274374e+01	2.487116e+05
5.978804e+01	1.534855e+05
6.777316e+01	9.471935e+04
7.682475e+01	5.845344e+04
8.708524e+01	3.607293e+04
9.871610e+01	2.226141e+04
1.119003e+02	1.373802e+04
1.268454e+02	8.478038e+03
1.437865e+02	5.231987e+03
1.629903e+02	3.228777e+03
1.847588e+02	1.992550e+03
2.094346e+02	1.229648e+03
2.374061e+02	7.588431e+02
2.691134e+02	4.682991e+02
3.050554e+02	2.889979e+02
3.457977e+02	1.783471e+02
3.919815e+02	1.100620e+02
4.443334e+02	6.792171e+01
5.036773e+02	4.191601e+01
5.709470e+02	2.586731e+01
6.472011e+02	1.596330e+01
7.336394e+02	9.851308e+00
8.316222e+02	6.079463e+00
9.426913e+02	3.751773e+00
1.068594e+03	2.315303e+00
1.211313e+03	1.428825e+00
1.373092e+03	8.817602e-01
1.556479e+03	5.441540e-01
1.764357e+03	3.358096e-01
2.000000e+03	2.072357e-01
