Energy_MeV	Diff_Fluence
1.000000e-01	7.709015e+09
1.051025e-01	7.259392e+09
1.104654e-01	6.835687e+09
1.161020e-01	6.436409e+09
1.220261e-01	6.060153e+09
1.282526e-01	5.705594e+09
1.347967e-01	5.371485e+09
1.416748e-01	5.056650e+09
1.489038e-01	4.759981e+09
1.565017e-01	4.480432e+09
1.644872e-01	4.217019e+09
1.728802e-01	3.968814e+09
1.817015e-01	3.734942e+09
1.909729e-01	3.514579e+09
2.007174e-01	3.306948e+09
2.109591e-01	3.111316e+09
2.217234e-01	2.926994e+09
2.330369e-01	2.753332e+09
2.449277e-01	2.589715e+09
2.574252e-01	2.435567e+09
2.705605e-01	2.290342e+09
2.843659e-01	2.153528e+09
2.988758e-01	2.024641e+09
3.141261e-01	1.903224e+09
3.301545e-01	1.788849e+09
3.470007e-01	1.681111e+09
3.647066e-01	1.579628e+09
3.833159e-01	1.484039e+09
4.028748e-01	1.394007e+09
4.234316e-01	1.309212e+09
4.450374e-01	1.229353e+09
4.677456e-01	1.154145e+09
4.916125e-01	1.083322e+09
5.166972e-01	1.016632e+09
5.430619e-01	9.538370e+08
5.707719e-01	8.947132e+08
5.998957e-01	8.390497e+08
6.305057e-01	7.866479e+08
6.626775e-01	7.373203e+08
6.964909e-01	6.908904e+08
7.320296e-01	6.471918e+08
7.693817e-01	6.060678e+08
8.086397e-01	5.673705e+08
8.499009e-01	5.309607e+08
8.932674e-01	4.967072e+08
9.388468e-01	4.644864e+08
9.867518e-01	4.341816e+08
1.037101e+00	4.056832e+08
1.090020e+00	3.788876e+08
1.145638e+00	3.536972e+08
1.204095e+00	3.300202e+08
1.265535e+00	3.077700e+08
1.330109e+00	2.868649e+08
1.397978e+00	2.672280e+08
1.469311e+00	2.487868e+08
1.544283e+00	2.314730e+08
1.623081e+00	2.152222e+08
1.705899e+00	1.999738e+08
1.792943e+00	1.856704e+08
1.884429e+00	1.722583e+08
1.980583e+00	1.596865e+08
2.081643e+00	1.479071e+08
2.187859e+00	1.368750e+08
2.299496e+00	1.265475e+08
2.416828e+00	1.168844e+08
2.540148e+00	1.078479e+08
2.669760e+00	9.940224e+07
2.805986e+00	9.151359e+07
2.949162e+00	8.415015e+07
3.099645e+00	7.728185e+07
3.257805e+00	7.088030e+07
3.424036e+00	6.491868e+07
3.598749e+00	5.937165e+07
3.782377e+00	5.421525e+07
3.975374e+00	4.942682e+07
4.178219e+00	4.498492e+07
4.391414e+00	4.086926e+07
4.615488e+00	3.708134e+07
4.850995e+00	3.364197e+07
5.098519e+00	3.052080e+07
5.358673e+00	2.768842e+07
5.632102e+00	2.511815e+07
5.919482e+00	2.278578e+07
6.221526e+00	2.066930e+07
6.538982e+00	1.874878e+07
6.872636e+00	1.700610e+07
7.223315e+00	1.542482e+07
7.591888e+00	1.399001e+07
7.979267e+00	1.268814e+07
8.386413e+00	1.150692e+07
8.814333e+00	1.043518e+07
9.264088e+00	9.462810e+06
9.736792e+00	8.580608e+06
1.023362e+01	7.780238e+06
1.075579e+01	7.054127e+06
1.130461e+01	6.395405e+06
1.188143e+01	5.797836e+06
1.248769e+01	5.255760e+06
1.312487e+01	4.764040e+06
1.379458e+01	4.318013e+06
1.449845e+01	3.913450e+06
1.523824e+01	3.546508e+06
1.601578e+01	3.213704e+06
1.683299e+01	2.911875e+06
1.769190e+01	2.638149e+06
1.859464e+01	2.389923e+06
1.954344e+01	2.164832e+06
2.054065e+01	1.960731e+06
2.158874e+01	1.775673e+06
2.269032e+01	1.607890e+06
2.384810e+01	1.455780e+06
2.506496e+01	1.317887e+06
2.634391e+01	1.192892e+06
2.768812e+01	1.079596e+06
2.910091e+01	9.769126e+05
3.058580e+01	8.838543e+05
3.214645e+01	7.995263e+05
3.378674e+01	7.231166e+05
3.551072e+01	6.538881e+05
3.732267e+01	5.911722e+05
3.922708e+01	5.343622e+05
4.122865e+01	4.829075e+05
4.333236e+01	4.363089e+05
4.554341e+01	3.941131e+05
4.786728e+01	3.559093e+05
5.030973e+01	3.213245e+05
5.287681e+01	2.900203e+05
5.557487e+01	2.616900e+05
5.841060e+01	2.360552e+05
6.139102e+01	2.128633e+05
6.452353e+01	1.918854e+05
6.781586e+01	1.729137e+05
7.127620e+01	1.557598e+05
7.491309e+01	1.402528e+05
7.873557e+01	1.262378e+05
8.275308e+01	1.135742e+05
8.697559e+01	1.021346e+05
9.141356e+01	9.180349e+04
9.607797e+01	8.247602e+04
1.009804e+02	7.405721e+04
1.061330e+02	6.646095e+04
