# Energy(MeV) Fluence_Omni
1.000000e-01 1.000000e-40
1.018629e-01 1.000000e-40
1.037605e-01 1.000000e-40
1.056935e-01 1.000000e-40
1.076624e-01 1.000000e-40
1.096681e-01 1.000000e-40
1.117111e-01 1.000000e-40
1.137921e-01 1.000000e-40
1.159120e-01 1.000000e-40
1.180713e-01 1.000000e-40
1.202708e-01 1.000000e-40
1.225114e-01 1.000000e-40
1.247936e-01 1.000000e-40
1.271184e-01 1.000000e-40
1.294865e-01 1.000000e-40
1.318987e-01 1.000000e-40
1.343558e-01 1.000000e-40
1.368587e-01 1.000000e-40
1.394083e-01 1.000000e-40
1.420053e-01 1.000000e-40
1.446507e-01 1.000000e-40
1.473454e-01 1.000000e-40
1.500903e-01 1.000000e-40
1.528864e-01 1.000000e-40
1.557345e-01 1.000000e-40
1.586357e-01 1.000000e-40
1.615909e-01 1.000000e-40
1.646012e-01 1.000000e-40
1.676675e-01 1.000000e-40
1.707910e-01 1.000000e-40
1.739726e-01 1.000000e-40
1.772136e-01 1.000000e-40
1.805149e-01 1.000000e-40
1.838777e-01 1.000000e-40
1.873032e-01 1.000000e-40
1.907924e-01 1.000000e-40
1.943467e-01 1.000000e-40
1.979672e-01 1.000000e-40
2.016551e-01 1.000000e-40
2.054117e-01 1.000000e-40
2.092383e-01 1.000000e-40
2.131362e-01 1.000000e-40
2.171068e-01 1.000000e-40
2.211512e-01 1.000000e-40
2.252711e-01 1.000000e-40
2.294676e-01 1.000000e-40
2.337424e-01 1.000000e-40
2.380968e-01 1.000000e-40
2.425323e-01 1.000000e-40
2.470504e-01 1.000000e-40
2.516527e-01 1.000000e-40
2.563407e-01 1.000000e-40
2.611161e-01 1.000000e-40
2.659804e-01 1.000000e-40
2.709354e-01 1.000000e-40
2.759826e-01 1.000000e-40
2.811239e-01 1.000000e-40
2.863610e-01 1.000000e-40
2.916956e-01 1.000000e-40
2.971296e-01 1.000000e-40
3.026648e-01 1.000000e-40
3.083031e-01 1.000000e-40
3.140465e-01 1.000000e-40
3.198969e-01 1.000000e-40
3.258562e-01 1.000000e-40
3.319266e-01 1.000000e-40
3.381101e-01 1.000000e-40
3.444087e-01 1.000000e-40
3.508247e-01 1.000000e-40
3.573602e-01 1.000000e-40
3.640175e-01 1.000000e-40
3.707988e-01 1.000000e-40
3.777064e-01 1.000000e-40
3.847427e-01 1.000000e-40
3.919100e-01 1.000000e-40
3.992109e-01 1.000000e-40
4.066478e-01 1.000000e-40
4.142232e-01 1.000000e-40
4.219398e-01 1.000000e-40
4.298001e-01 1.000000e-40
4.378069e-01 1.000000e-40
4.459628e-01 1.000000e-40
4.542706e-01 1.000000e-40
4.627332e-01 1.000000e-40
4.713535e-01 1.000000e-40
4.801343e-01 1.000000e-40
4.890787e-01 1.000000e-40
4.981898e-01 1.000000e-40
