# Energy(MeV) Fluence_Planar
1.000000e-01 1.815431e+12
1.018629e-01 1.755534e+12
1.037605e-01 1.697613e+12
1.056935e-01 1.641603e+12
1.076624e-01 1.587441e+12
1.096681e-01 1.535067e+12
1.117111e-01 1.484247e+12
1.137921e-01 1.435005e+12
1.159120e-01 1.387397e+12
1.180713e-01 1.341279e+12
1.202708e-01 1.296568e+12
1.225114e-01 1.253348e+12
1.247936e-01 1.211569e+12
1.271184e-01 1.170918e+12
1.294865e-01 1.131473e+12
1.318987e-01 1.093356e+12
1.343558e-01 1.056524e+12
1.368587e-01 1.020932e+12
1.394083e-01 9.866469e+11
1.420053e-01 9.540663e+11
1.446507e-01 9.225618e+11
1.473454e-01 8.920977e+11
1.500903e-01 8.625868e+11
1.528864e-01 8.333727e+11
1.557345e-01 8.051483e+11
1.586357e-01 7.778800e+11
1.615909e-01 7.515354e+11
1.646012e-01 7.264603e+11
1.676675e-01 7.023444e+11
1.707910e-01 6.790291e+11
1.739726e-01 6.564878e+11
1.772136e-01 6.346948e+11
1.805149e-01 6.136252e+11
1.838777e-01 5.932551e+11
1.873032e-01 5.735613e+11
1.907924e-01 5.545212e+11
1.943467e-01 5.361132e+11
1.979672e-01 5.183163e+11
2.016551e-01 5.011877e+11
2.054117e-01 4.846917e+11
2.092383e-01 4.687386e+11
2.131362e-01 4.533106e+11
2.171068e-01 4.383904e+11
2.211512e-01 4.239613e+11
2.252711e-01 4.100071e+11
2.294676e-01 3.964542e+11
2.337424e-01 3.833101e+11
2.380968e-01 3.705691e+11
2.425323e-01 3.581286e+11
2.470504e-01 3.459656e+11
2.516527e-01 3.341531e+11
2.563407e-01 3.227439e+11
2.611161e-01 3.117681e+11
2.659804e-01 3.014629e+11
2.709354e-01 2.916223e+11
2.759826e-01 2.821030e+11
2.811239e-01 2.728944e+11
2.863610e-01 2.638872e+11
2.916956e-01 2.550921e+11
2.971296e-01 2.466203e+11
3.026648e-01 2.383367e+11
3.083031e-01 2.303534e+11
3.140465e-01 2.227203e+11
3.198969e-01 2.153401e+11
3.258562e-01 2.081661e+11
3.319266e-01 2.012412e+11
3.381101e-01 1.945667e+11
3.444087e-01 1.881135e+11
3.508247e-01 1.818745e+11
3.573602e-01 1.756465e+11
3.640175e-01 1.695974e+11
3.707988e-01 1.639031e+11
3.777064e-01 1.584001e+11
3.847427e-01 1.531427e+11
3.919100e-01 1.480692e+11
3.992109e-01 1.431584e+11
4.066478e-01 1.383095e+11
4.142232e-01 1.336250e+11
4.219398e-01 1.290991e+11
4.298001e-01 1.247502e+11
4.378069e-01 1.206001e+11
4.459628e-01 1.166249e+11
4.542706e-01 1.127600e+11
4.627332e-01 1.089971e+11
4.713535e-01 1.053599e+11
4.801343e-01 1.018440e+11
4.890787e-01 9.847974e+10
4.981898e-01 9.523714e+10
5.074705e-01 9.209731e+10
5.169242e-01 8.905982e+10
5.265540e-01 8.613602e+10
5.363631e-01 8.329986e+10
5.463550e-01 8.059315e+10
5.565331e-01 7.797585e+10
5.669007e-01 7.541411e+10
5.774615e-01 7.295850e+10
5.882190e-01 7.053095e+10
5.991770e-01 6.817099e+10
6.103390e-01 6.586824e+10
6.217090e-01 6.362038e+10
6.332908e-01 6.149162e+10
6.450884e-01 5.943409e+10
6.571058e-01 5.739841e+10
6.693470e-01 5.545192e+10
6.818162e-01 5.360354e+10
6.945178e-01 5.181678e+10
7.074559e-01 5.010051e+10
7.206351e-01 4.841970e+10
7.340598e-01 4.679861e+10
7.477346e-01 4.524213e+10
7.616642e-01 4.373365e+10
7.758532e-01 4.227548e+10
7.903066e-01 4.085258e+10
8.050292e-01 3.946408e+10
8.200261e-01 3.813880e+10
8.353023e-01 3.686111e+10
