# Energy(MeV) Phi16 Phi84
1.000000e-01 2.998581e+11 1.001061e+12
1.018629e-01 2.906995e+11 9.653513e+11
1.037605e-01 2.819331e+11 9.308945e+11
1.056935e-01 2.733111e+11 8.976408e+11
1.076624e-01 2.649037e+11 8.655750e+11
1.096681e-01 2.565239e+11 8.346420e+11
1.117111e-01 2.484091e+11 8.047760e+11
1.137921e-01 2.405511e+11 7.758633e+11
1.159120e-01 2.330446e+11 7.482632e+11
1.180713e-01 2.258100e+11 7.216184e+11
1.202708e-01 2.188302e+11 6.958530e+11
1.225114e-01 2.121654e+11 6.709203e+11
1.247936e-01 2.057102e+11 6.468809e+11
1.271184e-01 1.994513e+11 6.237028e+11
1.294865e-01 1.933829e+11 6.013553e+11
1.318987e-01 1.874991e+11 5.798084e+11
1.343558e-01 1.817944e+11 5.590336e+11
1.368587e-01 1.762633e+11 5.390032e+11
1.394083e-01 1.708351e+11 5.196904e+11
1.420053e-01 1.655542e+11 5.010697e+11
1.446507e-01 1.604366e+11 4.831161e+11
1.473454e-01 1.554771e+11 4.658058e+11
1.500903e-01 1.506710e+11 4.492981e+11
1.528864e-01 1.460134e+11 4.334237e+11
1.557345e-01 1.414998e+11 4.181102e+11
1.586357e-01 1.371369e+11 4.033378e+11
1.615909e-01 1.329172e+11 3.888941e+11
1.646012e-01 1.288274e+11 3.749183e+11
1.676675e-01 1.248634e+11 3.614448e+11
1.707910e-01 1.209626e+11 3.484555e+11
1.739726e-01 1.171737e+11 3.359330e+11
1.772136e-01 1.135671e+11 3.238605e+11
1.805149e-01 1.101195e+11 3.121833e+11
1.838777e-01 1.067357e+11 3.009193e+11
1.873032e-01 1.034477e+11 2.900617e+11
1.907924e-01 1.002740e+11 2.794789e+11
1.943467e-01 9.719762e+10 2.693268e+11
1.979672e-01 9.430268e+10 2.596644e+11
2.016551e-01 9.149454e+10 2.504064e+11
2.054117e-01 8.873412e+10 2.414854e+11
2.092383e-01 8.598301e+10 2.328503e+11
2.131362e-01 8.331722e+10 2.245880e+11
2.171068e-01 8.073409e+10 2.166189e+11
2.211512e-01 7.826990e+10 2.089268e+11
2.252711e-01 7.589872e+10 2.015007e+11
2.294676e-01 7.360083e+10 1.943386e+11
2.337424e-01 7.138107e+10 1.874311e+11
2.380968e-01 6.922826e+10 1.807691e+11
2.425323e-01 6.713227e+10 1.743500e+11
2.470504e-01 6.500491e+10 1.681997e+11
2.516527e-01 6.295111e+10 1.622646e+11
2.563407e-01 6.102589e+10 1.565152e+11
2.611161e-01 5.915957e+10 1.509695e+11
2.659804e-01 5.735034e+10 1.456204e+11
2.709354e-01 5.559647e+10 1.404607e+11
2.759826e-01 5.390200e+10 1.354618e+11
2.811239e-01 5.226268e+10 1.305702e+11
2.863610e-01 5.067321e+10 1.258779e+11
2.916956e-01 4.913208e+10 1.214037e+11
2.971296e-01 4.763783e+10 1.170849e+11
3.026648e-01 4.618903e+10 1.129148e+11
3.083031e-01 4.470891e+10 1.088880e+11
3.140465e-01 4.327568e+10 1.049762e+11
3.198969e-01 4.188841e+10 1.011862e+11
3.258562e-01 4.054562e+10 9.755759e+10
3.319266e-01 3.924589e+10 9.416118e+10
3.381101e-01 3.798783e+10 9.085809e+10
3.444087e-01 3.677011e+10 8.762534e+10
3.508247e-01 3.563096e+10 8.450760e+10
3.573602e-01 3.456035e+10 8.149444e+10
3.640175e-01 3.352193e+10 7.858715e+10
3.707988e-01 3.251470e+10 7.578359e+10
3.777064e-01 3.153775e+10 7.308004e+10
3.847427e-01 3.059015e+10 7.049847e+10
3.919100e-01 2.965130e+10 6.801009e+10
3.992109e-01 2.872134e+10 6.559799e+10
4.066478e-01 2.782054e+10 6.327143e+10
4.142232e-01 2.694800e+10 6.102739e+10
4.219398e-01 2.610283e+10 5.886295e+10
4.298001e-01 2.528416e+10 5.677527e+10
4.378069e-01 2.449117e+10 5.475260e+10
4.459628e-01 2.372306e+10 5.279959e+10
4.542706e-01 2.297903e+10 5.091624e+10
4.627332e-01 2.225834e+10 4.910007e+10
4.713535e-01 2.156026e+10 4.734711e+10
4.801343e-01 2.088803e+10 4.564492e+10
4.890787e-01 2.026165e+10 4.403583e+10
4.981898e-01 1.961601e+10 4.247710e+10
5.074705e-01 1.901779e+10 4.096917e+10
5.169242e-01 1.844689e+10 3.950430e+10
5.265540e-01 1.786936e+10 3.807284e+10
5.363631e-01 1.731468e+10 3.672007e+10
5.463550e-01 1.679661e+10 3.541660e+10
5.565331e-01 1.629404e+10 3.415940e+10
5.669007e-01 1.579374e+10 3.294410e+10
5.774615e-01 1.529744e+10 3.177631e+10
5.882190e-01 1.481675e+10 3.064527e+10
5.991770e-01 1.436274e+10 2.950789e+10
6.103390e-01 1.392566e+10 2.844284e+10
6.217090e-01 1.350339e+10 2.741623e+10
6.332908e-01 1.309392e+10 2.642667e+10
6.450884e-01 1.269687e+10 2.548419e+10
6.571058e-01 1.230849e+10 2.457522e+10
6.693470e-01 1.192557e+10 2.369760e+10
6.818162e-01 1.155574e+10 2.285644e+10
6.945178e-01 1.121294e+10 2.205072e+10
7.074559e-01 1.088059e+10 2.127340e+10
7.206351e-01 1.054389e+10 2.052349e+10
7.340598e-01 1.021117e+10 1.979826e+10
7.477346e-01 9.889015e+09 1.909153e+10
7.616642e-01 9.577023e+09 1.839564e+10
7.758532e-01 9.274877e+09 1.773862e+10
7.903066e-01 8.988927e+09 1.710940e+10
8.050292e-01 8.715116e+09 1.648182e+10
8.200261e-01 8.451530e+09 1.590094e+10
8.353023e-01 8.192522e+09 1.533716e+10
8.508632e-01 7.943096e+09 1.478556e+10
8.667139e-01 7.697726e+09 1.425380e+10
8.828599e-01 7.466769e+09 1.374096e+10
8.993067e-01 7.239466e+09 1.324692e+10
9.160598e-01 7.019057e+09 1.279216e+10
9.331251e-01 6.805358e+09 1.234676e+10
9.505083e-01 6.598166e+09 1.190588e+10
9.682153e-01 6.397282e+09 1.147838e+10
9.862522e-01 6.202514e+09 1.105882e+10
1.004625e+00 6.013675e+09 1.065858e+10
1.023340e+00 5.829982e+09 1.028253e+10
1.042404e+00 5.646877e+09 9.911979e+09
1.061823e+00 5.471860e+09 9.560910e+09
1.081604e+00 5.300811e+09 9.222276e+09
1.101753e+00 5.135188e+09 8.896652e+09
1.122277e+00 4.975401e+09 8.583190e+09
1.143184e+00 4.822357e+09 8.278677e+09
1.164481e+00 4.672794e+09 7.989581e+09
1.186174e+00 4.521325e+09 7.709129e+09
1.208271e+00 4.379165e+09 7.436985e+09
1.230780e+00 4.242735e+09 7.173345e+09
1.253708e+00 4.115197e+09 6.916469e+09
1.277063e+00 3.991626e+09 6.665460e+09
1.300854e+00 3.867316e+09 6.425447e+09
1.325087e+00 3.749149e+09 6.192974e+09
1.349772e+00 3.634593e+09 5.968691e+09
1.374917e+00 3.523537e+09 5.756939e+09
1.400531e+00 3.412804e+09 5.554177e+09
1.426621e+00 3.303165e+09 5.361082e+09
1.453198e+00 3.197049e+09 5.171415e+09
1.480269e+00 3.096963e+09 4.992642e+09
1.507845e+00 2.997304e+09 4.812510e+09
1.535935e+00 2.904074e+09 4.637556e+09
1.564548e+00 2.814630e+09 4.469251e+09
1.593694e+00 2.727941e+09 4.308714e+09
1.623382e+00 2.643922e+09 4.157598e+09
1.653624e+00 2.562617e+09 4.010229e+09
1.684430e+00 2.484368e+09 3.871717e+09
1.715809e+00 2.408509e+09 3.734284e+09
1.747773e+00 2.336002e+09 3.603465e+09
1.780332e+00 2.263857e+09 3.475121e+09
1.813498e+00 2.193459e+09 3.350209e+09
1.847281e+00 2.126660e+09 3.229795e+09
1.881694e+00 2.061239e+09 3.114860e+09
1.916748e+00 1.997780e+09 3.003254e+09
1.952456e+00 1.935873e+09 2.898747e+09
1.988828e+00 1.875270e+09 2.795666e+09
2.025878e+00 1.817537e+09 2.695255e+09
2.063618e+00 1.760793e+09 2.598163e+09
2.102061e+00 1.706826e+09 2.506422e+09
2.141220e+00 1.652593e+09 2.417526e+09
2.181109e+00 1.602203e+09 2.330767e+09
2.221741e+00 1.555348e+09 2.248853e+09
2.263130e+00 1.507504e+09 2.167939e+09
2.305289e+00 1.459112e+09 2.088617e+09
2.348235e+00 1.411375e+09 2.015111e+09
2.391980e+00 1.365976e+09 1.944909e+09
2.436540e+00 1.322843e+09 1.873050e+09
2.481930e+00 1.281645e+09 1.806734e+09
2.528166e+00 1.240870e+09 1.743504e+09
2.575263e+00 1.201693e+09 1.683616e+09
2.623238e+00 1.164027e+09 1.623205e+09
2.672106e+00 1.127978e+09 1.566249e+09
2.721885e+00 1.093117e+09 1.512702e+09
2.772591e+00 1.059267e+09 1.459451e+09
2.824241e+00 1.026108e+09 1.407556e+09
2.876854e+00 9.934652e+08 1.357627e+09
2.930447e+00 9.619006e+08 1.308751e+09
2.985038e+00 9.313014e+08 1.264217e+09
3.040646e+00 9.013165e+08 1.222259e+09
3.097291e+00 8.728379e+08 1.177395e+09
3.154990e+00 8.456121e+08 1.134558e+09
3.213764e+00 8.196091e+08 1.094083e+09
3.273634e+00 7.944789e+08 1.054540e+09
3.334618e+00 7.700851e+08 1.017436e+09
3.396739e+00 7.456791e+08 9.801824e+08
3.460016e+00 7.217547e+08 9.445040e+08
3.524473e+00 6.992508e+08 9.123471e+08
3.590130e+00 6.777932e+08 8.801899e+08
3.657011e+00 6.575784e+08 8.488311e+08
3.725137e+00 6.379697e+08 8.187263e+08
3.794533e+00 6.183714e+08 7.902387e+08
3.865221e+00 5.986070e+08 7.634348e+08
3.937226e+00 5.809830e+08 7.376194e+08
4.010573e+00 5.617329e+08 7.115635e+08
4.085286e+00 5.441103e+08 6.874606e+08
4.161391e+00 5.277802e+08 6.637341e+08
4.238913e+00 5.100858e+08 6.404919e+08
4.317880e+00 4.940867e+08 6.185155e+08
4.398317e+00 4.782916e+08 5.972436e+08
4.480254e+00 4.630550e+08 5.764831e+08
4.563716e+00 4.484987e+08 5.568712e+08
4.648734e+00 4.347702e+08 5.374026e+08
4.735335e+00 4.204339e+08 5.188237e+08
4.823549e+00 4.068650e+08 5.013143e+08
4.913407e+00 3.936545e+08 4.834901e+08
5.004939e+00 3.803972e+08 4.673178e+08
5.098176e+00 3.674517e+08 4.511730e+08
5.193150e+00 3.551752e+08 4.357831e+08
5.289893e+00 3.440141e+08 4.211022e+08
5.388438e+00 3.329298e+08 4.072718e+08
5.488820e+00 3.217614e+08 3.940913e+08
5.591071e+00 3.110040e+08 3.808006e+08
5.695227e+00 3.015602e+08 3.678624e+08
5.801323e+00 2.920436e+08 3.552424e+08
5.909396e+00 2.824503e+08 3.433704e+08
6.019482e+00 2.727112e+08 3.322836e+08
6.131619e+00 2.634582e+08 3.217036e+08
6.245845e+00 2.546987e+08 3.110394e+08
6.362198e+00 2.465740e+08 3.004901e+08
6.480720e+00 2.386544e+08 2.905555e+08
6.601449e+00 2.304686e+08 2.810841e+08
6.724427e+00 2.229230e+08 2.718287e+08
6.849697e+00 2.155801e+08 2.628272e+08
6.977300e+00 2.083165e+08 2.540437e+08
7.107280e+00 2.012256e+08 2.455765e+08
7.239681e+00 1.943961e+08 2.375889e+08
7.374549e+00 1.879415e+08 2.297931e+08
7.511929e+00 1.814267e+08 2.219790e+08
7.651869e+00 1.751048e+08 2.145934e+08
7.794416e+00 1.693352e+08 2.076842e+08
7.939618e+00 1.636540e+08 2.009843e+08
8.087525e+00 1.580641e+08 1.943152e+08
8.238187e+00 1.527443e+08 1.878971e+08
8.391656e+00 1.473443e+08 1.817533e+08
8.547985e+00 1.421180e+08 1.758322e+08
8.707225e+00 1.373136e+08 1.702683e+08
8.869432e+00 1.325332e+08 1.646846e+08
9.034660e+00 1.277343e+08 1.592894e+08
9.202967e+00 1.234081e+08 1.540965e+08
9.374409e+00 1.189534e+08 1.490003e+08
9.549045e+00 1.147233e+08 1.441355e+08
9.726934e+00 1.109130e+08 1.394797e+08
9.908137e+00 1.069971e+08 1.350363e+08
1.009272e+01 1.032071e+08 1.307894e+08
1.028073e+01 9.973343e+07 1.266107e+08
1.047225e+01 9.623711e+07 1.226907e+08
1.066734e+01 9.279655e+07 1.187033e+08
1.086606e+01 8.968571e+07 1.150104e+08
1.106848e+01 8.659256e+07 1.114041e+08
1.127468e+01 8.356065e+07 1.077868e+08
1.148472e+01 8.071071e+07 1.042822e+08
1.169866e+01 7.789772e+07 1.010354e+08
1.191660e+01 7.533175e+07 9.791351e+07
1.213859e+01 7.281828e+07 9.489713e+07
1.236472e+01 7.023416e+07 9.189466e+07
1.259506e+01 6.775704e+07 8.894716e+07
1.282970e+01 6.544442e+07 8.611295e+07
1.306870e+01 6.306958e+07 8.339110e+07
1.331216e+01 6.077380e+07 8.075187e+07
1.356015e+01 5.862372e+07 7.825116e+07
1.381276e+01 5.659875e+07 7.576478e+07
1.407008e+01 5.465920e+07 7.338007e+07
1.433219e+01 5.276830e+07 7.111320e+07
1.459919e+01 5.086865e+07 6.887219e+07
1.487115e+01 4.904845e+07 6.673705e+07
1.514819e+01 4.726985e+07 6.466574e+07
1.543038e+01 4.556961e+07 6.263996e+07
1.571784e+01 4.395385e+07 6.069976e+07
1.601064e+01 4.242528e+07 5.876374e+07
1.630891e+01 4.092778e+07 5.688839e+07
1.661273e+01 3.948887e+07 5.517088e+07
1.692220e+01 3.804219e+07 5.345495e+07
1.723745e+01 3.667223e+07 5.178038e+07
1.755856e+01 3.532704e+07 5.011413e+07
1.788566e+01 3.408868e+07 4.856008e+07
1.821885e+01 3.286960e+07 4.698070e+07
1.855825e+01 3.173032e+07 4.551487e+07
1.890397e+01 3.063871e+07 4.411813e+07
1.925614e+01 2.954149e+07 4.273048e+07
1.961486e+01 2.848031e+07 4.139776e+07
1.998026e+01 2.746983e+07 4.009855e+07
2.035248e+01 2.650663e+07 3.883781e+07
2.073162e+01 2.556329e+07 3.768962e+07
2.111783e+01 2.462742e+07 3.654905e+07
2.151123e+01 2.378860e+07 3.540529e+07
2.191197e+01 2.297246e+07 3.432983e+07
2.232016e+01 2.214547e+07 3.325175e+07
2.273597e+01 2.141732e+07 3.220097e+07
2.315951e+01 2.066773e+07 3.121423e+07
2.359095e+01 1.994529e+07 3.026221e+07
2.403043e+01 1.924694e+07 2.928240e+07
2.447809e+01 1.856395e+07 2.837623e+07
2.493409e+01 1.789357e+07 2.752078e+07
2.539859e+01 1.726641e+07 2.666863e+07
2.587174e+01 1.673504e+07 2.582245e+07
2.635371e+01 1.613334e+07 2.499403e+07
2.684465e+01 1.555381e+07 2.420899e+07
2.734474e+01 1.498932e+07 2.342761e+07
2.785414e+01 1.445364e+07 2.267869e+07
2.837304e+01 1.394506e+07 2.195372e+07
2.890160e+01 1.343549e+07 2.124651e+07
2.944000e+01 1.296181e+07 2.057256e+07
2.998844e+01 1.249699e+07 1.992069e+07
3.054710e+01 1.204746e+07 1.928486e+07
3.111616e+01 1.160739e+07 1.867945e+07
3.169582e+01 1.119863e+07 1.807936e+07
3.228628e+01 1.081429e+07 1.752531e+07
3.288774e+01 1.044315e+07 1.698453e+07
3.350041e+01 1.008475e+07 1.645538e+07
3.412449e+01 9.731905e+06 1.594328e+07
3.476019e+01 9.390873e+06 1.546173e+07
3.540774e+01 9.060643e+06 1.499878e+07
3.606735e+01 8.738256e+06 1.455905e+07
