# Energy(MeV) Fluence_Sferica(4Pi)
1.800000e+00 8.491911e+09
1.822942e+00 8.354349e+09
1.846177e+00 8.218917e+09
1.869708e+00 8.085583e+09
1.893539e+00 7.954315e+09
1.917674e+00 7.825082e+09
1.942116e+00 7.697852e+09
1.966870e+00 7.572594e+09
1.991940e+00 7.449279e+09
2.017328e+00 7.327878e+09
2.043041e+00 7.208359e+09
2.069081e+00 7.090696e+09
2.095453e+00 6.974859e+09
2.122162e+00 6.860821e+09
2.149210e+00 6.748553e+09
2.176604e+00 6.638030e+09
2.204346e+00 6.529224e+09
2.232442e+00 6.422109e+09
2.260897e+00 6.316660e+09
2.289714e+00 6.212850e+09
2.318898e+00 6.110655e+09
2.348454e+00 6.010050e+09
2.378387e+00 5.911011e+09
2.408702e+00 5.813514e+09
2.439402e+00 5.717535e+09
2.470495e+00 5.623051e+09
2.501983e+00 5.530040e+09
2.533873e+00 5.438478e+09
2.566169e+00 5.348344e+09
2.598877e+00 5.259615e+09
2.632002e+00 5.172271e+09
2.665549e+00 5.086290e+09
2.699523e+00 5.001651e+09
2.733931e+00 4.918334e+09
2.768777e+00 4.836319e+09
2.804067e+00 4.755585e+09
2.839808e+00 4.676114e+09
2.876003e+00 4.597885e+09
2.912660e+00 4.520881e+09
2.949784e+00 4.445081e+09
2.987382e+00 4.370469e+09
3.025458e+00 4.297025e+09
3.064020e+00 4.224732e+09
3.103074e+00 4.153572e+09
3.142625e+00 4.083528e+09
3.182680e+00 4.014583e+09
3.223246e+00 3.946719e+09
3.264329e+00 3.879922e+09
3.305936e+00 3.814174e+09
3.348072e+00 3.749459e+09
3.390746e+00 3.685762e+09
3.433964e+00 3.623066e+09
3.477733e+00 3.561358e+09
3.522059e+00 3.500620e+09
3.566951e+00 3.440840e+09
3.612415e+00 3.382002e+09
3.658458e+00 3.324092e+09
3.705088e+00 3.267095e+09
3.752312e+00 3.210998e+09
3.800138e+00 3.155787e+09
3.848574e+00 3.101448e+09
3.897627e+00 3.047968e+09
3.947306e+00 2.995335e+09
3.997617e+00 2.943534e+09
4.048570e+00 2.892554e+09
4.100173e+00 2.842382e+09
4.152433e+00 2.793005e+09
4.205359e+00 2.744412e+09
4.258959e+00 2.696590e+09
4.313243e+00 2.649528e+09
4.368219e+00 2.603214e+09
4.423896e+00 2.557637e+09
4.480282e+00 2.512785e+09
4.537387e+00 2.468647e+09
4.595219e+00 2.425213e+09
