# Energy(MeV) Phi16 Phi84
1.800000e+00 1.719603e+09 2.007012e+09
1.822942e+00 1.694019e+09 1.974335e+09
1.846177e+00 1.669083e+09 1.942433e+09
1.869708e+00 1.644923e+09 1.911913e+09
1.893539e+00 1.621235e+09 1.881784e+09
1.917674e+00 1.597997e+09 1.851778e+09
1.942116e+00 1.575278e+09 1.822232e+09
1.966870e+00 1.551969e+09 1.793019e+09
1.991940e+00 1.529093e+09 1.764168e+09
2.017328e+00 1.505702e+09 1.735608e+09
2.043041e+00 1.483318e+09 1.708055e+09
2.069081e+00 1.461678e+09 1.680733e+09
2.095453e+00 1.440012e+09 1.654293e+09
2.122162e+00 1.418526e+09 1.628595e+09
2.149210e+00 1.397279e+09 1.602457e+09
2.176604e+00 1.376421e+09 1.576234e+09
2.204346e+00 1.356253e+09 1.551142e+09
2.232442e+00 1.336562e+09 1.526107e+09
2.260897e+00 1.317177e+09 1.501788e+09
2.289714e+00 1.298134e+09 1.477784e+09
2.318898e+00 1.279335e+09 1.453896e+09
2.348454e+00 1.260712e+09 1.430163e+09
2.378387e+00 1.242112e+09 1.407096e+09
2.408702e+00 1.223925e+09 1.384501e+09
2.439402e+00 1.205729e+09 1.362085e+09
2.470495e+00 1.187677e+09 1.340218e+09
2.501983e+00 1.170324e+09 1.318840e+09
2.533873e+00 1.153284e+09 1.297513e+09
2.566169e+00 1.136177e+09 1.276592e+09
2.598877e+00 1.118884e+09 1.256135e+09
2.632002e+00 1.102091e+09 1.236108e+09
2.665549e+00 1.085607e+09 1.216167e+09
2.699523e+00 1.069352e+09 1.196804e+09
2.733931e+00 1.053425e+09 1.177790e+09
2.768777e+00 1.037753e+09 1.159060e+09
2.804067e+00 1.022295e+09 1.140549e+09
2.839808e+00 1.007017e+09 1.122114e+09
2.876003e+00 9.915770e+08 1.103846e+09
2.912660e+00 9.763722e+08 1.086238e+09
2.949784e+00 9.614726e+08 1.068658e+09
2.987382e+00 9.468452e+08 1.051502e+09
3.025458e+00 9.323753e+08 1.034333e+09
3.064020e+00 9.183387e+08 1.017406e+09
3.103074e+00 9.046365e+08 1.000820e+09
3.142625e+00 8.911334e+08 9.847217e+08
3.182680e+00 8.775260e+08 9.685222e+08
3.223246e+00 8.641106e+08 9.525510e+08
3.264329e+00 8.510424e+08 9.367424e+08
3.305936e+00 8.383647e+08 9.215001e+08
3.348072e+00 8.255131e+08 9.064237e+08
3.390746e+00 8.129783e+08 8.916402e+08
3.433964e+00 8.004483e+08 8.768410e+08
3.477733e+00 7.879143e+08 8.625018e+08
3.522059e+00 7.757711e+08 8.484875e+08
3.566951e+00 7.639934e+08 8.346008e+08
3.612415e+00 7.524303e+08 8.207381e+08
3.658458e+00 7.409202e+08 8.070622e+08
3.705088e+00 7.295905e+08 7.936824e+08
3.752312e+00 7.184000e+08 7.805115e+08
3.800138e+00 7.073848e+08 7.677026e+08
3.848574e+00 6.966037e+08 7.550203e+08
3.897627e+00 6.857434e+08 7.424712e+08
3.947306e+00 6.749789e+08 7.299787e+08
3.997617e+00 6.644750e+08 7.177232e+08
4.048570e+00 6.541414e+08 7.057451e+08
4.100173e+00 6.438380e+08 6.940748e+08
4.152433e+00 6.336443e+08 6.827011e+08
4.205359e+00 6.235343e+08 6.715377e+08
4.258959e+00 6.134480e+08 6.602771e+08
4.313243e+00 6.037166e+08 6.490297e+08
4.368219e+00 5.941994e+08 6.382057e+08
4.423896e+00 5.846370e+08 6.277141e+08
4.480282e+00 5.754405e+08 6.170266e+08
4.537387e+00 5.663963e+08 6.067439e+08
4.595219e+00 5.573832e+08 5.966741e+08
4.653789e+00 5.485164e+08 5.867148e+08
4.713105e+00 5.396190e+08 5.766409e+08
4.773178e+00 5.307462e+08 5.669913e+08
4.834016e+00 5.220981e+08 5.574697e+08
4.895629e+00 5.136452e+08 5.478913e+08
4.958028e+00 5.053133e+08 5.386189e+08
5.021222e+00 4.971199e+08 5.294745e+08
5.085222e+00 4.890324e+08 5.204741e+08
5.150037e+00 4.810897e+08 5.117486e+08
5.215678e+00 4.731689e+08 5.030835e+08
5.282156e+00 4.652998e+08 4.945808e+08
5.349482e+00 4.576875e+08 4.861889e+08
5.417665e+00 4.501155e+08 4.780288e+08
5.486718e+00 4.426125e+08 4.698730e+08
5.556650e+00 4.352208e+08 4.617941e+08
5.627475e+00 4.278648e+08 4.539320e+08
5.699201e+00 4.207360e+08 4.461339e+08
5.771842e+00 4.137309e+08 4.385685e+08
5.845409e+00 4.069601e+08 4.311289e+08
5.919913e+00 4.000716e+08 4.236794e+08
5.995368e+00 3.934720e+08 4.162567e+08
6.071783e+00 3.868392e+08 4.090516e+08
6.149173e+00 3.804275e+08 4.020598e+08
6.227549e+00 3.741223e+08 3.950807e+08
6.306925e+00 3.678455e+08 3.881726e+08
6.387311e+00 3.615086e+08 3.813951e+08
6.468723e+00 3.553356e+08 3.746811e+08
6.551172e+00 3.493480e+08 3.680832e+08
6.634672e+00 3.433624e+08 3.616962e+08
6.719236e+00 3.373931e+08 3.553925e+08
6.804878e+00 3.316438e+08 3.491369e+08
6.891612e+00 3.258997e+08 3.429912e+08
6.979451e+00 3.202920e+08 3.369845e+08
7.068410e+00 3.148384e+08 3.310123e+08
7.158503e+00 3.093054e+08 3.251514e+08
7.249744e+00 3.038398e+08 3.193904e+08
7.342148e+00 2.984567e+08 3.137725e+08
7.435729e+00 2.932582e+08 3.081875e+08
7.530504e+00 2.880397e+08 3.026527e+08
7.626486e+00 2.829348e+08 2.972691e+08
7.723692e+00 2.779701e+08 2.919948e+08
7.822136e+00 2.730207e+08 2.867491e+08
7.921836e+00 2.681622e+08 2.816006e+08
8.022806e+00 2.633606e+08 2.765530e+08
8.125063e+00 2.587120e+08 2.716020e+08
8.228624e+00 2.539780e+08 2.667379e+08
8.333504e+00 2.493626e+08 2.619129e+08
8.439722e+00 2.448763e+08 2.571581e+08
8.547293e+00 2.404892e+08 2.524228e+08
8.656235e+00 2.361199e+08 2.478248e+08
8.766566e+00 2.318115e+08 2.433122e+08
8.878303e+00 2.275231e+08 2.388850e+08
8.991464e+00 2.233557e+08 2.345590e+08
9.106067e+00 2.191931e+08 2.302356e+08
9.222132e+00 2.151914e+08 2.259817e+08
9.339675e+00 2.111884e+08 2.217833e+08
9.458717e+00 2.073246e+08 2.176364e+08
9.579276e+00 2.034658e+08 2.135533e+08
9.701372e+00 1.996536e+08 2.095973e+08
9.825023e+00 1.959487e+08 2.056380e+08
9.950251e+00 1.923062e+08 2.018266e+08
1.007708e+01 1.886960e+08 1.980030e+08
1.020552e+01 1.851159e+08 1.942500e+08
1.033559e+01 1.816345e+08 1.905886e+08
1.046733e+01 1.782258e+08 1.869997e+08
1.060074e+01 1.748610e+08 1.834448e+08
1.073586e+01 1.715376e+08 1.799722e+08
1.087270e+01 1.682168e+08 1.764902e+08
1.101128e+01 1.650217e+08 1.730973e+08
1.115162e+01 1.618651e+08 1.697689e+08
1.129376e+01 1.587552e+08 1.664861e+08
1.143771e+01 1.557386e+08 1.632595e+08
1.158349e+01 1.526578e+08 1.601026e+08
1.173113e+01 1.496349e+08 1.569782e+08
1.188066e+01 1.467234e+08 1.539534e+08
1.203208e+01 1.438324e+08 1.509568e+08
1.218544e+01 1.410279e+08 1.480015e+08
1.234076e+01 1.382771e+08 1.450613e+08
