# Energy(MeV) Fluence_Sferica(4Pi)
1.800000e+00 8.514898e+09
1.822942e+00 8.376962e+09
1.846177e+00 8.240448e+09
1.869708e+00 8.105999e+09
1.893539e+00 7.972539e+09
1.917674e+00 7.842788e+09
1.942116e+00 7.715668e+09
1.966870e+00 7.589886e+09
1.991940e+00 7.465571e+09
2.017328e+00 7.343623e+09
2.043041e+00 7.223734e+09
2.069081e+00 7.107293e+09
2.095453e+00 6.991153e+09
2.122162e+00 6.877094e+09
2.149210e+00 6.763438e+09
2.176604e+00 6.652262e+09
2.204346e+00 6.543190e+09
2.232442e+00 6.435446e+09
2.260897e+00 6.329961e+09
2.289714e+00 6.225744e+09
2.318898e+00 6.124028e+09
2.348454e+00 6.024645e+09
2.378387e+00 5.924404e+09
2.408702e+00 5.827226e+09
2.439402e+00 5.730876e+09
2.470495e+00 5.635528e+09
2.501983e+00 5.540646e+09
2.533873e+00 5.448386e+09
2.566169e+00 5.357052e+09
2.598877e+00 5.267737e+09
2.632002e+00 5.180208e+09
2.665549e+00 5.093339e+09
2.699523e+00 5.008591e+09
2.733931e+00 4.924635e+09
2.768777e+00 4.842348e+09
2.804067e+00 4.761196e+09
2.839808e+00 4.681832e+09
2.876003e+00 4.603036e+09
2.912660e+00 4.525775e+09
2.949784e+00 4.449833e+09
2.987382e+00 4.375273e+09
3.025458e+00 4.302042e+09
3.064020e+00 4.229474e+09
3.103074e+00 4.157962e+09
3.142625e+00 4.088030e+09
3.182680e+00 4.019177e+09
3.223246e+00 3.950887e+09
3.264329e+00 3.882962e+09
3.305936e+00 3.817347e+09
3.348072e+00 3.752185e+09
3.390746e+00 3.688851e+09
3.433964e+00 3.625691e+09
3.477733e+00 3.563505e+09
3.522059e+00 3.502837e+09
3.566951e+00 3.443071e+09
3.612415e+00 3.383758e+09
3.658458e+00 3.325051e+09
3.705088e+00 3.267587e+09
3.752312e+00 3.211518e+09
3.800138e+00 3.156024e+09
3.848574e+00 3.101479e+09
3.897627e+00 3.047833e+09
3.947306e+00 2.994877e+09
3.997617e+00 2.943257e+09
4.048570e+00 2.891794e+09
4.100173e+00 2.841486e+09
4.152433e+00 2.792405e+09
4.205359e+00 2.744124e+09
4.258959e+00 2.695882e+09
4.313243e+00 2.649084e+09
4.368219e+00 2.602302e+09
4.423896e+00 2.556423e+09
4.480282e+00 2.511122e+09
4.537387e+00 2.467335e+09
4.595219e+00 2.423632e+09
4.653789e+00 2.381142e+09
4.713105e+00 2.338224e+09
4.773178e+00 2.296643e+09
4.834016e+00 2.255822e+09
4.895629e+00 2.215424e+09
4.958028e+00 2.175350e+09
5.021222e+00 2.136497e+09
5.085222e+00 2.098325e+09
5.150037e+00 2.060674e+09
5.215678e+00 2.023487e+09
5.282156e+00 1.986281e+09
5.349482e+00 1.950418e+09
5.417665e+00 1.915033e+09
5.486718e+00 1.880054e+09
5.556650e+00 1.845425e+09
5.627475e+00 1.811429e+09
5.699201e+00 1.778243e+09
5.771842e+00 1.745780e+09
5.845409e+00 1.713961e+09
5.919913e+00 1.682343e+09
5.995368e+00 1.651427e+09
6.071783e+00 1.620783e+09
6.149173e+00 1.590555e+09
6.227549e+00 1.561227e+09
6.306925e+00 1.532346e+09
6.387311e+00 1.503781e+09
6.468723e+00 1.475555e+09
6.551172e+00 1.447943e+09
6.634672e+00 1.420727e+09
6.719236e+00 1.394312e+09
6.804878e+00 1.367832e+09
6.891612e+00 1.342130e+09
6.979451e+00 1.316808e+09
7.068410e+00 1.292146e+09
7.158503e+00 1.267842e+09
7.249744e+00 1.243732e+09
7.342148e+00 1.219984e+09
7.435729e+00 1.196566e+09
7.530504e+00 1.173770e+09
7.626486e+00 1.151108e+09
7.723692e+00 1.128743e+09
7.822136e+00 1.106839e+09
7.921836e+00 1.085297e+09
8.022806e+00 1.064473e+09
8.125063e+00 1.043665e+09
8.228624e+00 1.023471e+09
8.333504e+00 1.003476e+09
8.439722e+00 9.837991e+08
8.547293e+00 9.645238e+08
8.656235e+00 9.452423e+08
8.766566e+00 9.263712e+08
8.878303e+00 9.080696e+08
8.991464e+00 8.898401e+08
9.106067e+00 8.720677e+08
9.222132e+00 8.545908e+08
9.339675e+00 8.375080e+08
9.458717e+00 8.208406e+08
9.579276e+00 8.045390e+08
9.701372e+00 7.883938e+08
9.825023e+00 7.723452e+08
9.950251e+00 7.566209e+08
1.007708e+01 7.413277e+08
1.020552e+01 7.264228e+08
1.033559e+01 7.113669e+08
1.046733e+01 6.966871e+08
1.060074e+01 6.821631e+08
1.073586e+01 6.680510e+08
1.087270e+01 6.542489e+08
1.101128e+01 6.406828e+08
