# Energy(MeV) Phi16 Phi84
1.800000e+00 1.599001e+09 2.173011e+09
1.822942e+00 1.576421e+09 2.137175e+09
1.846177e+00 1.553790e+09 2.102321e+09
1.869708e+00 1.531468e+09 2.067993e+09
1.893539e+00 1.509449e+09 2.033779e+09
1.917674e+00 1.487797e+09 2.000728e+09
1.942116e+00 1.466505e+09 1.968281e+09
1.966870e+00 1.445287e+09 1.935787e+09
1.991940e+00 1.424800e+09 1.904046e+09
2.017328e+00 1.404504e+09 1.872781e+09
2.043041e+00 1.384019e+09 1.842098e+09
2.069081e+00 1.364010e+09 1.811277e+09
2.095453e+00 1.343838e+09 1.780587e+09
2.122162e+00 1.324083e+09 1.750711e+09
2.149210e+00 1.304629e+09 1.722342e+09
2.176604e+00 1.285504e+09 1.693530e+09
2.204346e+00 1.267470e+09 1.666690e+09
2.232442e+00 1.249237e+09 1.637413e+09
2.260897e+00 1.231056e+09 1.610325e+09
2.289714e+00 1.213687e+09 1.583892e+09
2.318898e+00 1.196070e+09 1.557216e+09
2.348454e+00 1.178693e+09 1.530742e+09
2.378387e+00 1.161203e+09 1.505112e+09
2.408702e+00 1.143760e+09 1.479771e+09
2.439402e+00 1.126575e+09 1.454999e+09
2.470495e+00 1.109644e+09 1.430880e+09
2.501983e+00 1.092953e+09 1.407143e+09
2.533873e+00 1.076499e+09 1.383757e+09
2.566169e+00 1.060278e+09 1.360208e+09
2.598877e+00 1.044288e+09 1.337526e+09
2.632002e+00 1.028528e+09 1.315001e+09
2.665549e+00 1.013468e+09 1.291980e+09
2.699523e+00 9.983035e+08 1.269282e+09
2.733931e+00 9.836935e+08 1.246816e+09
2.768777e+00 9.684655e+08 1.224772e+09
2.804067e+00 9.532275e+08 1.204094e+09
2.839808e+00 9.392321e+08 1.183946e+09
2.876003e+00 9.254825e+08 1.163551e+09
2.912660e+00 9.114530e+08 1.143576e+09
2.949784e+00 8.975004e+08 1.124554e+09
2.987382e+00 8.837471e+08 1.105704e+09
3.025458e+00 8.703079e+08 1.086813e+09
3.064020e+00 8.571429e+08 1.068380e+09
3.103074e+00 8.440513e+08 1.050553e+09
3.142625e+00 8.310678e+08 1.032806e+09
3.182680e+00 8.181636e+08 1.015248e+09
3.223246e+00 8.055435e+08 9.977408e+08
3.264329e+00 7.932474e+08 9.811249e+08
3.305936e+00 7.812243e+08 9.644336e+08
3.348072e+00 7.693686e+08 9.483779e+08
3.390746e+00 7.577161e+08 9.325571e+08
3.433964e+00 7.462651e+08 9.169047e+08
3.477733e+00 7.349721e+08 9.011713e+08
