Energy_MeV	Diff_Fluence
1.000000e-01	2.720346e+07
1.040575e-01	2.617128e+07
1.082795e-01	2.517717e+07
1.126729e-01	2.421971e+07
1.172446e-01	2.329755e+07
1.220018e-01	2.240940e+07
1.269519e-01	2.155401e+07
1.321029e-01	2.073015e+07
1.374630e-01	1.993668e+07
1.430405e-01	1.917247e+07
1.488443e-01	1.843644e+07
1.548836e-01	1.772756e+07
1.611679e-01	1.704482e+07
1.677072e-01	1.638727e+07
1.745119e-01	1.575397e+07
1.815926e-01	1.514403e+07
1.889607e-01	1.455659e+07
1.966277e-01	1.399083e+07
2.046057e-01	1.344594e+07
2.129075e-01	1.292117e+07
2.215462e-01	1.241576e+07
2.305353e-01	1.192900e+07
2.398892e-01	1.146022e+07
2.496226e-01	1.100875e+07
2.597509e-01	1.057395e+07
2.702902e-01	1.015522e+07
2.812571e-01	9.751952e+06
2.926690e-01	9.363594e+06
3.045439e-01	8.989595e+06
3.169007e-01	8.629427e+06
3.297588e-01	8.282584e+06
3.431386e-01	7.948578e+06
3.570613e-01	7.626940e+06
3.715489e-01	7.317217e+06
3.866244e-01	7.018974e+06
4.023115e-01	6.731791e+06
4.186351e-01	6.455265e+06
4.356211e-01	6.189007e+06
4.532962e-01	5.932644e+06
4.716885e-01	5.685814e+06
4.908271e-01	5.448173e+06
5.107422e-01	5.219385e+06
5.314653e-01	4.999129e+06
5.530293e-01	4.787097e+06
5.754682e-01	4.582992e+06
5.988176e-01	4.386526e+06
6.231144e-01	4.197423e+06
6.483970e-01	4.015420e+06
6.747054e-01	3.840260e+06
7.020813e-01	3.671698e+06
7.305680e-01	3.509498e+06
7.602105e-01	3.353431e+06
7.910557e-01	3.203279e+06
8.231525e-01	3.058832e+06
8.565515e-01	2.919886e+06
8.913057e-01	2.786247e+06
9.274701e-01	2.657727e+06
9.651018e-01	2.534146e+06
1.004260e+00	2.415329e+06
1.045008e+00	2.301111e+06
1.087409e+00	2.191330e+06
1.131530e+00	2.085831e+06
1.177441e+00	1.984465e+06
1.225215e+00	1.887091e+06
1.274928e+00	1.793568e+06
1.326658e+00	1.703767e+06
1.380486e+00	1.617557e+06
1.436499e+00	1.534818e+06
1.494784e+00	1.455431e+06
1.555434e+00	1.379281e+06
1.618545e+00	1.306261e+06
1.684217e+00	1.236263e+06
1.752554e+00	1.169187e+06
1.823663e+00	1.104935e+06
1.897657e+00	1.043413e+06
1.974654e+00	9.845295e+05
2.054775e+00	9.281970e+05
