Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.1268e+05
1.5000e-03	0.0000e+00	2.1273e+05
2.0000e-03	0.0000e+00	2.1277e+05
2.5000e-03	0.0000e+00	2.1279e+05
3.0000e-03	0.0000e+00	2.1282e+05
3.5000e-03	0.0000e+00	2.1283e+05
4.0000e-03	0.0000e+00	2.1285e+05
4.5000e-03	0.0000e+00	2.1286e+05
5.0000e-03	0.0000e+00	2.1288e+05
5.5000e-03	0.0000e+00	2.1289e+05
6.0000e-03	0.0000e+00	2.1290e+05
6.5000e-03	0.0000e+00	2.1291e+05
7.0000e-03	0.0000e+00	2.1292e+05
7.5000e-03	0.0000e+00	2.1293e+05
8.0000e-03	0.0000e+00	2.1293e+05
8.5000e-03	0.0000e+00	2.1294e+05
9.0000e-03	0.0000e+00	2.1295e+05
9.5000e-03	0.0000e+00	2.1295e+05
1.0000e-02	0.0000e+00	2.1296e+05
1.5000e-02	0.0000e+00	2.1301e+05
2.0000e-02	0.0000e+00	2.1305e+05
2.5000e-02	0.0000e+00	2.1308e+05
3.0000e-02	0.0000e+00	2.1311e+05
3.5000e-02	0.0000e+00	2.1314e+05
4.0000e-02	0.0000e+00	2.1317e+05
4.5000e-02	0.0000e+00	2.1320e+05
5.0000e-02	0.0000e+00	2.1324e+05
5.5000e-02	0.0000e+00	2.1327e+05
6.0000e-02	0.0000e+00	2.1330e+05
6.5000e-02	0.0000e+00	2.1334e+05
7.0000e-02	0.0000e+00	2.1339e+05
7.5000e-02	0.0000e+00	2.1343e+05
8.0000e-02	0.0000e+00	2.1346e+05
8.5000e-02	0.0000e+00	2.1350e+05
9.0000e-02	0.0000e+00	2.1354e+05
9.5000e-02	0.0000e+00	2.1358e+05
1.0000e-01	0.0000e+00	2.1362e+05
1.5000e-01	0.0000e+00	2.1402e+05
2.0000e-01	0.0000e+00	2.1443e+05
2.5000e-01	0.0000e+00	2.1484e+05
3.0000e-01	0.0000e+00	2.1525e+05
3.5000e-01	0.0000e+00	2.1566e+05
4.0000e-01	0.0000e+00	2.1608e+05
4.5000e-01	0.0000e+00	2.1649e+05
5.0000e-01	0.0000e+00	2.1685e+05
5.5000e-01	0.0000e+00	2.1719e+05
6.0000e-01	0.0000e+00	2.1759e+05
6.5000e-01	0.0000e+00	2.1800e+05
7.0000e-01	0.0000e+00	2.1841e+05
7.5000e-01	0.0000e+00	2.1881e+05
8.0000e-01	0.0000e+00	2.1922e+05
8.5000e-01	0.0000e+00	2.1963e+05
9.0000e-01	0.0000e+00	2.2004e+05
