Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.2093e+05
1.5000e-03	0.0000e+00	1.2095e+05
2.0000e-03	0.0000e+00	1.2097e+05
2.5000e-03	0.0000e+00	1.2099e+05
3.0000e-03	0.0000e+00	1.2100e+05
3.5000e-03	0.0000e+00	1.2101e+05
4.0000e-03	0.0000e+00	1.2102e+05
4.5000e-03	0.0000e+00	1.2102e+05
5.0000e-03	0.0000e+00	1.2103e+05
5.5000e-03	0.0000e+00	1.2104e+05
6.0000e-03	0.0000e+00	1.2104e+05
6.5000e-03	0.0000e+00	1.2105e+05
7.0000e-03	0.0000e+00	1.2105e+05
7.5000e-03	0.0000e+00	1.2106e+05
8.0000e-03	0.0000e+00	1.2106e+05
8.5000e-03	0.0000e+00	1.2106e+05
9.0000e-03	0.0000e+00	1.2107e+05
9.5000e-03	0.0000e+00	1.2107e+05
1.0000e-02	0.0000e+00	1.2107e+05
1.5000e-02	0.0000e+00	1.2110e+05
2.0000e-02	0.0000e+00	1.2112e+05
2.5000e-02	0.0000e+00	1.2113e+05
3.0000e-02	0.0000e+00	1.2115e+05
3.5000e-02	0.0000e+00	1.2116e+05
4.0000e-02	0.0000e+00	1.2120e+05
4.5000e-02	0.0000e+00	1.2124e+05
5.0000e-02	0.0000e+00	1.2128e+05
5.5000e-02	0.0000e+00	1.2131e+05
6.0000e-02	0.0000e+00	1.2134e+05
6.5000e-02	0.0000e+00	1.2136e+05
7.0000e-02	0.0000e+00	1.2138e+05
7.5000e-02	0.0000e+00	1.2141e+05
8.0000e-02	0.0000e+00	1.2143e+05
8.5000e-02	0.0000e+00	1.2145e+05
9.0000e-02	0.0000e+00	1.2147e+05
9.5000e-02	0.0000e+00	1.2150e+05
1.0000e-01	0.0000e+00	1.2154e+05
1.5000e-01	0.0000e+00	1.2181e+05
2.0000e-01	0.0000e+00	1.2208e+05
2.5000e-01	0.0000e+00	1.2237e+05
3.0000e-01	0.0000e+00	1.2265e+05
3.5000e-01	0.0000e+00	1.2293e+05
4.0000e-01	0.0000e+00	1.2321e+05
4.5000e-01	0.0000e+00	1.2349e+05
5.0000e-01	0.0000e+00	1.2377e+05
5.5000e-01	0.0000e+00	1.2404e+05
6.0000e-01	0.0000e+00	1.2431e+05
6.5000e-01	0.0000e+00	1.2458e+05
7.0000e-01	0.0000e+00	1.2483e+05
7.5000e-01	0.0000e+00	1.2510e+05
8.0000e-01	0.0000e+00	1.2537e+05
8.5000e-01	0.0000e+00	1.2565e+05
9.0000e-01	0.0000e+00	1.2593e+05
9.5000e-01	0.0000e+00	1.2621e+05
1.0000e+00	0.0000e+00	1.2648e+05
1.5000e+00	2.9916e+09	1.2928e+05
1.5197e+00	2.9393e+09	1.2939e+05
1.5396e+00	2.8880e+09	1.2950e+05
1.5598e+00	2.8382e+09	1.2962e+05
1.5803e+00	2.7895e+09	1.2973e+05
1.6010e+00	2.7414e+09	1.2985e+05
1.6220e+00	2.6933e+09	1.2997e+05
1.6433e+00	2.6474e+09	1.3008e+05
1.6648e+00	2.6006e+09	1.3021e+05
1.6866e+00	2.5553e+09	1.3033e+05
1.7088e+00	2.5108e+09	1.3045e+05
1.7312e+00	2.4674e+09	1.3058e+05
1.7539e+00	2.4248e+09	1.3070e+05
1.7769e+00	2.3825e+09	1.3083e+05
1.8002e+00	2.3405e+09	1.3096e+05
1.8238e+00	2.2994e+09	1.3110e+05
1.8477e+00	2.2594e+09	1.3123e+05
1.8720e+00	2.2196e+09	1.3136e+05
1.8965e+00	2.1799e+09	1.3150e+05
1.9214e+00	2.1413e+09	1.3164e+05
1.9466e+00	2.1032e+09	1.3178e+05
1.9721e+00	2.0665e+09	1.3193e+05
1.9980e+00	2.0297e+09	1.3207e+05
2.0242e+00	1.9930e+09	1.3222e+05
