Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	7.8163e+04
1.5000e-03	0.0000e+00	7.8180e+04
2.0000e-03	0.0000e+00	7.8191e+04
2.5000e-03	0.0000e+00	7.8201e+04
3.0000e-03	0.0000e+00	7.8208e+04
3.5000e-03	0.0000e+00	7.8214e+04
4.0000e-03	0.0000e+00	7.8220e+04
4.5000e-03	0.0000e+00	7.8225e+04
5.0000e-03	0.0000e+00	7.8229e+04
5.5000e-03	0.0000e+00	7.8233e+04
6.0000e-03	0.0000e+00	7.8237e+04
6.5000e-03	0.0000e+00	7.8240e+04
7.0000e-03	0.0000e+00	7.8243e+04
7.5000e-03	0.0000e+00	7.8246e+04
8.0000e-03	0.0000e+00	7.8248e+04
8.5000e-03	0.0000e+00	7.8251e+04
9.0000e-03	0.0000e+00	7.8253e+04
9.5000e-03	0.0000e+00	7.8255e+04
1.0000e-02	0.0000e+00	7.8258e+04
1.5000e-02	0.0000e+00	7.8274e+04
2.0000e-02	0.0000e+00	7.8286e+04
2.5000e-02	0.0000e+00	7.8295e+04
3.0000e-02	0.0000e+00	7.8303e+04
3.5000e-02	0.0000e+00	7.8313e+04
4.0000e-02	0.0000e+00	7.8340e+04
4.5000e-02	0.0000e+00	7.8364e+04
5.0000e-02	0.0000e+00	7.8385e+04
5.5000e-02	0.0000e+00	7.8405e+04
6.0000e-02	0.0000e+00	7.8422e+04
6.5000e-02	0.0000e+00	7.8439e+04
7.0000e-02	0.0000e+00	7.8454e+04
7.5000e-02	0.0000e+00	7.8468e+04
8.0000e-02	0.0000e+00	7.8481e+04
8.5000e-02	0.0000e+00	7.8493e+04
9.0000e-02	0.0000e+00	7.8506e+04
9.5000e-02	0.0000e+00	7.8528e+04
1.0000e-01	0.0000e+00	7.8549e+04
1.5000e-01	0.0000e+00	7.8721e+04
2.0000e-01	0.0000e+00	7.8896e+04
2.5000e-01	0.0000e+00	7.9075e+04
3.0000e-01	0.0000e+00	7.9253e+04
3.5000e-01	0.0000e+00	7.9431e+04
4.0000e-01	0.0000e+00	7.9608e+04
4.5000e-01	0.0000e+00	7.9785e+04
5.0000e-01	0.0000e+00	7.9960e+04
5.5000e-01	0.0000e+00	8.0133e+04
6.0000e-01	0.0000e+00	8.0303e+04
6.5000e-01	0.0000e+00	8.0470e+04
7.0000e-01	0.0000e+00	8.0634e+04
7.5000e-01	0.0000e+00	8.0801e+04
8.0000e-01	0.0000e+00	8.0974e+04
8.5000e-01	0.0000e+00	8.1148e+04
9.0000e-01	0.0000e+00	8.1323e+04
9.5000e-01	0.0000e+00	8.1499e+04
1.0000e+00	0.0000e+00	8.1675e+04
1.5000e+00	2.6975e+09	8.3440e+04
1.5197e+00	2.6531e+09	8.3510e+04
1.5396e+00	2.6092e+09	8.3580e+04
1.5598e+00	2.5660e+09	8.3651e+04
1.5803e+00	2.5233e+09	8.3723e+04
