Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.2317e+05
1.5000e-03	0.0000e+00	1.2320e+05
2.0000e-03	0.0000e+00	1.2322e+05
2.5000e-03	0.0000e+00	1.2323e+05
3.0000e-03	0.0000e+00	1.2325e+05
3.5000e-03	0.0000e+00	1.2326e+05
4.0000e-03	0.0000e+00	1.2327e+05
4.5000e-03	0.0000e+00	1.2327e+05
5.0000e-03	0.0000e+00	1.2328e+05
5.5000e-03	0.0000e+00	1.2329e+05
6.0000e-03	0.0000e+00	1.2329e+05
6.5000e-03	0.0000e+00	1.2330e+05
7.0000e-03	0.0000e+00	1.2330e+05
7.5000e-03	0.0000e+00	1.2331e+05
8.0000e-03	0.0000e+00	1.2331e+05
8.5000e-03	0.0000e+00	1.2332e+05
9.0000e-03	0.0000e+00	1.2332e+05
9.5000e-03	0.0000e+00	1.2333e+05
1.0000e-02	0.0000e+00	1.2333e+05
1.5000e-02	0.0000e+00	1.2336e+05
2.0000e-02	0.0000e+00	1.2338e+05
2.5000e-02	0.0000e+00	1.2340e+05
3.0000e-02	0.0000e+00	1.2341e+05
3.5000e-02	0.0000e+00	1.2343e+05
4.0000e-02	0.0000e+00	1.2345e+05
4.5000e-02	0.0000e+00	1.2347e+05
5.0000e-02	0.0000e+00	1.2349e+05
5.5000e-02	0.0000e+00	1.2351e+05
6.0000e-02	0.0000e+00	1.2353e+05
6.5000e-02	0.0000e+00	1.2355e+05
7.0000e-02	0.0000e+00	1.2358e+05
7.5000e-02	0.0000e+00	1.2360e+05
8.0000e-02	0.0000e+00	1.2362e+05
8.5000e-02	0.0000e+00	1.2364e+05
9.0000e-02	0.0000e+00	1.2366e+05
9.5000e-02	0.0000e+00	1.2369e+05
1.0000e-01	0.0000e+00	1.2371e+05
1.5000e-01	0.0000e+00	1.2394e+05
2.0000e-01	0.0000e+00	1.2418e+05
2.5000e-01	0.0000e+00	1.2442e+05
3.0000e-01	0.0000e+00	1.2466e+05
3.5000e-01	0.0000e+00	1.2489e+05
4.0000e-01	0.0000e+00	1.2513e+05
4.5000e-01	0.0000e+00	1.2537e+05
5.0000e-01	0.0000e+00	1.2558e+05
5.5000e-01	0.0000e+00	1.2577e+05
6.0000e-01	0.0000e+00	1.2601e+05
6.5000e-01	0.0000e+00	1.2624e+05
7.0000e-01	0.0000e+00	1.2648e+05
7.5000e-01	0.0000e+00	1.2671e+05
8.0000e-01	0.0000e+00	1.2695e+05
8.5000e-01	0.0000e+00	1.2718e+05
9.0000e-01	0.0000e+00	1.2742e+05
9.5000e-01	0.0000e+00	1.2766e+05
1.0000e+00	0.0000e+00	1.2789e+05
1.5000e+00	1.0790e+10	1.3027e+05
1.5197e+00	1.0613e+10	1.3035e+05
1.5396e+00	1.0437e+10	1.3041e+05
1.5598e+00	1.0264e+10	1.3048e+05
1.5803e+00	1.0093e+10	1.3056e+05
1.6010e+00	9.9276e+09	1.3065e+05
