# Energy(MeV) Phi16_Planare Phi84_Planare
1.500000e+00 2.413498e+09 2.991643e+09
1.519674e+00 2.375815e+09 2.939276e+09
1.539606e+00 2.338615e+09 2.887998e+09
1.559799e+00 2.301971e+09 2.838246e+09
1.580257e+00 2.265979e+09 2.789469e+09
1.600984e+00 2.230525e+09 2.741381e+09
1.621982e+00 2.195314e+09 2.693340e+09
1.643256e+00 2.160595e+09 2.647360e+09
1.664809e+00 2.126398e+09 2.600606e+09
1.686644e+00 2.092752e+09 2.555335e+09
1.708766e+00 2.059769e+09 2.510766e+09
1.731178e+00 2.027045e+09 2.467433e+09
1.753884e+00 1.994799e+09 2.424754e+09
1.776888e+00 1.963050e+09 2.382456e+09
1.800193e+00 1.931736e+09 2.340547e+09
1.823805e+00 1.900999e+09 2.299391e+09
1.847725e+00 1.870675e+09 2.259411e+09
1.871960e+00 1.840625e+09 2.219588e+09
1.896512e+00 1.811105e+09 2.179893e+09
1.921387e+00 1.782187e+09 2.141290e+09
1.946588e+00 1.753818e+09 2.103248e+09
1.972119e+00 1.725757e+09 2.066462e+09
1.997985e+00 1.698269e+09 2.029652e+09
2.024190e+00 1.670994e+09 1.993046e+09
2.050740e+00 1.644807e+09 1.958128e+09
2.077637e+00 1.619079e+09 1.923414e+09
2.104887e+00 1.593290e+09 1.888762e+09
2.132495e+00 1.567873e+09 1.855981e+09
2.160464e+00 1.542845e+09 1.823041e+09
2.188801e+00 1.518326e+09 1.790588e+09
2.217509e+00 1.494127e+09 1.759117e+09
2.246593e+00 1.470285e+09 1.727848e+09
2.276059e+00 1.446761e+09 1.697676e+09
2.305912e+00 1.423587e+09 1.668134e+09
2.336156e+00 1.400759e+09 1.638960e+09
2.366797e+00 1.378496e+09 1.610022e+09
2.397840e+00 1.357002e+09 1.581666e+09
2.429290e+00 1.335520e+09 1.553675e+09
2.461152e+00 1.313602e+09 1.525805e+09
2.493432e+00 1.292575e+09 1.498647e+09
2.526136e+00 1.271932e+09 1.472126e+09
2.559268e+00 1.252093e+09 1.446009e+09
2.592835e+00 1.232308e+09 1.420169e+09
2.626843e+00 1.212811e+09 1.394530e+09
2.661296e+00 1.192654e+09 1.369217e+09
2.696202e+00 1.173156e+09 1.344629e+09
2.731565e+00 1.153532e+09 1.320407e+09
2.767392e+00 1.133958e+09 1.296210e+09
2.803689e+00 1.114997e+09 1.272924e+09
2.840462e+00 1.097204e+09 1.250378e+09
