# Energy(MeV) Fluence_Planare_Median(p/cm2)
1.500000e+00 2.697473e+09
1.519674e+00 2.653135e+09
1.539606e+00 2.609229e+09
1.559799e+00 2.565997e+09
1.580257e+00 2.523307e+09
1.600984e+00 2.481898e+09
1.621982e+00 2.441003e+09
1.643256e+00 2.399876e+09
1.664809e+00 2.360492e+09
1.686644e+00 2.322276e+09
1.708766e+00 2.284134e+09
1.731178e+00 2.246296e+09
1.753884e+00 2.209135e+09
1.776888e+00 2.172458e+09
1.800193e+00 2.136321e+09
1.823805e+00 2.100843e+09
1.847725e+00 2.066611e+09
1.871960e+00 2.032534e+09
1.896512e+00 1.998599e+09
1.921387e+00 1.965189e+09
1.946588e+00 1.932342e+09
1.972119e+00 1.900003e+09
1.997985e+00 1.868075e+09
2.024190e+00 1.836987e+09
2.050740e+00 1.806733e+09
2.077637e+00 1.776735e+09
2.104887e+00 1.747226e+09
2.132495e+00 1.717796e+09
2.160464e+00 1.688994e+09
2.188801e+00 1.660368e+09
2.217509e+00 1.632565e+09
2.246593e+00 1.605947e+09
2.276059e+00 1.579544e+09
2.305912e+00 1.552600e+09
2.336156e+00 1.525997e+09
2.366797e+00 1.500296e+09
2.397840e+00 1.475470e+09
2.429290e+00 1.450930e+09
2.461152e+00 1.426665e+09
2.493432e+00 1.402543e+09
2.526136e+00 1.378950e+09
2.559268e+00 1.355943e+09
2.592835e+00 1.332690e+09
2.626843e+00 1.310177e+09
2.661296e+00 1.287734e+09
2.696202e+00 1.265797e+09
2.731565e+00 1.244288e+09
2.767392e+00 1.222732e+09
2.803689e+00 1.201941e+09
2.840462e+00 1.181481e+09
2.877717e+00 1.161346e+09
2.915461e+00 1.141471e+09
2.953700e+00 1.122002e+09
2.992440e+00 1.102794e+09
3.031689e+00 1.083863e+09
3.071452e+00 1.065010e+09
3.111737e+00 1.046705e+09
3.152550e+00 1.028678e+09
3.193899e+00 1.011090e+09
3.235790e+00 9.936973e+08
3.278230e+00 9.763278e+08
3.321227e+00 9.593243e+08
3.364788e+00 9.426348e+08
3.408920e+00 9.258398e+08
3.453631e+00 9.096500e+08
3.498929e+00 8.935814e+08
3.544820e+00 8.777409e+08
3.591314e+00 8.622272e+08
3.638417e+00 8.470224e+08
3.686138e+00 8.319040e+08
3.734485e+00 8.172470e+08
3.783467e+00 8.025644e+08
3.833090e+00 7.882120e+08
3.883365e+00 7.741426e+08
3.934298e+00 7.603991e+08
3.985900e+00 7.467465e+08
4.038179e+00 7.335201e+08
4.091143e+00 7.202696e+08
4.144803e+00 7.074226e+08
4.199165e+00 6.946657e+08
4.254241e+00 6.821822e+08
4.310040e+00 6.698730e+08
4.366570e+00 6.576991e+08
4.423841e+00 6.457259e+08
4.481864e+00 6.341253e+08
4.540648e+00 6.224330e+08
4.600202e+00 6.109070e+08
4.660538e+00 5.994417e+08
4.721665e+00 5.884862e+08
4.783594e+00 5.776698e+08
4.846336e+00 5.670409e+08
4.909900e+00 5.566521e+08
4.974297e+00 5.462811e+08
5.039540e+00 5.361035e+08
5.105638e+00 5.262447e+08
5.172603e+00 5.164567e+08
5.240446e+00 5.069910e+08
5.309180e+00 4.976141e+08
5.378814e+00 4.884218e+08
5.449362e+00 4.791295e+08
5.520836e+00 4.700123e+08
5.593247e+00 4.610807e+08
5.666607e+00 4.523549e+08
5.740930e+00 4.438655e+08
5.816227e+00 4.354561e+08
5.892513e+00 4.271949e+08
5.969798e+00 4.191792e+08
6.048098e+00 4.111841e+08
6.127424e+00 4.033481e+08
6.207791e+00 3.956153e+08
6.289211e+00 3.880371e+08
6.371700e+00 3.805907e+08
6.455271e+00 3.734026e+08
6.539938e+00 3.662298e+08
6.625715e+00 3.591982e+08
6.712617e+00 3.523937e+08
6.800659e+00 3.456615e+08
6.889856e+00 3.390859e+08
6.980223e+00 3.323715e+08
7.071775e+00 3.258368e+08
7.164527e+00 3.194676e+08
7.258497e+00 3.132054e+08
7.353699e+00 3.069835e+08
7.450149e+00 3.009566e+08
7.547864e+00 2.950547e+08
7.646862e+00 2.893046e+08
7.747157e+00 2.835281e+08
7.848768e+00 2.777936e+08
7.951712e+00 2.722056e+08
8.056006e+00 2.667572e+08
8.161668e+00 2.614060e+08
8.268715e+00 2.562257e+08
8.377167e+00 2.511474e+08
8.487041e+00 2.460439e+08
8.598357e+00 2.410429e+08
8.711132e+00 2.361174e+08
8.825386e+00 2.313133e+08
8.941139e+00 2.266226e+08
9.058410e+00 2.220013e+08
9.177220e+00 2.174918e+08
9.297587e+00 2.129994e+08
9.419534e+00 2.086056e+08
9.543079e+00 2.042766e+08
9.668246e+00 2.000480e+08
9.795053e+00 1.959035e+08
9.923524e+00 1.918416e+08
1.005368e+01 1.878280e+08
1.018554e+01 1.839163e+08
1.031914e+01 1.800653e+08
1.045448e+01 1.762774e+08
1.059160e+01 1.725265e+08
1.073052e+01 1.688525e+08
1.087126e+01 1.652453e+08
1.101385e+01 1.617017e+08
1.115830e+01 1.582312e+08
1.130465e+01 1.548233e+08
1.145293e+01 1.514661e+08
1.160314e+01 1.481743e+08
1.175533e+01 1.449613e+08
1.190951e+01 1.418016e+08
1.206571e+01 1.386789e+08
1.222397e+01 1.356148e+08
1.238429e+01 1.326281e+08
1.254673e+01 1.296858e+08
1.271129e+01 1.267975e+08
1.287801e+01 1.239488e+08
1.304691e+01 1.211510e+08
1.321804e+01 1.183882e+08
1.339140e+01 1.156844e+08
1.356704e+01 1.130471e+08
1.374499e+01 1.104731e+08
1.392527e+01 1.079120e+08
1.410791e+01 1.054112e+08
1.429295e+01 1.029838e+08
1.448041e+01 1.005698e+08
1.467033e+01 9.819306e+07
1.486275e+01 9.588283e+07
1.505769e+01 9.362759e+07
1.525518e+01 9.137442e+07
1.545527e+01 8.920948e+07
1.565798e+01 8.708166e+07
1.586335e+01 8.500776e+07
1.607141e+01 8.297390e+07
1.628220e+01 8.097565e+07
1.649576e+01 7.900280e+07
1.671211e+01 7.707378e+07
1.693131e+01 7.517818e+07
1.715338e+01 7.333251e+07
1.737836e+01 7.152747e+07
1.760629e+01 6.973623e+07
1.783722e+01 6.799377e+07
1.807117e+01 6.628902e+07
1.830819e+01 6.461183e+07
1.854831e+01 6.296901e+07
1.879159e+01 6.137397e+07
1.903806e+01 5.979135e+07
1.928776e+01 5.825645e+07
1.954074e+01 5.673996e+07
1.979703e+01 5.525676e+07
2.005669e+01 5.382458e+07
2.031975e+01 5.239915e+07
2.058626e+01 5.101023e+07
2.085627e+01 4.963263e+07
2.112982e+01 4.830048e+07
2.140696e+01 4.698717e+07
2.168773e+01 4.571827e+07
2.197218e+01 4.448350e+07
2.226037e+01 4.325230e+07
2.255233e+01 4.205476e+07
2.284813e+01 4.088976e+07
2.314780e+01 3.974712e+07
2.345141e+01 3.863173e+07
2.375899e+01 3.753419e+07
2.407061e+01 3.647752e+07
2.438632e+01 3.543788e+07
2.470617e+01 3.442060e+07
2.503022e+01 3.342568e+07
2.535851e+01 3.245221e+07
2.569111e+01 3.151048e+07
2.602807e+01 3.057591e+07
2.636945e+01 2.967140e+07
2.671531e+01 2.877835e+07
2.706571e+01 2.792201e+07
2.742070e+01 2.708681e+07
2.778035e+01 2.626258e+07
2.814471e+01 2.545142e+07
2.851386e+01 2.467035e+07
2.888784e+01 2.390775e+07
2.926673e+01 2.316186e+07
2.965059e+01 2.243421e+07
3.003948e+01 2.172880e+07
3.043348e+01 2.104094e+07
3.083264e+01 2.036897e+07
3.123704e+01 1.971400e+07
3.164674e+01 1.907246e+07
3.206182e+01 1.844906e+07
3.248234e+01 1.784747e+07
3.290837e+01 1.725810e+07
3.334000e+01 1.668161e+07
3.377728e+01 1.612385e+07
3.422030e+01 1.558577e+07
3.466913e+01 1.506198e+07
3.512385e+01 1.455223e+07
3.558453e+01 1.405707e+07
3.605125e+01 1.356975e+07
3.652410e+01 1.309457e+07
3.700315e+01 1.263723e+07
3.748848e+01 1.219246e+07
3.798017e+01 1.175548e+07
3.847832e+01 1.133393e+07
3.898299e+01 1.092321e+07
3.949429e+01 1.052667e+07
4.001230e+01 1.014393e+07
4.053709e+01 9.770037e+06
4.106877e+01 9.404564e+06
4.160743e+01 9.055685e+06
4.215315e+01 8.711549e+06
4.270602e+01 8.382904e+06
4.326615e+01 8.061054e+06
4.383363e+01 7.750210e+06
4.440855e+01 7.452694e+06
4.499100e+01 7.163750e+06
4.558110e+01 6.885080e+06
4.617894e+01 6.618497e+06
4.678462e+01 6.358482e+06
4.739824e+01 6.108940e+06
4.801991e+01 5.865754e+06
4.864974e+01 5.627720e+06
4.928782e+01 5.397156e+06
4.993428e+01 5.178461e+06
5.058921e+01 4.963033e+06
5.125274e+01 4.757992e+06
5.192496e+01 4.560761e+06
5.260600e+01 4.370809e+06
5.329598e+01 4.187815e+06
5.399501e+01 4.012502e+06
5.470320e+01 3.841193e+06
5.542068e+01 3.676415e+06
5.614757e+01 3.517564e+06
5.688400e+01 3.363278e+06
5.763009e+01 3.215648e+06
5.838596e+01 3.074159e+06
5.915174e+01 2.937611e+06
5.992757e+01 2.807302e+06
6.071358e+01 2.680315e+06
6.150989e+01 2.560825e+06
6.231665e+01 2.444760e+06
6.313399e+01 2.332009e+06
6.396205e+01 2.225079e+06
6.480097e+01 2.123324e+06
6.565089e+01 2.029511e+06
6.651196e+01 1.936654e+06
6.738433e+01 1.847816e+06
6.826813e+01 1.762997e+06
6.916353e+01 1.682063e+06
7.007068e+01 1.605704e+06
7.098972e+01 1.532102e+06
7.192081e+01 1.461668e+06
7.286412e+01 1.392628e+06
7.381980e+01 1.326958e+06
7.478801e+01 1.266142e+06
7.576892e+01 1.207713e+06
7.676270e+01 1.151966e+06
7.776952e+01 1.099762e+06
7.878953e+01 1.048370e+06
7.982293e+01 1.001446e+06
8.086988e+01 9.562667e+05
8.193056e+01 9.127278e+05
8.300516e+01 8.704990e+05
8.409384e+01 8.311390e+05
8.519681e+01 7.938103e+05
8.631425e+01 7.582903e+05
8.744634e+01 7.236219e+05
8.859327e+01 6.903021e+05
8.975526e+01 6.585856e+05
9.093248e+01 6.284506e+05
9.212514e+01 6.001638e+05
9.333344e+01 5.728735e+05
9.455760e+01 5.466104e+05
9.579781e+01 5.216491e+05
9.705428e+01 4.976763e+05
9.832724e+01 4.747879e+05
9.961689e+01 4.529281e+05
1.009235e+02 4.322735e+05
1.022472e+02 4.125670e+05
1.035882e+02 3.937929e+05
1.049469e+02 3.760402e+05
1.063233e+02 3.590915e+05
1.077179e+02 3.427887e+05
1.091307e+02 3.274193e+05
1.105620e+02 3.125288e+05
1.120122e+02 2.985459e+05
1.134813e+02 2.852121e+05
1.149697e+02 2.723408e+05
1.164777e+02 2.600337e+05
1.180054e+02 2.482420e+05
1.195531e+02 2.371181e+05
1.211212e+02 2.264471e+05
1.227098e+02 2.161948e+05
1.243192e+02 2.063282e+05
1.259498e+02 1.968593e+05
1.276017e+02 1.878279e+05
1.292753e+02 1.792259e+05
1.309709e+02 1.710490e+05
1.326887e+02 1.631789e+05
1.344290e+02 1.557366e+05
1.361922e+02 1.488199e+05
1.379785e+02 1.421964e+05
1.397882e+02 1.357681e+05
1.416216e+02 1.295595e+05
1.434791e+02 1.237647e+05
1.453610e+02 1.182278e+05
1.472675e+02 1.128728e+05
1.491991e+02 1.076805e+05
1.511560e+02 1.027401e+05
1.531385e+02 9.796110e+04
1.551471e+02 9.345613e+04
1.571820e+02 8.918569e+04
1.592436e+02 8.511827e+04
1.613322e+02 8.121650e+04
1.634482e+02 7.749289e+04
1.655920e+02 7.394224e+04
1.677639e+02 7.059120e+04
1.699642e+02 6.739153e+04
1.721935e+02 6.433639e+04
1.744519e+02 6.141616e+04
1.767400e+02 5.859417e+04
1.790581e+02 5.587303e+04
1.814067e+02 5.326761e+04
1.837860e+02 5.081228e+04
1.861965e+02 4.849530e+04
1.886386e+02 4.627845e+04
