# Energy(MeV) Phi16_Sferica Phi84_Sferica
1.500000e+00 9.653992e+09 1.196657e+10
1.519674e+00 9.503260e+09 1.175710e+10
1.539606e+00 9.354458e+09 1.155199e+10
1.559799e+00 9.207883e+09 1.135298e+10
1.580257e+00 9.063915e+09 1.115788e+10
1.600984e+00 8.922101e+09 1.096553e+10
1.621982e+00 8.781255e+09 1.077336e+10
1.643256e+00 8.642378e+09 1.058944e+10
1.664809e+00 8.505592e+09 1.040242e+10
1.686644e+00 8.371006e+09 1.022134e+10
1.708766e+00 8.239077e+09 1.004306e+10
1.731178e+00 8.108180e+09 9.869733e+09
1.753884e+00 7.979196e+09 9.699018e+09
1.776888e+00 7.852199e+09 9.529825e+09
1.800193e+00 7.726942e+09 9.362188e+09
1.823805e+00 7.603997e+09 9.197564e+09
1.847725e+00 7.482701e+09 9.037644e+09
1.871960e+00 7.362500e+09 8.878354e+09
1.896512e+00 7.244419e+09 8.719572e+09
1.921387e+00 7.128749e+09 8.565160e+09
1.946588e+00 7.015271e+09 8.412992e+09
1.972119e+00 6.903030e+09 8.265846e+09
1.997985e+00 6.793077e+09 8.118609e+09
2.024190e+00 6.683977e+09 7.972186e+09
2.050740e+00 6.579226e+09 7.832511e+09
2.077637e+00 6.476316e+09 7.693657e+09
2.104887e+00 6.373159e+09 7.555048e+09
2.132495e+00 6.271494e+09 7.423922e+09
2.160464e+00 6.171381e+09 7.292165e+09
2.188801e+00 6.073304e+09 7.162351e+09
2.217509e+00 5.976507e+09 7.036469e+09
2.246593e+00 5.881141e+09 6.911390e+09
2.276059e+00 5.787043e+09 6.790705e+09
2.305912e+00 5.694347e+09 6.672538e+09
2.336156e+00 5.603036e+09 6.555840e+09
2.366797e+00 5.513985e+09 6.440086e+09
2.397840e+00 5.428009e+09 6.326664e+09
2.429290e+00 5.342079e+09 6.214698e+09
2.461152e+00 5.254407e+09 6.103220e+09
2.493432e+00 5.170302e+09 5.994587e+09
2.526136e+00 5.087727e+09 5.888504e+09
2.559268e+00 5.008371e+09 5.784035e+09
2.592835e+00 4.929232e+09 5.680677e+09
2.626843e+00 4.851245e+09 5.578120e+09
2.661296e+00 4.770615e+09 5.476867e+09
2.696202e+00 4.692625e+09 5.378515e+09
2.731565e+00 4.614127e+09 5.281628e+09
2.767392e+00 4.535830e+09 5.184840e+09
2.803689e+00 4.459989e+09 5.091695e+09
2.840462e+00 4.388817e+09 5.001513e+09
2.877717e+00 4.316985e+09 4.911283e+09
2.915461e+00 4.244813e+09 4.821264e+09
2.953700e+00 4.174914e+09 4.733881e+09
2.992440e+00 4.106070e+09 4.649670e+09
3.031689e+00 4.038532e+09 4.566309e+09
3.071452e+00 3.969993e+09 4.484618e+09
3.111737e+00 3.903209e+09 4.403812e+09
3.152550e+00 3.838763e+09 4.325045e+09
3.193899e+00 3.772156e+09 4.246450e+09
3.235790e+00 3.708836e+09 4.170123e+09
3.278230e+00 3.648572e+09 4.095125e+09
3.321227e+00 3.588788e+09 4.020971e+09
3.364788e+00 3.529508e+09 3.947493e+09
3.408920e+00 3.470908e+09 3.875551e+09
3.453631e+00 3.411898e+09 3.805988e+09
3.498929e+00 3.354258e+09 3.736450e+09
3.544820e+00 3.297417e+09 3.668016e+09
3.591314e+00 3.242752e+09 3.601341e+09
3.638417e+00 3.188120e+09 3.536398e+09
3.686138e+00 3.133600e+09 3.471555e+09
3.734485e+00 3.080165e+09 3.407222e+09
3.783467e+00 3.028611e+09 3.344377e+09
3.833090e+00 2.978245e+09 3.282615e+09
3.883365e+00 2.927577e+09 3.221636e+09
3.934298e+00 2.876791e+09 3.163536e+09
3.985900e+00 2.827677e+09 3.105027e+09
4.038179e+00 2.779092e+09 3.048656e+09
4.091143e+00 2.730980e+09 2.994546e+09
4.144803e+00 2.684207e+09 2.940698e+09
4.199165e+00 2.638547e+09 2.887261e+09
4.254241e+00 2.593497e+09 2.834916e+09
4.310040e+00 2.548235e+09 2.783712e+09
4.366570e+00 2.505135e+09 2.732167e+09
4.423841e+00 2.462427e+09 2.680798e+09
4.481864e+00 2.419430e+09 2.630126e+09
4.540648e+00 2.377393e+09 2.581404e+09
4.600202e+00 2.335146e+09 2.533937e+09
4.660538e+00 2.294261e+09 2.486778e+09
4.721665e+00 2.253830e+09 2.440507e+09
4.783594e+00 2.213722e+09 2.394436e+09
4.846336e+00 2.173934e+09 2.350014e+09
4.909900e+00 2.134708e+09 2.306194e+09
4.974297e+00 2.096907e+09 2.263813e+09
5.039540e+00 2.058867e+09 2.221778e+09
5.105638e+00 2.021706e+09 2.180002e+09
5.172603e+00 1.984686e+09 2.139012e+09
5.240446e+00 1.948080e+09 2.099384e+09
5.309180e+00 1.913199e+09 2.060612e+09
5.378814e+00 1.878810e+09 2.021017e+09
5.449362e+00 1.844346e+09 1.982239e+09
5.520836e+00 1.811394e+09 1.944881e+09
5.593247e+00 1.778700e+09 1.907902e+09
5.666607e+00 1.745199e+09 1.871641e+09
