# Energy(MeV) Fluence_Sferica_Median(p/cm2)
1.500000e+00 1.078989e+10
1.519674e+00 1.061254e+10
1.539606e+00 1.043692e+10
1.559799e+00 1.026399e+10
1.580257e+00 1.009323e+10
1.600984e+00 9.927592e+09
1.621982e+00 9.764012e+09
1.643256e+00 9.599503e+09
1.664809e+00 9.441967e+09
1.686644e+00 9.289105e+09
1.708766e+00 9.136536e+09
1.731178e+00 8.985185e+09
1.753884e+00 8.836540e+09
1.776888e+00 8.689832e+09
1.800193e+00 8.545284e+09
1.823805e+00 8.403373e+09
1.847725e+00 8.266444e+09
1.871960e+00 8.130134e+09
1.896512e+00 7.994397e+09
1.921387e+00 7.860757e+09
1.946588e+00 7.729370e+09
1.972119e+00 7.600012e+09
1.997985e+00 7.472299e+09
2.024190e+00 7.347948e+09
2.050740e+00 7.226932e+09
2.077637e+00 7.106941e+09
2.104887e+00 6.988905e+09
2.132495e+00 6.871184e+09
2.160464e+00 6.755976e+09
2.188801e+00 6.641472e+09
2.217509e+00 6.530260e+09
2.246593e+00 6.423786e+09
2.276059e+00 6.318174e+09
2.305912e+00 6.210402e+09
2.336156e+00 6.103988e+09
2.366797e+00 6.001184e+09
2.397840e+00 5.901882e+09
2.429290e+00 5.803719e+09
2.461152e+00 5.706660e+09
2.493432e+00 5.610171e+09
2.526136e+00 5.515799e+09
2.559268e+00 5.423771e+09
2.592835e+00 5.330761e+09
2.626843e+00 5.240707e+09
2.661296e+00 5.150936e+09
2.696202e+00 5.063188e+09
2.731565e+00 4.977152e+09
2.767392e+00 4.890928e+09
2.803689e+00 4.807764e+09
2.840462e+00 4.725923e+09
2.877717e+00 4.645386e+09
2.915461e+00 4.565884e+09
2.953700e+00 4.488007e+09
2.992440e+00 4.411176e+09
3.031689e+00 4.335451e+09
3.071452e+00 4.260041e+09
3.111737e+00 4.186819e+09
3.152550e+00 4.114712e+09
3.193899e+00 4.044361e+09
3.235790e+00 3.974789e+09
3.278230e+00 3.905311e+09
3.321227e+00 3.837297e+09
3.364788e+00 3.770539e+09
3.408920e+00 3.703359e+09
3.453631e+00 3.638600e+09
3.498929e+00 3.574326e+09
3.544820e+00 3.510964e+09
3.591314e+00 3.448909e+09
3.638417e+00 3.388090e+09
3.686138e+00 3.327616e+09
3.734485e+00 3.268988e+09
3.783467e+00 3.210257e+09
3.833090e+00 3.152848e+09
3.883365e+00 3.096571e+09
3.934298e+00 3.041596e+09
3.985900e+00 2.986986e+09
4.038179e+00 2.934081e+09
4.091143e+00 2.881078e+09
4.144803e+00 2.829690e+09
4.199165e+00 2.778663e+09
4.254241e+00 2.728729e+09
