# E(MeV) Fluence(4Pi)
5.000000e-02 1.310810e+10
5.090868e-02 1.295925e+10
5.183387e-02 1.280149e+10
5.277588e-02 1.264167e+10
5.373501e-02 1.249494e+10
5.471156e-02 1.234888e+10
5.570587e-02 1.220065e+10
5.671824e-02 1.205946e+10
5.774902e-02 1.191985e+10
5.879852e-02 1.178170e+10
5.986710e-02 1.165059e+10
6.095510e-02 1.151737e+10
6.206287e-02 1.138228e+10
6.319078e-02 1.124880e+10
6.433918e-02 1.110833e+10
6.550846e-02 1.097738e+10
6.669898e-02 1.085404e+10
6.791114e-02 1.072568e+10
6.914533e-02 1.059947e+10
7.040194e-02 1.048032e+10
7.168140e-02 1.035516e+10
7.298411e-02 1.022819e+10
7.431049e-02 1.010453e+10
7.566098e-02 9.994980e+09
7.703601e-02 9.877403e+09
7.843603e-02 9.751871e+09
7.986149e-02 9.630105e+09
8.131286e-02 9.513427e+09
8.279061e-02 9.402484e+09
8.429521e-02 9.294761e+09
8.582715e-02 9.185510e+09
8.738694e-02 9.077791e+09
8.897507e-02 8.971181e+09
9.059207e-02 8.862884e+09
9.223845e-02 8.753808e+09
9.391476e-02 8.646022e+09
9.562152e-02 8.543448e+09
9.735931e-02 8.446011e+09
9.912868e-02 8.347556e+09
1.009302e-01 8.259397e+09
1.027645e-01 8.162669e+09
1.046321e-01 8.069069e+09
1.065336e-01 7.978240e+09
1.084697e-01 7.881871e+09
1.104410e-01 7.793090e+09
1.124481e-01 7.699598e+09
1.144917e-01 7.603036e+09
1.165724e-01 7.504890e+09
1.186909e-01 7.414957e+09
1.208480e-01 7.328529e+09
1.230442e-01 7.245058e+09
1.252804e-01 7.159071e+09
1.275572e-01 7.070672e+09
1.298753e-01 6.985721e+09
1.322356e-01 6.898778e+09
1.346388e-01 6.814103e+09
1.370857e-01 6.734961e+09
1.395770e-01 6.651926e+09
1.421136e-01 6.572850e+09
1.446964e-01 6.495780e+09
1.473260e-01 6.418841e+09
1.500034e-01 6.344174e+09
1.527295e-01 6.268029e+09
1.555052e-01 6.195563e+09
1.583313e-01 6.121164e+09
1.612087e-01 6.049061e+09
1.641385e-01 5.976333e+09
1.671214e-01 5.905239e+09
1.701586e-01 5.836279e+09
1.732510e-01 5.767774e+09
1.763996e-01 5.698642e+09
1.796054e-01 5.629704e+09
1.828695e-01 5.562698e+09
1.861929e-01 5.495716e+09
1.895767e-01 5.429094e+09
1.930220e-01 5.357962e+09
1.965299e-01 5.290020e+09
2.001015e-01 5.229607e+09
2.037381e-01 5.166238e+09
2.074407e-01 5.104108e+09
2.112107e-01 5.043964e+09
2.150491e-01 4.983611e+09
2.189574e-01 4.922728e+09
2.229366e-01 4.863257e+09
2.269882e-01 4.807332e+09
2.311133e-01 4.746415e+09
2.353135e-01 4.692188e+09
2.395900e-01 4.633665e+09
2.439442e-01 4.574846e+09
2.483775e-01 4.517697e+09
2.528914e-01 4.462228e+09
2.574874e-01 4.404799e+09
2.621669e-01 4.352496e+09
2.669314e-01 4.299177e+09
2.717825e-01 4.248036e+09
2.767217e-01 4.194067e+09
2.817507e-01 4.141512e+09
2.868712e-01 4.091490e+09
2.920846e-01 4.040652e+09
2.973929e-01 3.986124e+09
3.027976e-01 3.934003e+09
3.083005e-01 3.882969e+09
3.139034e-01 3.833202e+09
3.196081e-01 3.783744e+09
3.254166e-01 3.733303e+09
3.313306e-01 3.686194e+09
3.373520e-01 3.640614e+09
3.434829e-01 3.596649e+09
3.497252e-01 3.551884e+09
3.560810e-01 3.507098e+09
3.625522e-01 3.461865e+09
3.691411e-01 3.417804e+09
3.758497e-01 3.374855e+09
3.826803e-01 3.332072e+09
3.896349e-01 3.288739e+09
3.967160e-01 3.245959e+09
4.039258e-01 3.206451e+09
4.112665e-01 3.162665e+09
4.187407e-01 3.121822e+09
4.263507e-01 3.082338e+09
4.340991e-01 3.042368e+09
4.419882e-01 3.003795e+09
4.500207e-01 2.967633e+09
4.581992e-01 2.928433e+09
4.665263e-01 2.888563e+09
4.750048e-01 2.849108e+09
4.836373e-01 2.811575e+09
4.924267e-01 2.775398e+09
5.013759e-01 2.739043e+09
5.104877e-01 2.704255e+09
5.197651e-01 2.669453e+09
5.292110e-01 2.634843e+09
5.388287e-01 2.598786e+09
5.486211e-01 2.563460e+09
5.585916e-01 2.526534e+09
5.687432e-01 2.491958e+09
5.790793e-01 2.459133e+09
5.896032e-01 2.426109e+09
6.003184e-01 2.394528e+09
6.112283e-01 2.362847e+09
6.223366e-01 2.330141e+09
6.336466e-01 2.297749e+09
6.451623e-01 2.266250e+09
6.568872e-01 2.236102e+09
6.688252e-01 2.206323e+09
6.809801e-01 2.175674e+09
6.933560e-01 2.145046e+09
7.059567e-01 2.114471e+09
7.187865e-01 2.084283e+09
7.318494e-01 2.054494e+09
7.451497e-01 2.025351e+09
7.586918e-01 1.998307e+09
7.724799e-01 1.969892e+09
7.865186e-01 1.941647e+09
8.008125e-01 1.914259e+09
8.153661e-01 1.887231e+09
8.301842e-01 1.859362e+09
8.452717e-01 1.832306e+09
8.606333e-01 1.805670e+09
8.762741e-01 1.779113e+09
8.921991e-01 1.752875e+09
9.084136e-01 1.727588e+09
9.249227e-01 1.702266e+09
9.417318e-01 1.677151e+09
9.588465e-01 1.652186e+09
9.762722e-01 1.626597e+09
9.940145e-01 1.600605e+09
1.012079e+00 1.575546e+09
1.030472e+00 1.551526e+09
1.049200e+00 1.527472e+09
1.068268e+00 1.505090e+09
1.087682e+00 1.481414e+09
1.107449e+00 1.458952e+09
1.127575e+00 1.436298e+09
1.148067e+00 1.412947e+09
1.168932e+00 1.390996e+09
1.190175e+00 1.369241e+09
1.211805e+00 1.347694e+09
1.233828e+00 1.326371e+09
1.256251e+00 1.304679e+09
1.279082e+00 1.283715e+09
1.302327e+00 1.262941e+09
1.325995e+00 1.241665e+09
1.350093e+00 1.221071e+09
1.374629e+00 1.200406e+09
1.399611e+00 1.180168e+09
1.425047e+00 1.161712e+09
1.450945e+00 1.141557e+09
1.477314e+00 1.122739e+09
1.504162e+00 1.103134e+09
1.531498e+00 1.084247e+09
1.559331e+00 1.064815e+09
1.587670e+00 1.046032e+09
1.616523e+00 1.028492e+09
1.645901e+00 1.011159e+09
1.675813e+00 9.933177e+08
1.706269e+00 9.753551e+08
1.737278e+00 9.579407e+08
1.768850e+00 9.413434e+08
1.800997e+00 9.242368e+08
1.833727e+00 9.078641e+08
1.867053e+00 8.917232e+08
1.900984e+00 8.755802e+08
1.935531e+00 8.588041e+08
1.970707e+00 8.425530e+08
2.006522e+00 8.266341e+08
2.042987e+00 8.112665e+08
2.080116e+00 7.962554e+08
2.117919e+00 7.814389e+08
2.156409e+00 7.664078e+08
2.195599e+00 7.516257e+08
2.235501e+00 7.372958e+08
2.276128e+00 7.230349e+08
2.317493e+00 7.083702e+08
2.359610e+00 6.941353e+08
2.402493e+00 6.799485e+08
2.446155e+00 6.661036e+08
2.490610e+00 6.522333e+08
2.535873e+00 6.384040e+08
2.581959e+00 6.252438e+08
2.628883e+00 6.117638e+08
2.676659e+00 5.988060e+08
2.725303e+00 5.855569e+08
2.774832e+00 5.729413e+08
2.825260e+00 5.605325e+08
2.876606e+00 5.480606e+08
2.928884e+00 5.357597e+08
2.982112e+00 5.234713e+08
3.036308e+00 5.117307e+08
3.091488e+00 5.002771e+08
3.147672e+00 4.884771e+08
3.204876e+00 4.770408e+08
3.263120e+00 4.651742e+08
3.322423e+00 4.542958e+08
3.382803e+00 4.436224e+08
3.444281e+00 4.324021e+08
3.506876e+00 4.215522e+08
3.570608e+00 4.111190e+08
3.635499e+00 4.010077e+08
3.701569e+00 3.907951e+08
3.768840e+00 3.808628e+08
3.837333e+00 3.709367e+08
3.907071e+00 3.609078e+08
3.978077e+00 3.516869e+08
4.050373e+00 3.424560e+08
4.123982e+00 3.333534e+08
4.198930e+00 3.245727e+08
4.275239e+00 3.158064e+08
4.352936e+00 3.070743e+08
4.432044e+00 2.985908e+08
4.512590e+00 2.901610e+08
4.594600e+00 2.822601e+08
4.678101e+00 2.740004e+08
4.763118e+00 2.659014e+08
4.849681e+00 2.581106e+08
4.937817e+00 2.505047e+08
5.027555e+00 2.429867e+08
5.118924e+00 2.357070e+08
5.211953e+00 2.284734e+08
5.306673e+00 2.212463e+08
5.403114e+00 2.144380e+08
5.501308e+00 2.079603e+08
5.601287e+00 2.013360e+08
5.703082e+00 1.944429e+08
5.806727e+00 1.880225e+08
5.912256e+00 1.819497e+08
6.019703e+00 1.761543e+08
6.129103e+00 1.702919e+08
6.240491e+00 1.643682e+08
6.353903e+00 1.587177e+08
6.469376e+00 1.532232e+08
6.586948e+00 1.478381e+08
6.706656e+00 1.427460e+08
6.828540e+00 1.378363e+08
6.952639e+00 1.329934e+08
7.078993e+00 1.282518e+08
7.207644e+00 1.234724e+08
7.338633e+00 1.188128e+08
7.472002e+00 1.142621e+08
7.607795e+00 1.099574e+08
7.746056e+00 1.057005e+08
7.886829e+00 1.015697e+08
8.030161e+00 9.768899e+07
8.176098e+00 9.373393e+07
8.324687e+00 8.999933e+07
8.475976e+00 8.628931e+07
8.630015e+00 8.267486e+07
8.786853e+00 7.933794e+07
8.946542e+00 7.598233e+07
9.109133e+00 7.270707e+07
9.274678e+00 6.948208e+07
9.443232e+00 6.647526e+07
9.614850e+00 6.340585e+07
9.789586e+00 6.064335e+07
9.967498e+00 5.783011e+07
1.014864e+01 5.509396e+07
1.033308e+01 5.252310e+07
1.052087e+01 5.006056e+07
1.071207e+01 4.776724e+07
1.090675e+01 4.548492e+07
1.110496e+01 4.334897e+07
1.130678e+01 4.125149e+07
1.151226e+01 3.925168e+07
1.172148e+01 3.736909e+07
1.193450e+01 3.553206e+07
1.215140e+01 3.375959e+07
1.237223e+01 3.212961e+07
1.259708e+01 3.050426e+07
1.282601e+01 2.902182e+07
1.305911e+01 2.759358e+07
1.329644e+01 2.620869e+07
1.353808e+01 2.490312e+07
1.378412e+01 2.368557e+07
1.403462e+01 2.251183e+07
1.428968e+01 2.138403e+07
1.454938e+01 2.030373e+07
1.481379e+01 1.929533e+07
1.508301e+01 1.830609e+07
1.535712e+01 1.738804e+07
1.563622e+01 1.651316e+07
1.592038e+01 1.568422e+07
1.620972e+01 1.489877e+07
1.650430e+01 1.418096e+07
1.680425e+01 1.345700e+07
1.710964e+01 1.280277e+07
1.742058e+01 1.216720e+07
1.773718e+01 1.156859e+07
1.805953e+01 1.098921e+07
1.838773e+01 1.042894e+07
1.872190e+01 9.894030e+06
1.906215e+01 9.379310e+06
