# E(MeV) Lo68 Hi68
1.000000e+00 1.256637e-29 1.478468e+10
1.013939e+00 1.256637e-29 1.432688e+10
1.028073e+00 1.256637e-29 1.387379e+10
1.042404e+00 1.256637e-29 1.344832e+10
1.056935e+00 1.256637e-29 1.304881e+10
1.071668e+00 1.256637e-29 1.264875e+10
1.086606e+00 1.256637e-29 1.223619e+10
1.101753e+00 1.256637e-29 1.184744e+10
1.117111e+00 1.256637e-29 1.146585e+10
1.132683e+00 1.256637e-29 1.108957e+10
1.148472e+00 1.256637e-29 1.072857e+10
1.164481e+00 1.256637e-29 1.038961e+10
1.180713e+00 1.256637e-29 1.006122e+10
1.197171e+00 1.256637e-29 9.768910e+09
1.213859e+00 1.256637e-29 9.473173e+09
1.230780e+00 1.256637e-29 9.188809e+09
1.247936e+00 1.256637e-29 8.904045e+09
1.265332e+00 1.256637e-29 8.629981e+09
1.282970e+00 1.256637e-29 8.372402e+09
1.300854e+00 1.256637e-29 8.128846e+09
1.318987e+00 1.256637e-29 7.888190e+09
1.337373e+00 1.256637e-29 7.635415e+09
1.356015e+00 1.256637e-29 7.403704e+09
1.374917e+00 1.256637e-29 7.173830e+09
1.394083e+00 1.256637e-29 6.957585e+09
1.413516e+00 1.256637e-29 6.753919e+09
1.433219e+00 1.256637e-29 6.549761e+09
1.453198e+00 1.256637e-29 6.348280e+09
1.473454e+00 1.256637e-29 6.162301e+09
1.493993e+00 1.256637e-29 5.976506e+09
1.514819e+00 1.256637e-29 5.792494e+09
1.535935e+00 1.256637e-29 5.617264e+09
1.557345e+00 1.256637e-29 5.441648e+09
1.579053e+00 1.256637e-29 5.276791e+09
1.601064e+00 1.256637e-29 5.119199e+09
1.623382e+00 1.256637e-29 4.963477e+09
1.646012e+00 1.256637e-29 4.811439e+09
1.668956e+00 1.256637e-29 4.666301e+09
1.692220e+00 1.256637e-29 4.522225e+09
1.715809e+00 1.256637e-29 4.383869e+09
1.739726e+00 1.256637e-29 4.250309e+09
1.763977e+00 1.256637e-29 4.122880e+09
1.788566e+00 1.256637e-29 3.994715e+09
1.813498e+00 1.256637e-29 3.873934e+09
1.838777e+00 1.256637e-29 3.752845e+09
1.864409e+00 1.256637e-29 3.639533e+09
1.890397e+00 1.256637e-29 3.528445e+09
1.916748e+00 1.256637e-29 3.423357e+09
1.943467e+00 1.256637e-29 3.315206e+09
1.970558e+00 1.256637e-29 3.212495e+09
1.998026e+00 1.256637e-29 3.113343e+09
2.025878e+00 1.256637e-29 3.015813e+09
2.054117e+00 1.256637e-29 2.923535e+09
2.082751e+00 1.256637e-29 2.832899e+09
2.111783e+00 1.256637e-29 2.745125e+09
2.141220e+00 1.256637e-29 2.660387e+09
2.171068e+00 1.256637e-29 2.576112e+09
2.201331e+00 1.256637e-29 2.495817e+09
2.232016e+00 1.256637e-29 2.417717e+09
2.263130e+00 1.256637e-29 2.343395e+09
2.294676e+00 1.256637e-29 2.271122e+09
2.326663e+00 1.256637e-29 2.196914e+09
