# E(MeV) Fluence(p/cm2/MeV)
1.000000e+00 1.227146e+10
1.013939e+00 1.193560e+10
1.028073e+00 1.161121e+10
1.042404e+00 1.129201e+10
1.056935e+00 1.096279e+10
1.071668e+00 1.065105e+10
1.086606e+00 1.033055e+10
1.101753e+00 1.002678e+10
1.117111e+00 9.732907e+09
1.132683e+00 9.421435e+09
1.148472e+00 9.127784e+09
1.164481e+00 8.854185e+09
1.180713e+00 8.575235e+09
1.197171e+00 8.313528e+09
1.213859e+00 8.065343e+09
1.230780e+00 7.831842e+09
1.247936e+00 7.596060e+09
1.265332e+00 7.363390e+09
1.282970e+00 7.142598e+09
1.300854e+00 6.933639e+09
1.318987e+00 6.722898e+09
1.337373e+00 6.521232e+09
1.356015e+00 6.332807e+09
1.374917e+00 6.148081e+09
1.394083e+00 5.970061e+09
1.413516e+00 5.783839e+09
1.433219e+00 5.618716e+09
1.453198e+00 5.446503e+09
1.473454e+00 5.288121e+09
1.493993e+00 5.126035e+09
1.514819e+00 4.967892e+09
1.535935e+00 4.809096e+09
1.557345e+00 4.661572e+09
1.579053e+00 4.523441e+09
1.601064e+00 4.377394e+09
1.623382e+00 4.238889e+09
1.646012e+00 4.106208e+09
1.668956e+00 3.973283e+09
1.692220e+00 3.846952e+09
1.715809e+00 3.719708e+09
1.739726e+00 3.606032e+09
1.763977e+00 3.486344e+09
1.788566e+00 3.367468e+09
1.813498e+00 3.257924e+09
1.838777e+00 3.150698e+09
1.864409e+00 3.049173e+09
1.890397e+00 2.954042e+09
1.916748e+00 2.855780e+09
1.943467e+00 2.759436e+09
1.970558e+00 2.669824e+09
1.998026e+00 2.577571e+09
2.025878e+00 2.492368e+09
2.054117e+00 2.412748e+09
2.082751e+00 2.338356e+09
2.111783e+00 2.260329e+09
2.141220e+00 2.184152e+09
2.171068e+00 2.112222e+09
2.201331e+00 2.040889e+09
2.232016e+00 1.974528e+09
2.263130e+00 1.904707e+09
2.294676e+00 1.841187e+09
2.326663e+00 1.777490e+09
2.359095e+00 1.715437e+09
2.391980e+00 1.655507e+09
2.425323e+00 1.599747e+09
2.459130e+00 1.546190e+09
2.493409e+00 1.493333e+09
2.528166e+00 1.442228e+09
2.563407e+00 1.391051e+09
2.599140e+00 1.342338e+09
2.635371e+00 1.294147e+09
2.672106e+00 1.247812e+09
2.709354e+00 1.202459e+09
2.747121e+00 1.158335e+09
2.785414e+00 1.115922e+09
2.824241e+00 1.076729e+09
2.863610e+00 1.039839e+09
2.903527e+00 1.003498e+09
2.944000e+00 9.678318e+08
2.985038e+00 9.330595e+08
3.026648e+00 8.992754e+08
3.068838e+00 8.676358e+08
3.111616e+00 8.374035e+08
