# Energy(MeV) Fluence_Planare_Median(p/cm2)
1.500000e+00 5.879705e+07
1.519674e+00 5.720117e+07
1.539606e+00 5.566385e+07
1.559799e+00 5.418101e+07
1.580257e+00 5.274901e+07
1.600984e+00 5.136465e+07
1.621982e+00 5.002506e+07
1.643256e+00 4.872767e+07
1.664809e+00 4.747021e+07
1.686644e+00 4.625059e+07
1.708766e+00 4.506697e+07
1.731178e+00 4.391764e+07
1.753884e+00 4.280108e+07
1.776888e+00 4.171587e+07
1.800193e+00 4.066074e+07
1.823805e+00 3.963450e+07
1.847725e+00 3.863606e+07
1.871960e+00 3.766439e+07
1.896512e+00 3.671857e+07
1.921387e+00 3.579771e+07
1.946588e+00 3.490098e+07
1.972119e+00 3.402760e+07
1.997985e+00 3.317685e+07
2.024190e+00 3.234802e+07
2.050740e+00 3.154047e+07
2.077637e+00 3.075356e+07
2.104887e+00 2.998670e+07
2.132495e+00 2.923933e+07
2.160464e+00 2.851088e+07
2.188801e+00 2.780084e+07
2.217509e+00 2.710872e+07
2.246593e+00 2.643401e+07
2.276059e+00 2.577626e+07
2.305912e+00 2.513502e+07
2.336156e+00 2.450985e+07
2.366797e+00 2.390032e+07
2.397840e+00 2.330605e+07
2.429290e+00 2.272662e+07
2.461152e+00 2.216165e+07
2.493432e+00 2.161079e+07
2.526136e+00 2.107366e+07
2.559268e+00 2.054991e+07
2.592835e+00 2.003921e+07
2.626843e+00 1.954123e+07
2.661296e+00 1.905564e+07
2.696202e+00 1.858213e+07
2.731565e+00 1.812041e+07
2.767392e+00 1.767016e+07
2.803689e+00 1.723111e+07
2.840462e+00 1.680297e+07
2.877717e+00 1.638547e+07
2.915461e+00 1.597835e+07
2.953700e+00 1.558135e+07
2.992440e+00 1.519421e+07
3.031689e+00 1.481668e+07
3.071452e+00 1.444853e+07
3.111737e+00 1.408953e+07
3.152550e+00 1.373944e+07
3.193899e+00 1.339805e+07
3.235790e+00 1.306513e+07
3.278230e+00 1.274049e+07
3.321227e+00 1.242390e+07
3.364788e+00 1.211518e+07
3.408920e+00 1.181412e+07
3.453631e+00 1.152053e+07
3.498929e+00 1.123424e+07
3.544820e+00 1.095505e+07
3.591314e+00 1.068280e+07
3.638417e+00 1.041731e+07
3.686138e+00 1.015840e+07
3.734485e+00 9.905931e+06
3.783467e+00 9.659726e+06
3.833090e+00 9.419634e+06
3.883365e+00 9.185503e+06
3.934298e+00 8.957186e+06
3.985900e+00 8.734537e+06
4.038179e+00 8.517417e+06
4.091143e+00 8.305688e+06
4.144803e+00 8.099216e+06
4.199165e+00 7.897870e+06
4.254241e+00 7.701524e+06
4.310040e+00 7.510054e+06
4.366570e+00 7.323338e+06
4.423841e+00 7.141258e+06
4.481864e+00 6.963700e+06
4.540648e+00 6.790551e+06
4.600202e+00 6.621701e+06
4.660538e+00 6.457045e+06
4.721665e+00 6.296477e+06
4.783594e+00 6.139897e+06
4.846336e+00 5.987205e+06
4.909900e+00 5.838306e+06
4.974297e+00 5.693104e+06
5.039540e+00 5.551508e+06
5.105638e+00 5.413429e+06
5.172603e+00 5.278779e+06
5.240446e+00 5.147474e+06
5.309180e+00 5.019429e+06
5.378814e+00 4.894565e+06
5.449362e+00 4.772802e+06
5.520836e+00 4.654064e+06
5.593247e+00 4.538274e+06
5.666607e+00 4.425361e+06
5.740930e+00 4.315253e+06
5.816227e+00 4.207880e+06
5.892513e+00 4.103174e+06
5.969798e+00 4.001069e+06
6.048098e+00 3.901500e+06
6.127424e+00 3.804405e+06
6.207791e+00 3.709722e+06
6.289211e+00 3.617392e+06
6.371700e+00 3.527355e+06
6.455271e+00 3.439555e+06
6.539938e+00 3.353936e+06
6.625715e+00 3.270445e+06
6.712617e+00 3.189028e+06
6.800659e+00 3.109634e+06
6.889856e+00 3.032213e+06
6.980223e+00 2.956715e+06
7.071775e+00 2.883094e+06
7.164527e+00 2.811302e+06
7.258497e+00 2.741294e+06
7.353699e+00 2.673025e+06
7.450149e+00 2.606454e+06
7.547864e+00 2.541536e+06
7.646862e+00 2.478232e+06
7.747157e+00 2.416501e+06
7.848768e+00 2.356305e+06
7.951712e+00 2.297605e+06
8.056006e+00 2.240363e+06
8.161668e+00 2.184545e+06
8.268715e+00 2.130114e+06
8.377167e+00 2.077036e+06
8.487041e+00 2.025277e+06
8.598357e+00 1.974805e+06
8.711132e+00 1.925588e+06
8.825386e+00 1.877594e+06
8.941139e+00 1.830793e+06
9.058410e+00 1.785156e+06
9.177220e+00 1.740654e+06
9.297587e+00 1.697258e+06
9.419534e+00 1.654941e+06
9.543079e+00 1.613677e+06
9.668246e+00 1.573438e+06
9.795053e+00 1.534200e+06
9.923524e+00 1.495938e+06
1.005368e+01 1.458627e+06
1.018554e+01 1.422245e+06
1.031914e+01 1.386767e+06
1.045448e+01 1.352171e+06
1.059160e+01 1.318436e+06
1.073052e+01 1.285540e+06
1.087126e+01 1.253462e+06
1.101385e+01 1.222183e+06
1.115830e+01 1.191681e+06
1.130465e+01 1.161938e+06
1.145293e+01 1.132935e+06
1.160314e+01 1.104654e+06
1.175533e+01 1.077076e+06
1.190951e+01 1.050184e+06
1.206571e+01 1.023962e+06
1.222397e+01 9.983920e+05
1.238429e+01 9.734583e+05
1.254673e+01 9.491452e+05
1.271129e+01 9.254371e+05
1.287801e+01 9.023190e+05
1.304691e+01 8.797763e+05
1.321804e+01 8.577947e+05
1.339140e+01 8.363603e+05
1.356704e+01 8.154594e+05
1.374499e+01 7.950788e+05
1.392527e+01 7.752056e+05
1.410791e+01 7.558271e+05
1.429295e+01 7.369311e+05
1.448041e+01 7.185056e+05
1.467033e+01 7.005389e+05
1.486275e+01 6.830196e+05
1.505769e+01 6.659365e+05
1.525518e+01 6.492789e+05
1.545527e+01 6.330361e+05
1.565798e+01 6.171979e+05
1.586335e+01 6.017542e+05
1.607141e+01 5.866952e+05
1.628220e+01 5.720113e+05
1.649576e+01 5.576932e+05
1.671211e+01 5.437319e+05
1.693131e+01 5.301183e+05
1.715338e+01 5.168440e+05
1.737836e+01 5.039005e+05
1.760629e+01 4.912795e+05
1.783722e+01 4.789730e+05
1.807117e+01 4.669733e+05
1.830819e+01 4.552726e+05
1.854831e+01 4.438636e+05
1.879159e+01 4.327390e+05
1.903806e+01 4.218917e+05
1.928776e+01 4.113149e+05
1.954074e+01 4.010018e+05
1.979703e+01 3.909458e+05
2.005669e+01 3.811406e+05
2.031975e+01 3.715799e+05
2.058626e+01 3.622576e+05
2.085627e+01 3.531679e+05
2.112982e+01 3.443049e+05
2.140696e+01 3.356630e+05
2.168773e+01 3.272367e+05
2.197218e+01 3.190206e+05
2.226037e+01 3.110096e+05
2.255233e+01 3.031984e+05
2.284813e+01 2.955821e+05
2.314780e+01 2.881560e+05
2.345141e+01 2.809152e+05
2.375899e+01 2.738551e+05
2.407061e+01 2.669713e+05
2.438632e+01 2.602594e+05
2.470617e+01 2.537150e+05
2.503022e+01 2.473340e+05
2.535851e+01 2.411124e+05
2.569111e+01 2.350462e+05
2.602807e+01 2.291315e+05
2.636945e+01 2.233646e+05
2.671531e+01 2.177417e+05
2.706571e+01 2.122593e+05
2.742070e+01 2.069139e+05
2.778035e+01 2.017021e+05
2.814471e+01 1.966205e+05
2.851386e+01 1.916659e+05
2.888784e+01 1.868352e+05
2.926673e+01 1.821253e+05
2.965059e+01 1.775331e+05
3.003948e+01 1.730557e+05
3.043348e+01 1.686903e+05
3.083264e+01 1.644341e+05
3.123704e+01 1.602844e+05
3.164674e+01 1.562384e+05
3.206182e+01 1.522937e+05
3.248234e+01 1.484477e+05
3.290837e+01 1.446979e+05
3.334000e+01 1.410420e+05
3.377728e+01 1.374776e+05
3.422030e+01 1.340024e+05
3.466913e+01 1.306142e+05
3.512385e+01 1.273109e+05
3.558453e+01 1.240903e+05
3.605125e+01 1.209504e+05
3.652410e+01 1.178891e+05
3.700315e+01 1.149045e+05
3.748848e+01 1.119947e+05
3.798017e+01 1.091578e+05
3.847832e+01 1.063920e+05
3.898299e+01 1.036956e+05
3.949429e+01 1.010667e+05
4.001230e+01 9.850379e+04
4.053709e+01 9.600513e+04
4.106877e+01 9.356914e+04
4.160743e+01 9.119425e+04
4.215315e+01 8.887895e+04
4.270602e+01 8.662175e+04
4.326615e+01 8.442120e+04
4.383363e+01 8.227588e+04
4.440855e+01 8.018442e+04
4.499100e+01 7.814547e+04
4.558110e+01 7.615773e+04
4.617894e+01 7.421991e+04
4.678462e+01 7.233078e+04
4.739824e+01 7.048911e+04
4.801991e+01 6.869372e+04
4.864974e+01 6.694346e+04
4.928782e+01 6.523720e+04
4.993428e+01 6.357384e+04
5.058921e+01 6.195232e+04
5.125274e+01 6.037158e+04
5.192496e+01 5.883060e+04
5.260600e+01 5.732840e+04
5.329598e+01 5.586401e+04
5.399501e+01 5.443648e+04
5.470320e+01 5.304489e+04
5.542068e+01 5.168835e+04
5.614757e+01 5.036597e+04
5.688400e+01 4.907691e+04
5.763009e+01 4.782033e+04
5.838596e+01 4.659542e+04
5.915174e+01 4.540139e+04
5.992757e+01 4.423747e+04
6.071358e+01 4.310290e+04
6.150989e+01 4.199695e+04
6.231665e+01 4.091891e+04
6.313399e+01 3.986807e+04
6.396205e+01 3.884376e+04
6.480097e+01 3.784531e+04
6.565089e+01 3.687208e+04
6.651196e+01 3.592344e+04
6.738433e+01 3.499876e+04
6.826813e+01 3.409746e+04
6.916353e+01 3.321894e+04
7.007068e+01 3.236264e+04
7.098972e+01 3.152799e+04
7.192081e+01 3.071446e+04
7.286412e+01 2.992152e+04
7.381980e+01 2.914866e+04
7.478801e+01 2.839536e+04
7.576892e+01 2.766114e+04
7.676270e+01 2.694553e+04
7.776952e+01 2.624805e+04
7.878953e+01 2.556825e+04
7.982293e+01 2.490569e+04
8.086988e+01 2.425994e+04
8.193056e+01 2.363057e+04
8.300516e+01 2.301717e+04
8.409384e+01 2.241935e+04
8.519681e+01 2.183671e+04
8.631425e+01 2.126887e+04
8.744634e+01 2.071547e+04
8.859327e+01 2.017613e+04
8.975526e+01 1.965051e+04
9.093248e+01 1.913826e+04
9.212514e+01 1.863904e+04
9.333344e+01 1.815253e+04
9.455760e+01 1.767842e+04
9.579781e+01 1.721638e+04
9.705428e+01 1.676611e+04
9.832724e+01 1.632732e+04
9.961689e+01 1.589973e+04
1.009235e+02 1.548304e+04
1.022472e+02 1.507699e+04
1.035882e+02 1.468130e+04
1.049469e+02 1.429573e+04
1.063233e+02 1.392000e+04
1.077179e+02 1.355388e+04
1.091307e+02 1.319712e+04
1.105620e+02 1.284949e+04
1.120122e+02 1.251076e+04
1.134813e+02 1.218070e+04
1.149697e+02 1.185910e+04
1.164777e+02 1.154574e+04
1.180054e+02 1.124041e+04
1.195531e+02 1.094291e+04
1.211212e+02 1.065306e+04
1.227098e+02 1.037064e+04
1.243192e+02 1.009548e+04
1.259498e+02 9.827385e+03
1.276017e+02 9.566187e+03
1.292753e+02 9.311710e+03
1.309709e+02 9.063782e+03
1.326887e+02 8.822238e+03
1.344290e+02 8.586918e+03
1.361922e+02 8.357664e+03
1.379785e+02 8.134323e+03
1.397882e+02 7.916745e+03
1.416216e+02 7.704785e+03
1.434791e+02 7.498302e+03
1.453610e+02 7.297155e+03
1.472675e+02 7.101211e+03
1.491991e+02 6.910337e+03
1.511560e+02 6.724406e+03
1.531385e+02 6.543292e+03
1.551471e+02 6.366873e+03
1.571820e+02 6.195031e+03
1.592436e+02 6.027649e+03
1.613322e+02 5.864614e+03
1.634482e+02 5.705817e+03
1.655920e+02 5.551149e+03
1.677639e+02 5.400506e+03
1.699642e+02 5.253786e+03
1.721935e+02 5.110889e+03
1.744519e+02 4.971718e+03
1.767400e+02 4.836178e+03
1.790581e+02 4.704178e+03
1.814067e+02 4.575627e+03
1.837860e+02 4.450437e+03
1.861965e+02 4.328524e+03
1.886386e+02 4.209803e+03
1.911128e+02 4.094194e+03
1.936194e+02 3.981617e+03
1.961589e+02 3.871994e+03
1.987317e+02 3.765252e+03
2.013383e+02 3.661315e+03
2.039790e+02 3.560114e+03
2.066544e+02 3.461577e+03
2.093648e+02 3.365637e+03
2.121108e+02 3.272227e+03
2.148929e+02 3.181284e+03
2.177114e+02 3.092743e+03
2.205669e+02 3.006544e+03
2.234598e+02 2.922627e+03
2.263907e+02 2.840933e+03
2.293600e+02 2.761405e+03
2.323683e+02 2.683988e+03
2.354160e+02 2.608628e+03
2.385037e+02 2.535271e+03
2.416319e+02 2.463868e+03
2.448011e+02 2.394367e+03
2.480119e+02 2.326719e+03
2.512648e+02 2.260878e+03
2.545603e+02 2.196796e+03
2.578991e+02 2.134429e+03
2.612817e+02 2.073732e+03
2.647087e+02 2.014663e+03
2.681806e+02 1.957179e+03
2.716980e+02 1.901239e+03
2.752616e+02 1.846804e+03
2.788719e+02 1.793836e+03
2.825295e+02 1.742295e+03
2.862352e+02 1.692145e+03
2.899894e+02 1.643351e+03
2.937929e+02 1.595877e+03
2.976462e+02 1.549689e+03
3.015501e+02 1.504754e+03
3.055052e+02 1.461039e+03
3.095122e+02 1.418513e+03
3.135717e+02 1.377145e+03
3.176845e+02 1.336905e+03
3.218512e+02 1.297763e+03
3.260726e+02 1.259691e+03
3.303494e+02 1.222661e+03
3.346822e+02 1.186647e+03
3.390718e+02 1.151620e+03
3.435191e+02 1.117557e+03
3.480246e+02 1.084431e+03
3.525893e+02 1.052219e+03
3.572138e+02 1.020896e+03
3.618990e+02 9.904388e+02
3.666457e+02 9.608253e+02
3.714546e+02 9.320331e+02
3.763265e+02 9.040407e+02
3.812624e+02 8.768272e+02
3.862630e+02 8.503721e+02
3.913292e+02 8.246554e+02
3.964618e+02 7.996577e+02
4.016618e+02 7.753602e+02
4.069299e+02 7.517443e+02
4.122672e+02 7.287921e+02
4.176744e+02 7.064861e+02
4.231526e+02 6.848091e+02
4.287027e+02 6.637446e+02
4.343255e+02 6.432763e+02
4.400221e+02 6.233885e+02
4.457933e+02 6.040656e+02
4.516403e+02 5.852928e+02
4.575640e+02 5.670554e+02
4.635654e+02 5.493391e+02
4.696455e+02 5.321300e+02
4.758053e+02 5.154147e+02
4.820459e+02 4.991799e+02
4.883684e+02 4.834127e+02
4.947738e+02 4.681007e+02
5.012632e+02 4.532317e+02
5.078377e+02 4.387937e+02
5.144985e+02 4.247753e+02
5.212466e+02 4.111650e+02
5.280832e+02 3.979519e+02
5.350095e+02 3.851253e+02
5.420266e+02 3.726747e+02
5.491358e+02 3.605899e+02
5.563382e+02 3.488612e+02
5.636351e+02 3.374787e+02
5.710277e+02 3.264331e+02
5.785172e+02 3.157152e+02
5.861050e+02 3.053161e+02
5.937923e+02 2.952270e+02
6.015804e+02 2.854396e+02
6.094707e+02 2.759455e+02
6.174645e+02 2.667368e+02
6.255631e+02 2.578054e+02
6.337679e+02 2.491440e+02
6.420804e+02 2.407449e+02
6.505018e+02 2.326009e+02
6.590337e+02 2.247050e+02
6.676776e+02 2.170504e+02
6.764348e+02 2.096302e+02
6.853068e+02 2.024381e+02
6.942953e+02 1.954676e+02
7.034016e+02 1.887125e+02
7.126273e+02 1.821668e+02
7.219741e+02 1.758247e+02
7.314434e+02 1.696804e+02
7.410370e+02 1.637284e+02
7.507563e+02 1.579632e+02
7.606032e+02 1.523796e+02
7.705792e+02 1.469723e+02
7.806861e+02 1.417365e+02
7.909255e+02 1.366672e+02
8.012992e+02 1.317596e+02
