# Energy(MeV) Fluence_Sferica_Median(p/cm2)
1.500000e+00 2.351882e+08
1.519674e+00 2.288047e+08
1.539606e+00 2.226554e+08
1.559799e+00 2.167240e+08
1.580257e+00 2.109960e+08
1.600984e+00 2.054586e+08
1.621982e+00 2.001002e+08
1.643256e+00 1.949107e+08
1.664809e+00 1.898808e+08
1.686644e+00 1.850024e+08
1.708766e+00 1.802679e+08
1.731178e+00 1.756706e+08
1.753884e+00 1.712043e+08
1.776888e+00 1.668635e+08
1.800193e+00 1.626430e+08
1.823805e+00 1.585380e+08
1.847725e+00 1.545442e+08
1.871960e+00 1.506576e+08
1.896512e+00 1.468743e+08
1.921387e+00 1.431908e+08
1.946588e+00 1.396039e+08
1.972119e+00 1.361104e+08
1.997985e+00 1.327074e+08
2.024190e+00 1.293921e+08
2.050740e+00 1.261619e+08
2.077637e+00 1.230143e+08
2.104887e+00 1.199468e+08
2.132495e+00 1.169573e+08
2.160464e+00 1.140435e+08
2.188801e+00 1.112034e+08
2.217509e+00 1.084349e+08
2.246593e+00 1.057360e+08
2.276059e+00 1.031050e+08
2.305912e+00 1.005401e+08
2.336156e+00 9.803938e+07
2.366797e+00 9.560129e+07
2.397840e+00 9.322418e+07
2.429290e+00 9.090647e+07
2.461152e+00 8.864662e+07
2.493432e+00 8.644315e+07
2.526136e+00 8.429462e+07
2.559268e+00 8.219964e+07
2.592835e+00 8.015685e+07
2.626843e+00 7.816491e+07
2.661296e+00 7.622256e+07
2.696202e+00 7.432853e+07
2.731565e+00 7.248162e+07
2.767392e+00 7.068064e+07
2.803689e+00 6.892443e+07
2.840462e+00 6.721188e+07
2.877717e+00 6.554190e+07
2.915461e+00 6.391341e+07
2.953700e+00 6.232539e+07
2.992440e+00 6.077682e+07
3.031689e+00 5.926672e+07
3.071452e+00 5.779413e+07
3.111737e+00 5.635812e+07
3.152550e+00 5.495777e+07
3.193899e+00 5.359220e+07
3.235790e+00 5.226054e+07
3.278230e+00 5.096195e+07
3.321227e+00 4.969560e+07
3.364788e+00 4.846070e+07
3.408920e+00 4.725647e+07
3.453631e+00 4.608213e+07
3.498929e+00 4.493696e+07
3.544820e+00 4.382021e+07
3.591314e+00 4.273120e+07
3.638417e+00 4.166923e+07
3.686138e+00 4.063362e+07
3.734485e+00 3.962372e+07
3.783467e+00 3.863890e+07
3.833090e+00 3.767854e+07
3.883365e+00 3.674201e+07
3.934298e+00 3.582874e+07
3.985900e+00 3.493815e+07
4.038179e+00 3.406967e+07
4.091143e+00 3.322275e+07
4.144803e+00 3.239686e+07
4.199165e+00 3.159148e+07
4.254241e+00 3.080610e+07
4.310040e+00 3.004022e+07
4.366570e+00 2.929335e+07
4.423841e+00 2.856503e+07
4.481864e+00 2.785480e+07
4.540648e+00 2.716220e+07
4.600202e+00 2.648681e+07
4.660538e+00 2.582818e+07
4.721665e+00 2.518591e+07
4.783594e+00 2.455959e+07
4.846336e+00 2.394882e+07
4.909900e+00 2.335322e+07
4.974297e+00 2.277242e+07
5.039540e+00 2.220603e+07
5.105638e+00 2.165372e+07
5.172603e+00 2.111512e+07
5.240446e+00 2.058989e+07
5.309180e+00 2.007772e+07
5.378814e+00 1.957826e+07
5.449362e+00 1.909121e+07
5.520836e+00 1.861625e+07
5.593247e+00 1.815310e+07
5.666607e+00 1.770145e+07
5.740930e+00 1.726101e+07
5.816227e+00 1.683152e+07
5.892513e+00 1.641270e+07
5.969798e+00 1.600428e+07
6.048098e+00 1.560600e+07
6.127424e+00 1.521762e+07
6.207791e+00 1.483889e+07
6.289211e+00 1.446957e+07
6.371700e+00 1.410942e+07
6.455271e+00 1.375822e+07
6.539938e+00 1.341574e+07
6.625715e+00 1.308178e+07
6.712617e+00 1.275611e+07
6.800659e+00 1.243854e+07
6.889856e+00 1.212885e+07
6.980223e+00 1.182686e+07
7.071775e+00 1.153237e+07
7.164527e+00 1.124521e+07
7.258497e+00 1.096517e+07
7.353699e+00 1.069210e+07
7.450149e+00 1.042581e+07
7.547864e+00 1.016614e+07
7.646862e+00 9.912929e+06
7.747157e+00 9.666006e+06
7.848768e+00 9.425220e+06
7.951712e+00 9.190419e+06
8.056006e+00 8.961453e+06
8.161668e+00 8.738179e+06
8.268715e+00 8.520455e+06
8.377167e+00 8.308143e+06
8.487041e+00 8.101108e+06
8.598357e+00 7.899220e+06
8.711132e+00 7.702351e+06
8.825386e+00 7.510376e+06
8.941139e+00 7.323174e+06
9.058410e+00 7.140626e+06
9.177220e+00 6.962616e+06
9.297587e+00 6.789033e+06
9.419534e+00 6.619765e+06
9.543079e+00 6.454707e+06
9.668246e+00 6.293752e+06
9.795053e+00 6.136801e+06
9.923524e+00 5.983752e+06
1.005368e+01 5.834509e+06
1.018554e+01 5.688978e+06
1.031914e+01 5.547066e+06
1.045448e+01 5.408684e+06
1.059160e+01 5.273744e+06
1.073052e+01 5.142160e+06
1.087126e+01 5.013849e+06
1.101385e+01 4.888730e+06
1.115830e+01 4.766723e+06
1.130465e+01 4.647752e+06
1.145293e+01 4.531740e+06
1.160314e+01 4.418615e+06
1.175533e+01 4.308304e+06
1.190951e+01 4.200737e+06
1.206571e+01 4.095848e+06
1.222397e+01 3.993568e+06
1.238429e+01 3.893833e+06
1.254673e+01 3.796581e+06
1.271129e+01 3.701748e+06
1.287801e+01 3.609276e+06
1.304691e+01 3.519105e+06
1.321804e+01 3.431179e+06
1.339140e+01 3.345441e+06
1.356704e+01 3.261838e+06
1.374499e+01 3.180315e+06
1.392527e+01 3.100822e+06
1.410791e+01 3.023309e+06
1.429295e+01 2.947725e+06
1.448041e+01 2.874023e+06
1.467033e+01 2.802156e+06
1.486275e+01 2.732078e+06
1.505769e+01 2.663746e+06
1.525518e+01 2.597116e+06
1.545527e+01 2.532145e+06
1.565798e+01 2.468792e+06
1.586335e+01 2.407017e+06
1.607141e+01 2.346781e+06
1.628220e+01 2.288045e+06
1.649576e+01 2.230773e+06
1.671211e+01 2.174927e+06
1.693131e+01 2.120473e+06
1.715338e+01 2.067376e+06
1.737836e+01 2.015602e+06
1.760629e+01 1.965118e+06
1.783722e+01 1.915892e+06
1.807117e+01 1.867893e+06
1.830819e+01 1.821091e+06
1.854831e+01 1.775454e+06
1.879159e+01 1.730956e+06
1.903806e+01 1.687567e+06
1.928776e+01 1.645260e+06
1.954074e+01 1.604007e+06
1.979703e+01 1.563783e+06
2.005669e+01 1.524562e+06
2.031975e+01 1.486320e+06
2.058626e+01 1.449031e+06
2.085627e+01 1.412672e+06
2.112982e+01 1.377220e+06
2.140696e+01 1.342652e+06
2.168773e+01 1.308947e+06
2.197218e+01 1.276083e+06
2.226037e+01 1.244038e+06
2.255233e+01 1.212794e+06
