# Energy(MeV) Fluence_Planare_Median(p/cm2)
1.000000e+00 1.490146e+08
1.006939e+00 1.476115e+08
1.013925e+00 1.462176e+08
1.020961e+00 1.448368e+08
1.028045e+00 1.434690e+08
1.035178e+00 1.421141e+08
1.042361e+00 1.407719e+08
1.049593e+00 1.394422e+08
1.056876e+00 1.381251e+08
1.064209e+00 1.368203e+08
1.071593e+00 1.355278e+08
1.079029e+00 1.342509e+08
1.086516e+00 1.329878e+08
1.094055e+00 1.317364e+08
1.101646e+00 1.304967e+08
1.109290e+00 1.292686e+08
1.116987e+00 1.280520e+08
1.124737e+00 1.268468e+08
1.132541e+00 1.256528e+08
1.140400e+00 1.244700e+08
1.148312e+00 1.232983e+08
1.156280e+00 1.221375e+08
1.164303e+00 1.209879e+08
1.172382e+00 1.198572e+08
1.180517e+00 1.187377e+08
1.188708e+00 1.176285e+08
1.196956e+00 1.165275e+08
1.205261e+00 1.154274e+08
1.213624e+00 1.143376e+08
1.222045e+00 1.132580e+08
1.230524e+00 1.121821e+08
1.239062e+00 1.111165e+08
1.247660e+00 1.100608e+08
1.256317e+00 1.090152e+08
1.265034e+00 1.079794e+08
1.273811e+00 1.069534e+08
1.282650e+00 1.059370e+08
1.291550e+00 1.049303e+08
1.300511e+00 1.039331e+08
1.309535e+00 1.029461e+08
1.318621e+00 1.019698e+08
1.327771e+00 1.010028e+08
1.336984e+00 1.000449e+08
1.346261e+00 9.909600e+07
1.355602e+00 9.815603e+07
1.365008e+00 9.722492e+07
1.374479e+00 9.630258e+07
1.384016e+00 9.538892e+07
1.393619e+00 9.448387e+07
1.403289e+00 9.358797e+07
1.413026e+00 9.270147e+07
1.422830e+00 9.182331e+07
1.432703e+00 9.095339e+07
1.442644e+00 9.009166e+07
1.452654e+00 8.923803e+07
1.462733e+00 8.839242e+07
1.472883e+00 8.755476e+07
1.483103e+00 8.672498e+07
1.493393e+00 8.590300e+07
1.503755e+00 8.508875e+07
1.514189e+00 8.428215e+07
1.524696e+00 8.348314e+07
1.535275e+00 8.269164e+07
1.545928e+00 8.190758e+07
1.556654e+00 8.113089e+07
1.567455e+00 8.036151e+07
1.578331e+00 7.959936e+07
1.589283e+00 7.884438e+07
1.600310e+00 7.809650e+07
1.611414e+00 7.735565e+07
1.622595e+00 7.662177e+07
1.633854e+00 7.589479e+07
1.645191e+00 7.517465e+07
1.656606e+00 7.446128e+07
1.668101e+00 7.375462e+07
1.679675e+00 7.305461e+07
1.691330e+00 7.236118e+07
1.703065e+00 7.167349e+07
1.714882e+00 7.098917e+07
1.726781e+00 7.031153e+07
1.738762e+00 6.964123e+07
1.750827e+00 6.897727e+07
1.762975e+00 6.832316e+07
1.775208e+00 6.767550e+07
1.787526e+00 6.703393e+07
1.799929e+00 6.639837e+07
1.812418e+00 6.576878e+07
1.824993e+00 6.514509e+07
1.837656e+00 6.452726e+07
1.850407e+00 6.391522e+07
1.863246e+00 6.330577e+07
1.876175e+00 6.270074e+07
1.889193e+00 6.210005e+07
1.902301e+00 6.150495e+07
1.915501e+00 6.091597e+07
1.928792e+00 6.033417e+07
1.942175e+00 5.975786e+07
1.955651e+00 5.918701e+07
1.969220e+00 5.862251e+07
1.982884e+00 5.806525e+07
1.996642e+00 5.751335e+07
2.010496e+00 5.696510e+07
2.024447e+00 5.642102e+07
2.038493e+00 5.588064e+07
2.052638e+00 5.534538e+07
2.066880e+00 5.481520e+07
2.081222e+00 5.429005e+07
2.095662e+00 5.376987e+07
2.110203e+00 5.325408e+07
2.124845e+00 5.274314e+07
2.139589e+00 5.223781e+07
2.154435e+00 5.173989e+07
2.169384e+00 5.124667e+07
2.184436e+00 5.075610e+07
2.199593e+00 5.026873e+07
2.214855e+00 4.978633e+07
2.230223e+00 4.931600e+07
2.245698e+00 4.884937e+07
2.261280e+00 4.838338e+07
2.276970e+00 4.792144e+07
2.292769e+00 4.746222e+07
2.308678e+00 4.701086e+07
2.324697e+00 4.656100e+07
2.340827e+00 4.611334e+07
2.357069e+00 4.566994e+07
2.373424e+00 4.523075e+07
2.389893e+00 4.479624e+07
2.406475e+00 4.437117e+07
2.423173e+00 4.395015e+07
2.439986e+00 4.353618e+07
2.456916e+00 4.312387e+07
2.473964e+00 4.271411e+07
2.491130e+00 4.230818e+07
2.508415e+00 4.190606e+07
2.525820e+00 4.150771e+07
2.543346e+00 4.111308e+07
2.560993e+00 4.072097e+07
2.578763e+00 4.033014e+07
2.596656e+00 3.994260e+07
2.614673e+00 3.955874e+07
2.632815e+00 3.917852e+07
2.651084e+00 3.880289e+07
2.669478e+00 3.843161e+07
2.688001e+00 3.806468e+07
2.706652e+00 3.770179e+07
2.725433e+00 3.734231e+07
2.744343e+00 3.698619e+07
2.763385e+00 3.663343e+07
2.782559e+00 3.628397e+07
2.801867e+00 3.593780e+07
2.821308e+00 3.559488e+07
2.840884e+00 3.525517e+07
2.860596e+00 3.491866e+07
2.880444e+00 3.458472e+07
2.900430e+00 3.425360e+07
2.920556e+00 3.392560e+07
2.940820e+00 3.360069e+07
2.961225e+00 3.327885e+07
2.981772e+00 3.296004e+07
3.002462e+00 3.264533e+07
3.023295e+00 3.233385e+07
3.044272e+00 3.202529e+07
3.065395e+00 3.171962e+07
3.086665e+00 3.141682e+07
3.108082e+00 3.111685e+07
3.129648e+00 3.081970e+07
3.151363e+00 3.052533e+07
3.173230e+00 3.023372e+07
3.195248e+00 2.994484e+07
3.217418e+00 2.965867e+07
3.239743e+00 2.937528e+07
3.262222e+00 2.909588e+07
3.284857e+00 2.881908e+07
3.307650e+00 2.854487e+07
3.330600e+00 2.827278e+07
3.353710e+00 2.800293e+07
3.376980e+00 2.773373e+07
3.400412e+00 2.746619e+07
3.424006e+00 2.720117e+07
3.447764e+00 2.693753e+07
3.471687e+00 2.667791e+07
3.495776e+00 2.642109e+07
3.520031e+00 2.616598e+07
3.544456e+00 2.591327e+07
3.569049e+00 2.566297e+07
3.593814e+00 2.541645e+07
3.618750e+00 2.517305e+07
3.643859e+00 2.493193e+07
3.669142e+00 2.469308e+07
3.694601e+00 2.445646e+07
3.720237e+00 2.422059e+07
3.746050e+00 2.398693e+07
3.772042e+00 2.375549e+07
3.798215e+00 2.352603e+07
3.824570e+00 2.329799e+07
3.851107e+00 2.307211e+07
3.877828e+00 2.284838e+07
3.904735e+00 2.262677e+07
3.931829e+00 2.240726e+07
3.959110e+00 2.218985e+07
3.986581e+00 2.197444e+07
4.014242e+00 2.176090e+07
4.042096e+00 2.155069e+07
4.070142e+00 2.134265e+07
4.098384e+00 2.113658e+07
4.126821e+00 2.093245e+07
4.155455e+00 2.073097e+07
4.184289e+00 2.052812e+07
4.213322e+00 2.032768e+07
4.242556e+00 2.012958e+07
4.271994e+00 1.993337e+07
4.301636e+00 1.973904e+07
4.331483e+00 1.954655e+07
4.361538e+00 1.935591e+07
4.391801e+00 1.916862e+07
4.422274e+00 1.898345e+07
4.452959e+00 1.879892e+07
4.483856e+00 1.861497e+07
4.514968e+00 1.843278e+07
4.546295e+00 1.825201e+07
4.577841e+00 1.807275e+07
4.609604e+00 1.789544e+07
4.641589e+00 1.772043e+07
4.673795e+00 1.754762e+07
4.706225e+00 1.737664e+07
4.738880e+00 1.720627e+07
4.771761e+00 1.703728e+07
4.804870e+00 1.687003e+07
4.838210e+00 1.670595e+07
4.871780e+00 1.654343e+07
4.905584e+00 1.638245e+07
4.939622e+00 1.622299e+07
4.973896e+00 1.606504e+07
5.008408e+00 1.590834e+07
5.043159e+00 1.575358e+07
5.078152e+00 1.560067e+07
5.113388e+00 1.544777e+07
5.148867e+00 1.529627e+07
5.184594e+00 1.514680e+07
5.220568e+00 1.499929e+07
5.256791e+00 1.485318e+07
5.293266e+00 1.470845e+07
5.329994e+00 1.456530e+07
5.366977e+00 1.442357e+07
5.404216e+00 1.428318e+07
5.441714e+00 1.414443e+07
5.479472e+00 1.400748e+07
5.517492e+00 1.387148e+07
5.555776e+00 1.373648e+07
5.594326e+00 1.360269e+07
5.633143e+00 1.346956e+07
5.672229e+00 1.333770e+07
5.711586e+00 1.320739e+07
5.751217e+00 1.307864e+07
5.791123e+00 1.295093e+07
5.831305e+00 1.282288e+07
5.871766e+00 1.269789e+07
5.912508e+00 1.257322e+07
5.953533e+00 1.244881e+07
5.994843e+00 1.232553e+07
6.036439e+00 1.220386e+07
6.078323e+00 1.208336e+07
6.120498e+00 1.196402e+07
6.162966e+00 1.184531e+07
6.205729e+00 1.172785e+07
6.248788e+00 1.161257e+07
6.292146e+00 1.149744e+07
6.335805e+00 1.138425e+07
6.379767e+00 1.127190e+07
6.424034e+00 1.116040e+07
6.468608e+00 1.104998e+07
6.513491e+00 1.094061e+07
6.558686e+00 1.083185e+07
6.604194e+00 1.072382e+07
6.650018e+00 1.061683e+07
6.696160e+00 1.051116e+07
6.742622e+00 1.040753e+07
6.789407e+00 1.030489e+07
6.836516e+00 1.020331e+07
6.883952e+00 1.010300e+07
6.931717e+00 1.000320e+07
6.979814e+00 9.904268e+06
7.028244e+00 9.805489e+06
7.077011e+00 9.707203e+06
7.126115e+00 9.609750e+06
7.175561e+00 9.513375e+06
7.225349e+00 9.418758e+06
7.275484e+00 9.325601e+06
7.325965e+00 9.233332e+06
7.376798e+00 9.142338e+06
7.427982e+00 9.052213e+06
7.479523e+00 8.962943e+06
7.531420e+00 8.874488e+06
7.583678e+00 8.786294e+06
7.636298e+00 8.698067e+06
7.689284e+00 8.610695e+06
7.742637e+00 8.524811e+06
7.796360e+00 8.440380e+06
7.850456e+00 8.356753e+06
7.904928e+00 8.273880e+06
7.959777e+00 8.190676e+06
8.015007e+00 8.108758e+06
8.070620e+00 8.028168e+06
8.126619e+00 7.949035e+06
8.183007e+00 7.870623e+06
8.239786e+00 7.792754e+06
8.296959e+00 7.715079e+06
8.354528e+00 7.637455e+06
8.412497e+00 7.560583e+06
8.470868e+00 7.484874e+06
8.529644e+00 7.410484e+06
8.588829e+00 7.336893e+06
8.648423e+00 7.264188e+06
8.708431e+00 7.191213e+06
8.768856e+00 7.119264e+06
8.829700e+00 7.048139e+06
8.890966e+00 6.976809e+06
8.952657e+00 6.906733e+06
9.014776e+00 6.837331e+06
9.077327e+00 6.768599e+06
9.140311e+00 6.700529e+06
9.203732e+00 6.632860e+06
9.267593e+00 6.565756e+06
9.331898e+00 6.499318e+06
9.396648e+00 6.433918e+06
9.461848e+00 6.368304e+06
9.527500e+00 6.303348e+06
9.593608e+00 6.238733e+06
9.660175e+00 6.175116e+06
9.727203e+00 6.112686e+06
9.794697e+00 6.051554e+06
9.862658e+00 5.989941e+06
9.931092e+00 5.928583e+06
1.000000e+01 5.868624e+06
1.006939e+01 5.809629e+06
1.013925e+01 5.751115e+06
1.020961e+01 5.692617e+06
1.028045e+01 5.634647e+06
1.035178e+01 5.577148e+06
1.042361e+01 5.520066e+06
1.049593e+01 5.463863e+06
1.056876e+01 5.408709e+06
1.064209e+01 5.353709e+06
1.071593e+01 5.299112e+06
1.079029e+01 5.244919e+06
1.086516e+01 5.191063e+06
1.094055e+01 5.138626e+06
1.101646e+01 5.086418e+06
1.109290e+01 5.034974e+06
1.116987e+01 4.983283e+06
1.124737e+01 4.932070e+06
1.132541e+01 4.881653e+06
1.140400e+01 4.831736e+06
1.148312e+01 4.783179e+06
1.156280e+01 4.735059e+06
1.164303e+01 4.687154e+06
1.172382e+01 4.638518e+06
1.180517e+01 4.591034e+06
1.188708e+01 4.543407e+06
1.196956e+01 4.497160e+06
1.205261e+01 4.451362e+06
1.213624e+01 4.405463e+06
1.222045e+01 4.359619e+06
1.230524e+01 4.314269e+06
1.239062e+01 4.269805e+06
1.247660e+01 4.225896e+06
1.256317e+01 4.182271e+06
1.265034e+01 4.139061e+06
1.273811e+01 4.096513e+06
1.282650e+01 4.054262e+06
1.291550e+01 4.012189e+06
1.300511e+01 3.970215e+06
1.309535e+01 3.929174e+06
1.318621e+01 3.888433e+06
1.327771e+01 3.848323e+06
1.336984e+01 3.808358e+06
1.346261e+01 3.768878e+06
1.355602e+01 3.730262e+06
1.365008e+01 3.691588e+06
1.374479e+01 3.652828e+06
1.384016e+01 3.614231e+06
1.393619e+01 3.576630e+06
1.403289e+01 3.538967e+06
1.413026e+01 3.501896e+06
1.422830e+01 3.465403e+06
1.432703e+01 3.429352e+06
1.442644e+01 3.393231e+06
1.452654e+01 3.357127e+06
1.462733e+01 3.322025e+06
1.472883e+01 3.286836e+06
1.483103e+01 3.252120e+06
1.493393e+01 3.218041e+06
1.503755e+01 3.184543e+06
1.514189e+01 3.151005e+06
1.524696e+01 3.117466e+06
1.535275e+01 3.084532e+06
1.545928e+01 3.051768e+06
1.556654e+01 3.019619e+06
1.567455e+01 2.987884e+06
1.578331e+01 2.956283e+06
