# Energy(MeV) Fluence_Sferica_Median(p/cm2)
1.000000e+00 5.960583e+08
1.006939e+00 5.904459e+08
1.013925e+00 5.848705e+08
1.020961e+00 5.793474e+08
1.028045e+00 5.738762e+08
1.035178e+00 5.684564e+08
1.042361e+00 5.630875e+08
1.049593e+00 5.577689e+08
1.056876e+00 5.525004e+08
1.064209e+00 5.472813e+08
1.071593e+00 5.421112e+08
1.079029e+00 5.370038e+08
1.086516e+00 5.319510e+08
1.094055e+00 5.269455e+08
1.101646e+00 5.219868e+08
1.109290e+00 5.170745e+08
1.116987e+00 5.122080e+08
1.124737e+00 5.073871e+08
1.132541e+00 5.026112e+08
1.140400e+00 4.978800e+08
1.148312e+00 4.931931e+08
1.156280e+00 4.885499e+08
1.164303e+00 4.839517e+08
1.172382e+00 4.794287e+08
1.180517e+00 4.749507e+08
1.188708e+00 4.705141e+08
1.196956e+00 4.661098e+08
1.205261e+00 4.617095e+08
1.213624e+00 4.573504e+08
1.222045e+00 4.530319e+08
1.230524e+00 4.487286e+08
1.239062e+00 4.444658e+08
1.247660e+00 4.402433e+08
1.256317e+00 4.360607e+08
1.265034e+00 4.319175e+08
1.273811e+00 4.278135e+08
1.282650e+00 4.237482e+08
1.291550e+00 4.197213e+08
1.300511e+00 4.157324e+08
1.309535e+00 4.117843e+08
1.318621e+00 4.078794e+08
1.327771e+00 4.040113e+08
1.336984e+00 4.001796e+08
1.346261e+00 3.963840e+08
1.355602e+00 3.926241e+08
1.365008e+00 3.888997e+08
1.374479e+00 3.852103e+08
1.384016e+00 3.815557e+08
1.393619e+00 3.779355e+08
1.403289e+00 3.743519e+08
1.413026e+00 3.708059e+08
1.422830e+00 3.672932e+08
1.432703e+00 3.638136e+08
1.442644e+00 3.603666e+08
1.452654e+00 3.569521e+08
1.462733e+00 3.535697e+08
1.472883e+00 3.502191e+08
1.483103e+00 3.468999e+08
1.493393e+00 3.436120e+08
1.503755e+00 3.403550e+08
1.514189e+00 3.371286e+08
1.524696e+00 3.339326e+08
1.535275e+00 3.307665e+08
1.545928e+00 3.276303e+08
1.556654e+00 3.245236e+08
1.567455e+00 3.214460e+08
1.578331e+00 3.183975e+08
1.589283e+00 3.153775e+08
1.600310e+00 3.123860e+08
1.611414e+00 3.094226e+08
1.622595e+00 3.064871e+08
1.633854e+00 3.035792e+08
1.645191e+00 3.006986e+08
