Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.7216e+04
1.5000e-03	0.0000e+00	1.7220e+04
2.0000e-03	0.0000e+00	1.7223e+04
2.5000e-03	0.0000e+00	1.7225e+04
3.0000e-03	0.0000e+00	1.7227e+04
3.5000e-03	0.0000e+00	1.7228e+04
4.0000e-03	0.0000e+00	1.7229e+04
4.5000e-03	0.0000e+00	1.7230e+04
5.0000e-03	0.0000e+00	1.7231e+04
5.5000e-03	0.0000e+00	1.7232e+04
6.0000e-03	0.0000e+00	1.7233e+04
6.5000e-03	0.0000e+00	1.7234e+04
7.0000e-03	0.0000e+00	1.7235e+04
7.5000e-03	0.0000e+00	1.7235e+04
8.0000e-03	0.0000e+00	1.7236e+04
8.5000e-03	0.0000e+00	1.7236e+04
9.0000e-03	0.0000e+00	1.7237e+04
9.5000e-03	0.0000e+00	1.7237e+04
1.0000e-02	0.0000e+00	1.7238e+04
1.5000e-02	0.0000e+00	1.7242e+04
2.0000e-02	0.0000e+00	1.7244e+04
2.5000e-02	0.0000e+00	1.7247e+04
3.0000e-02	0.0000e+00	1.7248e+04
3.5000e-02	0.0000e+00	1.7251e+04
4.0000e-02	0.0000e+00	1.7257e+04
4.5000e-02	0.0000e+00	1.7262e+04
5.0000e-02	0.0000e+00	1.7267e+04
5.5000e-02	0.0000e+00	1.7272e+04
6.0000e-02	0.0000e+00	1.7276e+04
6.5000e-02	0.0000e+00	1.7280e+04
7.0000e-02	0.0000e+00	1.7283e+04
7.5000e-02	0.0000e+00	1.7286e+04
8.0000e-02	0.0000e+00	1.7289e+04
8.5000e-02	0.0000e+00	1.7292e+04
9.0000e-02	0.0000e+00	1.7295e+04
9.5000e-02	0.0000e+00	1.7300e+04
1.0000e-01	0.0000e+00	1.7305e+04
1.5000e-01	0.0000e+00	1.7345e+04
2.0000e-01	0.0000e+00	1.7385e+04
2.5000e-01	0.0000e+00	1.7426e+04
3.0000e-01	0.0000e+00	1.7468e+04
3.5000e-01	0.0000e+00	1.7509e+04
4.0000e-01	0.0000e+00	1.7550e+04
4.5000e-01	0.0000e+00	1.7591e+04
5.0000e-01	0.0000e+00	1.7631e+04
5.5000e-01	0.0000e+00	1.7671e+04
6.0000e-01	0.0000e+00	1.7711e+04
6.5000e-01	0.0000e+00	1.7749e+04
7.0000e-01	0.0000e+00	1.7787e+04
7.5000e-01	0.0000e+00	1.7826e+04
8.0000e-01	0.0000e+00	1.7866e+04
8.5000e-01	0.0000e+00	1.7907e+04
9.0000e-01	0.0000e+00	1.7947e+04
9.5000e-01	0.0000e+00	1.7988e+04
1.0000e+00	1.7879e+08	1.8029e+04
1.0069e+00	1.7701e+08	1.8035e+04
1.0139e+00	1.7525e+08	1.8040e+04
1.0210e+00	1.7351e+08	1.8046e+04
1.0280e+00	1.7178e+08	1.8052e+04
1.0352e+00	1.7007e+08	1.8058e+04
1.0424e+00	1.6838e+08	1.8064e+04
1.0496e+00	1.6670e+08	1.8070e+04
1.0569e+00	1.6504e+08	1.8076e+04
1.0642e+00	1.6339e+08	1.8082e+04
1.0716e+00	1.6176e+08	1.8088e+04
1.0790e+00	1.6015e+08	1.8094e+04
1.0865e+00	1.5855e+08	1.8100e+04
1.0941e+00	1.5698e+08	1.8106e+04
1.1016e+00	1.5542e+08	1.8112e+04
1.1093e+00	1.5387e+08	1.8119e+04
1.1170e+00	1.5235e+08	1.8125e+04
1.1247e+00	1.5083e+08	1.8131e+04
