Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.6614e+04
1.5000e-03	0.0000e+00	1.6618e+04
2.0000e-03	0.0000e+00	1.6620e+04
2.5000e-03	0.0000e+00	1.6622e+04
3.0000e-03	0.0000e+00	1.6624e+04
3.5000e-03	0.0000e+00	1.6625e+04
4.0000e-03	0.0000e+00	1.6626e+04
4.5000e-03	0.0000e+00	1.6628e+04
5.0000e-03	0.0000e+00	1.6628e+04
5.5000e-03	0.0000e+00	1.6629e+04
6.0000e-03	0.0000e+00	1.6630e+04
6.5000e-03	0.0000e+00	1.6631e+04
7.0000e-03	0.0000e+00	1.6632e+04
7.5000e-03	0.0000e+00	1.6632e+04
8.0000e-03	0.0000e+00	1.6633e+04
8.5000e-03	0.0000e+00	1.6633e+04
9.0000e-03	0.0000e+00	1.6634e+04
9.5000e-03	0.0000e+00	1.6634e+04
1.0000e-02	0.0000e+00	1.6635e+04
1.5000e-02	0.0000e+00	1.6638e+04
2.0000e-02	0.0000e+00	1.6641e+04
2.5000e-02	0.0000e+00	1.6643e+04
3.0000e-02	0.0000e+00	1.6645e+04
3.5000e-02	0.0000e+00	1.6647e+04
4.0000e-02	0.0000e+00	1.6653e+04
4.5000e-02	0.0000e+00	1.6658e+04
5.0000e-02	0.0000e+00	1.6663e+04
5.5000e-02	0.0000e+00	1.6667e+04
6.0000e-02	0.0000e+00	1.6671e+04
6.5000e-02	0.0000e+00	1.6675e+04
7.0000e-02	0.0000e+00	1.6678e+04
7.5000e-02	0.0000e+00	1.6681e+04
8.0000e-02	0.0000e+00	1.6684e+04
8.5000e-02	0.0000e+00	1.6687e+04
9.0000e-02	0.0000e+00	1.6690e+04
9.5000e-02	0.0000e+00	1.6695e+04
1.0000e-01	0.0000e+00	1.6699e+04
1.5000e-01	0.0000e+00	1.6738e+04
2.0000e-01	0.0000e+00	1.6776e+04
2.5000e-01	0.0000e+00	1.6816e+04
3.0000e-01	0.0000e+00	1.6856e+04
3.5000e-01	0.0000e+00	1.6895e+04
4.0000e-01	0.0000e+00	1.6935e+04
4.5000e-01	0.0000e+00	1.6974e+04
5.0000e-01	0.0000e+00	1.7013e+04
5.5000e-01	0.0000e+00	1.7051e+04
