# Energy(MeV) Phi16_Planare Phi84_Planare
1.000000e+00 1.237928e+08 1.787878e+08
1.006939e+00 1.226801e+08 1.770118e+08
1.013925e+00 1.215773e+08 1.752517e+08
1.020961e+00 1.204844e+08 1.735081e+08
1.028045e+00 1.194012e+08 1.717817e+08
1.035178e+00 1.183277e+08 1.700725e+08
1.042361e+00 1.172637e+08 1.683783e+08
1.049593e+00 1.162093e+08 1.666996e+08
1.056876e+00 1.151643e+08 1.650376e+08
1.064209e+00 1.141286e+08 1.633921e+08
1.071593e+00 1.131021e+08 1.617629e+08
1.079029e+00 1.120848e+08 1.601499e+08
1.086516e+00 1.110765e+08 1.585529e+08
1.094055e+00 1.100774e+08 1.569750e+08
1.101646e+00 1.090889e+08 1.554165e+08
1.109290e+00 1.081091e+08 1.538735e+08
1.116987e+00 1.071381e+08 1.523457e+08
1.124737e+00 1.061757e+08 1.508330e+08
1.132541e+00 1.052219e+08 1.493352e+08
1.140400e+00 1.042766e+08 1.478522e+08
1.148312e+00 1.033398e+08 1.463839e+08
1.156280e+00 1.024112e+08 1.449279e+08
1.164303e+00 1.014909e+08 1.434860e+08
1.172382e+00 1.005830e+08 1.420665e+08
1.180517e+00 9.968364e+07 1.406576e+08
1.188708e+00 9.879225e+07 1.392612e+08
1.196956e+00 9.790874e+07 1.378761e+08
1.205261e+00 9.703306e+07 1.364999e+08
1.213624e+00 9.616349e+07 1.351396e+08
1.222045e+00 9.529888e+07 1.337979e+08
1.230524e+00 9.444198e+07 1.324695e+08
1.239062e+00 9.359271e+07 1.311542e+08
1.247660e+00 9.275102e+07 1.298520e+08
1.256317e+00 9.191682e+07 1.285625e+08
1.265034e+00 9.109006e+07 1.272858e+08
1.273811e+00 9.027067e+07 1.260203e+08
1.282650e+00 8.945858e+07 1.247616e+08
1.291550e+00 8.865373e+07 1.235261e+08
1.300511e+00 8.785606e+07 1.223028e+08
1.309535e+00 8.706549e+07 1.210888e+08
1.318621e+00 8.627626e+07 1.198862e+08
1.327771e+00 8.549409e+07 1.186953e+08
1.336984e+00 8.471895e+07 1.175160e+08
1.346261e+00 8.395078e+07 1.163485e+08
1.355602e+00 8.318952e+07 1.151924e+08
1.365008e+00 8.243510e+07 1.140478e+08
1.374479e+00 8.168746e+07 1.129145e+08
1.384016e+00 8.094655e+07 1.117924e+08
1.393619e+00 8.021550e+07 1.106814e+08
1.403289e+00 7.949167e+07 1.095814e+08
1.413026e+00 7.877568e+07 1.084922e+08
1.422830e+00 7.806889e+07 1.074138e+08
1.432703e+00 7.736947e+07 1.063452e+08
1.442644e+00 7.667624e+07 1.052815e+08
1.452654e+00 7.598916e+07 1.042282e+08
1.462733e+00 7.530816e+07 1.031850e+08
1.472883e+00 7.463320e+07 1.021508e+08
1.483103e+00 7.396422e+07 1.011269e+08
1.493393e+00 7.330117e+07 1.001132e+08
1.503755e+00 7.264399e+07 9.910966e+07
1.514189e+00 7.199264e+07 9.811608e+07
1.524696e+00 7.134706e+07 9.713136e+07
1.535275e+00 7.070629e+07 9.615511e+07
1.545928e+00 7.006863e+07 9.518861e+07
1.556654e+00 6.943666e+07 9.423177e+07
1.567455e+00 6.881032e+07 9.328449e+07
1.578331e+00 6.818957e+07 9.234978e+07
1.589283e+00 6.757436e+07 9.142760e+07
1.600310e+00 6.696463e+07 9.051457e+07
1.611414e+00 6.636034e+07 8.961060e+07
1.622595e+00 6.576144e+07 8.871409e+07
1.633854e+00 6.516789e+07 8.782618e+07
1.645191e+00 6.457963e+07 8.695329e+07
1.656606e+00 6.399662e+07 8.608638e+07
1.668101e+00 6.341880e+07 8.522114e+07
1.679675e+00 6.284615e+07 8.436030e+07
1.691330e+00 6.227860e+07 8.351205e+07
1.703065e+00 6.171612e+07 8.267500e+07
1.714882e+00 6.115865e+07 8.184629e+07
1.726781e+00 6.060616e+07 8.103065e+07
1.738762e+00 6.005859e+07 8.022309e+07
1.750827e+00 5.951592e+07 7.942668e+07
1.762975e+00 5.897808e+07 7.863895e+07
1.775208e+00 5.844505e+07 7.785898e+07
1.787526e+00 5.791677e+07 7.708668e+07
1.799929e+00 5.739331e+07 7.631810e+07
1.812418e+00 5.687484e+07 7.555659e+07
1.824993e+00 5.636099e+07 7.480256e+07
1.837656e+00 5.585173e+07 7.405711e+07
1.850407e+00 5.534244e+07 7.332136e+07
1.863246e+00 5.483748e+07 7.258802e+07
1.876175e+00 5.433708e+07 7.186063e+07
1.889193e+00 5.384118e+07 7.114048e+07
1.902301e+00 5.334977e+07 7.042949e+07
1.915501e+00 5.286278e+07 6.972692e+07
1.928792e+00 5.238018e+07 6.903206e+07
1.942175e+00 5.190194e+07 6.834401e+07
1.955651e+00 5.143166e+07 6.766186e+07
1.969220e+00 5.096653e+07 6.698646e+07
1.982884e+00 5.050553e+07 6.631893e+07
1.996642e+00 5.004869e+07 6.566288e+07
2.010496e+00 4.959729e+07 6.501327e+07
2.024447e+00 4.914989e+07 6.437002e+07
2.038493e+00 4.870646e+07 6.372890e+07
2.052638e+00 4.826697e+07 6.309206e+07
