# Energy(MeV) Phi16_Sferica Phi84_Sferica
1.000000e+00 4.951711e+08 7.151510e+08
1.006939e+00 4.907203e+08 7.080470e+08
1.013925e+00 4.863092e+08 7.010070e+08
1.020961e+00 4.819375e+08 6.940324e+08
1.028045e+00 4.776048e+08 6.871269e+08
1.035178e+00 4.733107e+08 6.802899e+08
1.042361e+00 4.690550e+08 6.735132e+08
1.049593e+00 4.648372e+08 6.667985e+08
1.056876e+00 4.606571e+08 6.601503e+08
1.064209e+00 4.565142e+08 6.535683e+08
1.071593e+00 4.524084e+08 6.470515e+08
1.079029e+00 4.483391e+08 6.405995e+08
1.086516e+00 4.443062e+08 6.342115e+08
1.094055e+00 4.403097e+08 6.279000e+08
1.101646e+00 4.363555e+08 6.216661e+08
1.109290e+00 4.324365e+08 6.154939e+08
1.116987e+00 4.285525e+08 6.093827e+08
1.124737e+00 4.247030e+08 6.033318e+08
1.132541e+00 4.208878e+08 5.973408e+08
1.140400e+00 4.171066e+08 5.914089e+08
1.148312e+00 4.133590e+08 5.855357e+08
1.156280e+00 4.096449e+08 5.797117e+08
1.164303e+00 4.059638e+08 5.739439e+08
1.172382e+00 4.023320e+08 5.682659e+08
1.180517e+00 3.987346e+08 5.626306e+08
1.188708e+00 3.951690e+08 5.570446e+08
1.196956e+00 3.916350e+08 5.515044e+08
1.205261e+00 3.881323e+08 5.459995e+08
1.213624e+00 3.846539e+08 5.405584e+08
1.222045e+00 3.811955e+08 5.351917e+08
1.230524e+00 3.777679e+08 5.298781e+08
1.239062e+00 3.743709e+08 5.246170e+08
1.247660e+00 3.710041e+08 5.194078e+08
1.256317e+00 3.676673e+08 5.142501e+08
1.265034e+00 3.643603e+08 5.091432e+08
1.273811e+00 3.610827e+08 5.040811e+08
1.282650e+00 3.578343e+08 4.990465e+08
1.291550e+00 3.546149e+08 4.941044e+08
1.300511e+00 3.514242e+08 4.892111e+08
1.309535e+00 3.482620e+08 4.843553e+08
1.318621e+00 3.451051e+08 4.795449e+08
1.327771e+00 3.419764e+08 4.747810e+08
1.336984e+00 3.388758e+08 4.700642e+08
1.346261e+00 3.358031e+08 4.653939e+08
1.355602e+00 3.327581e+08 4.607698e+08
1.365008e+00 3.297404e+08 4.561914e+08
1.374479e+00 3.267498e+08 4.516582e+08
1.384016e+00 3.237862e+08 4.471698e+08
1.393619e+00 3.208620e+08 4.427257e+08
1.403289e+00 3.179667e+08 4.383256e+08
1.413026e+00 3.151027e+08 4.339689e+08
1.422830e+00 3.122755e+08 4.296553e+08
1.432703e+00 3.094779e+08 4.253810e+08
1.442644e+00 3.067050e+08 4.211258e+08
1.452654e+00 3.039566e+08 4.169128e+08
1.462733e+00 3.012327e+08 4.127400e+08
1.472883e+00 2.985328e+08 4.086032e+08
1.483103e+00 2.958569e+08 4.045077e+08
1.493393e+00 2.932047e+08 4.004530e+08
1.503755e+00 2.905760e+08 3.964387e+08
1.514189e+00 2.879706e+08 3.924643e+08
1.524696e+00 2.853882e+08 3.885255e+08
1.535275e+00 2.828252e+08 3.846204e+08
1.545928e+00 2.802745e+08 3.807545e+08
1.556654e+00 2.777466e+08 3.769271e+08
1.567455e+00 2.752413e+08 3.731379e+08
1.578331e+00 2.727583e+08 3.693991e+08
1.589283e+00 2.702974e+08 3.657104e+08
1.600310e+00 2.678585e+08 3.620583e+08
1.611414e+00 2.654414e+08 3.584424e+08
1.622595e+00 2.630458e+08 3.548564e+08
1.633854e+00 2.606716e+08 3.513047e+08
1.645191e+00 2.583185e+08 3.478132e+08
1.656606e+00 2.559865e+08 3.443455e+08
1.668101e+00 2.536752e+08 3.408846e+08
1.679675e+00 2.513846e+08 3.374412e+08
1.691330e+00 2.491144e+08 3.340482e+08
1.703065e+00 2.468645e+08 3.307000e+08
1.714882e+00 2.446346e+08 3.273852e+08
1.726781e+00 2.424246e+08 3.241226e+08
1.738762e+00 2.402344e+08 3.208924e+08
1.750827e+00 2.380637e+08 3.177067e+08
1.762975e+00 2.359123e+08 3.145558e+08
1.775208e+00 2.337802e+08 3.114359e+08
1.787526e+00 2.316671e+08 3.083467e+08
1.799929e+00 2.295732e+08 3.052724e+08
1.812418e+00 2.274994e+08 3.022264e+08
1.824993e+00 2.254440e+08 2.992102e+08
