Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.8456e+04
1.5000e-03	0.0000e+00	4.8465e+04
2.0000e-03	0.0000e+00	4.8471e+04
2.5000e-03	0.0000e+00	4.8475e+04
3.0000e-03	0.0000e+00	4.8479e+04
3.5000e-03	0.0000e+00	4.8482e+04
4.0000e-03	0.0000e+00	4.8485e+04
4.5000e-03	0.0000e+00	4.8487e+04
5.0000e-03	0.0000e+00	4.8489e+04
5.5000e-03	0.0000e+00	4.8491e+04
6.0000e-03	0.0000e+00	4.8493e+04
6.5000e-03	0.0000e+00	4.8495e+04
7.0000e-03	0.0000e+00	4.8496e+04
7.5000e-03	0.0000e+00	4.8498e+04
8.0000e-03	0.0000e+00	4.8499e+04
8.5000e-03	0.0000e+00	4.8500e+04
9.0000e-03	0.0000e+00	4.8502e+04
9.5000e-03	0.0000e+00	4.8503e+04
1.0000e-02	0.0000e+00	4.8504e+04
1.5000e-02	0.0000e+00	4.8512e+04
2.0000e-02	0.0000e+00	4.8518e+04
2.5000e-02	0.0000e+00	4.8523e+04
3.0000e-02	0.0000e+00	4.8527e+04
3.5000e-02	0.0000e+00	4.8532e+04
4.0000e-02	0.0000e+00	4.8537e+04
4.5000e-02	0.0000e+00	4.8541e+04
5.0000e-02	0.0000e+00	4.8547e+04
5.5000e-02	0.0000e+00	4.8551e+04
6.0000e-02	0.0000e+00	4.8556e+04
6.5000e-02	0.0000e+00	4.8560e+04
7.0000e-02	0.0000e+00	4.8564e+04
7.5000e-02	0.0000e+00	4.8568e+04
8.0000e-02	0.0000e+00	4.8573e+04
8.5000e-02	0.0000e+00	4.8578e+04
9.0000e-02	0.0000e+00	4.8583e+04
9.5000e-02	0.0000e+00	4.8588e+04
1.0000e-01	0.0000e+00	4.8593e+04
1.5000e-01	0.0000e+00	4.8645e+04
2.0000e-01	0.0000e+00	4.8700e+04
2.5000e-01	0.0000e+00	4.8756e+04
3.0000e-01	0.0000e+00	4.8812e+04
3.5000e-01	0.0000e+00	4.8868e+04
4.0000e-01	0.0000e+00	4.8923e+04
4.5000e-01	0.0000e+00	4.8979e+04
5.0000e-01	0.0000e+00	4.9035e+04
5.5000e-01	0.0000e+00	4.9091e+04
6.0000e-01	0.0000e+00	4.9149e+04
6.5000e-01	0.0000e+00	4.9207e+04
7.0000e-01	0.0000e+00	4.9268e+04
7.5000e-01	0.0000e+00	4.9328e+04
8.0000e-01	0.0000e+00	4.9389e+04
8.5000e-01	0.0000e+00	4.9446e+04
9.0000e-01	0.0000e+00	4.9503e+04
9.5000e-01	0.0000e+00	4.9560e+04
1.0000e+00	7.1515e+08	4.9617e+04
1.0069e+00	7.0805e+08	4.9625e+04
1.0139e+00	7.0101e+08	4.9633e+04
1.0210e+00	6.9403e+08	4.9641e+04
1.0280e+00	6.8713e+08	4.9649e+04
1.0352e+00	6.8029e+08	4.9656e+04
1.0424e+00	6.7351e+08	4.9665e+04
1.0496e+00	6.6680e+08	4.9673e+04
1.0569e+00	6.6015e+08	4.9681e+04
1.0642e+00	6.5357e+08	4.9689e+04
1.0716e+00	6.4705e+08	4.9697e+04
1.0790e+00	6.4060e+08	4.9706e+04
1.0865e+00	6.3421e+08	4.9714e+04
1.0941e+00	6.2790e+08	4.9722e+04
1.1016e+00	6.2167e+08	4.9731e+04
1.1093e+00	6.1549e+08	4.9739e+04
1.1170e+00	6.0938e+08	4.9748e+04
1.1247e+00	6.0333e+08	4.9756e+04
1.1325e+00	5.9734e+08	4.9765e+04
1.1404e+00	5.9141e+08	4.9774e+04
1.1483e+00	5.8554e+08	4.9782e+04
1.1563e+00	5.7971e+08	4.9791e+04
1.1643e+00	5.7394e+08	4.9800e+04
1.1724e+00	5.6827e+08	4.9809e+04
1.1805e+00	5.6263e+08	4.9818e+04
1.1887e+00	5.5704e+08	4.9827e+04
1.1970e+00	5.5150e+08	4.9837e+04
1.2053e+00	5.4600e+08	4.9846e+04
1.2136e+00	5.4056e+08	4.9855e+04
1.2220e+00	5.3519e+08	4.9864e+04
1.2305e+00	5.2988e+08	4.9874e+04
1.2391e+00	5.2462e+08	4.9883e+04
