Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.5993e+04
1.5000e-03	0.0000e+00	4.6001e+04
2.0000e-03	0.0000e+00	4.6007e+04
2.5000e-03	0.0000e+00	4.6011e+04
3.0000e-03	0.0000e+00	4.6015e+04
3.5000e-03	0.0000e+00	4.6017e+04
4.0000e-03	0.0000e+00	4.6020e+04
4.5000e-03	0.0000e+00	4.6022e+04
5.0000e-03	0.0000e+00	4.6024e+04
5.5000e-03	0.0000e+00	4.6026e+04
6.0000e-03	0.0000e+00	4.6028e+04
6.5000e-03	0.0000e+00	4.6029e+04
7.0000e-03	0.0000e+00	4.6031e+04
7.5000e-03	0.0000e+00	4.6032e+04
8.0000e-03	0.0000e+00	4.6033e+04
8.5000e-03	0.0000e+00	4.6035e+04
9.0000e-03	0.0000e+00	4.6036e+04
9.5000e-03	0.0000e+00	4.6037e+04
1.0000e-02	0.0000e+00	4.6038e+04
1.5000e-02	0.0000e+00	4.6046e+04
2.0000e-02	0.0000e+00	4.6052e+04
2.5000e-02	0.0000e+00	4.6056e+04
3.0000e-02	0.0000e+00	4.6060e+04
3.5000e-02	0.0000e+00	4.6064e+04
4.0000e-02	0.0000e+00	4.6069e+04
4.5000e-02	0.0000e+00	4.6073e+04
5.0000e-02	0.0000e+00	4.6078e+04
5.5000e-02	0.0000e+00	4.6083e+04
6.0000e-02	0.0000e+00	4.6087e+04
6.5000e-02	0.0000e+00	4.6091e+04
7.0000e-02	0.0000e+00	4.6095e+04
7.5000e-02	0.0000e+00	4.6099e+04
8.0000e-02	0.0000e+00	4.6103e+04
8.5000e-02	0.0000e+00	4.6108e+04
9.0000e-02	0.0000e+00	4.6113e+04
9.5000e-02	0.0000e+00	4.6117e+04
1.0000e-01	0.0000e+00	4.6122e+04
1.5000e-01	0.0000e+00	4.6171e+04
2.0000e-01	0.0000e+00	4.6224e+04
2.5000e-01	0.0000e+00	4.6278e+04
3.0000e-01	0.0000e+00	4.6330e+04
3.5000e-01	0.0000e+00	4.6383e+04
4.0000e-01	0.0000e+00	4.6435e+04
4.5000e-01	0.0000e+00	4.6489e+04
5.0000e-01	0.0000e+00	4.6542e+04
5.5000e-01	0.0000e+00	4.6595e+04
6.0000e-01	0.0000e+00	4.6650e+04
6.5000e-01	0.0000e+00	4.6705e+04
7.0000e-01	0.0000e+00	4.6763e+04
7.5000e-01	0.0000e+00	4.6821e+04
8.0000e-01	0.0000e+00	4.6878e+04
8.5000e-01	0.0000e+00	4.6932e+04
9.0000e-01	0.0000e+00	4.6986e+04
9.5000e-01	0.0000e+00	4.7040e+04
1.0000e+00	5.9606e+08	4.7094e+04
1.0069e+00	5.9045e+08	4.7102e+04
1.0139e+00	5.8487e+08	4.7109e+04
1.0210e+00	5.7935e+08	4.7117e+04
1.0280e+00	5.7388e+08	4.7124e+04
1.0352e+00	5.6846e+08	4.7132e+04
1.0424e+00	5.6309e+08	4.7139e+04
1.0496e+00	5.5777e+08	4.7147e+04
1.0569e+00	5.5250e+08	4.7155e+04
1.0642e+00	5.4728e+08	4.7162e+04
1.0716e+00	5.4211e+08	4.7170e+04
1.0790e+00	5.3700e+08	4.7178e+04
1.0865e+00	5.3195e+08	4.7186e+04
1.0941e+00	5.2695e+08	4.7194e+04
1.1016e+00	5.2199e+08	4.7202e+04
1.1093e+00	5.1707e+08	4.7210e+04
1.1170e+00	5.1221e+08	4.7218e+04
1.1247e+00	5.0739e+08	4.7226e+04
1.1325e+00	5.0261e+08	4.7235e+04
1.1404e+00	4.9788e+08	4.7243e+04
1.1483e+00	4.9319e+08	4.7251e+04
1.1563e+00	4.8855e+08	4.7260e+04
1.1643e+00	4.8395e+08	4.7268e+04
1.1724e+00	4.7943e+08	4.7277e+04
1.1805e+00	4.7495e+08	4.7285e+04
1.1887e+00	4.7051e+08	4.7294e+04
1.1970e+00	4.6611e+08	4.7303e+04
1.2053e+00	4.6171e+08	4.7311e+04
1.2136e+00	4.5735e+08	4.7320e+04
1.2220e+00	4.5303e+08	4.7329e+04
1.2305e+00	4.4873e+08	4.7338e+04
1.2391e+00	4.4447e+08	4.7347e+04
1.2477e+00	4.4024e+08	4.7356e+04
1.2563e+00	4.3606e+08	4.7365e+04
1.2650e+00	4.3192e+08	4.7375e+04
1.2738e+00	4.2781e+08	4.7384e+04
1.2827e+00	4.2375e+08	4.7393e+04
1.2915e+00	4.1972e+08	4.7403e+04
1.3005e+00	4.1573e+08	4.7412e+04
1.3095e+00	4.1178e+08	4.7422e+04
1.3186e+00	4.0788e+08	4.7432e+04
1.3278e+00	4.0401e+08	4.7441e+04
1.3370e+00	4.0018e+08	4.7451e+04
1.3463e+00	3.9638e+08	4.7461e+04
1.3556e+00	3.9262e+08	4.7471e+04
1.3650e+00	3.8890e+08	4.7481e+04
1.3745e+00	3.8521e+08	4.7491e+04
1.3840e+00	3.8156e+08	4.7501e+04
1.3936e+00	3.7794e+08	4.7511e+04
1.4033e+00	3.7435e+08	4.7521e+04
1.4130e+00	3.7081e+08	4.7532e+04
1.4228e+00	3.6729e+08	4.7542e+04
1.4327e+00	3.6381e+08	4.7552e+04
1.4426e+00	3.6037e+08	4.7562e+04
1.4527e+00	3.5695e+08	4.7573e+04
1.4627e+00	3.5357e+08	4.7583e+04
1.4729e+00	3.5022e+08	4.7593e+04
1.4831e+00	3.4690e+08	4.7604e+04
1.4934e+00	3.4361e+08	4.7615e+04
1.5038e+00	3.4036e+08	4.7626e+04
1.5142e+00	3.3713e+08	4.7637e+04
1.5247e+00	3.3393e+08	4.7648e+04
1.5353e+00	3.3077e+08	4.7659e+04
1.5459e+00	3.2763e+08	4.7671e+04
1.5567e+00	3.2452e+08	4.7682e+04
1.5675e+00	3.2145e+08	4.7693e+04
1.5783e+00	3.1840e+08	4.7705e+04
1.5893e+00	3.1538e+08	4.7717e+04
1.6003e+00	3.1239e+08	4.7728e+04
1.6114e+00	3.0942e+08	4.7740e+04
1.6226e+00	3.0649e+08	4.7752e+04
1.6339e+00	3.0358e+08	4.7764e+04
1.6452e+00	3.0070e+08	4.7776e+04
1.6566e+00	2.9785e+08	4.7788e+04
1.6681e+00	2.9502e+08	4.7800e+04
1.6797e+00	2.9222e+08	4.7813e+04
1.6913e+00	2.8944e+08	4.7825e+04
1.7031e+00	2.8669e+08	4.7838e+04
1.7149e+00	2.8396e+08	4.7850e+04
1.7268e+00	2.8125e+08	4.7863e+04
1.7388e+00	2.7856e+08	4.7876e+04
1.7508e+00	2.7591e+08	4.7889e+04
1.7630e+00	2.7329e+08	4.7902e+04
1.7752e+00	2.7070e+08	4.7915e+04
1.7875e+00	2.6814e+08	4.7928e+04
1.7999e+00	2.6559e+08	4.7942e+04
1.8124e+00	2.6308e+08	4.7955e+04
1.8250e+00	2.6058e+08	4.7968e+04
1.8377e+00	2.5811e+08	4.7982e+04
1.8504e+00	2.5566e+08	4.7996e+04
1.8632e+00	2.5322e+08	4.8009e+04
1.8762e+00	2.5080e+08	4.8023e+04
1.8892e+00	2.4840e+08	4.8037e+04
1.9023e+00	2.4602e+08	4.8051e+04
1.9155e+00	2.4366e+08	4.8065e+04
1.9288e+00	2.4134e+08	4.8079e+04
1.9422e+00	2.3903e+08	4.8094e+04
1.9557e+00	2.3675e+08	4.8108e+04
1.9692e+00	2.3449e+08	4.8123e+04
