Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.4170e+07
1.5000e-03	0.0000e+00	2.4192e+07
2.0000e-03	0.0000e+00	2.4202e+07
2.5000e-03	0.0000e+00	2.4209e+07
3.0000e-03	0.0000e+00	2.4215e+07
3.5000e-03	0.0000e+00	2.4220e+07
4.0000e-03	0.0000e+00	2.4224e+07
4.5000e-03	0.0000e+00	2.4228e+07
5.0000e-03	0.0000e+00	2.4232e+07
5.5000e-03	0.0000e+00	2.4235e+07
6.0000e-03	0.0000e+00	2.4238e+07
6.5000e-03	0.0000e+00	2.4241e+07
7.0000e-03	0.0000e+00	2.4243e+07
7.5000e-03	0.0000e+00	2.4245e+07
8.0000e-03	0.0000e+00	2.4248e+07
8.5000e-03	0.0000e+00	2.4253e+07
9.0000e-03	0.0000e+00	2.4259e+07
9.5000e-03	0.0000e+00	2.4264e+07
1.0000e-02	0.0000e+00	2.4269e+07
1.5000e-02	0.0000e+00	2.4309e+07
2.0000e-02	0.0000e+00	2.4352e+07
2.5000e-02	0.0000e+00	2.4396e+07
3.0000e-02	0.0000e+00	2.4438e+07
3.5000e-02	0.0000e+00	2.4481e+07
4.0000e-02	5.8434e+11	2.4524e+07
4.0820e-02	5.6927e+11	2.4530e+07
4.1657e-02	5.5458e+11	2.4538e+07
4.2511e-02	5.4027e+11	2.4546e+07
4.3382e-02	5.2633e+11	2.4553e+07
4.4272e-02	5.1275e+11	2.4561e+07
4.5179e-02	4.9952e+11	2.4569e+07
4.6106e-02	4.8663e+11	2.4576e+07
4.7051e-02	4.7408e+11	2.4584e+07
4.8016e-02	4.6184e+11	2.4593e+07
4.9000e-02	4.4993e+11	2.4602e+07
5.0004e-02	4.3831e+11	2.4610e+07
5.1030e-02	4.2700e+11	2.4619e+07
5.2076e-02	4.1598e+11	2.4628e+07
5.3143e-02	4.0525e+11	2.4637e+07
5.4233e-02	3.9479e+11	2.4646e+07
5.5345e-02	3.8460e+11	2.4656e+07
5.6479e-02	3.7467e+11	2.4666e+07
5.7637e-02	3.6500e+11	2.4676e+07
5.8819e-02	3.5557e+11	2.4686e+07
6.0025e-02	3.4639e+11	2.4696e+07
6.1255e-02	3.3745e+11	2.4707e+07
6.2511e-02	3.2874e+11	2.4718e+07
6.3793e-02	3.2025e+11	2.4729e+07
6.5100e-02	3.1198e+11	2.4740e+07
6.6435e-02	3.0392e+11	2.4751e+07
6.7797e-02	2.9607e+11	2.4763e+07
6.9187e-02	2.8843e+11	2.4775e+07
7.0605e-02	2.8098e+11	2.4788e+07
7.2053e-02	2.7372e+11	2.4800e+07
7.3530e-02	2.6665e+11	2.4812e+07
7.5038e-02	2.5976e+11	2.4826e+07
7.6576e-02	2.5305e+11	2.4839e+07
7.8146e-02	2.4651e+11	2.4853e+07
7.9748e-02	2.4014e+11	2.4866e+07
8.1383e-02	2.3394e+11	2.4880e+07
8.3051e-02	2.2789e+11	2.4895e+07
8.4754e-02	2.2200e+11	2.4909e+07
8.6491e-02	2.1626e+11	2.4924e+07
8.8265e-02	2.1067e+11	2.4940e+07
9.0074e-02	2.0523e+11	2.4955e+07
9.1921e-02	1.9992e+11	2.4971e+07
9.3805e-02	1.9475e+11	2.4987e+07
9.5728e-02	1.8972e+11	2.5004e+07
9.7691e-02	1.8481e+11	2.5021e+07
9.9694e-02	1.8003e+11	2.5038e+07
1.0174e-01	1.7538e+11	2.5056e+07
1.0382e-01	1.7084e+11	2.5074e+07
1.0595e-01	1.6642e+11	2.5092e+07
1.0812e-01	1.6211e+11	2.5111e+07
1.1034e-01	1.5792e+11	2.5130e+07
1.1260e-01	1.5383e+11	2.5149e+07
1.1491e-01	1.4985e+11	2.5170e+07
1.1727e-01	1.4597e+11	2.5190e+07
1.1967e-01	1.4219e+11	2.5211e+07
1.2212e-01	1.3851e+11	2.5232e+07
1.2463e-01	1.3493e+11	2.5253e+07
1.2718e-01	1.3143e+11	2.5276e+07
1.2979e-01	1.2803e+11	2.5298e+07
1.3245e-01	1.2471e+11	2.5321e+07
1.3517e-01	1.2148e+11	2.5345e+07
1.3794e-01	1.1833e+11	2.5368e+07
1.4077e-01	1.1527e+11	2.5393e+07
1.4365e-01	1.1228e+11	2.5418e+07
1.4660e-01	1.0937e+11	2.5443e+07
1.4960e-01	1.0653e+11	2.5469e+07
1.5267e-01	1.0377e+11	2.5496e+07
1.5580e-01	1.0108e+11	2.5523e+07
1.5899e-01	9.8457e+10	2.5550e+07
1.6225e-01	9.5903e+10	2.5578e+07
1.6558e-01	9.3415e+10	2.5607e+07
1.6897e-01	9.0991e+10	2.5637e+07
1.7244e-01	8.8629e+10	2.5666e+07
1.7597e-01	8.6328e+10	2.5697e+07
1.7958e-01	8.4086e+10	2.5728e+07
1.8326e-01	8.1903e+10	2.5760e+07
1.8702e-01	7.9775e+10	2.5792e+07
1.9085e-01	7.7703e+10	2.5825e+07
1.9477e-01	7.5684e+10	2.5859e+07
1.9876e-01	7.3716e+10	2.5894e+07
2.0283e-01	7.1800e+10	2.5929e+07
2.0699e-01	6.9933e+10	2.5965e+07
2.1124e-01	6.8114e+10	2.6001e+07
2.1557e-01	6.6342e+10	2.6039e+07
2.1999e-01	6.4616e+10	2.6077e+07
2.2450e-01	6.2934e+10	2.6116e+07
2.2910e-01	6.1296e+10	2.6156e+07
2.3379e-01	5.9700e+10	2.6196e+07
2.3859e-01	5.8145e+10	2.6238e+07
2.4348e-01	5.6630e+10	2.6280e+07
2.4847e-01	5.5154e+10	2.6323e+07
2.5356e-01	5.3717e+10	2.6367e+07
2.5876e-01	5.2316e+10	2.6412e+07
2.6407e-01	5.0952e+10	2.6458e+07
