Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.5390e+05
1.5000e-03	0.0000e+00	2.5396e+05
2.0000e-03	0.0000e+00	2.5400e+05
2.5000e-03	0.0000e+00	2.5403e+05
3.0000e-03	0.0000e+00	2.5406e+05
3.5000e-03	0.0000e+00	2.5408e+05
4.0000e-03	0.0000e+00	2.5410e+05
4.5000e-03	0.0000e+00	2.5411e+05
5.0000e-03	0.0000e+00	2.5413e+05
5.5000e-03	0.0000e+00	2.5414e+05
6.0000e-03	0.0000e+00	2.5415e+05
6.5000e-03	0.0000e+00	2.5417e+05
7.0000e-03	0.0000e+00	2.5418e+05
7.5000e-03	0.0000e+00	2.5419e+05
8.0000e-03	0.0000e+00	2.5419e+05
8.5000e-03	0.0000e+00	2.5420e+05
9.0000e-03	0.0000e+00	2.5421e+05
9.5000e-03	0.0000e+00	2.5422e+05
1.0000e-02	0.0000e+00	2.5423e+05
1.5000e-02	0.0000e+00	2.5438e+05
2.0000e-02	0.0000e+00	2.5450e+05
2.5000e-02	0.0000e+00	2.5460e+05
3.0000e-02	0.0000e+00	2.5467e+05
3.5000e-02	0.0000e+00	2.5474e+05
4.0000e-02	5.7807e+11	2.5479e+05
4.0820e-02	5.6326e+11	2.5480e+05
4.1657e-02	5.4883e+11	2.5481e+05
4.2511e-02	5.3476e+11	2.5482e+05
4.3382e-02	5.2106e+11	2.5483e+05
4.4272e-02	5.0771e+11	2.5483e+05
4.5179e-02	4.9470e+11	2.5484e+05
4.6106e-02	4.8202e+11	2.5485e+05
4.7051e-02	4.6967e+11	2.5486e+05
4.8016e-02	4.5763e+11	2.5487e+05
4.9000e-02	4.4590e+11	2.5488e+05
5.0004e-02	4.3448e+11	2.5489e+05
5.1030e-02	4.2334e+11	2.5492e+05
5.2076e-02	4.1249e+11	2.5494e+05
5.3143e-02	4.0192e+11	2.5496e+05
5.4233e-02	3.9161e+11	2.5499e+05
5.5345e-02	3.8158e+11	2.5501e+05
5.6479e-02	3.7179e+11	2.5503e+05
5.7637e-02	3.6226e+11	2.5505e+05
5.8819e-02	3.5297e+11	2.5508e+05
6.0025e-02	3.4392e+11	2.5510e+05
6.1255e-02	3.3511e+11	2.5512e+05
6.2511e-02	3.2651e+11	2.5514e+05
6.3793e-02	3.1814e+11	2.5517e+05
6.5100e-02	3.0998e+11	2.5519e+05
6.6435e-02	3.0203e+11	2.5521e+05
6.7797e-02	2.9429e+11	2.5523e+05
6.9187e-02	2.8674e+11	2.5526e+05
7.0605e-02	2.7938e+11	2.5528e+05
7.2053e-02	2.7222e+11	2.5530e+05
7.3530e-02	2.6524e+11	2.5532e+05
7.5038e-02	2.5843e+11	2.5535e+05
7.6576e-02	2.5180e+11	2.5537e+05
7.8146e-02	2.4534e+11	2.5539e+05
7.9748e-02	2.3904e+11	2.5542e+05
8.1383e-02	2.3291e+11	2.5544e+05
8.3051e-02	2.2693e+11	2.5546e+05
8.4754e-02	2.2111e+11	2.5548e+05
8.6491e-02	2.1543e+11	2.5551e+05
8.8265e-02	2.0990e+11	2.5553e+05
9.0074e-02	2.0451e+11	2.5557e+05
9.1921e-02	1.9926e+11	2.5560e+05
9.3805e-02	1.9414e+11	2.5564e+05
9.5728e-02	1.8916e+11	2.5567e+05
9.7691e-02	1.8430e+11	2.5571e+05
9.9694e-02	1.7957e+11	2.5575e+05
1.0174e-01	1.7495e+11	2.5578e+05
1.0382e-01	1.7046e+11	2.5582e+05
1.0595e-01	1.6608e+11	2.5585e+05
1.0812e-01	1.6181e+11	2.5589e+05
1.1034e-01	1.5765e+11	2.5593e+05
1.1260e-01	1.5360e+11	2.5596e+05
1.1491e-01	1.4965e+11	2.5600e+05
1.1727e-01	1.4580e+11	2.5603e+05
1.1967e-01	1.4205e+11	2.5607e+05
1.2212e-01	1.3840e+11	2.5611e+05
1.2463e-01	1.3484e+11	2.5614e+05
1.2718e-01	1.3137e+11	2.5618e+05
1.2979e-01	1.2799e+11	2.5623e+05
1.3245e-01	1.2470e+11	2.5628e+05
1.3517e-01	1.2149e+11	2.5633e+05
1.3794e-01	1.1836e+11	2.5638e+05
1.4077e-01	1.1531e+11	2.5643e+05
1.4365e-01	1.1234e+11	2.5647e+05
1.4660e-01	1.0945e+11	2.5652e+05
1.4960e-01	1.0663e+11	2.5657e+05
1.5267e-01	1.0388e+11	2.5662e+05
1.5580e-01	1.0121e+11	2.5667e+05
1.5899e-01	9.8598e+10	2.5672e+05
1.6225e-01	9.6057e+10	2.5677e+05
1.6558e-01	9.3580e+10	2.5682e+05
1.6897e-01	9.1166e+10	2.5688e+05
1.7244e-01	8.8815e+10	2.5694e+05
1.7597e-01	8.6523e+10	2.5701e+05
1.7958e-01	8.4290e+10	2.5707e+05
1.8326e-01	8.2114e+10	2.5713e+05
1.8702e-01	7.9994e+10	2.5719e+05
1.9085e-01	7.7928e+10	2.5726e+05
1.9477e-01	7.5915e+10	2.5732e+05
1.9876e-01	7.3954e+10	2.5738e+05
2.0283e-01	7.2043e+10	2.5744e+05
2.0699e-01	7.0180e+10	2.5751e+05
2.1124e-01	6.8365e+10	2.5759e+05
2.1557e-01	6.6597e+10	2.5767e+05
2.1999e-01	6.4874e+10	2.5774e+05
2.2450e-01	6.3195e+10	2.5782e+05
2.2910e-01	6.1559e+10	2.5789e+05
2.3379e-01	5.9965e+10	2.5797e+05
2.3859e-01	5.8411e+10	2.5805e+05
2.4348e-01	5.6898e+10	2.5812e+05
2.4847e-01	5.5423e+10	2.5821e+05
2.5356e-01	5.3986e+10	2.5830e+05
2.5876e-01	5.2585e+10	2.5839e+05
2.6407e-01	5.1221e+10	2.5848e+05
2.6948e-01	4.9891e+10	2.5857e+05
2.7501e-01	4.8596e+10	2.5866e+05
2.8064e-01	4.7333e+10	2.5874e+05
2.8640e-01	4.6103e+10	2.5884e+05
2.9227e-01	4.4905e+10	2.5894e+05
2.9826e-01	4.3737e+10	2.5905e+05
3.0438e-01	4.2599e+10	2.5915e+05
3.1062e-01	4.1490e+10	2.5925e+05
3.1698e-01	4.0410e+10	2.5935e+05
3.2348e-01	3.9357e+10	2.5946e+05
3.3011e-01	3.8331e+10	2.5958e+05
3.3688e-01	3.7332e+10	2.5969e+05
3.4379e-01	3.6358e+10	2.5981e+05
3.5084e-01	3.5409e+10	2.5992e+05
3.5803e-01	3.4484e+10	2.6004e+05
3.6537e-01	3.3583e+10	2.6016e+05
3.7286e-01	3.2705e+10	2.6029e+05
3.8050e-01	3.1850e+10	2.6042e+05
3.8830e-01	3.1017e+10	2.6055e+05
3.9627e-01	3.0205e+10	2.6068e+05
4.0439e-01	2.9413e+10	2.6082e+05
4.1268e-01	2.8642e+10	2.6096e+05
4.2114e-01	2.7891e+10	2.6110e+05
4.2977e-01	2.7159e+10	2.6124e+05
4.3859e-01	2.6446e+10	2.6139e+05
4.4758e-01	2.5751e+10	2.6154e+05
4.5675e-01	2.5074e+10	2.6170e+05
4.6612e-01	2.4415e+10	2.6185e+05
4.7567e-01	2.3772e+10	2.6201e+05
4.8542e-01	2.3146e+10	2.6218e+05
4.9538e-01	2.2535e+10	2.6234e+05
5.0553e-01	2.1941e+10	2.6251e+05
5.1590e-01	2.1362e+10	2.6268e+05
5.2647e-01	2.0797e+10	2.6286e+05
5.3727e-01	2.0248e+10	2.6305e+05
5.4828e-01	1.9712e+10	2.6323e+05
5.5952e-01	1.9190e+10	2.6342e+05
5.7099e-01	1.8681e+10	2.6361e+05
5.8270e-01	1.8186e+10	2.6381e+05
5.9464e-01	1.7703e+10	2.6400e+05
6.0683e-01	1.7233e+10	2.6421e+05
6.1927e-01	1.6775e+10	2.6442e+05
6.3197e-01	1.6328e+10	2.6463e+05
6.4493e-01	1.5893e+10	2.6485e+05
6.5815e-01	1.5470e+10	2.6507e+05
6.7164e-01	1.5057e+10	2.6530e+05
6.8541e-01	1.4655e+10	2.6553e+05
6.9946e-01	1.4263e+10	2.6577e+05
7.1380e-01	1.3881e+10	2.6600e+05
7.2844e-01	1.3509e+10	2.6625e+05
7.4337e-01	1.3147e+10	2.6650e+05
7.5861e-01	1.2794e+10	2.6676e+05
7.7416e-01	1.2450e+10	2.6702e+05
7.9003e-01	1.2115e+10	2.6729e+05
8.0623e-01	1.1789e+10	2.6722e+05
8.2276e-01	1.1471e+10	2.6713e+05
8.3963e-01	1.1161e+10	2.6723e+05
8.5684e-01	1.0859e+10	2.6752e+05
8.7441e-01	1.0565e+10	2.6782e+05
8.9233e-01	1.0279e+10	2.6812e+05
9.1063e-01	1.0000e+10	2.6842e+05
9.2929e-01	9.7286e+09	2.6874e+05
9.4835e-01	9.4640e+09	2.6906e+05
9.6779e-01	9.2062e+09	2.6939e+05
9.8763e-01	8.9551e+09	2.6972e+05
1.0079e+00	8.7105e+09	2.7006e+05
1.0285e+00	8.4722e+09	2.7041e+05
1.0496e+00	8.2402e+09	2.7077e+05
1.0711e+00	8.0141e+09	2.7113e+05
