Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
1.0000e-05	1.0600e+01	1.0600e+01	1.6987e-09
1.5000e-05	1.2980e+01	1.2980e+01	2.0801e-09
2.0000e-05	1.4990e+01	1.4990e+01	2.4022e-09
2.5000e-05	1.6760e+01	1.6760e+01	2.6859e-09
3.0000e-05	1.8350e+01	1.8350e+01	2.9407e-09
3.5000e-05	1.9830e+01	1.9830e+01	3.1779e-09
4.0000e-05	2.1190e+01	2.1190e+01	3.3958e-09
4.5000e-05	2.2480e+01	2.2480e+01	3.6026e-09
5.0000e-05	2.3700e+01	2.3700e+01	3.7981e-09
5.5000e-05	2.4850e+01	2.4850e+01	3.9824e-09
6.0000e-05	2.5960e+01	2.5960e+01	4.1603e-09
6.5000e-05	2.7020e+01	2.7020e+01	4.3301e-09
7.0000e-05	2.8040e+01	2.8040e+01	4.4936e-09
7.5000e-05	2.9020e+01	2.9020e+01	4.6506e-09
8.0000e-05	2.9970e+01	2.9970e+01	4.8029e-09
8.5000e-05	3.0900e+01	3.0900e+01	4.9519e-09
9.0000e-05	3.1790e+01	3.1790e+01	5.0946e-09
9.5000e-05	3.2660e+01	3.2660e+01	5.2340e-09
1.0000e-04	3.3510e+01	3.3510e+01	5.3702e-09
1.5000e-04	4.1040e+01	4.1040e+01	6.5769e-09
2.0000e-04	4.7390e+01	4.7390e+01	7.5946e-09
2.5000e-04	5.2990e+01	5.2990e+01	8.4920e-09
3.0000e-04	5.8040e+01	5.8040e+01	9.3013e-09
3.5000e-04	6.2690e+01	6.2690e+01	1.0046e-08
4.0000e-04	6.7020e+01	6.7020e+01	1.0740e-08
4.5000e-04	7.1090e+01	7.1090e+01	1.1393e-08
5.0000e-04	7.4930e+01	7.4930e+01	1.2008e-08
5.5000e-04	7.8590e+01	7.8590e+01	1.2595e-08
6.0000e-04	8.2090e+01	8.2090e+01	1.3155e-08
6.5000e-04	8.5440e+01	8.5440e+01	1.3692e-08
7.0000e-04	8.8660e+01	8.8660e+01	1.4208e-08
7.5000e-04	9.1770e+01	9.1770e+01	1.4707e-08
8.0000e-04	9.4780e+01	9.4780e+01	1.5189e-08
8.5000e-04	9.7700e+01	9.7700e+01	1.5657e-08
9.0000e-04	1.0050e+02	1.0050e+02	1.6106e-08
9.5000e-04	1.0330e+02	1.0330e+02	1.6554e-08
1.0000e-03	1.0600e+02	1.0600e+02	1.6987e-08
1.5000e-03	1.2980e+02	1.2980e+02	2.0801e-08
2.0000e-03	1.4990e+02	1.4990e+02	2.4022e-08
2.5000e-03	1.6620e+02	1.6620e+02	2.6635e-08
3.0000e-03	1.8160e+02	1.8160e+02	2.9103e-08
3.5000e-03	1.9580e+02	1.9580e+02	3.1378e-08
4.0000e-03	2.0880e+02	2.0880e+02	3.3462e-08
4.5000e-03	2.2060e+02	2.2060e+02	3.5353e-08
