Energy (MeV)    Incoming Spectral Fluence (MeV-1 cm-2)  Residual Spectral Fluence (MeV-1 cm-2)
1.0000e-03  0.0000e+00	2.3879e+05
1.5000e-03	0.0000e+00	2.3887e+05
2.0000e-03	0.0000e+00	2.3893e+05
2.5000e-03	0.0000e+00	2.3897e+05
3.0000e-03	0.0000e+00	2.3901e+05
3.5000e-03	0.0000e+00	2.3904e+05
4.0000e-03	0.0000e+00	2.3906e+05
4.5000e-03	0.0000e+00	2.3909e+05
5.0000e-03	0.0000e+00	2.3911e+05
5.5000e-03	0.0000e+00	2.3912e+05
6.0000e-03	0.0000e+00	2.3914e+05
6.5000e-03	0.0000e+00	2.3916e+05
7.0000e-03	0.0000e+00	2.3920e+05
7.5000e-03	0.0000e+00	2.3924e+05
8.0000e-03	0.0000e+00	2.3927e+05
8.5000e-03	0.0000e+00	2.3930e+05
9.0000e-03	0.0000e+00	2.3933e+05
9.5000e-03	0.0000e+00	2.3936e+05
1.0000e-02	0.0000e+00	2.3939e+05
1.5000e-02	0.0000e+00	2.3961e+05
2.0000e-02	0.0000e+00	2.3979e+05
2.5000e-02	0.0000e+00	2.4005e+05
3.0000e-02	0.0000e+00	2.4026e+05
3.5000e-02	0.0000e+00	2.4049e+05
4.0000e-02	0.0000e+00	2.4073e+05
4.5000e-02	0.0000e+00	2.4094e+05
5.0000e-02	0.0000e+00	2.4118e+05
5.5000e-02	0.0000e+00	2.4141e+05
6.0000e-02	0.0000e+00	2.4164e+05
6.5000e-02	0.0000e+00	2.4187e+05
7.0000e-02	0.0000e+00	2.4209e+05
7.5000e-02	0.0000e+00	2.4233e+05
8.0000e-02	0.0000e+00	2.4256e+05
8.5000e-02	0.0000e+00	2.4279e+05
9.0000e-02	0.0000e+00	2.4303e+05
9.5000e-02	0.0000e+00	2.4325e+05
1.0000e-01	7.7090e+09	2.4349e+05
1.0406e-01	7.3475e+09	2.4368e+05
1.0828e-01	7.0028e+09	2.4386e+05
1.1267e-01	6.6741e+09	2.4407e+05
1.1724e-01	6.3606e+09	2.4429e+05
1.2200e-01	6.0616e+09	2.4450e+05
1.2695e-01	5.7765e+09	2.4474e+05
1.3210e-01	5.5046e+09	2.4497e+05
1.3746e-01	5.2453e+09	2.4522e+05
1.4304e-01	4.9981e+09	2.4548e+05
1.4884e-01	4.7623e+09	2.4575e+05
1.5488e-01	4.5374e+09	2.4603e+05
