Energy (MeV)	Incoming Spectral Fluence (MeV-1 cm-2)	Residual Spectral Fluence (MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.3220e+05
1.5000e-03	0.0000e+00	1.3225e+05
2.0000e-03	0.0000e+00	1.3228e+05
2.5000e-03	0.0000e+00	1.3231e+05
3.0000e-03	0.0000e+00	1.3233e+05
3.5000e-03	0.0000e+00	1.3234e+05
4.0000e-03	0.0000e+00	1.3236e+05
4.5000e-03	0.0000e+00	1.3237e+05
5.0000e-03	0.0000e+00	1.3238e+05
5.5000e-03	0.0000e+00	1.3239e+05
6.0000e-03	0.0000e+00	1.3240e+05
6.5000e-03	0.0000e+00	1.3241e+05
7.0000e-03	0.0000e+00	1.3242e+05
7.5000e-03	0.0000e+00	1.3243e+05
8.0000e-03	0.0000e+00	1.3244e+05
8.5000e-03	0.0000e+00	1.3244e+05
9.0000e-03	0.0000e+00	1.3245e+05
9.5000e-03	0.0000e+00	1.3245e+05
1.0000e-02	0.0000e+00	1.3246e+05
1.5000e-02	0.0000e+00	1.3251e+05
2.0000e-02	0.0000e+00	1.3259e+05
2.5000e-02	0.0000e+00	1.3270e+05
3.0000e-02	0.0000e+00	1.3279e+05
3.5000e-02	0.0000e+00	1.3286e+05
4.0000e-02	0.0000e+00	1.3297e+05
4.5000e-02	0.0000e+00	1.3307e+05
5.0000e-02	0.0000e+00	1.3316e+05
5.5000e-02	0.0000e+00	1.3325e+05
6.0000e-02	0.0000e+00	1.3335e+05
6.5000e-02	0.0000e+00	1.3345e+05
7.0000e-02	0.0000e+00	1.3354e+05
7.5000e-02	0.0000e+00	1.3364e+05
8.0000e-02	0.0000e+00	1.3374e+05
8.5000e-02	0.0000e+00	1.3383e+05
9.0000e-02	0.0000e+00	1.3392e+05
9.5000e-02	0.0000e+00	1.3402e+05
1.0000e-01	7.7090e+09	1.3412e+05
1.0406e-01	7.3475e+09	1.3419e+05
1.0828e-01	7.0028e+09	1.3428e+05
1.1267e-01	6.6741e+09	1.3436e+05
1.1724e-01	6.3606e+09	1.3445e+05
1.2200e-01	6.0616e+09	1.3454e+05
1.2695e-01	5.7765e+09	1.3464e+05
1.3210e-01	5.5046e+09	1.3473e+05
1.3746e-01	5.2453e+09	1.3483e+05
1.4304e-01	4.9981e+09	1.3494e+05
1.4884e-01	4.7623e+09	1.3506e+05
1.5488e-01	4.5374e+09	1.3517e+05
1.6117e-01	4.3230e+09	1.3529e+05
1.6771e-01	4.1186e+09	1.3542e+05
1.7451e-01	3.9236e+09	1.3555e+05
1.8159e-01	3.7377e+09	1.3569e+05
1.8896e-01	3.5604e+09	1.3583e+05
1.9663e-01	3.3913e+09	1.3598e+05
2.0461e-01	3.2301e+09	1.3613e+05
2.1291e-01	3.0764e+09	1.3629e+05
2.2155e-01	2.9299e+09	1.3646e+05
2.3054e-01	2.7901e+09	1.3663e+05
2.3989e-01	2.6569e+09	1.3681e+05
2.4962e-01	2.5298e+09	1.3700e+05
2.5975e-01	2.4087e+09	1.3719e+05
2.7029e-01	2.2932e+09	1.3740e+05
2.8126e-01	2.1830e+09	1.3759e+05
2.9267e-01	2.0781e+09	1.3774e+05
3.0454e-01	1.9780e+09	1.3775e+05
3.1690e-01	1.8825e+09	1.3784e+05
3.2976e-01	1.7915e+09	1.3809e+05
3.4314e-01	1.7048e+09	1.3835e+05
3.5706e-01	1.6221e+09	1.3862e+05
3.7155e-01	1.5433e+09	1.3890e+05
3.8662e-01	1.4681e+09	1.3919e+05
4.0231e-01	1.3965e+09	1.3949e+05
4.1864e-01	1.3282e+09	1.3981e+05
4.3562e-01	1.2631e+09	1.4014e+05
4.5330e-01	1.2010e+09	1.4048e+05
4.7169e-01	1.1419e+09	1.4083e+05
4.9083e-01	1.0855e+09	1.4120e+05
5.1074e-01	1.0318e+09	1.4158e+05
5.3147e-01	9.8061e+08	1.4197e+05
5.5303e-01	9.3182e+08	1.4237e+05
5.7547e-01	8.8532e+08	1.4281e+05
5.9882e-01	8.4100e+08	1.4326e+05
6.2311e-01	7.9878e+08	1.4373e+05
6.4840e-01	7.5855e+08	1.4422e+05
6.7471e-01	7.2021e+08	1.4474e+05
7.0208e-01	6.8369e+08	1.4527e+05
7.3057e-01	6.4890e+08	1.4583e+05
7.6021e-01	6.1575e+08	1.4640e+05
7.9106e-01	5.8418e+08	1.4700e+05
8.2315e-01	5.5410e+08	1.4763e+05
8.5655e-01	5.2546e+08	1.4828e+05
8.9131e-01	4.9818e+08	1.4895e+05
9.2747e-01	4.7220e+08	1.4962e+05
9.6510e-01	4.4746e+08	1.5029e+05
1.0043e+00	4.2391e+08	1.5099e+05
