Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	3.1737e+06
1.5000e-03	0.0000e+00	3.1763e+06
2.0000e-03	0.0000e+00	3.1772e+06
2.5000e-03	0.0000e+00	3.1778e+06
3.0000e-03	0.0000e+00	3.1783e+06
3.5000e-03	0.0000e+00	3.1787e+06
4.0000e-03	0.0000e+00	3.1791e+06
4.5000e-03	0.0000e+00	3.1794e+06
5.0000e-03	0.0000e+00	3.1797e+06
5.5000e-03	0.0000e+00	3.1799e+06
6.0000e-03	0.0000e+00	3.1802e+06
6.5000e-03	0.0000e+00	3.1804e+06
7.0000e-03	0.0000e+00	3.1806e+06
7.5000e-03	0.0000e+00	3.1808e+06
8.0000e-03	0.0000e+00	3.1810e+06
8.5000e-03	0.0000e+00	3.1811e+06
9.0000e-03	0.0000e+00	3.1813e+06
9.5000e-03	0.0000e+00	3.1814e+06
1.0000e-02	0.0000e+00	3.1816e+06
1.5000e-02	0.0000e+00	3.1826e+06
2.0000e-02	0.0000e+00	3.1834e+06
2.5000e-02	0.0000e+00	3.1840e+06
3.0000e-02	0.0000e+00	3.1853e+06
3.5000e-02	0.0000e+00	3.1870e+06
4.0000e-02	2.4084e+11	3.1886e+06
4.0820e-02	2.3639e+11	3.1888e+06
4.1657e-02	2.3201e+11	3.1891e+06
4.2511e-02	2.2772e+11	3.1893e+06
4.3382e-02	2.2350e+11	3.1895e+06
4.4272e-02	2.1936e+11	3.1898e+06
4.5179e-02	2.1530e+11	3.1900e+06
4.6106e-02	2.1132e+11	3.1902e+06
4.7051e-02	2.0740e+11	3.1905e+06
4.8016e-02	2.0356e+11	3.1907e+06
4.9000e-02	1.9979e+11	3.1909e+06
5.0004e-02	1.9609e+11	3.1912e+06
5.1030e-02	1.9246e+11	3.1914e+06
5.2076e-02	1.8890e+11	3.1917e+06
5.3143e-02	1.8540e+11	3.1919e+06
5.4233e-02	1.8197e+11	3.1922e+06
5.5345e-02	1.7860e+11	3.1926e+06
5.6479e-02	1.7529e+11	3.1930e+06
5.7637e-02	1.7204e+11	3.1934e+06
5.8819e-02	1.6885e+11	3.1938e+06
6.0025e-02	1.6573e+11	3.1942e+06
6.1255e-02	1.6266e+11	3.1946e+06
6.2511e-02	1.5964e+11	3.1950e+06
6.3793e-02	1.5668e+11	3.1954e+06
6.5100e-02	1.5378e+11	3.1958e+06
6.6435e-02	1.5093e+11	3.1962e+06
6.7797e-02	1.4813e+11	3.1966e+06
6.9187e-02	1.4539e+11	3.1970e+06
7.0605e-02	1.4269e+11	3.1974e+06
7.2053e-02	1.4005e+11	3.1978e+06
7.3530e-02	1.3745e+11	3.1982e+06
7.5038e-02	1.3490e+11	3.1985e+06
7.6576e-02	1.3240e+11	3.1989e+06
