Energy_MeV Fluence_res_p_cm2_MeV
1.000000e-03 1.130800e+07
1.500000e-03 1.131200e+07
2.000000e-03 1.131400e+07
2.500000e-03 1.131600e+07
3.000000e-03 1.131700e+07
3.500000e-03 1.131900e+07
4.000000e-03 1.132000e+07
4.500000e-03 1.132100e+07
5.000000e-03 1.132200e+07
5.500000e-03 1.132200e+07
6.000000e-03 1.132300e+07
6.500000e-03 1.132400e+07
7.000000e-03 1.132400e+07
7.500000e-03 1.132500e+07
8.000000e-03 1.132500e+07
8.500000e-03 1.132600e+07
9.000000e-03 1.132600e+07
9.500000e-03 1.132700e+07
1.000000e-02 1.132800e+07
1.500000e-02 1.133900e+07
2.000000e-02 1.134600e+07
2.500000e-02 1.135200e+07
3.000000e-02 1.136100e+07
3.500000e-02 1.136900e+07
4.000000e-02 1.137600e+07
4.500000e-02 1.138400e+07
5.000000e-02 1.139200e+07
5.500000e-02 1.140000e+07
6.000000e-02 1.140800e+07
6.500000e-02 1.141600e+07
7.000000e-02 1.142400e+07
7.500000e-02 1.143200e+07
8.000000e-02 1.143900e+07
8.500000e-02 1.144800e+07
9.000000e-02 1.145600e+07
9.500000e-02 1.146300e+07
1.000000e-01 1.147200e+07
1.037700e-01 1.147800e+07
1.076800e-01 1.148400e+07
1.117400e-01 1.149000e+07
1.159500e-01 1.149700e+07
1.203200e-01 1.150400e+07
1.248500e-01 1.151100e+07
1.295500e-01 1.151900e+07
1.344400e-01 1.152700e+07
1.395000e-01 1.153500e+07
1.447600e-01 1.154300e+07
1.502100e-01 1.155200e+07
1.558700e-01 1.156100e+07
1.617500e-01 1.157000e+07
1.678400e-01 1.158000e+07
1.741700e-01 1.159000e+07
1.807300e-01 1.160000e+07
1.875400e-01 1.161100e+07
1.946100e-01 1.162300e+07
2.019400e-01 1.163400e+07
2.095500e-01 1.164700e+07
2.174400e-01 1.165900e+07
2.256400e-01 1.167200e+07
2.341400e-01 1.168600e+07
2.429600e-01 1.170000e+07
2.521200e-01 1.171500e+07
2.616200e-01 1.173000e+07
2.714800e-01 1.174600e+07
2.817100e-01 1.176200e+07
2.923200e-01 1.177000e+07
3.033400e-01 1.176800e+07
3.147700e-01 1.177900e+07
3.266300e-01 1.179500e+07
3.389400e-01 1.181400e+07
3.517100e-01 1.183500e+07
3.649600e-01 1.185600e+07
3.787200e-01 1.187800e+07
3.929900e-01 1.190100e+07
4.077900e-01 1.192500e+07
4.231600e-01 1.194900e+07
4.391100e-01 1.197500e+07
4.556500e-01 1.200200e+07
4.728200e-01 1.202900e+07
4.906400e-01 1.205800e+07
5.091300e-01 1.208700e+07
5.283100e-01 1.211600e+07
5.482200e-01 1.214700e+07
5.688800e-01 1.217900e+07
5.903200e-01 1.221400e+07
6.125600e-01 1.225000e+07
6.356400e-01 1.228700e+07
6.595900e-01 1.232500e+07
6.844500e-01 1.236500e+07
7.102400e-01 1.240600e+07
7.370000e-01 1.244900e+07
7.647800e-01 1.249400e+07
7.935900e-01 1.254000e+07
8.235000e-01 1.258800e+07
8.545300e-01 1.263800e+07
8.867300e-01 1.269000e+07
9.201400e-01 1.274100e+07
9.548200e-01 1.279000e+07
9.908000e-01 1.284100e+07
1.028100e+00 1.290100e+07
1.066900e+00 1.296300e+07
1.107100e+00 1.302300e+07
1.148800e+00 1.306100e+07
1.192100e+00 1.313000e+07
1.237000e+00 1.320200e+07
1.283600e+00 1.327700e+07
1.332000e+00 1.335400e+07
1.382200e+00 1.343400e+07
1.434300e+00 1.351700e+07
1.488300e+00 1.360300e+07
1.544400e+00 1.367900e+07
1.602600e+00 1.376600e+07
1.663000e+00 1.386100e+07
1.725600e+00 1.396100e+07
1.790700e+00 1.406300e+07
1.858100e+00 1.417000e+07
1.928100e+00 1.426600e+07
2.000800e+00 1.438000e+07
2.076200e+00 1.449800e+07
2.154400e+00 1.462000e+07
2.235600e+00 1.474600e+07
2.319900e+00 1.487700e+07
2.407300e+00 1.501100e+07
2.498000e+00 1.514900e+07
2.592100e+00 1.529200e+07
2.689800e+00 1.539700e+07
2.791200e+00 1.555000e+07
2.896300e+00 1.570800e+07
3.005500e+00 1.587100e+07
3.118700e+00 1.603900e+07
3.236200e+00 1.621200e+07
