Energy(MeV) Incoming Spectral Fluence(MeV-1 cm-2)   Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03  0.0000e+00	1.1308e+07
1.5000e-03	0.0000e+00	1.1312e+07
2.0000e-03	0.0000e+00	1.1314e+07
2.5000e-03	0.0000e+00	1.1316e+07
3.0000e-03	0.0000e+00	1.1317e+07
3.5000e-03	0.0000e+00	1.1319e+07
4.0000e-03	0.0000e+00	1.1320e+07
4.5000e-03	0.0000e+00	1.1321e+07
5.0000e-03	0.0000e+00	1.1322e+07
5.5000e-03	0.0000e+00	1.1322e+07
6.0000e-03	0.0000e+00	1.1323e+07
6.5000e-03	0.0000e+00	1.1324e+07
7.0000e-03	0.0000e+00	1.1324e+07
7.5000e-03	0.0000e+00	1.1325e+07
8.0000e-03	0.0000e+00	1.1325e+07
8.5000e-03	0.0000e+00	1.1326e+07
9.0000e-03	0.0000e+00	1.1326e+07
9.5000e-03	0.0000e+00	1.1327e+07
1.0000e-02	0.0000e+00	1.1328e+07
1.5000e-02	0.0000e+00	1.1339e+07
2.0000e-02	0.0000e+00	1.1346e+07
2.5000e-02	0.0000e+00	1.1352e+07
3.0000e-02	0.0000e+00	1.1361e+07
3.5000e-02	0.0000e+00	1.1369e+07
4.0000e-02	0.0000e+00	1.1376e+07
4.5000e-02	0.0000e+00	1.1384e+07
5.0000e-02	0.0000e+00	1.1392e+07
5.5000e-02	0.0000e+00	1.1400e+07
6.0000e-02	0.0000e+00	1.1408e+07
6.5000e-02	0.0000e+00	1.1416e+07
7.0000e-02	0.0000e+00	1.1424e+07
7.5000e-02	0.0000e+00	1.1432e+07
8.0000e-02	0.0000e+00	1.1439e+07
8.5000e-02	0.0000e+00	1.1448e+07
9.0000e-02	0.0000e+00	1.1456e+07
9.5000e-02	0.0000e+00	1.1463e+07
1.0000e-01	1.0349e+11	1.1472e+07
1.0377e-01	1.0002e+11	1.1478e+07
1.0768e-01	9.6658e+10	1.1484e+07
1.1174e-01	9.3410e+10	1.1490e+07
1.1595e-01	9.0270e+10	1.1497e+07
1.2032e-01	8.7234e+10	1.1504e+07
1.2485e-01	8.4300e+10	1.1511e+07
1.2955e-01	8.1464e+10	1.1519e+07
1.3444e-01	7.8723e+10	1.1527e+07
1.3950e-01	7.6073e+10	1.1535e+07
1.4476e-01	7.3511e+10	1.1543e+07
1.5021e-01	7.1035e+10	1.1552e+07
1.5587e-01	6.8641e+10	1.1561e+07
1.6175e-01	6.6327e+10	1.1570e+07
1.6784e-01	6.4090e+10	1.1580e+07
1.7417e-01	6.1928e+10	1.1590e+07
1.8073e-01	5.9837e+10	1.1600e+07
1.8754e-01	5.7817e+10	1.1611e+07
1.9461e-01	5.5863e+10	1.1623e+07
2.0194e-01	5.3975e+10	1.1634e+07
2.0955e-01	5.2150e+10	1.1647e+07
2.1744e-01	5.0385e+10	1.1659e+07
2.2564e-01	4.8680e+10	1.1672e+07
2.3414e-01	4.7031e+10	1.1686e+07
2.4296e-01	4.5437e+10	1.1700e+07
2.5212e-01	4.3896e+10	1.1715e+07
2.6162e-01	4.2406e+10	1.1730e+07
2.7148e-01	4.0966e+10	1.1746e+07
2.8171e-01	3.9574e+10	1.1762e+07
2.9232e-01	3.8228e+10	1.1770e+07
3.0334e-01	3.6927e+10	1.1768e+07
3.1477e-01	3.5670e+10	1.1779e+07
3.2663e-01	3.4454e+10	1.1795e+07
3.3894e-01	3.3279e+10	1.1814e+07
3.5171e-01	3.2142e+10	1.1835e+07
3.6496e-01	3.1044e+10	1.1856e+07
3.7872e-01	2.9982e+10	1.1878e+07
3.9299e-01	2.8956e+10	1.1901e+07
4.0779e-01	2.7963e+10	1.1925e+07
4.2316e-01	2.7004e+10	1.1949e+07
4.3911e-01	2.6076e+10	1.1975e+07
4.5565e-01	2.5180e+10	1.2002e+07
4.7282e-01	2.4313e+10	1.2029e+07
4.9064e-01	2.3475e+10	1.2058e+07
5.0913e-01	2.2665e+10	1.2087e+07
5.2831e-01	2.1881e+10	1.2116e+07
5.4822e-01	2.1124e+10	1.2147e+07
5.6888e-01	2.0392e+10	1.2179e+07
5.9032e-01	1.9685e+10	1.2214e+07
6.1256e-01	1.9000e+10	1.2250e+07
6.3564e-01	1.8339e+10	1.2287e+07
6.5959e-01	1.7700e+10	1.2325e+07
6.8445e-01	1.7082e+10	1.2365e+07
7.1024e-01	1.6484e+10	1.2406e+07
7.3700e-01	1.5906e+10	1.2449e+07
7.6478e-01	1.5348e+10	1.2494e+07
7.9359e-01	1.4808e+10	1.2540e+07
8.2350e-01	1.4286e+10	1.2588e+07
8.5453e-01	1.3781e+10	1.2638e+07
8.8673e-01	1.3293e+10	1.2690e+07
9.2014e-01	1.2821e+10	1.2741e+07
9.5482e-01	1.2365e+10	1.2790e+07
9.9080e-01	1.1925e+10	1.2841e+07
1.0281e+00	1.1498e+10	1.2901e+07
1.0669e+00	1.1087e+10	1.2963e+07
1.1071e+00	1.0688e+10	1.3023e+07
1.1488e+00	1.0303e+10	1.3061e+07
1.1921e+00	9.9310e+09	1.3130e+07
1.2370e+00	9.5712e+09	1.3202e+07
1.2836e+00	9.2234e+09	1.3277e+07
1.3320e+00	8.8871e+09	1.3354e+07
1.3822e+00	8.5621e+09	1.3434e+07
1.4343e+00	8.2479e+09	1.3517e+07
1.4883e+00	7.9441e+09	1.3603e+07
1.5444e+00	7.6505e+09	1.3679e+07
1.6026e+00	7.3667e+09	1.3766e+07
1.6630e+00	7.0924e+09	1.3861e+07
1.7256e+00	6.8273e+09	1.3961e+07
1.7907e+00	6.5710e+09	1.4063e+07
1.8581e+00	6.3233e+09	1.4170e+07
1.9281e+00	6.0839e+09	1.4266e+07
2.0008e+00	5.8525e+09	1.4380e+07
2.0762e+00	5.6289e+09	1.4498e+07
2.1544e+00	5.4128e+09	1.4620e+07
2.2356e+00	5.2040e+09	1.4746e+07
2.3199e+00	5.0022e+09	1.4877e+07
2.4073e+00	4.8072e+09	1.5011e+07
2.4980e+00	4.6188e+09	1.5149e+07
2.5921e+00	4.4368e+09	1.5292e+07
2.6898e+00	4.2609e+09	1.5397e+07
2.7912e+00	4.0910e+09	1.5550e+07
2.8963e+00	3.9269e+09	1.5708e+07
3.0055e+00	3.7683e+09	1.5871e+07
3.1187e+00	3.6152e+09	1.6039e+07
3.2362e+00	3.4673e+09	1.6212e+07
3.3582e+00	3.3245e+09	1.6378e+07
