Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
1.0000e-03	1.0600e+02	1.0600e+02	1.6987e-08
1.0000e-03	1.0600e+02	1.0600e+02	1.6987e-08
1.5000e-03	1.2980e+02	1.2980e+02	2.0801e-08
1.5000e-03	1.2980e+02	1.2980e+02	2.0801e-08
2.0000e-03	1.4990e+02	1.4990e+02	2.4022e-08
2.0000e-03	1.4990e+02	1.4990e+02	2.4022e-08
2.5000e-03	1.6620e+02	1.6620e+02	2.6635e-08
2.5000e-03	1.6620e+02	1.6620e+02	2.6635e-08
3.0000e-03	1.8160e+02	1.8160e+02	2.9103e-08
3.0000e-03	1.8160e+02	1.8160e+02	2.9103e-08
3.5000e-03	1.9580e+02	1.9580e+02	3.1378e-08
3.5000e-03	1.9580e+02	1.9580e+02	3.1378e-08
4.0000e-03	2.0880e+02	2.0880e+02	3.3462e-08
4.0000e-03	2.0880e+02	2.0880e+02	3.3462e-08
4.5000e-03	2.2060e+02	2.2060e+02	3.5353e-08
4.5000e-03	2.2060e+02	2.2060e+02	3.5353e-08
5.0000e-03	2.3140e+02	2.3140e+02	3.7083e-08
5.0000e-03	2.3140e+02	2.3140e+02	3.7083e-08
5.5000e-03	2.4120e+02	2.4120e+02	3.8654e-08
5.5000e-03	2.4120e+02	2.4120e+02	3.8654e-08
6.0000e-03	2.5030e+02	2.5030e+02	4.0112e-08
6.0000e-03	2.5030e+02	2.5030e+02	4.0112e-08
6.5000e-03	2.5890e+02	2.5890e+02	4.1490e-08
6.5000e-03	2.5890e+02	2.5890e+02	4.1490e-08
7.0000e-03	2.6710e+02	2.6710e+02	4.2804e-08
7.0000e-03	2.6710e+02	2.6710e+02	4.2804e-08
7.5000e-03	2.7510e+02	2.7510e+02	4.4087e-08
7.5000e-03	2.7510e+02	2.7510e+02	4.4087e-08
8.0000e-03	2.8290e+02	2.8290e+02	4.5337e-08
8.0000e-03	2.8290e+02	2.8290e+02	4.5337e-08
8.5000e-03	2.9050e+02	2.9050e+02	4.6554e-08
8.5000e-03	2.9050e+02	2.9050e+02	4.6554e-08
9.0000e-03	2.9810e+02	2.9810e+02	4.7772e-08
