Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	4.0348e+06
1.5000e-03	0.0000e+00	4.0385e+06
2.0000e-03	0.0000e+00	4.0401e+06
2.5000e-03	0.0000e+00	4.0413e+06
3.0000e-03	0.0000e+00	4.0423e+06
3.5000e-03	0.0000e+00	4.0431e+06
4.0000e-03	0.0000e+00	4.0439e+06
4.5000e-03	0.0000e+00	4.0445e+06
5.0000e-03	0.0000e+00	4.0451e+06
5.5000e-03	0.0000e+00	4.0456e+06
6.0000e-03	0.0000e+00	4.0461e+06
6.5000e-03	0.0000e+00	4.0466e+06
7.0000e-03	0.0000e+00	4.0470e+06
7.5000e-03	0.0000e+00	4.0473e+06
8.0000e-03	0.0000e+00	4.0478e+06
8.5000e-03	0.0000e+00	4.0487e+06
9.0000e-03	0.0000e+00	4.0496e+06
9.5000e-03	0.0000e+00	4.0504e+06
1.0000e-02	0.0000e+00	4.0512e+06
1.5000e-02	0.0000e+00	4.0580e+06
2.0000e-02	0.0000e+00	4.0652e+06
2.5000e-02	0.0000e+00	4.0725e+06
3.0000e-02	0.0000e+00	4.0796e+06
3.5000e-02	0.0000e+00	4.0867e+06
4.0000e-02	0.0000e+00	4.0939e+06
4.5000e-02	0.0000e+00	4.1011e+06
5.0000e-02	7.2561e+10	4.1083e+06
5.1684e-02	6.9470e+10	4.1107e+06
5.3424e-02	6.6511e+10	4.1131e+06
5.5224e-02	6.3678e+10	4.1158e+06
5.7083e-02	6.0965e+10	4.1185e+06
5.9006e-02	5.8367e+10	4.1212e+06
6.0993e-02	5.5880e+10	4.1241e+06
6.3047e-02	5.3499e+10	4.1271e+06
6.5170e-02	5.1218e+10	4.1301e+06
6.7365e-02	4.9035e+10	4.1333e+06
6.9633e-02	4.6945e+10	4.1366e+06
7.1978e-02	4.4944e+10	4.1399e+06
7.4402e-02	4.3028e+10	4.1434e+06
7.6908e-02	4.1193e+10	4.1471e+06
7.9498e-02	3.9436e+10	4.1507e+06
8.2175e-02	3.7754e+10	4.1547e+06
8.4943e-02	3.6144e+10	4.1586e+06
8.7803e-02	3.4602e+10	4.1627e+06
9.0760e-02	3.3125e+10	4.1670e+06
9.3817e-02	3.1712e+10	4.1714e+06
9.6976e-02	3.0358e+10	4.1760e+06
1.0024e-01	2.9062e+10	4.1807e+06
1.0362e-01	2.7822e+10	4.1856e+06
1.0711e-01	2.6634e+10	4.1906e+06
1.1071e-01	2.5496e+10	4.1958e+06
1.1444e-01	2.4407e+10	4.2012e+06
1.1830e-01	2.3365e+10	4.2067e+06
1.2228e-01	2.2366e+10	4.2125e+06
1.2640e-01	2.1411e+10	4.2184e+06
1.3066e-01	2.0495e+10	4.2246e+06
1.3506e-01	1.9619e+10	4.2309e+06
1.3960e-01	1.8780e+10	4.2374e+06
1.4430e-01	1.7977e+10	4.2442e+06
1.4916e-01	1.7208e+10	4.2513e+06
1.5419e-01	1.6472e+10	4.2585e+06
1.5938e-01	1.5767e+10	4.2660e+06
1.6475e-01	1.5092e+10	4.2737e+06
1.7030e-01	1.4446e+10	4.2818e+06
1.7603e-01	1.3827e+10	4.2901e+06
1.8196e-01	1.3235e+10	4.2986e+06
1.8809e-01	1.2668e+10	4.3075e+06
1.9442e-01	1.2125e+10	4.3166e+06
2.0097e-01	1.1605e+10	4.3261e+06
