# Energy(MeV) Sferica_Fluence(cm^-2*MeV^-1)
1.000000e+00 1.669614e+10
1.013939e+00 1.637487e+10
1.028073e+00 1.605479e+10
1.042404e+00 1.574372e+10
1.056935e+00 1.544159e+10
1.071668e+00 1.514714e+10
1.086606e+00 1.485260e+10
1.101753e+00 1.456958e+10
1.117111e+00 1.428979e+10
1.132683e+00 1.401434e+10
1.148472e+00 1.375210e+10
1.164481e+00 1.349236e+10
1.180713e+00 1.323954e+10
1.197171e+00 1.298461e+10
1.213859e+00 1.273378e+10
1.230780e+00 1.248707e+10
1.247936e+00 1.224835e+10
1.265332e+00 1.201567e+10
1.282970e+00 1.179041e+10
1.300854e+00 1.156657e+10
1.318987e+00 1.134867e+10
1.337373e+00 1.113256e+10
1.356015e+00 1.091534e+10
1.374917e+00 1.070200e+10
1.394083e+00 1.049781e+10
1.413516e+00 1.029876e+10
1.433219e+00 1.009929e+10
1.453198e+00 9.903331e+09
1.473454e+00 9.710172e+09
1.493993e+00 9.518995e+09
1.514819e+00 9.336887e+09
1.535935e+00 9.150629e+09
1.557345e+00 8.973334e+09
1.579053e+00 8.801366e+09
1.601064e+00 8.632397e+09
1.623382e+00 8.465813e+09
1.646012e+00 8.304525e+09
1.668956e+00 8.141030e+09
1.692220e+00 7.977991e+09
1.715809e+00 7.822840e+09
1.739726e+00 7.668422e+09
1.763977e+00 7.517673e+09
1.788566e+00 7.371908e+09
1.813498e+00 7.229868e+09
1.838777e+00 7.083177e+09
1.864409e+00 6.944935e+09
1.890397e+00 6.810610e+09
1.916748e+00 6.672957e+09
1.943467e+00 6.537949e+09
1.970558e+00 6.412342e+09
1.998026e+00 6.284608e+09
2.025878e+00 6.157798e+09
2.054117e+00 6.035105e+09
2.082751e+00 5.915816e+09
2.111783e+00 5.799720e+09
2.141220e+00 5.684866e+09
2.171068e+00 5.571011e+09
2.201331e+00 5.459736e+09
2.232016e+00 5.350683e+09
2.263130e+00 5.243670e+09
2.294676e+00 5.136493e+09
2.326663e+00 5.033131e+09
2.359095e+00 4.931275e+09
2.391980e+00 4.828084e+09
2.425323e+00 4.730280e+09
2.459130e+00 4.634055e+09
2.493409e+00 4.539392e+09
2.528166e+00 4.443576e+09
2.563407e+00 4.352993e+09
2.599140e+00 4.265417e+09
2.635371e+00 4.179792e+09
2.672106e+00 4.094388e+09
2.709354e+00 4.009987e+09
2.747121e+00 3.929483e+09
2.785414e+00 3.849721e+09
2.824241e+00 3.772265e+09
2.863610e+00 3.691174e+09
2.903527e+00 3.613801e+09
2.944000e+00 3.537691e+09
2.985038e+00 3.462459e+09
3.026648e+00 3.389215e+09
3.068838e+00 3.319467e+09
3.111616e+00 3.249886e+09
3.154990e+00 3.181825e+09
3.198969e+00 3.114952e+09
3.243561e+00 3.049673e+09
3.288774e+00 2.983566e+09
3.334618e+00 2.922515e+09
3.381101e+00 2.862417e+09
3.428231e+00 2.801836e+09
3.476019e+00 2.741624e+09
3.524473e+00 2.682894e+09
3.573602e+00 2.625290e+09
3.623416e+00 2.569722e+09
3.673925e+00 2.514493e+09
3.725137e+00 2.459910e+09
3.777064e+00 2.406770e+09
3.829714e+00 2.354695e+09
3.883098e+00 2.304042e+09
3.937226e+00 2.253856e+09
3.992109e+00 2.206571e+09
4.047757e+00 2.157982e+09
4.104181e+00 2.111396e+09
4.161391e+00 2.067606e+09
4.219398e+00 2.020670e+09
4.278214e+00 1.974956e+09
4.337850e+00 1.930711e+09
4.398317e+00 1.888262e+09
4.459628e+00 1.846321e+09
4.521792e+00 1.805693e+09
4.584824e+00 1.766157e+09
4.648734e+00 1.727515e+09
4.713535e+00 1.687823e+09
4.779239e+00 1.650057e+09
4.845859e+00 1.613152e+09
4.913407e+00 1.576874e+09
4.981898e+00 1.541429e+09
5.051342e+00 1.506466e+09
5.121755e+00 1.472681e+09
5.193150e+00 1.440132e+09
5.265540e+00 1.406942e+09
5.338938e+00 1.375067e+09
5.413360e+00 1.342364e+09
5.488820e+00 1.311179e+09
5.565331e+00 1.281001e+09
5.642908e+00 1.250438e+09
5.721568e+00 1.221123e+09
5.801323e+00 1.192244e+09
5.882190e+00 1.163962e+09
5.964185e+00 1.137044e+09
6.047322e+00 1.110490e+09
6.131619e+00 1.085264e+09
6.217090e+00 1.060084e+09
6.303753e+00 1.033687e+09
6.391624e+00 1.008881e+09
6.480720e+00 9.852488e+08
6.571058e+00 9.606475e+08
6.662655e+00 9.368566e+08
6.755528e+00 9.137460e+08
6.849697e+00 8.912745e+08
6.945178e+00 8.690239e+08
7.041990e+00 8.471796e+08
7.140151e+00 8.270798e+08
7.239681e+00 8.073977e+08
7.340598e+00 7.858017e+08
7.442922e+00 7.645953e+08
7.546673e+00 7.462119e+08
7.651869e+00 7.267387e+08
7.758532e+00 7.083481e+08
7.866682e+00 6.908712e+08
7.976339e+00 6.738273e+08
8.087525e+00 6.570055e+08
8.200261e+00 6.405620e+08
8.314568e+00 6.237644e+08
8.430468e+00 6.079881e+08
8.547985e+00 5.922817e+08
8.667139e+00 5.773571e+08
8.787954e+00 5.624828e+08
8.910453e+00 5.472685e+08
9.034660e+00 5.333709e+08
9.160598e+00 5.196638e+08
9.288292e+00 5.064683e+08
9.417766e+00 4.935494e+08
9.549045e+00 4.798852e+08
9.682153e+00 4.672040e+08
9.817117e+00 4.542880e+08
9.953962e+00 4.419416e+08
1.009272e+01 4.301542e+08
1.023340e+01 4.189444e+08
1.037605e+01 4.076842e+08
1.052069e+01 3.966810e+08
1.066734e+01 3.860164e+08
1.081604e+01 3.752550e+08
1.096681e+01 3.646212e+08
1.111968e+01 3.546157e+08
1.127468e+01 3.447030e+08
1.143184e+01 3.349729e+08
1.159120e+01 3.256877e+08
1.175277e+01 3.158758e+08
1.191660e+01 3.068392e+08
1.208271e+01 2.982122e+08
1.225114e+01 2.899762e+08
