Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	8.2900e+04
1.5000e-03	0.0000e+00	8.2916e+04
2.0000e-03	0.0000e+00	8.2928e+04
2.5000e-03	0.0000e+00	8.2937e+04
3.0000e-03	0.0000e+00	8.2944e+04
3.5000e-03	0.0000e+00	8.2950e+04
4.0000e-03	0.0000e+00	8.2956e+04
4.5000e-03	0.0000e+00	8.2960e+04
5.0000e-03	0.0000e+00	8.2965e+04
5.5000e-03	0.0000e+00	8.2969e+04
6.0000e-03	0.0000e+00	8.2972e+04
6.5000e-03	0.0000e+00	8.2975e+04
7.0000e-03	0.0000e+00	8.2978e+04
7.5000e-03	0.0000e+00	8.2981e+04
8.0000e-03	0.0000e+00	8.2984e+04
8.5000e-03	0.0000e+00	8.2986e+04
9.0000e-03	0.0000e+00	8.2988e+04
9.5000e-03	0.0000e+00	8.2991e+04
1.0000e-02	0.0000e+00	8.2993e+04
1.5000e-02	0.0000e+00	8.3009e+04
2.0000e-02	0.0000e+00	8.3021e+04
2.5000e-02	0.0000e+00	8.3030e+04
3.0000e-02	0.0000e+00	8.3037e+04
3.5000e-02	0.0000e+00	8.3043e+04
4.0000e-02	0.0000e+00	8.3049e+04
4.5000e-02	0.0000e+00	8.3054e+04
5.0000e-02	0.0000e+00	8.3058e+04
5.5000e-02	0.0000e+00	8.3062e+04
6.0000e-02	0.0000e+00	8.3065e+04
6.5000e-02	0.0000e+00	8.3068e+04
7.0000e-02	0.0000e+00	8.3071e+04
7.5000e-02	0.0000e+00	8.3077e+04
8.0000e-02	0.0000e+00	8.3093e+04
8.5000e-02	0.0000e+00	8.3108e+04
9.0000e-02	0.0000e+00	8.3123e+04
9.5000e-02	0.0000e+00	8.3136e+04
1.0000e-01	0.0000e+00	8.3149e+04
1.5000e-01	0.0000e+00	8.3250e+04
2.0000e-01	0.0000e+00	8.3385e+04
2.5000e-01	0.0000e+00	8.3504e+04
3.0000e-01	0.0000e+00	8.3619e+04
3.5000e-01	0.0000e+00	8.3733e+04
4.0000e-01	0.0000e+00	8.3842e+04
4.5000e-01	0.0000e+00	8.3960e+04
5.0000e-01	0.0000e+00	8.4072e+04
5.5000e-01	0.0000e+00	8.4185e+04
6.0000e-01	0.0000e+00	8.4300e+04
6.5000e-01	0.0000e+00	8.4411e+04
7.0000e-01	0.0000e+00	8.4526e+04
7.5000e-01	0.0000e+00	8.4639e+04
8.0000e-01	0.0000e+00	8.4752e+04
8.5000e-01	0.0000e+00	8.4866e+04
9.0000e-01	0.0000e+00	8.4978e+04
9.5000e-01	0.0000e+00	8.5092e+04
1.0000e+00	4.1740e+09	8.5205e+04
1.0139e+00	4.0937e+09	8.5237e+04
1.0281e+00	4.0137e+09	8.5269e+04
1.0424e+00	3.9359e+09	8.5301e+04
1.0569e+00	3.8604e+09	8.5333e+04
1.0717e+00	3.7868e+09	8.5367e+04
1.0866e+00	3.7132e+09	8.5402e+04
1.1018e+00	3.6424e+09	8.5436e+04
1.1171e+00	3.5724e+09	8.5470e+04
1.1327e+00	3.5036e+09	8.5505e+04
1.1485e+00	3.4380e+09	8.5541e+04
1.1645e+00	3.3731e+09	8.5578e+04
1.1807e+00	3.3099e+09	8.5615e+04
1.1972e+00	3.2462e+09	8.5651e+04
1.2139e+00	3.1834e+09	8.5689e+04
1.2308e+00	3.1218e+09	8.5727e+04
1.2479e+00	3.0621e+09	8.5766e+04
1.2653e+00	3.0039e+09	8.5806e+04
1.2830e+00	2.9476e+09	8.5845e+04
1.3009e+00	2.8916e+09	8.5885e+04
1.3190e+00	2.8372e+09	8.5926e+04
1.3374e+00	2.7831e+09	8.5968e+04
1.3560e+00	2.7288e+09	8.6011e+04
1.3749e+00	2.6755e+09	8.6053e+04
1.3941e+00	2.6245e+09	8.6096e+04
1.4135e+00	2.5747e+09	8.6140e+04
