Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.0555e+05
1.5000e-03	0.0000e+00	1.0558e+05
2.0000e-03	0.0000e+00	1.0559e+05
2.5000e-03	0.0000e+00	1.0561e+05
3.0000e-03	0.0000e+00	1.0562e+05
3.5000e-03	0.0000e+00	1.0563e+05
4.0000e-03	0.0000e+00	1.0564e+05
4.5000e-03	0.0000e+00	1.0564e+05
5.0000e-03	0.0000e+00	1.0565e+05
5.5000e-03	0.0000e+00	1.0565e+05
6.0000e-03	0.0000e+00	1.0566e+05
6.5000e-03	0.0000e+00	1.0566e+05
7.0000e-03	0.0000e+00	1.0567e+05
7.5000e-03	0.0000e+00	1.0567e+05
8.0000e-03	0.0000e+00	1.0568e+05
8.5000e-03	0.0000e+00	1.0568e+05
9.0000e-03	0.0000e+00	1.0568e+05
9.5000e-03	0.0000e+00	1.0569e+05
1.0000e-02	0.0000e+00	1.0569e+05
1.5000e-02	0.0000e+00	1.0571e+05
2.0000e-02	0.0000e+00	1.0573e+05
2.5000e-02	0.0000e+00	1.0575e+05
3.0000e-02	0.0000e+00	1.0576e+05
3.5000e-02	0.0000e+00	1.0578e+05
4.0000e-02	0.0000e+00	1.0579e+05
4.5000e-02	0.0000e+00	1.0581e+05
5.0000e-02	0.0000e+00	1.0583e+05
5.5000e-02	0.0000e+00	1.0584e+05
6.0000e-02	0.0000e+00	1.0586e+05
6.5000e-02	0.0000e+00	1.0588e+05
7.0000e-02	0.0000e+00	1.0590e+05
7.5000e-02	0.0000e+00	1.0592e+05
8.0000e-02	0.0000e+00	1.0594e+05
8.5000e-02	0.0000e+00	1.0596e+05
9.0000e-02	0.0000e+00	1.0598e+05
9.5000e-02	0.0000e+00	1.0600e+05
1.0000e-01	0.0000e+00	1.0602e+05
1.5000e-01	0.0000e+00	1.0622e+05
2.0000e-01	0.0000e+00	1.0642e+05
2.5000e-01	0.0000e+00	1.0662e+05
3.0000e-01	0.0000e+00	1.0683e+05
3.5000e-01	0.0000e+00	1.0703e+05
4.0000e-01	0.0000e+00	1.0724e+05
4.5000e-01	0.0000e+00	1.0744e+05
5.0000e-01	0.0000e+00	1.0762e+05
5.5000e-01	0.0000e+00	1.0779e+05
6.0000e-01	0.0000e+00	1.0799e+05
6.5000e-01	0.0000e+00	1.0820e+05
7.0000e-01	0.0000e+00	1.0840e+05
7.5000e-01	0.0000e+00	1.0860e+05
8.0000e-01	0.0000e+00	1.0880e+05
8.5000e-01	0.0000e+00	1.0901e+05
9.0000e-01	0.0000e+00	1.0921e+05
9.5000e-01	0.0000e+00	1.0942e+05
1.0000e+00	1.6696e+10	1.0962e+05
1.0139e+00	1.6375e+10	1.0968e+05
1.0281e+00	1.6055e+10	1.0973e+05
1.0424e+00	1.5744e+10	1.0979e+05
1.0569e+00	1.5442e+10	1.0985e+05
1.0717e+00	1.5147e+10	1.0991e+05
1.0866e+00	1.4853e+10	1.0997e+05
1.1018e+00	1.4570e+10	1.1003e+05
1.1171e+00	1.4290e+10	1.1009e+05
1.1327e+00	1.4014e+10	1.1016e+05
1.1485e+00	1.3752e+10	1.1022e+05
1.1645e+00	1.3492e+10	1.1029e+05
1.1807e+00	1.3240e+10	1.1035e+05
1.1972e+00	1.2985e+10	1.1042e+05
1.2139e+00	1.2734e+10	1.1049e+05
1.2308e+00	1.2487e+10	1.1056e+05
1.2479e+00	1.2248e+10	1.1063e+05
1.2653e+00	1.2016e+10	1.1070e+05
1.2830e+00	1.1790e+10	1.1077e+05
1.3009e+00	1.1567e+10	1.1085e+05
1.3190e+00	1.1349e+10	1.1092e+05
1.3374e+00	1.1133e+10	1.1100e+05
1.3560e+00	1.0915e+10	1.1107e+05
1.3749e+00	1.0702e+10	1.1115e+05
1.3941e+00	1.0498e+10	1.1123e+05
1.4135e+00	1.0299e+10	1.1131e+05
1.4332e+00	1.0099e+10	1.1139e+05
1.4532e+00	9.9033e+09	1.1147e+05
1.4735e+00	9.7102e+09	1.1155e+05
1.4940e+00	9.5190e+09	1.1164e+05
1.5148e+00	9.3369e+09	1.1172e+05
1.5359e+00	9.1506e+09	1.1178e+05
1.5573e+00	8.9733e+09	1.1184e+05
1.5791e+00	8.8014e+09	1.1192e+05
1.6011e+00	8.6324e+09	1.1200e+05
1.6234e+00	8.4658e+09	1.1209e+05
1.6460e+00	8.3045e+09	1.1219e+05
1.6690e+00	8.1410e+09	1.1228e+05
1.6922e+00	7.9780e+09	1.1238e+05
1.7158e+00	7.8228e+09	1.1247e+05
1.7397e+00	7.6684e+09	1.1257e+05
1.7640e+00	7.5177e+09	1.1267e+05
1.7886e+00	7.3719e+09	1.1277e+05
1.8135e+00	7.2299e+09	1.1288e+05
1.8388e+00	7.0832e+09	1.1298e+05
1.8644e+00	6.9449e+09	1.1308e+05
1.8904e+00	6.8106e+09	1.1319e+05
1.9167e+00	6.6730e+09	1.1330e+05
1.9435e+00	6.5379e+09	1.1341e+05
1.9706e+00	6.4123e+09	1.1352e+05
1.9980e+00	6.2846e+09	1.1363e+05
2.0259e+00	6.1578e+09	1.1375e+05
2.0541e+00	6.0351e+09	1.1386e+05
2.0828e+00	5.9158e+09	1.1398e+05
2.1118e+00	5.7997e+09	1.1410e+05
2.1412e+00	5.6849e+09	1.1422e+05
2.1711e+00	5.5710e+09	1.1434e+05
2.2013e+00	5.4597e+09	1.1447e+05
2.2320e+00	5.3507e+09	1.1459e+05
2.2631e+00	5.2437e+09	1.1472e+05
2.2947e+00	5.1365e+09	1.1485e+05
2.3267e+00	5.0331e+09	1.1498e+05
2.3591e+00	4.9313e+09	1.1512e+05
2.3920e+00	4.8281e+09	1.1526e+05
2.4253e+00	4.7303e+09	1.1539e+05
2.4591e+00	4.6341e+09	1.1553e+05
2.4934e+00	4.5394e+09	1.1567e+05
2.5282e+00	4.4436e+09	1.1582e+05
2.5634e+00	4.3530e+09	1.1594e+05
2.5991e+00	4.2654e+09	1.1603e+05
2.6354e+00	4.1798e+09	1.1616e+05
2.6721e+00	4.0944e+09	1.1631e+05
2.7094e+00	4.0100e+09	1.1646e+05
2.7471e+00	3.9295e+09	1.1662e+05
2.7854e+00	3.8497e+09	1.1678e+05
2.8242e+00	3.7723e+09	1.1694e+05
2.8636e+00	3.6912e+09	1.1710e+05
2.9035e+00	3.6138e+09	1.1726e+05
2.9440e+00	3.5377e+09	1.1743e+05
2.9850e+00	3.4625e+09	1.1760e+05
3.0266e+00	3.3892e+09	1.1777e+05
3.0688e+00	3.3195e+09	1.1795e+05
3.1116e+00	3.2499e+09	1.1812e+05
3.1550e+00	3.1818e+09	1.1830e+05
3.1990e+00	3.1150e+09	1.1848e+05
3.2436e+00	3.0497e+09	1.1866e+05
3.2888e+00	2.9836e+09	1.1885e+05
3.3346e+00	2.9225e+09	1.1904e+05
3.3811e+00	2.8624e+09	1.1924e+05
3.4282e+00	2.8018e+09	1.1944e+05
3.4760e+00	2.7416e+09	1.1964e+05
3.5245e+00	2.6829e+09	1.1984e+05
3.5736e+00	2.6253e+09	1.2004e+05
3.6234e+00	2.5697e+09	1.2025e+05
3.6739e+00	2.5145e+09	1.2046e+05
3.7251e+00	2.4599e+09	1.2067e+05
3.7771e+00	2.4068e+09	1.2089e+05
3.8297e+00	2.3547e+09	1.2110e+05
3.8831e+00	2.3040e+09	1.2132e+05
3.9372e+00	2.2539e+09	1.2155e+05
3.9921e+00	2.2066e+09	1.2178e+05
4.0478e+00	2.1580e+09	1.2201e+05
4.1042e+00	2.1114e+09	1.2224e+05
4.1614e+00	2.0676e+09	1.2248e+05
4.2194e+00	2.0207e+09	1.2272e+05
4.2782e+00	1.9750e+09	1.2296e+05
4.3379e+00	1.9307e+09	1.2321e+05
4.3983e+00	1.8883e+09	1.2346e+05
4.4596e+00	1.8463e+09	1.2372e+05
4.5218e+00	1.8057e+09	1.2397e+05
4.5848e+00	1.7662e+09	1.2423e+05
4.6487e+00	1.7275e+09	1.2450e+05
4.7135e+00	1.6878e+09	1.2477e+05
4.7792e+00	1.6501e+09	1.2504e+05
4.8459e+00	1.6132e+09	1.2532e+05
4.9134e+00	1.5769e+09	1.2560e+05
4.9819e+00	1.5414e+09	1.2589e+05
5.0513e+00	1.5065e+09	1.2617e+05
5.1218e+00	1.4727e+09	1.2647e+05
5.1932e+00	1.4401e+09	1.2676e+05
5.2655e+00	1.4069e+09	1.2706e+05
5.3389e+00	1.3751e+09	1.2735e+05
5.4134e+00	1.3424e+09	1.2766e+05
5.4888e+00	1.3112e+09	1.2797e+05
5.5653e+00	1.2810e+09	1.2829e+05
5.6429e+00	1.2504e+09	1.2861e+05
5.7216e+00	1.2211e+09	1.2893e+05
5.8013e+00	1.1922e+09	1.2926e+05
5.8822e+00	1.1640e+09	1.2959e+05
5.9642e+00	1.1370e+09	1.2993e+05
6.0473e+00	1.1105e+09	1.3028e+05
6.1316e+00	1.0853e+09	1.3062e+05
6.2171e+00	1.0601e+09	1.3098e+05
6.3038e+00	1.0337e+09	1.3134e+05
6.3916e+00	1.0089e+09	1.3171e+05
6.4807e+00	9.8525e+08	1.3208e+05
6.5711e+00	9.6065e+08	1.3245e+05
6.6627e+00	9.3686e+08	1.3282e+05
6.7555e+00	9.1375e+08	1.3320e+05
6.8497e+00	8.9127e+08	1.3359e+05
6.9452e+00	8.6902e+08	1.3398e+05
7.0420e+00	8.4718e+08	1.3437e+05
7.1402e+00	8.2708e+08	1.3478e+05
7.2397e+00	8.0740e+08	1.3519e+05
7.3406e+00	7.8580e+08	1.3560e+05
7.4429e+00	7.6460e+08	1.3601e+05
7.5467e+00	7.4621e+08	1.3644e+05
7.6519e+00	7.2674e+08	1.3687e+05
7.7585e+00	7.0835e+08	1.3730e+05
7.8667e+00	6.9087e+08	1.3774e+05
7.9763e+00	6.7383e+08	1.3819e+05
8.0875e+00	6.5701e+08	1.3864e+05
8.2003e+00	6.4056e+08	1.3910e+05
8.3146e+00	6.2376e+08	1.3956e+05
8.4305e+00	6.0799e+08	1.4003e+05
8.5480e+00	5.9228e+08	1.4051e+05
8.6671e+00	5.7736e+08	1.4099e+05
8.7880e+00	5.6248e+08	1.4149e+05
8.9105e+00	5.4727e+08	1.4198e+05
9.0347e+00	5.3337e+08	1.4249e+05
9.1606e+00	5.1966e+08	1.4300e+05
9.2883e+00	5.0647e+08	1.4353e+05
9.4178e+00	4.9355e+08	1.4405e+05
9.5490e+00	4.7989e+08	1.4457e+05
9.6822e+00	4.6720e+08	1.4510e+05
9.8171e+00	4.5429e+08	1.4564e+05
9.9540e+00	4.4194e+08	1.4619e+05
1.0093e+01	4.3015e+08	1.4675e+05
1.0233e+01	4.1894e+08	1.4731e+05
1.0376e+01	4.0768e+08	1.4788e+05
1.0521e+01	3.9668e+08	1.4844e+05
1.0667e+01	3.8602e+08	1.4901e+05
1.0816e+01	3.7526e+08	1.4958e+05
1.0967e+01	3.6462e+08	1.5017e+05
1.1120e+01	3.5462e+08	1.5077e+05
1.1275e+01	3.4470e+08	1.5137e+05
1.1432e+01	3.3497e+08	1.5198e+05
1.1591e+01	3.2569e+08	1.5260e+05
1.1753e+01	3.1588e+08	1.5327e+05
1.1917e+01	3.0684e+08	1.5390e+05
1.2083e+01	2.9821e+08	1.5454e+05
1.2251e+01	2.8998e+08	1.5518e+05
1.2422e+01	2.8171e+08	1.5582e+05
1.2595e+01	2.7375e+08	1.5648e+05
1.2771e+01	2.6607e+08	1.5715e+05
1.2949e+01	2.5846e+08	1.5782e+05
1.3129e+01	2.5105e+08	1.5850e+05
1.3312e+01	2.4342e+08	1.5919e+05
1.3498e+01	2.3668e+08	1.5988e+05
1.3686e+01	2.2970e+08	1.6059e+05
1.3877e+01	2.2305e+08	1.6127e+05
1.4070e+01	2.1629e+08	1.6198e+05
1.4266e+01	2.0985e+08	1.6270e+05
1.4465e+01	2.0345e+08	1.6343e+05
1.4667e+01	1.9721e+08	1.6418e+05
1.4871e+01	1.9128e+08	1.6492e+05
1.5078e+01	1.8575e+08	1.6567e+05
1.5289e+01	1.8000e+08	1.6642e+05
1.5502e+01	1.7451e+08	1.6717e+05
1.5718e+01	1.6927e+08	1.6793e+05
1.5937e+01	1.6430e+08	1.6873e+05
1.6159e+01	1.5918e+08	1.6949e+05
1.6384e+01	1.5398e+08	1.7028e+05
1.6613e+01	1.4918e+08	1.7107e+05
1.6844e+01	1.4463e+08	1.7186e+05
1.7079e+01	1.3998e+08	1.7268e+05
1.7317e+01	1.3564e+08	1.7352e+05
1.7559e+01	1.3103e+08	1.7433e+05
1.7803e+01	1.2680e+08	1.7515e+05
1.8051e+01	1.2282e+08	1.7598e+05
1.8303e+01	1.1897e+08	1.7681e+05
1.8558e+01	1.1511e+08	1.7766e+05
1.8817e+01	1.1154e+08	1.7852e+05
1.9079e+01	1.0812e+08	1.7937e+05
1.9345e+01	1.0462e+08	1.8021e+05
1.9615e+01	1.0111e+08	1.8108e+05
1.9888e+01	9.7873e+07	1.8198e+05
2.0166e+01	9.4517e+07	1.8286e+05
2.0447e+01	9.1459e+07	1.8371e+05
2.0732e+01	8.8459e+07	1.8459e+05
2.1021e+01	8.5498e+07	1.8545e+05
2.1314e+01	8.2713e+07	1.8639e+05
2.1611e+01	7.9956e+07	1.8726e+05
2.1912e+01	7.7268e+07	1.8814e+05
2.2217e+01	7.4617e+07	1.8901e+05
2.2527e+01	7.2054e+07	1.8991e+05
2.2841e+01	6.9558e+07	1.9081e+05
2.3160e+01	6.7194e+07	1.9171e+05
2.3482e+01	6.4928e+07	1.9261e+05
2.3810e+01	6.2725e+07	1.9351e+05
2.4142e+01	6.0513e+07	1.9442e+05
2.4478e+01	5.8358e+07	1.9533e+05
2.4819e+01	5.6333e+07	1.9623e+05
2.5165e+01	5.4401e+07	1.9715e+05
2.5516e+01	5.2458e+07	1.9807e+05
2.5872e+01	5.0717e+07	1.9900e+05
2.6232e+01	4.9086e+07	1.9993e+05
2.6598e+01	4.7380e+07	2.0086e+05
2.6969e+01	4.5638e+07	2.0177e+05
2.7345e+01	4.4063e+07	2.0269e+05
2.7726e+01	4.2521e+07	2.0364e+05
2.8112e+01	4.0974e+07	2.0456e+05
2.8504e+01	3.9474e+07	2.0545e+05
2.8902e+01	3.8025e+07	2.0638e+05
2.9304e+01	3.6685e+07	2.0724e+05
2.9713e+01	3.5321e+07	2.0810e+05
3.0127e+01	3.4118e+07	2.0897e+05
3.0547e+01	3.2970e+07	2.0980e+05
3.0973e+01	3.1834e+07	2.1063e+05
3.1405e+01	3.0742e+07	2.1148e+05
3.1842e+01	2.9646e+07	2.1229e+05
3.2286e+01	2.8598e+07	2.1309e+05
3.2736e+01	2.7573e+07	2.1388e+05
3.3193e+01	2.6623e+07	2.1469e+05
3.3655e+01	2.5660e+07	2.1548e+05
3.4124e+01	2.4754e+07	2.1629e+05
3.4600e+01	2.3853e+07	2.1706e+05
3.5082e+01	2.2997e+07	2.1781e+05
3.5572e+01	2.2144e+07	2.1854e+05
3.6067e+01	2.1337e+07	2.1927e+05
3.6570e+01	2.0567e+07	2.2001e+05
3.7080e+01	1.9863e+07	2.2070e+05
3.7597e+01	1.9145e+07	2.2136e+05
3.8121e+01	1.8452e+07	2.2202e+05
