Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	7.8748e+04
1.5000e-03	0.0000e+00	7.8768e+04
2.0000e-03	0.0000e+00	7.8783e+04
2.5000e-03	0.0000e+00	7.8794e+04
3.0000e-03	0.0000e+00	7.8803e+04
3.5000e-03	0.0000e+00	7.8811e+04
4.0000e-03	0.0000e+00	7.8818e+04
4.5000e-03	0.0000e+00	7.8824e+04
5.0000e-03	0.0000e+00	7.8829e+04
5.5000e-03	0.0000e+00	7.8834e+04
6.0000e-03	0.0000e+00	7.8838e+04
6.5000e-03	0.0000e+00	7.8843e+04
7.0000e-03	0.0000e+00	7.8846e+04
7.5000e-03	0.0000e+00	7.8850e+04
8.0000e-03	0.0000e+00	7.8853e+04
8.5000e-03	0.0000e+00	7.8856e+04
9.0000e-03	0.0000e+00	7.8859e+04
9.5000e-03	0.0000e+00	7.8862e+04
1.0000e-02	0.0000e+00	7.8864e+04
1.5000e-02	0.0000e+00	7.8885e+04
2.0000e-02	0.0000e+00	7.8900e+04
2.5000e-02	0.0000e+00	7.8911e+04
3.0000e-02	0.0000e+00	7.8920e+04
3.5000e-02	0.0000e+00	7.8928e+04
4.0000e-02	0.0000e+00	7.8935e+04
4.5000e-02	0.0000e+00	7.8941e+04
5.0000e-02	2.2480e+11	7.8966e+04
5.1684e-02	2.1522e+11	7.8976e+04
5.3424e-02	2.0607e+11	7.8985e+04
5.5224e-02	1.9715e+11	7.8994e+04
5.7083e-02	1.8858e+11	7.9003e+04
5.9006e-02	1.8045e+11	7.9012e+04
6.0993e-02	1.7298e+11	7.9021e+04
6.3047e-02	1.6550e+11	7.9031e+04
6.5170e-02	1.5850e+11	7.9040e+04
6.7365e-02	1.5180e+11	7.9049e+04
6.9633e-02	1.4521e+11	7.9058e+04
7.1978e-02	1.3906e+11	7.9067e+04
7.4402e-02	1.3315e+11	7.9076e+04
7.6908e-02	1.2744e+11	7.9086e+04
7.9498e-02	1.2202e+11	7.9095e+04
8.2175e-02	1.1677e+11	7.9104e+04
8.4943e-02	1.1171e+11	7.9113e+04
8.7803e-02	1.0701e+11	7.9122e+04
9.0760e-02	1.0239e+11	7.9131e+04
9.3817e-02	9.7984e+10	7.9141e+04
9.6976e-02	9.3748e+10	7.9155e+04
1.0024e-01	8.9824e+10	7.9171e+04
1.0362e-01	8.6090e+10	7.9187e+04
1.0711e-01	8.2429e+10	7.9203e+04
1.1071e-01	7.8840e+10	7.9219e+04
1.1444e-01	7.5420e+10	7.9235e+04
1.1830e-01	7.2255e+10	7.9251e+04
1.2228e-01	6.9159e+10	7.9267e+04
1.2640e-01	6.6217e+10	7.9283e+04
1.3066e-01	6.3410e+10	7.9299e+04
1.3506e-01	6.0649e+10	7.9315e+04
1.3960e-01	5.8103e+10	7.9331e+04
1.4430e-01	5.5630e+10	7.9348e+04
1.4916e-01	5.3270e+10	7.9370e+04
1.5419e-01	5.1023e+10	7.9393e+04
1.5938e-01	4.8885e+10	7.9416e+04
1.6475e-01	4.6814e+10	7.9439e+04
1.7030e-01	4.4781e+10	7.9461e+04
1.7603e-01	4.2853e+10	7.9484e+04
1.8196e-01	4.1033e+10	7.9507e+04
1.8809e-01	3.9295e+10	7.9530e+04
1.9442e-01	3.7632e+10	7.9554e+04
2.0097e-01	3.6046e+10	7.9584e+04
2.0774e-01	3.4472e+10	7.9613e+04
2.1473e-01	3.2961e+10	7.9643e+04
2.2196e-01	3.1549e+10	7.9672e+04
2.2944e-01	3.0208e+10	7.9702e+04
2.3717e-01	2.8888e+10	7.9731e+04
2.4515e-01	2.7661e+10	7.9764e+04
2.5341e-01	2.6485e+10	7.9800e+04
2.6194e-01	2.5346e+10	7.9836e+04
2.7076e-01	2.4250e+10	7.9872e+04
2.7988e-01	2.3223e+10	7.9909e+04
2.8931e-01	2.2215e+10	7.9945e+04
2.9905e-01	2.1247e+10	7.9987e+04
3.0912e-01	2.0289e+10	8.0030e+04
3.1953e-01	1.9406e+10	8.0073e+04
3.3029e-01	1.8593e+10	8.0116e+04
3.4142e-01	1.7783e+10	8.0159e+04
3.5291e-01	1.7034e+10	8.0209e+04
3.6480e-01	1.6316e+10	8.0259e+04
3.7708e-01	1.5595e+10	8.0309e+04
3.8978e-01	1.4925e+10	8.0359e+04
4.0291e-01	1.4290e+10	8.0415e+04
4.1648e-01	1.3678e+10	8.0472e+04
4.3050e-01	1.3074e+10	8.0528e+04
4.4500e-01	1.2517e+10	8.0588e+04
4.5999e-01	1.1971e+10	8.0651e+04
4.7548e-01	1.1457e+10	8.0714e+04
4.9149e-01	1.0959e+10	8.0779e+04
5.0804e-01	1.0488e+10	8.0849e+04
5.2515e-01	1.0034e+10	8.0919e+04
5.4284e-01	9.5900e+09	8.0992e+04
5.6112e-01	9.1559e+09	8.1068e+04
5.8001e-01	8.7523e+09	8.1145e+04
5.9955e-01	8.3692e+09	8.1227e+04
6.1974e-01	8.0006e+09	8.1310e+04
6.4061e-01	7.6519e+09	8.1396e+04
6.6218e-01	7.3202e+09	8.1486e+04
6.8448e-01	7.0017e+09	8.1577e+04
7.0753e-01	6.6894e+09	8.1674e+04
7.3136e-01	6.3994e+09	8.1771e+04
7.5599e-01	6.1185e+09	8.1874e+04
7.8145e-01	5.8536e+09	8.1978e+04
8.0777e-01	5.5945e+09	8.2089e+04
8.3497e-01	5.3472e+09	8.2200e+04
8.6309e-01	5.1106e+09	8.2318e+04
8.9215e-01	4.8835e+09	8.2438e+04
9.2220e-01	4.6705e+09	8.2563e+04
9.5326e-01	4.4604e+09	8.2692e+04
9.8536e-01	4.2593e+09	8.2825e+04
1.0185e+00	4.0668e+09	8.2963e+04
1.0528e+00	3.8815e+09	8.3106e+04
1.0883e+00	3.7051e+09	8.3253e+04
1.1249e+00	3.5370e+09	8.3405e+04
1.1628e+00	3.3798e+09	8.3564e+04
1.2020e+00	3.2279e+09	8.3727e+04
1.2425e+00	3.0807e+09	8.3895e+04
1.2843e+00	2.9434e+09	8.4069e+04
1.3276e+00	2.8119e+09	8.4250e+04
1.3723e+00	2.6827e+09	8.4437e+04
1.4185e+00	2.5622e+09	8.4630e+04
1.4663e+00	2.4443e+09	8.4830e+04
1.5156e+00	2.3325e+09	8.5036e+04
1.5667e+00	2.2243e+09	8.5250e+04
1.6194e+00	2.1236e+09	8.5471e+04
1.6740e+00	2.0264e+09	8.5700e+04
1.7304e+00	1.9320e+09	8.5936e+04
1.7886e+00	1.8429e+09	8.6181e+04
1.8489e+00	1.7571e+09	8.6435e+04
1.9111e+00	1.6756e+09	8.6696e+04
1.9755e+00	1.5974e+09	8.6966e+04
2.0420e+00	1.5218e+09	8.7246e+04
2.1108e+00	1.4509e+09	8.7535e+04
2.1819e+00	1.3828e+09	8.7832e+04
2.2553e+00	1.3175e+09	8.8141e+04
2.3313e+00	1.2546e+09	8.8459e+04
2.4098e+00	1.1938e+09	8.8788e+04
2.4910e+00	1.1365e+09	8.9128e+04
2.5748e+00	1.0811e+09	8.9479e+04
2.6616e+00	1.0298e+09	8.9843e+04
2.7512e+00	9.8024e+08	9.0218e+04
2.8438e+00	9.3284e+08	9.0606e+04
2.9396e+00	8.8653e+08	9.1007e+04
3.0386e+00	8.4240e+08	9.1421e+04
3.1409e+00	8.0091e+08	9.1850e+04
3.2467e+00	7.6128e+08	9.2293e+04
3.3561e+00	7.2374e+08	9.2750e+04
3.4691e+00	6.8756e+08	9.3223e+04
3.5859e+00	6.5283e+08	9.3712e+04
3.7067e+00	6.1974e+08	9.4216e+04
3.8315e+00	5.8825e+08	9.4738e+04
3.9605e+00	5.5847e+08	9.5277e+04
