Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.2263e+04
1.5000e-03	0.0000e+00	1.2265e+04
2.0000e-03	0.0000e+00	1.2266e+04
2.5000e-03	0.0000e+00	1.2267e+04
3.0000e-03	0.0000e+00	1.2268e+04
3.5000e-03	0.0000e+00	1.2269e+04
4.0000e-03	0.0000e+00	1.2270e+04
4.5000e-03	0.0000e+00	1.2270e+04
5.0000e-03	0.0000e+00	1.2271e+04
5.5000e-03	0.0000e+00	1.2271e+04
6.0000e-03	0.0000e+00	1.2272e+04
6.5000e-03	0.0000e+00	1.2272e+04
7.0000e-03	0.0000e+00	1.2273e+04
7.5000e-03	0.0000e+00	1.2273e+04
8.0000e-03	0.0000e+00	1.2273e+04
8.5000e-03	0.0000e+00	1.2274e+04
9.0000e-03	0.0000e+00	1.2274e+04
9.5000e-03	0.0000e+00	1.2274e+04
1.0000e-02	0.0000e+00	1.2274e+04
1.5000e-02	0.0000e+00	1.2277e+04
2.0000e-02	0.0000e+00	1.2278e+04
2.5000e-02	0.0000e+00	1.2279e+04
3.0000e-02	0.0000e+00	1.2280e+04
3.5000e-02	0.0000e+00	1.2281e+04
4.0000e-02	0.0000e+00	1.2283e+04
4.5000e-02	0.0000e+00	1.2284e+04
5.0000e-02	7.1557e+10	1.2285e+04
5.1684e-02	6.8507e+10	1.2286e+04
5.3424e-02	6.5593e+10	1.2286e+04
5.5224e-02	6.2754e+10	1.2286e+04
5.7083e-02	6.0025e+10	1.2287e+04
5.9006e-02	5.7440e+10	1.2287e+04
6.0993e-02	5.5061e+10	1.2288e+04
6.3047e-02	5.2680e+10	1.2288e+04
6.5170e-02	5.0452e+10	1.2289e+04
6.7365e-02	4.8321e+10	1.2289e+04
6.9633e-02	4.6222e+10	1.2289e+04
7.1978e-02	4.4263e+10	1.2290e+04
7.4402e-02	4.2383e+10	1.2290e+04
7.6908e-02	4.0566e+10	1.2291e+04
7.9498e-02	3.8841e+10	1.2291e+04
8.2175e-02	3.7169e+10	1.2292e+04
8.4943e-02	3.5558e+10	1.2293e+04
8.7803e-02	3.4062e+10	1.2294e+04
9.0760e-02	3.2593e+10	1.2294e+04
9.3817e-02	3.1189e+10	1.2295e+04
9.6976e-02	2.9841e+10	1.2296e+04
1.0024e-01	2.8592e+10	1.2297e+04
1.0362e-01	2.7403e+10	1.2297e+04
1.0711e-01	2.6238e+10	1.2298e+04
1.1071e-01	2.5095e+10	1.2299e+04
1.1444e-01	2.4007e+10	1.2300e+04
1.1830e-01	2.2999e+10	1.2301e+04
1.2228e-01	2.2014e+10	1.2302e+04
1.2640e-01	2.1078e+10	1.2303e+04
1.3066e-01	2.0184e+10	1.2304e+04
1.3506e-01	1.9305e+10	1.2305e+04
1.3960e-01	1.8495e+10	1.2307e+04
1.4430e-01	1.7707e+10	1.2308e+04
1.4916e-01	1.6956e+10	1.2309e+04
1.5419e-01	1.6241e+10	1.2311e+04
1.5938e-01	1.5560e+10	1.2312e+04
1.6475e-01	1.4902e+10	1.2313e+04
1.7030e-01	1.4254e+10	1.2315e+04
1.7603e-01	1.3640e+10	1.2317e+04
1.8196e-01	1.3061e+10	1.2318e+04
1.8809e-01	1.2508e+10	1.2320e+04
1.9442e-01	1.1978e+10	1.2322e+04
2.0097e-01	1.1474e+10	1.2323e+04
2.0774e-01	1.0973e+10	1.2325e+04
2.1473e-01	1.0492e+10	1.2327e+04
2.2196e-01	1.0042e+10	1.2329e+04
2.2944e-01	9.6155e+09	1.2332e+04
2.3717e-01	9.1955e+09	1.2334e+04
2.4515e-01	8.8048e+09	1.2336e+04
2.5341e-01	8.4305e+09	1.2338e+04
2.6194e-01	8.0677e+09	1.2341e+04
2.7076e-01	7.7191e+09	1.2343e+04
2.7988e-01	7.3921e+09	1.2345e+04
2.8931e-01	7.0714e+09	1.2348e+04
2.9905e-01	6.7631e+09	1.2351e+04
3.0912e-01	6.4583e+09	1.2353e+04
3.1953e-01	6.1771e+09	1.2356e+04
3.3029e-01	5.9182e+09	1.2359e+04
3.4142e-01	5.6605e+09	1.2362e+04
3.5291e-01	5.4222e+09	1.2366e+04
3.6480e-01	5.1935e+09	1.2369e+04
3.7708e-01	4.9640e+09	1.2372e+04
3.8978e-01	4.7506e+09	1.2376e+04
4.0291e-01	4.5488e+09	1.2379e+04
4.1648e-01	4.3538e+09	1.2383e+04
4.3050e-01	4.1616e+09	1.2387e+04
4.4500e-01	3.9842e+09	1.2391e+04
4.5999e-01	3.8104e+09	1.2395e+04
4.7548e-01	3.6468e+09	1.2399e+04
4.9149e-01	3.4882e+09	1.2404e+04
5.0804e-01	3.3385e+09	1.2408e+04
5.2515e-01	3.1938e+09	1.2413e+04
5.4284e-01	3.0526e+09	1.2418e+04
5.6112e-01	2.9144e+09	1.2423e+04
5.8001e-01	2.7859e+09	1.2429e+04
5.9955e-01	2.6640e+09	1.2434e+04
6.1974e-01	2.5467e+09	1.2440e+04
6.4061e-01	2.4357e+09	1.2446e+04
6.6218e-01	2.3301e+09	1.2453e+04
6.8448e-01	2.2287e+09	1.2460e+04
7.0753e-01	2.1293e+09	1.2466e+04
7.3136e-01	2.0370e+09	1.2474e+04
7.5599e-01	1.9476e+09	1.2481e+04
7.8145e-01	1.8632e+09	1.2489e+04
8.0777e-01	1.7808e+09	1.2496e+04
8.3497e-01	1.7021e+09	1.2504e+04
8.6309e-01	1.6268e+09	1.2512e+04
8.9215e-01	1.5545e+09	1.2520e+04
9.2220e-01	1.4867e+09	1.2529e+04
9.5326e-01	1.4198e+09	1.2537e+04
9.8536e-01	1.3558e+09	1.2547e+04
1.0185e+00	1.2945e+09	1.2556e+04
1.0528e+00	1.2355e+09	1.2565e+04
1.0883e+00	1.1794e+09	1.2575e+04
1.1249e+00	1.1259e+09	1.2585e+04
1.1628e+00	1.0758e+09	1.2596e+04
1.2020e+00	1.0275e+09	1.2606e+04
1.2425e+00	9.8062e+08	1.2618e+04
1.2843e+00	9.3691e+08	1.2629e+04
1.3276e+00	8.9506e+08	1.2641e+04
1.3723e+00	8.5394e+08	1.2654e+04
1.4185e+00	8.1557e+08	1.2666e+04
1.4663e+00	7.7805e+08	1.2679e+04
1.5156e+00	7.4245e+08	1.2693e+04
1.5667e+00	7.0801e+08	1.2707e+04
1.6194e+00	6.7595e+08	1.2721e+04
1.6740e+00	6.4502e+08	1.2737e+04
1.7304e+00	6.1499e+08	1.2752e+04
1.7886e+00	5.8661e+08	1.2769e+04
1.8489e+00	5.5929e+08	1.2785e+04
1.9111e+00	5.3337e+08	1.2803e+04
1.9755e+00	5.0847e+08	1.2821e+04
2.0420e+00	4.8440e+08	1.2839e+04
2.1108e+00	4.6183e+08	1.2859e+04
2.1819e+00	4.4017e+08	1.2878e+04
2.2553e+00	4.1939e+08	1.2898e+04
2.3313e+00	3.9935e+08	1.2919e+04
2.4098e+00	3.7999e+08	1.2940e+04
2.4910e+00	3.6177e+08	1.2962e+04
2.5748e+00	3.4413e+08	1.2985e+04
2.6616e+00	3.2781e+08	1.3009e+04
2.7512e+00	3.1202e+08	1.3034e+04
2.8438e+00	2.9693e+08	1.3059e+04
2.9396e+00	2.8219e+08	1.3085e+04
3.0386e+00	2.6814e+08	1.3113e+04
3.1409e+00	2.5494e+08	1.3143e+04
3.2467e+00	2.4232e+08	1.3172e+04
3.3561e+00	2.3037e+08	1.3202e+04
3.4691e+00	2.1886e+08	1.3234e+04
3.5859e+00	2.0780e+08	1.3265e+04
3.7067e+00	1.9727e+08	1.3298e+04
3.8315e+00	1.8725e+08	1.3332e+04
3.9605e+00	1.7777e+08	1.3368e+04
4.0939e+00	1.6866e+08	1.3409e+04
4.2318e+00	1.6004e+08	1.3449e+04
4.3743e+00	1.5157e+08	1.3488e+04
4.5216e+00	1.4370e+08	1.3528e+04
4.6739e+00	1.3626e+08	1.3570e+04
4.8313e+00	1.2902e+08	1.3612e+04
4.9940e+00	1.2217e+08	1.3656e+04
5.1621e+00	1.1572e+08	1.3702e+04
5.3360e+00	1.0953e+08	1.3748e+04
5.5157e+00	1.0346e+08	1.3797e+04
5.7014e+00	9.7767e+07	1.3846e+04
5.8934e+00	9.2314e+07	1.3898e+04
6.0919e+00	8.7320e+07	1.3950e+04
6.2971e+00	8.2412e+07	1.4005e+04
6.5091e+00	7.7822e+07	1.4062e+04
6.7283e+00	7.3274e+07	1.4119e+04
6.9549e+00	6.8966e+07	1.4178e+04
7.1891e+00	6.5039e+07	1.4237e+04
7.4313e+00	6.1025e+07	1.4301e+04
7.6815e+00	5.7415e+07	1.4366e+04
7.9402e+00	5.4059e+07	1.4432e+04
8.2076e+00	5.0891e+07	1.4500e+04
8.4840e+00	4.7801e+07	1.4569e+04
8.7697e+00	4.4945e+07	1.4641e+04
9.0651e+00	4.2180e+07	1.4716e+04
9.3703e+00	3.9650e+07	1.4794e+04
9.6859e+00	3.7149e+07	1.4874e+04
1.0012e+01	3.4761e+07	1.4958e+04
1.0349e+01	3.2613e+07	1.5042e+04
1.0698e+01	3.0546e+07	1.5129e+04
1.1058e+01	2.8539e+07	1.5215e+04
1.1430e+01	2.6663e+07	1.5305e+04
1.1815e+01	2.4865e+07	1.5399e+04
1.2213e+01	2.3215e+07	1.5495e+04
