Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
5.0000e-02	4.6580e+02	4.6580e+02	7.4647e-08
5.5000e-02	4.6850e+02	4.6850e+02	7.5080e-08
6.0000e-02	4.6950e+02	4.6950e+02	7.5240e-08
6.5000e-02	4.6920e+02	4.6920e+02	7.5192e-08
7.0000e-02	4.6800e+02	4.6800e+02	7.5000e-08
7.5000e-02	4.6610e+02	4.6610e+02	7.4696e-08
8.0000e-02	4.6360e+02	4.6360e+02	7.4295e-08
8.5000e-02	4.6060e+02	4.6060e+02	7.3814e-08
9.0000e-02	4.5730e+02	4.5730e+02	7.3285e-08
9.5000e-02	4.5370e+02	4.5370e+02	7.2708e-08
1.0000e-01	4.4990e+02	4.4990e+02	7.2099e-08
1.5000e-01	4.0950e+02	4.0950e+02	6.5625e-08
2.0000e-01	3.7300e+02	3.7300e+02	5.9776e-08
2.5000e-01	3.4270e+02	3.4270e+02	5.4920e-08
3.0000e-01	3.1780e+02	3.1780e+02	5.0929e-08
3.5000e-01	2.9690e+02	2.9690e+02	4.7580e-08
4.0000e-01	2.7920e+02	2.7920e+02	4.4744e-08
4.5000e-01	2.6400e+02	2.6400e+02	4.2308e-08
5.0000e-01	2.5080e+02	2.5080e+02	4.0192e-08
5.5000e-01	2.3920e+02	2.3920e+02	3.8333e-08
6.0000e-01	2.2890e+02	2.2890e+02	3.6683e-08
6.5000e-01	2.1970e+02	2.1970e+02	3.5208e-08
7.0000e-01	2.1150e+02	2.1150e+02	3.3894e-08
7.5000e-01	2.0400e+02	2.0400e+02	3.2692e-08
8.0000e-01	1.9720e+02	1.9720e+02	3.1603e-08
8.5000e-01	1.9090e+02	1.9090e+02	3.0593e-08
9.0000e-01	1.8520e+02	1.8520e+02	2.9679e-08
9.5000e-01	1.7990e+02	1.7990e+02	2.8830e-08
1.0000e+00	1.7490e+02	1.7490e+02	2.8029e-08
1.5000e+00	1.3460e+02	1.3460e+02	2.1571e-08
2.0000e+00	1.1080e+02	1.1080e+02	1.7756e-08
2.5000e+00	9.4860e+01	9.4860e+01	1.5202e-08
3.0000e+00	8.3360e+01	8.3360e+01	1.3359e-08
3.5000e+00	7.4610e+01	7.4610e+01	1.1957e-08
4.0000e+00	6.7710e+01	6.7710e+01	1.0851e-08
4.5000e+00	6.2100e+01	6.2100e+01	9.9519e-09
5.0000e+00	5.7440e+01	5.7440e+01	9.2051e-09
5.5000e+00	5.3500e+01	5.3500e+01	8.5737e-09
6.0000e+00	5.0130e+01	5.0130e+01	8.0337e-09
6.5000e+00	4.7190e+01	4.7190e+01	7.5625e-09
7.0000e+00	4.4620e+01	4.4620e+01	7.1506e-09
7.5000e+00	4.2340e+01	4.2340e+01	6.7853e-09
8.0000e+00	4.0310e+01	4.0310e+01	6.4599e-09
8.5000e+00	3.8480e+01	3.8480e+01	6.1667e-09
9.0000e+00	3.6830e+01	3.6830e+01	5.9022e-09
9.5000e+00	3.5330e+01	3.5330e+01	5.6619e-09
1.0000e+01	3.3960e+01	3.3960e+01	5.4423e-09
1.5000e+01	2.4780e+01	2.4780e+01	3.9712e-09
2.0000e+01	1.9760e+01	1.9760e+01	3.1667e-09
2.5000e+01	1.6580e+01	1.6580e+01	2.6571e-09
3.0000e+01	1.4360e+01	1.4360e+01	2.3013e-09
3.5000e+01	1.2710e+01	1.2710e+01	2.0369e-09
4.0000e+01	1.1450e+01	1.1450e+01	1.8349e-09
4.5000e+01	1.0440e+01	1.0440e+01	1.6731e-09
5.0000e+01	9.6190e+00	9.6190e+00	1.5415e-09
5.5000e+01	8.9340e+00	8.9340e+00	1.4317e-09
6.0000e+01	8.3540e+00	8.3540e+00	1.3388e-09
6.5000e+01	7.8570e+00	7.8570e+00	1.2591e-09
7.0000e+01	7.4250e+00	7.4250e+00	1.1899e-09
7.5000e+01	7.0470e+00	7.0470e+00	1.1293e-09
8.0000e+01	6.7130e+00	6.7130e+00	1.0758e-09
8.5000e+01	6.4150e+00	6.4150e+00	1.0280e-09
9.0000e+01	6.1480e+00	6.1480e+00	9.8526e-10
9.5000e+01	5.9080e+00	5.9080e+00	9.4679e-10
1.0000e+02	5.6890e+00	5.6890e+00	9.1170e-10
1.5000e+02	4.2690e+00	4.2690e+00	6.8413e-10
2.0000e+02	3.5320e+00	3.5320e+00	5.6603e-10
2.5000e+02	3.0800e+00	3.0800e+00	4.9359e-10
3.0000e+02	2.7760e+00	2.7760e+00	4.4487e-10
3.5000e+02	2.5580e+00	2.5580e+00	4.0994e-10
4.0000e+02	2.3950e+00	2.3950e+00	3.8381e-10
4.5000e+02	2.2690e+00	2.2690e+00	3.6362e-10
5.0000e+02	2.1690e+00	2.1690e+00	3.4760e-10
5.5000e+02	2.0880e+00	2.0880e+00	3.3462e-10
6.0000e+02	2.0220e+00	2.0220e+00	3.2404e-10
6.5000e+02	1.9670e+00	1.9670e+00	3.1522e-10
7.0000e+02	1.9200e+00	1.9200e+00	3.0769e-10
7.5000e+02	1.8810e+00	1.8810e+00	3.0144e-10
8.0000e+02	1.8470e+00	1.8470e+00	2.9599e-10
8.5000e+02	1.8180e+00	1.8180e+00	2.9135e-10
9.0000e+02	1.7930e+00	1.7930e+00	2.8734e-10
9.5000e+02	1.7710e+00	1.7710e+00	2.8381e-10
1.0000e+03	1.7520e+00	1.7520e+00	2.8077e-10
