Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.2589e+06
1.5000e-03	0.0000e+00	1.2593e+06
2.0000e-03	0.0000e+00	1.2596e+06
2.5000e-03	0.0000e+00	1.2598e+06
3.0000e-03	0.0000e+00	1.2599e+06
3.5000e-03	0.0000e+00	1.2601e+06
4.0000e-03	0.0000e+00	1.2602e+06
4.5000e-03	0.0000e+00	1.2603e+06
5.0000e-03	0.0000e+00	1.2604e+06
5.5000e-03	0.0000e+00	1.2605e+06
6.0000e-03	0.0000e+00	1.2606e+06
6.5000e-03	0.0000e+00	1.2606e+06
7.0000e-03	0.0000e+00	1.2607e+06
7.5000e-03	0.0000e+00	1.2608e+06
8.0000e-03	0.0000e+00	1.2608e+06
8.5000e-03	0.0000e+00	1.2609e+06
9.0000e-03	0.0000e+00	1.2609e+06
9.5000e-03	0.0000e+00	1.2610e+06
1.0000e-02	0.0000e+00	1.2611e+06
1.5000e-02	0.0000e+00	1.2623e+06
2.0000e-02	0.0000e+00	1.2632e+06
2.5000e-02	0.0000e+00	1.2639e+06
3.0000e-02	0.0000e+00	1.2648e+06
3.5000e-02	0.0000e+00	1.2657e+06
4.0000e-02	0.0000e+00	1.2666e+06
4.5000e-02	0.0000e+00	1.2673e+06
5.0000e-02	2.2796e+11	1.2683e+06
5.1684e-02	2.1825e+11	1.2686e+06
5.3424e-02	2.0895e+11	1.2690e+06
5.5224e-02	2.0005e+11	1.2693e+06
5.7083e-02	1.9153e+11	1.2696e+06
5.9006e-02	1.8337e+11	1.2699e+06
6.0993e-02	1.7555e+11	1.2702e+06
6.3047e-02	1.6807e+11	1.2706e+06
6.5170e-02	1.6091e+11	1.2710e+06
6.7365e-02	1.5405e+11	1.2714e+06
6.9633e-02	1.4748e+11	1.2718e+06
7.1978e-02	1.4120e+11	1.2722e+06
7.4402e-02	1.3517e+11	1.2726e+06
7.6908e-02	1.2941e+11	1.2731e+06
7.9498e-02	1.2389e+11	1.2735e+06
8.2175e-02	1.1861e+11	1.2740e+06
8.4943e-02	1.1355e+11	1.2745e+06
8.7803e-02	1.0870e+11	1.2750e+06
9.0760e-02	1.0407e+11	1.2756e+06
9.3817e-02	9.9625e+10	1.2761e+06
9.6976e-02	9.5373e+10	1.2766e+06
1.0024e-01	9.1302e+10	1.2772e+06
1.0362e-01	8.7404e+10	1.2779e+06
1.0711e-01	8.3672e+10	1.2785e+06
1.1071e-01	8.0099e+10	1.2791e+06
1.1444e-01	7.6678e+10	1.2797e+06
1.1830e-01	7.3402e+10	1.2805e+06
1.2228e-01	7.0266e+10	1.2812e+06
1.2640e-01	6.7263e+10	1.2819e+06
1.3066e-01	6.4388e+10	1.2826e+06
1.3506e-01	6.1636e+10	1.2835e+06
1.3960e-01	5.9000e+10	1.2843e+06
1.4430e-01	5.6477e+10	1.2851e+06
1.4916e-01	5.4061e+10	1.2860e+06
1.5419e-01	5.1748e+10	1.2869e+06
1.5938e-01	4.9533e+10	1.2878e+06
1.6475e-01	4.7413e+10	1.2887e+06
1.7030e-01	4.5383e+10	1.2898e+06
1.7603e-01	4.3439e+10	1.2908e+06
1.8196e-01	4.1578e+10	1.2918e+06
1.8809e-01	3.9797e+10	1.2929e+06
1.9442e-01	3.8091e+10	1.2941e+06
2.0097e-01	3.6458e+10	1.2952e+06
2.0774e-01	3.4894e+10	1.2965e+06
2.1473e-01	3.3397e+10	1.2977e+06
2.2196e-01	3.1964e+10	1.2990e+06
2.2944e-01	3.0592e+10	1.3003e+06
2.3717e-01	2.9278e+10	1.3017e+06
2.4515e-01	2.8021e+10	1.3032e+06
2.5341e-01	2.6816e+10	1.3046e+06
2.6194e-01	2.5664e+10	1.3062e+06
2.7076e-01	2.4560e+10	1.3077e+06
2.7988e-01	2.3503e+10	1.3094e+06
2.8931e-01	2.2492e+10	1.3106e+06
2.9905e-01	2.1523e+10	1.3104e+06
3.0912e-01	2.0596e+10	1.3109e+06
3.1953e-01	1.9708e+10	1.3122e+06
3.3029e-01	1.8859e+10	1.3140e+06
3.4142e-01	1.8045e+10	1.3160e+06
3.5291e-01	1.7266e+10	1.3181e+06
3.6480e-01	1.6521e+10	1.3202e+06
3.7708e-01	1.5807e+10	1.3224e+06
3.8978e-01	1.5124e+10	1.3247e+06
4.0291e-01	1.4470e+10	1.3271e+06
4.1648e-01	1.3843e+10	1.3295e+06
4.3050e-01	1.3244e+10	1.3320e+06
4.4500e-01	1.2670e+10	1.3346e+06
4.5999e-01	1.2121e+10	1.3373e+06
4.7548e-01	1.1595e+10	1.3401e+06
4.9149e-01	1.1091e+10	1.3430e+06
5.0804e-01	1.0609e+10	1.3459e+06
5.2515e-01	1.0148e+10	1.3488e+06
5.4284e-01	9.7063e+09	1.3519e+06
5.6112e-01	9.2836e+09	1.3551e+06
5.8001e-01	8.8790e+09	1.3585e+06
5.9955e-01	8.4917e+09	1.3620e+06
6.1974e-01	8.1209e+09	1.3656e+06
6.4061e-01	7.7660e+09	1.3694e+06
6.6218e-01	7.4264e+09	1.3732e+06
6.8448e-01	7.1012e+09	1.3773e+06
7.0753e-01	6.7900e+09	1.3814e+06
7.3136e-01	6.4921e+09	1.3857e+06
7.5599e-01	6.2070e+09	1.3901e+06
7.8145e-01	5.9341e+09	1.3947e+06
8.0777e-01	5.6730e+09	1.3994e+06
8.3497e-01	5.4230e+09	1.4043e+06
8.6309e-01	5.1837e+09	1.4094e+06
8.9215e-01	4.9548e+09	1.4146e+06
9.2220e-01	4.7356e+09	1.4198e+06
9.5326e-01	4.5259e+09	1.4247e+06
9.8536e-01	4.3252e+09	1.4297e+06
1.0185e+00	4.1331e+09	1.4356e+06
1.0528e+00	3.9493e+09	1.4418e+06
1.0883e+00	3.7734e+09	1.4482e+06
1.1249e+00	3.6051e+09	1.4510e+06
1.1628e+00	3.4440e+09	1.4578e+06
1.2020e+00	3.2899e+09	1.4649e+06
1.2425e+00	3.1424e+09	1.4721e+06
1.2843e+00	3.0013e+09	1.4796e+06
1.3276e+00	2.8663e+09	1.4874e+06
1.3723e+00	2.7371e+09	1.4954e+06
1.4185e+00	2.6135e+09	1.5037e+06
1.4663e+00	2.4952e+09	1.5122e+06
1.5156e+00	2.3821e+09	1.5208e+06
1.5667e+00	2.2739e+09	1.5281e+06
1.6194e+00	2.1703e+09	1.5374e+06
1.6740e+00	2.0713e+09	1.5471e+06
1.7304e+00	1.9765e+09	1.5571e+06
1.7886e+00	1.8859e+09	1.5675e+06
1.8489e+00	1.7992e+09	1.5782e+06
1.9111e+00	1.7163e+09	1.5877e+06
1.9755e+00	1.6370e+09	1.5990e+06
2.0420e+00	1.5612e+09	1.6107e+06
2.1108e+00	1.4887e+09	1.6228e+06
2.1819e+00	1.4193e+09	1.6353e+06
2.2553e+00	1.3530e+09	1.6481e+06
2.3313e+00	1.2896e+09	1.6613e+06
2.4098e+00	1.2290e+09	1.6749e+06
2.4910e+00	1.1710e+09	1.6888e+06
2.5748e+00	1.1156e+09	1.7032e+06
2.6616e+00	1.0626e+09	1.7131e+06
2.7512e+00	1.0120e+09	1.7284e+06
2.8438e+00	9.6358e+08	1.7442e+06
2.9396e+00	9.1732e+08	1.7604e+06
3.0386e+00	8.7312e+08	1.7770e+06
3.1409e+00	8.3088e+08	1.7941e+06
3.2467e+00	7.9052e+08	1.8117e+06
3.3561e+00	7.5195e+08	1.8285e+06
3.4691e+00	7.1511e+08	1.8470e+06
3.5859e+00	6.7992e+08	1.8660e+06
3.7067e+00	6.4631e+08	1.8855e+06
3.8315e+00	6.1421e+08	1.9054e+06
3.9605e+00	5.8356e+08	1.9254e+06
4.0939e+00	5.5429e+08	1.9420e+06
4.2318e+00	5.2634e+08	1.9625e+06
4.3743e+00	4.9967e+08	1.9844e+06
4.5216e+00	4.7421e+08	2.0066e+06
4.6739e+00	4.4991e+08	2.0287e+06
4.8313e+00	4.2673e+08	2.0518e+06
4.9940e+00	4.0461e+08	2.0728e+06
5.1621e+00	3.8351e+08	2.0968e+06
5.3360e+00	3.6339e+08	2.1181e+06
5.5157e+00	3.4420e+08	2.1428e+06
5.7014e+00	3.2591e+08	2.1677e+06
5.8934e+00	3.0847e+08	2.1928e+06
6.0919e+00	2.9185e+08	2.2180e+06
6.2971e+00	2.7602e+08	2.2436e+06
6.5091e+00	2.6093e+08	2.2685e+06
6.7283e+00	2.4657e+08	2.2940e+06
6.9549e+00	2.3289e+08	2.3198e+06
7.1891e+00	2.1987e+08	2.3427e+06
7.4313e+00	2.0748e+08	2.3686e+06
7.6815e+00	1.9569e+08	2.3938e+06
7.9402e+00	1.8448e+08	2.4170e+06
8.2076e+00	1.7382e+08	2.4422e+06
8.4840e+00	1.6368e+08	2.4670e+06
8.7697e+00	1.5405e+08	2.4912e+06
9.0651e+00	1.4491e+08	2.5149e+06
9.3703e+00	1.3622e+08	2.5378e+06
9.6859e+00	1.2798e+08	2.5579e+06
1.0012e+01	1.2015e+08	2.5794e+06
1.0349e+01	1.1274e+08	2.5998e+06
1.0698e+01	1.0570e+08	2.6189e+06
1.1058e+01	9.9039e+07	2.6367e+06
1.1430e+01	9.2727e+07	2.6534e+06
1.1815e+01	8.6752e+07	2.6664e+06
1.2213e+01	8.1099e+07	2.6800e+06
1.2625e+01	7.5753e+07	2.6916e+06
1.3050e+01	7.0700e+07	2.7012e+06
1.3489e+01	6.5927e+07	2.7066e+06
1.3944e+01	6.1422e+07	2.7126e+06
1.4413e+01	5.7172e+07	2.7157e+06
1.4898e+01	5.3166e+07	2.7164e+06
1.5400e+01	4.9391e+07	2.7153e+06
1.5919e+01	4.5838e+07	2.7108e+06
1.6455e+01	4.2496e+07	2.7034e+06
1.7009e+01	3.9354e+07	2.6939e+06
1.7582e+01	3.6404e+07	2.6804e+06
1.8174e+01	3.3636e+07	2.6648e+06
1.8786e+01	3.1041e+07	2.6457e+06
1.9419e+01	2.8611e+07	2.6233e+06
2.0073e+01	2.6337e+07	2.5981e+06
2.0749e+01	2.4212e+07	2.5695e+06
2.1447e+01	2.2228e+07	2.5377e+06
2.2170e+01	2.0377e+07	2.5031e+06
2.2916e+01	1.8654e+07	2.4648e+06
