Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	9.2973e+05
1.5000e-03	0.0000e+00	9.2994e+05
2.0000e-03	0.0000e+00	9.3008e+05
2.5000e-03	0.0000e+00	9.3020e+05
3.0000e-03	0.0000e+00	9.3029e+05
3.5000e-03	0.0000e+00	9.3037e+05
4.0000e-03	0.0000e+00	9.3044e+05
4.5000e-03	0.0000e+00	9.3050e+05
5.0000e-03	0.0000e+00	9.3055e+05
5.5000e-03	0.0000e+00	9.3060e+05
6.0000e-03	0.0000e+00	9.3065e+05
6.5000e-03	0.0000e+00	9.3069e+05
7.0000e-03	0.0000e+00	9.3073e+05
7.5000e-03	0.0000e+00	9.3076e+05
8.0000e-03	0.0000e+00	9.3080e+05
8.5000e-03	0.0000e+00	9.3083e+05
9.0000e-03	0.0000e+00	9.3086e+05
9.5000e-03	0.0000e+00	9.3088e+05
1.0000e-02	0.0000e+00	9.3091e+05
1.5000e-02	0.0000e+00	9.3112e+05
2.0000e-02	0.0000e+00	9.3127e+05
2.5000e-02	0.0000e+00	9.3138e+05
3.0000e-02	0.0000e+00	9.3148e+05
3.5000e-02	0.0000e+00	9.3160e+05
4.0000e-02	0.0000e+00	9.3194e+05
4.5000e-02	0.0000e+00	9.3225e+05
5.0000e-02	0.0000e+00	9.3252e+05
5.5000e-02	0.0000e+00	9.3276e+05
6.0000e-02	0.0000e+00	9.3299e+05
6.5000e-02	0.0000e+00	9.3319e+05
7.0000e-02	0.0000e+00	9.3339e+05
7.5000e-02	0.0000e+00	9.3356e+05
8.0000e-02	0.0000e+00	9.3373e+05
8.5000e-02	0.0000e+00	9.3389e+05
9.0000e-02	0.0000e+00	9.3405e+05
9.5000e-02	0.0000e+00	9.3433e+05
1.0000e-01	1.8154e+12	9.3459e+05
1.0186e-01	1.7555e+12	9.3469e+05
1.0376e-01	1.6976e+12	9.3478e+05
1.0569e-01	1.6416e+12	9.3488e+05
1.0766e-01	1.5874e+12	9.3497e+05
1.0967e-01	1.5351e+12	9.3507e+05
1.1171e-01	1.4842e+12	9.3516e+05
1.1379e-01	1.4350e+12	9.3526e+05
1.1591e-01	1.3874e+12	9.3535e+05
1.1807e-01	1.3413e+12	9.3545e+05
1.2027e-01	1.2966e+12	9.3554e+05
1.2251e-01	1.2533e+12	9.3564e+05
1.2479e-01	1.2116e+12	9.3573e+05
1.2712e-01	1.1709e+12	9.3583e+05
1.2949e-01	1.1315e+12	9.3592e+05
1.3190e-01	1.0934e+12	9.3602e+05
1.3436e-01	1.0565e+12	9.3611e+05
1.3686e-01	1.0209e+12	9.3621e+05
1.3941e-01	9.8665e+11	9.3630e+05
1.4201e-01	9.5407e+11	9.3640e+05
1.4465e-01	9.2256e+11	9.3649e+05
1.4735e-01	8.9210e+11	9.3663e+05
1.5009e-01	8.6259e+11	9.3678e+05
1.5289e-01	8.3337e+11	9.3692e+05
1.5573e-01	8.0515e+11	9.3706e+05
1.5864e-01	7.7788e+11	9.3720e+05
1.6159e-01	7.5154e+11	9.3734e+05
1.6460e-01	7.2646e+11	9.3748e+05
1.6767e-01	7.0234e+11	9.3762e+05
1.7079e-01	6.7903e+11	9.3777e+05
1.7397e-01	6.5649e+11	9.3791e+05
1.7721e-01	6.3469e+11	9.3805e+05
1.8051e-01	6.1363e+11	9.3819e+05
1.8388e-01	5.9326e+11	9.3833e+05
1.8730e-01	5.7356e+11	9.3847e+05
1.9079e-01	5.5452e+11	9.3861e+05
1.9435e-01	5.3611e+11	9.3876e+05
1.9797e-01	5.1832e+11	9.3890e+05
2.0166e-01	5.0119e+11	9.3906e+05
2.0541e-01	4.8469e+11	9.3925e+05
2.0924e-01	4.6874e+11	9.3944e+05
2.1314e-01	4.5331e+11	9.3962e+05
2.1711e-01	4.3839e+11	9.3981e+05
2.2115e-01	4.2396e+11	9.4000e+05
2.2527e-01	4.1001e+11	9.4019e+05
2.2947e-01	3.9645e+11	9.4038e+05
2.3374e-01	3.8331e+11	9.4056e+05
2.3810e-01	3.7057e+11	9.4075e+05
2.4253e-01	3.5813e+11	9.4094e+05
2.4705e-01	3.4597e+11	9.4113e+05
2.5165e-01	3.3415e+11	9.4131e+05
2.5634e-01	3.2274e+11	9.4151e+05
2.6112e-01	3.1177e+11	9.4175e+05
2.6598e-01	3.0146e+11	9.4198e+05
2.7094e-01	2.9162e+11	9.4222e+05
2.7598e-01	2.8210e+11	9.4245e+05
2.8112e-01	2.7289e+11	9.4268e+05
2.8636e-01	2.6389e+11	9.4292e+05
2.9170e-01	2.5509e+11	9.4315e+05
2.9713e-01	2.4662e+11	9.4338e+05
3.0266e-01	2.3834e+11	9.4362e+05
3.0830e-01	2.3035e+11	9.4385e+05
3.1405e-01	2.2272e+11	9.4412e+05
3.1990e-01	2.1534e+11	9.4440e+05
3.2586e-01	2.0817e+11	9.4468e+05
3.3193e-01	2.0124e+11	9.4496e+05
3.3811e-01	1.9457e+11	9.4524e+05
3.4441e-01	1.8811e+11	9.4552e+05
3.5082e-01	1.8187e+11	9.4580e+05
3.5736e-01	1.7565e+11	9.4608e+05
3.6402e-01	1.6960e+11	9.4636e+05
3.7080e-01	1.6390e+11	9.4667e+05
3.7771e-01	1.5840e+11	9.4700e+05
3.8474e-01	1.5314e+11	9.4732e+05
3.9191e-01	1.4807e+11	9.4765e+05
3.9921e-01	1.4316e+11	9.4797e+05
4.0665e-01	1.3831e+11	9.4830e+05
4.1422e-01	1.3362e+11	9.4863e+05
4.2194e-01	1.2910e+11	9.4896e+05
4.2980e-01	1.2475e+11	9.4933e+05
4.3781e-01	1.2060e+11	9.4970e+05
4.4596e-01	1.1662e+11	9.5007e+05
4.5427e-01	1.1276e+11	9.5044e+05
4.6273e-01	1.0900e+11	9.5082e+05
4.7135e-01	1.0536e+11	9.5119e+05
4.8013e-01	1.0184e+11	9.5158e+05
4.8908e-01	9.8480e+10	9.5199e+05
4.9819e-01	9.5237e+10	9.5240e+05
5.0747e-01	9.2097e+10	9.5281e+05
5.1692e-01	8.9060e+10	9.5322e+05
5.2655e-01	8.6136e+10	9.5363e+05
5.3636e-01	8.3300e+10	9.5406e+05
5.4636e-01	8.0593e+10	9.5451e+05
5.5653e-01	7.7976e+10	9.5496e+05
5.6690e-01	7.5414e+10	9.5541e+05
5.7746e-01	7.2958e+10	9.5586e+05
5.8822e-01	7.0531e+10	9.5632e+05
5.9918e-01	6.8171e+10	9.5680e+05
6.1034e-01	6.5868e+10	9.5729e+05
6.2171e-01	6.3620e+10	9.5778e+05
6.3329e-01	6.1492e+10	9.5827e+05
6.4509e-01	5.9434e+10	9.5876e+05
6.5711e-01	5.7398e+10	9.5928e+05
6.6935e-01	5.5452e+10	9.5980e+05
6.8182e-01	5.3604e+10	9.6032e+05
6.9452e-01	5.1817e+10	9.6084e+05
7.0746e-01	5.0101e+10	9.6139e+05
7.2064e-01	4.8420e+10	9.6196e+05
7.3406e-01	4.6799e+10	9.6253e+05
7.4773e-01	4.5242e+10	9.6310e+05
7.6166e-01	4.3734e+10	9.6371e+05
7.7585e-01	4.2275e+10	9.6434e+05
7.9031e-01	4.0853e+10	9.6498e+05
8.0503e-01	3.9464e+10	9.6562e+05
8.2003e-01	3.8139e+10	9.6629e+05
8.3530e-01	3.6861e+10	9.6698e+05
8.5086e-01	3.5621e+10	9.6766e+05
8.6671e-01	3.4446e+10	9.6835e+05
8.8286e-01	3.3319e+10	9.6909e+05
8.9931e-01	3.2211e+10	9.6982e+05
9.1606e-01	3.1141e+10	9.7056e+05
9.3313e-01	3.0108e+10	9.7133e+05
9.5051e-01	2.9106e+10	9.7212e+05
9.6822e-01	2.8158e+10	9.7290e+05
9.8625e-01	2.7243e+10	9.7371e+05
1.0046e+00	2.6346e+10	9.7455e+05
1.0233e+00	2.5473e+10	9.7538e+05
1.0424e+00	2.4631e+10	9.7624e+05
1.0618e+00	2.3812e+10	9.7713e+05
1.0816e+00	2.3017e+10	9.7801e+05
1.1018e+00	2.2249e+10	9.7892e+05
1.1223e+00	2.1507e+10	9.7985e+05
1.1432e+00	2.0787e+10	9.8078e+05
1.1645e+00	2.0110e+10	9.8175e+05
1.1862e+00	1.9440e+10	9.8273e+05
1.2083e+00	1.8812e+10	9.8372e+05
1.2308e+00	1.8186e+10	9.8474e+05
1.2537e+00	1.7567e+10	9.8577e+05
1.2771e+00	1.6961e+10	9.8683e+05
1.3009e+00	1.6402e+10	9.8790e+05
1.3251e+00	1.5850e+10	9.8900e+05
1.3498e+00	1.5326e+10	9.9011e+05
1.3749e+00	1.4815e+10	9.9125e+05
1.4005e+00	1.4321e+10	9.9241e+05
1.4266e+00	1.3852e+10	9.9358e+05
1.4532e+00	1.3394e+10	9.9479e+05
1.4803e+00	1.2953e+10	9.9600e+05
1.5078e+00	1.2529e+10	9.9726e+05
1.5359e+00	1.2105e+10	9.9852e+05
1.5645e+00	1.1692e+10	9.9982e+05
1.5937e+00	1.1291e+10	1.0011e+06
1.6234e+00	1.0911e+10	1.0025e+06
1.6536e+00	1.0541e+10	1.0039e+06
1.6844e+00	1.0188e+10	1.0052e+06
1.7158e+00	9.8521e+09	1.0067e+06
1.7478e+00	9.5088e+09	1.0081e+06
1.7803e+00	9.1843e+09	1.0096e+06
1.8135e+00	8.8781e+09	1.0111e+06
1.8473e+00	8.5782e+09	1.0126e+06
1.8817e+00	8.2930e+09	1.0142e+06
1.9167e+00	8.0194e+09	1.0158e+06
1.9525e+00	7.7612e+09	1.0174e+06
1.9888e+00	7.5033e+09	1.0190e+06
2.0259e+00	7.2547e+09	1.0207e+06
2.0636e+00	7.0215e+09	1.0224e+06
2.1021e+00	6.7855e+09	1.0242e+06
2.1412e+00	6.5635e+09	1.0260e+06
2.1811e+00	6.3454e+09	1.0278e+06
2.2217e+00	6.1297e+09	1.0296e+06
2.2631e+00	5.9297e+09	1.0315e+06
2.3053e+00	5.7269e+09	1.0334e+06
2.3482e+00	5.5368e+09	1.0354e+06
2.3920e+00	5.3543e+09	1.0374e+06
2.4365e+00	5.1750e+09	1.0394e+06
2.4819e+00	5.0057e+09	1.0415e+06
2.5282e+00	4.8407e+09	1.0436e+06
2.5753e+00	4.6729e+09	1.0435e+06
2.6232e+00	4.5177e+09	1.0431e+06
2.6721e+00	4.3692e+09	1.0451e+06
2.7219e+00	4.2266e+09	1.0473e+06
2.7726e+00	4.0888e+09	1.0496e+06
2.8242e+00	3.9492e+09	1.0520e+06
2.8769e+00	3.8195e+09	1.0544e+06
2.9304e+00	3.6952e+09	1.0568e+06
2.9850e+00	3.5712e+09	1.0593e+06
3.0406e+00	3.4480e+09	1.0619e+06
3.0973e+00	3.3332e+09	1.0644e+06
3.1550e+00	3.2218e+09	1.0671e+06
3.2138e+00	3.1131e+09	1.0698e+06
3.2736e+00	3.0059e+09	1.0725e+06
3.3346e+00	2.9039e+09	1.0753e+06
3.3967e+00	2.8089e+09	1.0781e+06
3.4600e+00	2.7125e+09	1.0810e+06
3.5245e+00	2.6219e+09	1.0840e+06
3.5901e+00	2.5330e+09	1.0870e+06
3.6570e+00	2.4457e+09	1.0900e+06
3.7251e+00	2.3614e+09	1.0931e+06
3.7945e+00	2.2842e+09	1.0963e+06
3.8652e+00	2.2071e+09	1.0996e+06
3.9372e+00	2.1312e+09	1.1029e+06
4.0106e+00	2.0593e+09	1.1062e+06
4.0853e+00	1.9881e+09	1.1097e+06
4.1614e+00	1.9211e+09	1.1132e+06
4.2389e+00	1.8552e+09	1.1167e+06
