Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.9603e+05
1.5000e-03	0.0000e+00	2.9610e+05
2.0000e-03	0.0000e+00	2.9615e+05
2.5000e-03	0.0000e+00	2.9619e+05
3.0000e-03	0.0000e+00	2.9622e+05
3.5000e-03	0.0000e+00	2.9624e+05
4.0000e-03	0.0000e+00	2.9627e+05
4.5000e-03	0.0000e+00	2.9629e+05
5.0000e-03	0.0000e+00	2.9630e+05
5.5000e-03	0.0000e+00	2.9632e+05
6.0000e-03	0.0000e+00	2.9633e+05
6.5000e-03	0.0000e+00	2.9635e+05
7.0000e-03	0.0000e+00	2.9636e+05
7.5000e-03	0.0000e+00	2.9637e+05
8.0000e-03	0.0000e+00	2.9638e+05
8.5000e-03	0.0000e+00	2.9639e+05
9.0000e-03	0.0000e+00	2.9640e+05
9.5000e-03	0.0000e+00	2.9641e+05
1.0000e-02	0.0000e+00	2.9642e+05
1.5000e-02	0.0000e+00	2.9649e+05
2.0000e-02	0.0000e+00	2.9654e+05
2.5000e-02	0.0000e+00	2.9657e+05
3.0000e-02	0.0000e+00	2.9660e+05
3.5000e-02	0.0000e+00	2.9663e+05
4.0000e-02	0.0000e+00	2.9669e+05
4.5000e-02	0.0000e+00	2.9680e+05
5.0000e-02	0.0000e+00	2.9689e+05
5.5000e-02	0.0000e+00	2.9697e+05
6.0000e-02	0.0000e+00	2.9705e+05
6.5000e-02	0.0000e+00	2.9712e+05
7.0000e-02	0.0000e+00	2.9718e+05
7.5000e-02	0.0000e+00	2.9724e+05
8.0000e-02	0.0000e+00	2.9730e+05
8.5000e-02	0.0000e+00	2.9735e+05
9.0000e-02	0.0000e+00	2.9740e+05
9.5000e-02	0.0000e+00	2.9747e+05
1.0000e-01	5.7787e+11	2.9755e+05
1.0186e-01	5.5880e+11	2.9759e+05
1.0376e-01	5.4037e+11	2.9762e+05
1.0569e-01	5.2254e+11	2.9765e+05
1.0766e-01	5.0530e+11	2.9768e+05
1.0967e-01	4.8863e+11	2.9771e+05
1.1171e-01	4.7245e+11	2.9774e+05
1.1379e-01	4.5678e+11	2.9777e+05
1.1591e-01	4.4162e+11	2.9780e+05
1.1807e-01	4.2694e+11	2.9784e+05
1.2027e-01	4.1271e+11	2.9787e+05
1.2251e-01	3.9895e+11	2.9790e+05
1.2479e-01	3.8565e+11	2.9793e+05
1.2712e-01	3.7271e+11	2.9796e+05
1.2949e-01	3.6016e+11	2.9799e+05
1.3190e-01	3.4803e+11	2.9802e+05
1.3436e-01	3.3630e+11	2.9805e+05
1.3686e-01	3.2497e+11	2.9809e+05
1.3941e-01	3.1406e+11	2.9812e+05
1.4201e-01	3.0369e+11	2.9815e+05
1.4465e-01	2.9366e+11	2.9818e+05
1.4735e-01	2.8396e+11	2.9821e+05
1.5009e-01	2.7457e+11	2.9825e+05
1.5289e-01	2.6527e+11	2.9830e+05
1.5573e-01	2.5629e+11	2.9834e+05
1.5864e-01	2.4761e+11	2.9839e+05
1.6159e-01	2.3922e+11	2.9844e+05
1.6460e-01	2.3124e+11	2.9848e+05
1.6767e-01	2.2356e+11	2.9853e+05
1.7079e-01	2.1614e+11	2.9857e+05
1.7397e-01	2.0897e+11	2.9862e+05
1.7721e-01	2.0203e+11	2.9867e+05
1.8051e-01	1.9532e+11	2.9871e+05
1.8388e-01	1.8884e+11	2.9876e+05
1.8730e-01	1.8257e+11	2.9880e+05
1.9079e-01	1.7651e+11	2.9885e+05
1.9435e-01	1.7065e+11	2.9890e+05
1.9797e-01	1.6499e+11	2.9894e+05
2.0166e-01	1.5953e+11	2.9899e+05
2.0541e-01	1.5428e+11	2.9904e+05
2.0924e-01	1.4920e+11	2.9910e+05
2.1314e-01	1.4429e+11	2.9916e+05
2.1711e-01	1.3954e+11	2.9922e+05
2.2115e-01	1.3495e+11	2.9928e+05
2.2527e-01	1.3051e+11	2.9934e+05
2.2947e-01	1.2620e+11	2.9941e+05
2.3374e-01	1.2201e+11	2.9947e+05
2.3810e-01	1.1796e+11	2.9953e+05
2.4253e-01	1.1400e+11	2.9959e+05
2.4705e-01	1.1012e+11	2.9965e+05
2.5165e-01	1.0636e+11	2.9971e+05
2.5634e-01	1.0273e+11	2.9977e+05
2.6112e-01	9.9239e+10	2.9984e+05
2.6598e-01	9.5959e+10	2.9991e+05
2.7094e-01	9.2826e+10	2.9999e+05
2.7598e-01	8.9796e+10	3.0006e+05
2.8112e-01	8.6865e+10	3.0014e+05
2.8636e-01	8.3998e+10	3.0022e+05
2.9170e-01	8.1198e+10	3.0029e+05
2.9713e-01	7.8502e+10	3.0037e+05
3.0266e-01	7.5865e+10	3.0044e+05
3.0830e-01	7.3324e+10	3.0052e+05
3.1405e-01	7.0894e+10	3.0059e+05
3.1990e-01	6.8545e+10	3.0068e+05
3.2586e-01	6.6261e+10	3.0077e+05
3.3193e-01	6.4057e+10	3.0086e+05
3.3811e-01	6.1932e+10	3.0095e+05
3.4441e-01	5.9878e+10	3.0104e+05
3.5082e-01	5.7892e+10	3.0113e+05
3.5736e-01	5.5910e+10	3.0122e+05
3.6402e-01	5.3985e+10	3.0131e+05
3.7080e-01	5.2172e+10	3.0141e+05
3.7771e-01	5.0420e+10	3.0151e+05
3.8474e-01	4.8747e+10	3.0162e+05
3.9191e-01	4.7132e+10	3.0172e+05
3.9921e-01	4.5569e+10	3.0183e+05
4.0665e-01	4.4025e+10	3.0193e+05
4.1422e-01	4.2534e+10	3.0204e+05
4.2194e-01	4.1094e+10	3.0214e+05
4.2980e-01	3.9709e+10	3.0226e+05
4.3781e-01	3.8388e+10	3.0237e+05
4.4596e-01	3.7123e+10	3.0249e+05
4.5427e-01	3.5893e+10	3.0261e+05
4.6273e-01	3.4695e+10	3.0273e+05
4.7135e-01	3.3537e+10	3.0285e+05
4.8013e-01	3.2418e+10	3.0297e+05
4.8908e-01	3.1347e+10	3.0310e+05
