# Energy(MeV) Phi16_Planar Phi84_Planar
1.000000e-01 9.420319e+11 3.144926e+12
1.018629e-01 9.132593e+11 3.032740e+12
1.037605e-01 8.857189e+11 2.924491e+12
1.056935e-01 8.586322e+11 2.820022e+12
1.076624e-01 8.322195e+11 2.719284e+12
1.096681e-01 8.058935e+11 2.622105e+12
1.117111e-01 7.804003e+11 2.528278e+12
1.137921e-01 7.557137e+11 2.437447e+12
1.159120e-01 7.321313e+11 2.350738e+12
1.180713e-01 7.094030e+11 2.267031e+12
1.202708e-01 6.874754e+11 2.186087e+12
1.225114e-01 6.665373e+11 2.107758e+12
1.247936e-01 6.462575e+11 2.032236e+12
1.271184e-01 6.265947e+11 1.959420e+12
1.294865e-01 6.075303e+11 1.889213e+12
1.318987e-01 5.890459e+11 1.821522e+12
1.343558e-01 5.711240e+11 1.756256e+12
1.368587e-01 5.537473e+11 1.693328e+12
1.394083e-01 5.366943e+11 1.632656e+12
1.420053e-01 5.201039e+11 1.574157e+12
1.446507e-01 5.040264e+11 1.517754e+12
1.473454e-01 4.884458e+11 1.463372e+12
1.500903e-01 4.733468e+11 1.411512e+12
1.528864e-01 4.587147e+11 1.361641e+12
1.557345e-01 4.445348e+11 1.313532e+12
1.586357e-01 4.308284e+11 1.267123e+12
1.615909e-01 4.175718e+11 1.221747e+12
1.646012e-01 4.047231e+11 1.177841e+12
1.676675e-01 3.922699e+11 1.135512e+12
1.707910e-01 3.800152e+11 1.094705e+12
1.739726e-01 3.681120e+11 1.055365e+12
1.772136e-01 3.567816e+11 1.017438e+12
1.805149e-01 3.459506e+11 9.807529e+11
1.838777e-01 3.353201e+11 9.453659e+11
1.873032e-01 3.249905e+11 9.112558e+11
1.907924e-01 3.150199e+11 8.780088e+11
1.943467e-01 3.053553e+11 8.461152e+11
1.979672e-01 2.962606e+11 8.157597e+11
2.016551e-01 2.874386e+11 7.866750e+11
2.054117e-01 2.787665e+11 7.586489e+11
2.092383e-01 2.701236e+11 7.315206e+11
2.131362e-01 2.617488e+11 7.055640e+11
2.171068e-01 2.536336e+11 6.805283e+11
2.211512e-01 2.458921e+11 6.563628e+11
2.252711e-01 2.384428e+11 6.330332e+11
2.294676e-01 2.312238e+11 6.105328e+11
2.337424e-01 2.242503e+11 5.888322e+11
2.380968e-01 2.174870e+11 5.679029e+11
2.425323e-01 2.109022e+11 5.477368e+11
2.470504e-01 2.042190e+11 5.284150e+11
2.516527e-01 1.977668e+11 5.097691e+11
2.563407e-01 1.917185e+11 4.917069e+11
2.611161e-01 1.858553e+11 4.742847e+11
2.659804e-01 1.801714e+11 4.574798e+11
2.709354e-01 1.746615e+11 4.412704e+11
2.759826e-01 1.693381e+11 4.255659e+11
2.811239e-01 1.641880e+11 4.101984e+11
2.863610e-01 1.591946e+11 3.954570e+11
2.916956e-01 1.543530e+11 3.814010e+11
2.971296e-01 1.496587e+11 3.678331e+11
3.026648e-01 1.451071e+11 3.547322e+11
3.083031e-01 1.404572e+11 3.420818e+11
3.140465e-01 1.359546e+11 3.297926e+11
3.198969e-01 1.315963e+11 3.178859e+11
3.258562e-01 1.273778e+11 3.064862e+11
3.319266e-01 1.232946e+11 2.958161e+11
3.381101e-01 1.193423e+11 2.854391e+11
3.444087e-01 1.155167e+11 2.752831e+11
3.508247e-01 1.119380e+11 2.654885e+11
3.573602e-01 1.085746e+11 2.560223e+11
3.640175e-01 1.053122e+11 2.468888e+11
3.707988e-01 1.021480e+11 2.380812e+11
3.777064e-01 9.907877e+10 2.295877e+11
3.847427e-01 9.610181e+10 2.214775e+11
3.919100e-01 9.315230e+10 2.136600e+11
3.992109e-01 9.023074e+10 2.060821e+11
4.066478e-01 8.740081e+10 1.987731e+11
4.142232e-01 8.465964e+10 1.917232e+11
4.219398e-01 8.200445e+10 1.849234e+11
4.298001e-01 7.943254e+10 1.783648e+11
4.378069e-01 7.694129e+10 1.720104e+11
4.459628e-01 7.452818e+10 1.658748e+11
4.542706e-01 7.219076e+10 1.599581e+11
4.627332e-01 6.992664e+10 1.542524e+11
4.713535e-01 6.773354e+10 1.487453e+11
4.801343e-01 6.562169e+10 1.433978e+11
4.890787e-01 6.365384e+10 1.383426e+11
4.981898e-01 6.162550e+10 1.334458e+11
5.074705e-01 5.974613e+10 1.287085e+11
5.169242e-01 5.795263e+10 1.241064e+11
5.265540e-01 5.613825e+10 1.196094e+11
5.363631e-01 5.439567e+10 1.153595e+11
5.463550e-01 5.276810e+10 1.112645e+11
5.565331e-01 5.118924e+10 1.073149e+11
5.669007e-01 4.961749e+10 1.034969e+11
5.774615e-01 4.805833e+10 9.982822e+10
5.882190e-01 4.654818e+10 9.627497e+10
5.991770e-01 4.512188e+10 9.270178e+10
6.103390e-01 4.374875e+10 8.935581e+10
6.217090e-01 4.242214e+10 8.613062e+10
6.332908e-01 4.113576e+10 8.302185e+10
6.450884e-01 3.988839e+10 8.006094e+10
6.571058e-01 3.866825e+10 7.720532e+10
6.693470e-01 3.746529e+10 7.444821e+10
6.818162e-01 3.630343e+10 7.180562e+10
6.945178e-01 3.522649e+10 6.927438e+10
7.074559e-01 3.418238e+10 6.683237e+10
7.206351e-01 3.312460e+10 6.447645e+10
7.340598e-01 3.207934e+10 6.219807e+10
7.477346e-01 3.106726e+10 5.997779e+10
7.616642e-01 3.008711e+10 5.779162e+10
7.758532e-01 2.913789e+10 5.572753e+10
7.903066e-01 2.823955e+10 5.375077e+10
8.050292e-01 2.737934e+10 5.177916e+10
8.200261e-01 2.655126e+10 4.995429e+10
8.353023e-01 2.573757e+10 4.818310e+10
8.508632e-01 2.495397e+10 4.645021e+10
8.667139e-01 2.418312e+10 4.477964e+10
8.828599e-01 2.345755e+10 4.316851e+10
8.993067e-01 2.274345e+10 4.161642e+10
9.160598e-01 2.205102e+10 4.018776e+10
9.331251e-01 2.137966e+10 3.878849e+10
9.505083e-01 2.072875e+10 3.740341e+10
9.682153e-01 2.009765e+10 3.606041e+10
9.862522e-01 1.948577e+10 3.474232e+10
1.004625e+00 1.889252e+10 3.348491e+10
1.023340e+00 1.831543e+10 3.230351e+10
1.042404e+00 1.774019e+10 3.113940e+10
1.061823e+00 1.719036e+10 3.003648e+10
1.081604e+00 1.665299e+10 2.897263e+10
1.101753e+00 1.613267e+10 2.794966e+10
1.122277e+00 1.563068e+10 2.696489e+10
1.143184e+00 1.514988e+10 2.600823e+10
1.164481e+00 1.468001e+10 2.510001e+10
1.186174e+00 1.420416e+10 2.421894e+10
1.208271e+00 1.375755e+10 2.336398e+10
1.230780e+00 1.332894e+10 2.253573e+10
1.253708e+00 1.292827e+10 2.172873e+10
1.277063e+00 1.254006e+10 2.094016e+10
1.300854e+00 1.214953e+10 2.018614e+10
1.325087e+00 1.177830e+10 1.945580e+10
1.349772e+00 1.141841e+10 1.875120e+10
1.374917e+00 1.106952e+10 1.808596e+10
1.400531e+00 1.072164e+10 1.744896e+10
1.426621e+00 1.037720e+10 1.684234e+10
1.453198e+00 1.004383e+10 1.624648e+10
1.480269e+00 9.729397e+09 1.568485e+10
1.507845e+00 9.416310e+09 1.511895e+10
1.535935e+00 9.123418e+09 1.456931e+10
1.564548e+00 8.842421e+09 1.404057e+10
1.593694e+00 8.570080e+09 1.353623e+10
1.623382e+00 8.306127e+09 1.306148e+10
1.653624e+00 8.050697e+09 1.259851e+10
1.684430e+00 7.804872e+09 1.216336e+10
1.715809e+00 7.566554e+09 1.173160e+10
1.747773e+00 7.338767e+09 1.132062e+10
1.780332e+00 7.112116e+09 1.091741e+10
1.813498e+00 6.890956e+09 1.052499e+10
1.847281e+00 6.681101e+09 1.014670e+10
1.881694e+00 6.475573e+09 9.785621e+09
1.916748e+00 6.276212e+09 9.435001e+09
1.952456e+00 6.081725e+09 9.106683e+09
1.988828e+00 5.891335e+09 8.782843e+09
2.025878e+00 5.709962e+09 8.467394e+09
2.063618e+00 5.531694e+09 8.162369e+09
2.102061e+00 5.362151e+09 7.874158e+09
2.141220e+00 5.191775e+09 7.594883e+09
2.181109e+00 5.033469e+09 7.322321e+09
2.221741e+00 4.886268e+09 7.064980e+09
2.263130e+00 4.735962e+09 6.810782e+09
2.305289e+00 4.583934e+09 6.561583e+09
2.348235e+00 4.433966e+09 6.330658e+09
2.391980e+00 4.291341e+09 6.110113e+09
2.436540e+00 4.155834e+09 5.884362e+09
2.481930e+00 4.026407e+09 5.676021e+09
2.528166e+00 3.898308e+09 5.477381e+09
2.575263e+00 3.775231e+09 5.289237e+09
2.623238e+00 3.656898e+09 5.099450e+09
2.672106e+00 3.543646e+09 4.920515e+09
2.721885e+00 3.434129e+09 4.752294e+09
2.772591e+00 3.327785e+09 4.585000e+09
2.824241e+00 3.223614e+09 4.421969e+09
2.876854e+00 3.121063e+09 4.265112e+09
2.930447e+00 3.021900e+09 4.111564e+09
2.985038e+00 2.925770e+09 3.971656e+09
3.040646e+00 2.831569e+09 3.839839e+09
3.097291e+00 2.742101e+09 3.698894e+09
3.154990e+00 2.656569e+09 3.564319e+09
3.213764e+00 2.574878e+09 3.437163e+09
3.273634e+00 2.495929e+09 3.312934e+09
3.334618e+00 2.419294e+09 3.196369e+09
3.396739e+00 2.342620e+09 3.079334e+09
3.460016e+00 2.267459e+09 2.967247e+09
3.524473e+00 2.196761e+09 2.866223e+09
3.590130e+00 2.129350e+09 2.765198e+09
3.657011e+00 2.065844e+09 2.666682e+09
3.725137e+00 2.004241e+09 2.572104e+09
3.794533e+00 1.942671e+09 2.482608e+09
3.865221e+00 1.880579e+09 2.398401e+09
3.937226e+00 1.825212e+09 2.317300e+09
4.010573e+00 1.764736e+09 2.235443e+09
4.085286e+00 1.709373e+09 2.159721e+09
4.161391e+00 1.658070e+09 2.085182e+09
4.238913e+00 1.602482e+09 2.012165e+09
4.317880e+00 1.552219e+09 1.943124e+09
4.398317e+00 1.502597e+09 1.876296e+09
4.480254e+00 1.454730e+09 1.811075e+09
4.563716e+00 1.409000e+09 1.749462e+09
4.648734e+00 1.365871e+09 1.688300e+09
4.735335e+00 1.320832e+09 1.629933e+09
4.823549e+00 1.278204e+09 1.574925e+09
4.913407e+00 1.236702e+09 1.518929e+09
5.004939e+00 1.195053e+09 1.468122e+09
5.098176e+00 1.154383e+09 1.417402e+09
5.193150e+00 1.115816e+09 1.369053e+09
5.289893e+00 1.080752e+09 1.322932e+09
5.388438e+00 1.045930e+09 1.279482e+09
5.488820e+00 1.010843e+09 1.238074e+09
5.591071e+00 9.770478e+08 1.196320e+09
5.695227e+00 9.473792e+08 1.155674e+09
5.801323e+00 9.174821e+08 1.116027e+09
5.909396e+00 8.873438e+08 1.078730e+09
