# Energy(MeV) Fluence_Omni
1.000000e-01 5.778695e+11
1.018629e-01 5.588037e+11
1.037605e-01 5.403670e+11
1.056935e-01 5.225385e+11
1.076624e-01 5.052983e+11
1.096681e-01 4.886269e+11
1.117111e-01 4.724505e+11
1.137921e-01 4.567764e+11
1.159120e-01 4.416223e+11
1.180713e-01 4.269423e+11
1.202708e-01 4.127105e+11
1.225114e-01 3.989531e+11
1.247936e-01 3.856544e+11
1.271184e-01 3.727149e+11
1.294865e-01 3.601590e+11
1.318987e-01 3.480261e+11
1.343558e-01 3.363020e+11
1.368587e-01 3.249728e+11
1.394083e-01 3.140595e+11
1.420053e-01 3.036887e+11
1.446507e-01 2.936605e+11
1.473454e-01 2.839635e+11
1.500903e-01 2.745699e+11
1.528864e-01 2.652708e+11
1.557345e-01 2.562867e+11
1.586357e-01 2.476069e+11
1.615909e-01 2.392212e+11
1.646012e-01 2.312395e+11
1.676675e-01 2.235632e+11
1.707910e-01 2.161417e+11
1.739726e-01 2.089665e+11
1.772136e-01 2.020296e+11
1.805149e-01 1.953230e+11
1.838777e-01 1.888390e+11
1.873032e-01 1.825702e+11
1.907924e-01 1.765096e+11
1.943467e-01 1.706501e+11
1.979672e-01 1.649852e+11
2.016551e-01 1.595330e+11
2.054117e-01 1.542822e+11
2.092383e-01 1.492041e+11
2.131362e-01 1.442932e+11
2.171068e-01 1.395440e+11
2.211512e-01 1.349511e+11
2.252711e-01 1.305093e+11
2.294676e-01 1.261953e+11
2.337424e-01 1.220114e+11
2.380968e-01 1.179558e+11
2.425323e-01 1.139959e+11
2.470504e-01 1.101243e+11
2.516527e-01 1.063642e+11
2.563407e-01 1.027326e+11
2.611161e-01 9.923885e+10
2.659804e-01 9.595861e+10
2.709354e-01 9.282627e+10
2.759826e-01 8.979617e+10
2.811239e-01 8.686499e+10
2.863610e-01 8.399792e+10
2.916956e-01 8.119833e+10
2.971296e-01 7.850168e+10
3.026648e-01 7.586494e+10
3.083031e-01 7.332376e+10
3.140465e-01 7.089406e+10
3.198969e-01 6.854489e+10
3.258562e-01 6.626131e+10
3.319266e-01 6.405706e+10
3.381101e-01 6.193249e+10
3.444087e-01 5.987840e+10
3.508247e-01 5.789244e+10
3.573602e-01 5.591002e+10
3.640175e-01 5.398452e+10
3.707988e-01 5.217199e+10
3.777064e-01 5.042032e+10
3.847427e-01 4.874684e+10
3.919100e-01 4.713189e+10
3.992109e-01 4.556872e+10
4.066478e-01 4.402529e+10
4.142232e-01 4.253414e+10
4.219398e-01 4.109351e+10
4.298001e-01 3.970921e+10
4.378069e-01 3.838821e+10
4.459628e-01 3.712287e+10
4.542706e-01 3.589262e+10
4.627332e-01 3.469487e+10
4.713535e-01 3.353709e+10
4.801343e-01 3.241795e+10
4.890787e-01 3.134708e+10
4.981898e-01 3.031492e+10
5.074705e-01 2.931548e+10
5.169242e-01 2.834862e+10
5.265540e-01 2.741795e+10
5.363631e-01 2.651517e+10
5.463550e-01 2.565360e+10
5.565331e-01 2.482048e+10
5.669007e-01 2.400506e+10
5.774615e-01 2.322341e+10
5.882190e-01 2.245070e+10
5.991770e-01 2.169950e+10
6.103390e-01 2.096651e+10
6.217090e-01 2.025100e+10
6.332908e-01 1.957339e+10
6.450884e-01 1.891846e+10
6.571058e-01 1.827048e+10
6.693470e-01 1.765090e+10
6.818162e-01 1.706254e+10
6.945178e-01 1.649379e+10
7.074559e-01 1.594749e+10
7.206351e-01 1.541247e+10
7.340598e-01 1.489646e+10
7.477346e-01 1.440102e+10
7.616642e-01 1.392085e+10
7.758532e-01 1.345670e+10
7.903066e-01 1.300378e+10
8.050292e-01 1.256181e+10
8.200261e-01 1.213996e+10
8.353023e-01 1.173326e+10
8.508632e-01 1.133864e+10
8.667139e-01 1.096435e+10
8.828599e-01 1.060578e+10
8.993067e-01 1.025323e+10
9.160598e-01 9.912410e+09
9.331251e-01 9.583597e+09
9.505083e-01 9.264659e+09
9.682153e-01 8.963045e+09
9.862522e-01 8.671608e+09
1.004625e+00 8.386351e+09
1.023340e+00 8.108229e+09
1.042404e+00 7.840236e+09
1.061823e+00 7.579682e+09
1.081604e+00 7.326559e+09
1.101753e+00 7.082225e+09
1.122277e+00 6.846041e+09
1.143184e+00 6.616701e+09
1.164481e+00 6.401118e+09
1.186174e+00 6.188052e+09
1.208271e+00 5.987932e+09
1.230780e+00 5.788923e+09
1.253708e+00 5.591684e+09
1.277063e+00 5.398841e+09
1.300854e+00 5.220859e+09
1.325087e+00 5.045286e+09
1.349772e+00 4.878516e+09
1.374917e+00 4.715666e+09
1.400531e+00 4.558613e+09
1.426621e+00 4.409248e+09
1.453198e+00 4.263354e+09
1.480269e+00 4.122913e+09
1.507845e+00 3.988059e+09
1.535935e+00 3.853162e+09
1.564548e+00 3.721690e+09
1.593694e+00 3.594170e+09
1.623382e+00 3.473098e+09
1.653624e+00 3.355354e+09
1.684430e+00 3.242911e+09
1.715809e+00 3.136008e+09
1.747773e+00 3.026754e+09
1.780332e+00 2.923459e+09
1.813498e+00 2.825992e+09
1.847281e+00 2.730538e+09
1.881694e+00 2.639743e+09
1.916748e+00 2.552645e+09
1.952456e+00 2.470458e+09
1.988828e+00 2.388370e+09
2.025878e+00 2.309237e+09
2.063618e+00 2.235018e+09
2.102061e+00 2.159891e+09
2.141220e+00 2.089214e+09
2.181109e+00 2.019807e+09
2.221741e+00 1.951153e+09
2.263130e+00 1.887467e+09
2.305289e+00 1.822923e+09
2.348235e+00 1.762404e+09
