Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.4505e+05
1.5000e-03	0.0000e+00	1.4508e+05
2.0000e-03	0.0000e+00	1.4510e+05
2.5000e-03	0.0000e+00	1.4512e+05
3.0000e-03	0.0000e+00	1.4513e+05
3.5000e-03	0.0000e+00	1.4515e+05
4.0000e-03	0.0000e+00	1.4516e+05
4.5000e-03	0.0000e+00	1.4516e+05
5.0000e-03	0.0000e+00	1.4517e+05
5.5000e-03	0.0000e+00	1.4518e+05
6.0000e-03	0.0000e+00	1.4519e+05
6.5000e-03	0.0000e+00	1.4519e+05
7.0000e-03	0.0000e+00	1.4520e+05
7.5000e-03	0.0000e+00	1.4520e+05
8.0000e-03	0.0000e+00	1.4521e+05
8.5000e-03	0.0000e+00	1.4521e+05
9.0000e-03	0.0000e+00	1.4522e+05
9.5000e-03	0.0000e+00	1.4522e+05
1.0000e-02	0.0000e+00	1.4523e+05
1.5000e-02	0.0000e+00	1.4526e+05
2.0000e-02	0.0000e+00	1.4528e+05
2.5000e-02	0.0000e+00	1.4530e+05
3.0000e-02	0.0000e+00	1.4531e+05
3.5000e-02	0.0000e+00	1.4533e+05
4.0000e-02	0.0000e+00	1.4538e+05
4.5000e-02	0.0000e+00	1.4543e+05
5.0000e-02	0.0000e+00	1.4547e+05
5.5000e-02	0.0000e+00	1.4550e+05
6.0000e-02	0.0000e+00	1.4554e+05
6.5000e-02	0.0000e+00	1.4557e+05
7.0000e-02	0.0000e+00	1.4559e+05
7.5000e-02	0.0000e+00	1.4562e+05
8.0000e-02	0.0000e+00	1.4565e+05
8.5000e-02	0.0000e+00	1.4567e+05
9.0000e-02	0.0000e+00	1.4569e+05
9.5000e-02	0.0000e+00	1.4573e+05
1.0000e-01	0.0000e+00	1.4577e+05
1.5000e-01	0.0000e+00	1.4610e+05
2.0000e-01	0.0000e+00	1.4642e+05
2.5000e-01	0.0000e+00	1.4676e+05
3.0000e-01	0.0000e+00	1.4710e+05
3.5000e-01	0.0000e+00	1.4743e+05
4.0000e-01	0.0000e+00	1.4776e+05
4.5000e-01	0.0000e+00	1.4809e+05
5.0000e-01	0.0000e+00	1.4842e+05
5.5000e-01	0.0000e+00	1.4875e+05
6.0000e-01	0.0000e+00	1.4907e+05
6.5000e-01	0.0000e+00	1.4938e+05
7.0000e-01	0.0000e+00	1.4969e+05
7.5000e-01	0.0000e+00	1.5000e+05
8.0000e-01	0.0000e+00	1.5033e+05
8.5000e-01	0.0000e+00	1.5066e+05
9.0000e-01	0.0000e+00	1.5099e+05
9.5000e-01	0.0000e+00	1.5132e+05
1.0000e+00	0.0000e+00	1.5165e+05
1.5000e+00	0.0000e+00	1.5497e+05
1.8000e+00	1.8736e+09	1.5696e+05
1.8229e+00	1.8452e+09	1.5711e+05
1.8462e+00	1.8170e+09	1.5727e+05
1.8697e+00	1.7892e+09	1.5742e+05
1.8935e+00	1.7616e+09	1.5758e+05
1.9177e+00	1.7346e+09	1.5774e+05
1.9421e+00	1.7084e+09	1.5790e+05
1.9669e+00	1.6823e+09	1.5807e+05
1.9919e+00	1.6565e+09	1.5823e+05
2.0173e+00	1.6313e+09	1.5840e+05
2.0430e+00	1.6062e+09	1.5857e+05
2.0691e+00	1.5816e+09	1.5875e+05
2.0955e+00	1.5574e+09	1.5892e+05
2.1222e+00	1.5336e+09	1.5910e+05
2.1492e+00	1.5101e+09	1.5928e+05
2.1766e+00	1.4866e+09	1.5946e+05
2.2043e+00	1.4637e+09	1.5964e+05
2.2324e+00	1.4411e+09	1.5983e+05
2.2609e+00	1.4190e+09	1.6002e+05
2.2897e+00	1.3974e+09	1.6021e+05
2.3189e+00	1.3759e+09	1.6040e+05
2.3485e+00	1.3549e+09	1.6060e+05
2.3784e+00	1.3340e+09	1.6080e+05
2.4087e+00	1.3134e+09	1.6100e+05
2.4394e+00	1.2932e+09	1.6121e+05
2.4705e+00	1.2729e+09	1.6141e+05
2.5020e+00	1.2531e+09	1.6162e+05
2.5339e+00	1.2335e+09	1.6183e+05
2.5662e+00	1.2142e+09	1.6182e+05
2.5989e+00	1.1953e+09	1.6163e+05
2.6320e+00	1.1765e+09	1.6174e+05
2.6655e+00	1.1582e+09	1.6192e+05
2.6995e+00	1.1402e+09	1.6215e+05
2.7339e+00	1.1224e+09	1.6238e+05
2.7688e+00	1.1049e+09	1.6261e+05
2.8041e+00	1.0876e+09	1.6284e+05
2.8398e+00	1.0705e+09	1.6308e+05
2.8760e+00	1.0537e+09	1.6332e+05
2.9127e+00	1.0372e+09	1.6356e+05
2.9498e+00	1.0208e+09	1.6381e+05
2.9874e+00	1.0048e+09	1.6406e+05
3.0255e+00	9.8909e+08	1.6431e+05
3.0640e+00	9.7351e+08	1.6456e+05
3.1031e+00	9.5801e+08	1.6482e+05
3.1426e+00	9.4290e+08	1.6509e+05
3.1827e+00	9.2822e+08	1.6535e+05
3.2232e+00	9.1362e+08	1.6562e+05
3.2643e+00	8.9893e+08	1.6589e+05
3.3059e+00	8.8454e+08	1.6617e+05
3.3481e+00	8.7067e+08	1.6645e+05
3.3907e+00	8.5686e+08	1.6673e+05
3.4340e+00	8.4319e+08	1.6702e+05
3.4777e+00	8.2956e+08	1.6730e+05
3.5221e+00	8.1654e+08	1.6760e+05
3.5670e+00	8.0355e+08	1.6790e+05
3.6124e+00	7.9058e+08	1.6820e+05
3.6585e+00	7.7788e+08	1.6850e+05
3.7051e+00	7.6534e+08	1.6881e+05
3.7523e+00	7.5311e+08	1.6912e+05
3.8001e+00	7.4101e+08	1.6944e+05
3.8486e+00	7.2912e+08	1.6976e+05
3.8976e+00	7.1727e+08	1.7008e+05
3.9473e+00	7.0553e+08	1.7041e+05
3.9976e+00	6.9411e+08	1.7075e+05
4.0486e+00	6.8291e+08	1.7108e+05
4.1002e+00	6.7191e+08	1.7142e+05
4.1524e+00	6.6109e+08	1.7177e+05
4.2054e+00	6.5043e+08	1.7212e+05
4.2590e+00	6.3990e+08	1.7247e+05
4.3132e+00	6.2932e+08	1.7283e+05
4.3682e+00	6.1908e+08	1.7320e+05
4.4239e+00	6.0893e+08	1.7357e+05
4.4803e+00	5.9890e+08	1.7394e+05
4.5374e+00	5.8906e+08	1.7431e+05
4.5952e+00	5.7941e+08	1.7470e+05
4.6538e+00	5.6993e+08	1.7508e+05
4.7131e+00	5.6058e+08	1.7547e+05
4.7732e+00	5.5124e+08	1.7587e+05
4.8340e+00	5.4209e+08	1.7627e+05
4.8956e+00	5.3300e+08	1.7668e+05
4.9580e+00	5.2411e+08	1.7709e+05
5.0212e+00	5.1527e+08	1.7750e+05
5.0852e+00	5.0676e+08	1.7792e+05
5.1500e+00	4.9833e+08	1.7834e+05
5.2157e+00	4.9000e+08	1.7877e+05
5.2822e+00	4.8181e+08	1.7916e+05
5.3495e+00	4.7357e+08	1.7955e+05
5.4177e+00	4.6553e+08	1.8000e+05
5.4867e+00	4.5773e+08	1.8045e+05
5.5567e+00	4.5000e+08	1.8090e+05
5.6275e+00	4.4223e+08	1.8136e+05
5.6992e+00	4.3466e+08	1.8183e+05
5.7718e+00	4.2724e+08	1.8230e+05
5.8454e+00	4.1995e+08	1.8278e+05
5.9199e+00	4.1279e+08	1.8327e+05
5.9954e+00	4.0571e+08	1.8375e+05
6.0718e+00	3.9883e+08	1.8425e+05
6.1492e+00	3.9196e+08	1.8475e+05
6.2275e+00	3.8523e+08	1.8526e+05
6.3069e+00	3.7857e+08	1.8577e+05
6.3873e+00	3.7205e+08	1.8629e+05
6.4687e+00	3.6557e+08	1.8681e+05
6.5512e+00	3.5925e+08	1.8735e+05
6.6347e+00	3.5299e+08	1.8788e+05
6.7192e+00	3.4689e+08	1.8843e+05
6.8049e+00	3.4080e+08	1.8898e+05
6.8916e+00	3.3485e+08	1.8953e+05
6.9795e+00	3.2896e+08	1.9010e+05
7.0684e+00	3.2322e+08	1.9067e+05
7.1585e+00	3.1766e+08	1.9124e+05
7.2497e+00	3.1208e+08	1.9182e+05
7.3421e+00	3.0659e+08	1.9241e+05
7.4357e+00	3.0117e+08	1.9301e+05
7.5305e+00	2.9582e+08	1.9361e+05
7.6265e+00	2.9053e+08	1.9422e+05
7.7237e+00	2.8533e+08	1.9484e+05
7.8221e+00	2.8021e+08	1.9546e+05
7.9218e+00	2.7520e+08	1.9609e+05
8.0228e+00	2.7029e+08	1.9673e+05
8.1251e+00	2.6548e+08	1.9737e+05
8.2286e+00	2.6068e+08	1.9802e+05
8.3335e+00	2.5594e+08	1.9868e+05
8.4397e+00	2.5129e+08	1.9935e+05
8.5473e+00	2.4677e+08	2.0002e+05
8.6562e+00	2.4223e+08	2.0070e+05
8.7666e+00	2.3777e+08	2.0140e+05
8.8783e+00	2.3340e+08	2.0209e+05
8.9915e+00	2.2911e+08	2.0280e+05
9.1061e+00	2.2490e+08	2.0351e+05
9.2221e+00	2.2071e+08	2.0424e+05
9.3397e+00	2.1663e+08	2.0496e+05
9.4587e+00	2.1266e+08	2.0570e+05
9.5793e+00	2.0874e+08	2.0645e+05
9.7014e+00	2.0484e+08	2.0723e+05
9.8250e+00	2.0108e+08	2.0803e+05
9.9503e+00	1.9732e+08	2.0882e+05
1.0077e+01	1.9364e+08	2.0962e+05
1.0206e+01	1.9001e+08	2.1043e+05
1.0336e+01	1.8643e+08	2.1120e+05
1.0467e+01	1.8291e+08	2.1197e+05
1.0601e+01	1.7943e+08	2.1277e+05
1.0736e+01	1.7600e+08	2.1357e+05
1.0873e+01	1.7263e+08	2.1437e+05
1.1011e+01	1.6932e+08	2.1519e+05
1.1152e+01	1.6611e+08	2.1601e+05
1.1294e+01	1.6290e+08	2.1685e+05
1.1438e+01	1.5977e+08	2.1770e+05
1.1583e+01	1.5669e+08	2.1859e+05
1.1731e+01	1.5367e+08	2.1968e+05
1.1881e+01	1.5065e+08	2.2062e+05
1.2032e+01	1.4769e+08	2.2149e+05
1.2185e+01	1.4477e+08	2.2236e+05
1.2341e+01	1.4191e+08	2.2324e+05
1.2498e+01	1.3906e+08	2.2413e+05
1.2657e+01	1.3632e+08	2.2502e+05
1.2819e+01	1.3360e+08	2.2592e+05
1.2982e+01	1.3094e+08	2.2683e+05
1.3148e+01	1.2830e+08	2.2776e+05
1.3315e+01	1.2571e+08	2.2870e+05
