# Energy(MeV) Fluence_Planar
1.800000e+00 1.873592e+09
1.822942e+00 1.845205e+09
1.846177e+00 1.817003e+09
1.869708e+00 1.789215e+09
1.893539e+00 1.761642e+09
1.917674e+00 1.734650e+09
1.942116e+00 1.708361e+09
1.966870e+00 1.682297e+09
1.991940e+00 1.656488e+09
2.017328e+00 1.631296e+09
2.043041e+00 1.606160e+09
2.069081e+00 1.581611e+09
2.095453e+00 1.557360e+09
2.122162e+00 1.533609e+09
2.149210e+00 1.510101e+09
2.176604e+00 1.486590e+09
2.204346e+00 1.463704e+09
2.232442e+00 1.441071e+09
2.260897e+00 1.418968e+09
2.289714e+00 1.397360e+09
2.318898e+00 1.375896e+09
2.348454e+00 1.354908e+09
2.378387e+00 1.333995e+09
2.408702e+00 1.313361e+09
2.439402e+00 1.293244e+09
2.470495e+00 1.272910e+09
2.501983e+00 1.253099e+09
2.533873e+00 1.233508e+09
2.566169e+00 1.214195e+09
2.598877e+00 1.195287e+09
2.632002e+00 1.176530e+09
2.665549e+00 1.158213e+09
2.699523e+00 1.140173e+09
2.733931e+00 1.122415e+09
2.768777e+00 1.104858e+09
2.804067e+00 1.087555e+09
2.839808e+00 1.070512e+09
2.876003e+00 1.053747e+09
2.912660e+00 1.037188e+09
2.949784e+00 1.020820e+09
2.987382e+00 1.004787e+09
3.025458e+00 9.890949e+08
3.064020e+00 9.735149e+08
3.103074e+00 9.580138e+08
3.142625e+00 9.428951e+08
3.182680e+00 9.282237e+08
3.223246e+00 9.136217e+08
3.264329e+00 8.989329e+08
3.305936e+00 8.845439e+08
3.348072e+00 8.706671e+08
3.390746e+00 8.568586e+08
3.433964e+00 8.431909e+08
3.477733e+00 8.295576e+08
3.522059e+00 8.165404e+08
3.566951e+00 8.035489e+08
3.612415e+00 7.905811e+08
3.658458e+00 7.778799e+08
3.705088e+00 7.653362e+08
3.752312e+00 7.531055e+08
3.800138e+00 7.410068e+08
3.848574e+00 7.291177e+08
3.897627e+00 7.172727e+08
3.947306e+00 7.055267e+08
3.997617e+00 6.941132e+08
4.048570e+00 6.829091e+08
4.100173e+00 6.719090e+08
4.152433e+00 6.610899e+08
4.205359e+00 6.504281e+08
4.258959e+00 6.399008e+08
4.313243e+00 6.293203e+08
4.368219e+00 6.190772e+08
4.423896e+00 6.089268e+08
4.480282e+00 5.988990e+08
4.537387e+00 5.890581e+08
4.595219e+00 5.794053e+08
4.653789e+00 5.699282e+08
4.713105e+00 5.605758e+08
4.773178e+00 5.512380e+08
4.834016e+00 5.420905e+08
4.895629e+00 5.329983e+08
4.958028e+00 5.241051e+08
5.021222e+00 5.152726e+08
5.085222e+00 5.067564e+08
5.150037e+00 4.983319e+08
5.215678e+00 4.899984e+08
5.282156e+00 4.818114e+08
5.349482e+00 4.735702e+08
5.417665e+00 4.655337e+08
5.486718e+00 4.577254e+08
5.556650e+00 4.500030e+08
5.627475e+00 4.422349e+08
5.699201e+00 4.346571e+08
5.771842e+00 4.272406e+08
5.845409e+00 4.199467e+08
5.919913e+00 4.127932e+08
5.995368e+00 4.057103e+08
6.071783e+00 3.988330e+08
6.149173e+00 3.919554e+08
6.227549e+00 3.852298e+08
6.306925e+00 3.785677e+08
6.387311e+00 3.720482e+08
6.468723e+00 3.655711e+08
6.551172e+00 3.592540e+08
6.634672e+00 3.529873e+08
6.719236e+00 3.468873e+08
6.804878e+00 3.408020e+08
6.891612e+00 3.348516e+08
6.979451e+00 3.289616e+08
7.068410e+00 3.232211e+08
7.158503e+00 3.176608e+08
7.249744e+00 3.120761e+08
7.342148e+00 3.065906e+08
7.435729e+00 3.011689e+08
7.530504e+00 2.958168e+08
7.626486e+00 2.905339e+08
7.723692e+00 2.853348e+08
7.822136e+00 2.802146e+08
7.921836e+00 2.751981e+08
8.022806e+00 2.702939e+08
8.125063e+00 2.654802e+08
8.228624e+00 2.606841e+08
8.333504e+00 2.559382e+08
8.439722e+00 2.512891e+08
8.547293e+00 2.467748e+08
8.656235e+00 2.422268e+08
8.766566e+00 2.377711e+08
8.878303e+00 2.334019e+08
8.991464e+00 2.291113e+08
9.106067e+00 2.249042e+08
9.222132e+00 2.207111e+08
9.339675e+00 2.166333e+08
9.458717e+00 2.126556e+08
9.579276e+00 2.087377e+08
9.701372e+00 2.048390e+08
9.825023e+00 2.010829e+08
9.950251e+00 1.973156e+08
1.007708e+01 1.936379e+08
1.020552e+01 1.900082e+08
1.033559e+01 1.864278e+08
1.046733e+01 1.829147e+08
1.060074e+01 1.794323e+08
1.073586e+01 1.760010e+08
1.087270e+01 1.726291e+08
