Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.8050e+05
1.5000e-03	0.0000e+00	5.8063e+05
2.0000e-03	0.0000e+00	5.8072e+05
2.5000e-03	0.0000e+00	5.8079e+05
3.0000e-03	0.0000e+00	5.8085e+05
3.5000e-03	0.0000e+00	5.8089e+05
4.0000e-03	0.0000e+00	5.8094e+05
4.5000e-03	0.0000e+00	5.8097e+05
5.0000e-03	0.0000e+00	5.8101e+05
5.5000e-03	0.0000e+00	5.8104e+05
6.0000e-03	0.0000e+00	5.8107e+05
6.5000e-03	0.0000e+00	5.8109e+05
7.0000e-03	0.0000e+00	5.8111e+05
7.5000e-03	0.0000e+00	5.8114e+05
8.0000e-03	0.0000e+00	5.8116e+05
8.5000e-03	0.0000e+00	5.8118e+05
9.0000e-03	0.0000e+00	5.8119e+05
9.5000e-03	0.0000e+00	5.8121e+05
1.0000e-02	0.0000e+00	5.8123e+05
1.5000e-02	0.0000e+00	5.8136e+05
2.0000e-02	0.0000e+00	5.8145e+05
2.5000e-02	0.0000e+00	5.8152e+05
3.0000e-02	0.0000e+00	5.8157e+05
3.5000e-02	0.0000e+00	5.8162e+05
4.0000e-02	0.0000e+00	5.8174e+05
4.5000e-02	0.0000e+00	5.8193e+05
5.0000e-02	0.0000e+00	5.8211e+05
5.5000e-02	0.0000e+00	5.8226e+05
6.0000e-02	0.0000e+00	5.8240e+05
6.5000e-02	0.0000e+00	5.8253e+05
7.0000e-02	0.0000e+00	5.8265e+05
7.5000e-02	0.0000e+00	5.8277e+05
8.0000e-02	0.0000e+00	5.8287e+05
8.5000e-02	0.0000e+00	5.8297e+05
9.0000e-02	0.0000e+00	5.8306e+05
9.5000e-02	0.0000e+00	5.8319e+05
1.0000e-01	0.0000e+00	5.8335e+05
1.5000e-01	0.0000e+00	5.8464e+05
2.0000e-01	0.0000e+00	5.8598e+05
2.5000e-01	0.0000e+00	5.8732e+05
3.0000e-01	0.0000e+00	5.8866e+05
3.5000e-01	0.0000e+00	5.8999e+05
4.0000e-01	0.0000e+00	5.9133e+05
4.5000e-01	0.0000e+00	5.9266e+05
5.0000e-01	0.0000e+00	5.9398e+05
5.5000e-01	0.0000e+00	5.9528e+05
6.0000e-01	0.0000e+00	5.9656e+05
6.5000e-01	0.0000e+00	5.9783e+05
7.0000e-01	0.0000e+00	5.9906e+05
7.5000e-01	0.0000e+00	6.0032e+05
8.0000e-01	0.0000e+00	6.0161e+05
8.5000e-01	0.0000e+00	6.0292e+05
9.0000e-01	0.0000e+00	6.0424e+05
9.5000e-01	0.0000e+00	6.0556e+05
1.0000e+00	0.0000e+00	6.0688e+05
1.5000e+00	0.0000e+00	6.2017e+05
1.8000e+00	7.4944e+09	6.2815e+05
1.8229e+00	7.3808e+09	6.2876e+05
1.8462e+00	7.2680e+09	6.2938e+05
1.8697e+00	7.1569e+09	6.3000e+05
1.8935e+00	7.0466e+09	6.3064e+05
1.9177e+00	6.9386e+09	6.3128e+05
1.9421e+00	6.8334e+09	6.3193e+05
1.9669e+00	6.7292e+09	6.3259e+05
1.9919e+00	6.6260e+09	6.3325e+05
2.0173e+00	6.5252e+09	6.3393e+05
2.0430e+00	6.4246e+09	6.3461e+05
2.0691e+00	6.3264e+09	6.3530e+05
2.0955e+00	6.2294e+09	6.3600e+05
2.1222e+00	6.1344e+09	6.3671e+05
2.1492e+00	6.0404e+09	6.3743e+05
2.1766e+00	5.9464e+09	6.3816e+05
2.2043e+00	5.8548e+09	6.3890e+05
2.2324e+00	5.7643e+09	6.3964e+05
2.2609e+00	5.6759e+09	6.4040e+05
2.2897e+00	5.5894e+09	6.4117e+05
2.3189e+00	5.5036e+09	6.4194e+05
2.3485e+00	5.4196e+09	6.4273e+05
2.3784e+00	5.3360e+09	6.4352e+05
2.4087e+00	5.2534e+09	6.4433e+05
2.4394e+00	5.1730e+09	6.4514e+05
2.4705e+00	5.0916e+09	6.4597e+05
2.5020e+00	5.0124e+09	6.4681e+05
2.5339e+00	4.9340e+09	6.4765e+05
2.5662e+00	4.8568e+09	6.4776e+05
2.5989e+00	4.7811e+09	6.4699e+05
2.6320e+00	4.7061e+09	6.4729e+05
2.6655e+00	4.6329e+09	6.4802e+05
2.6995e+00	4.5607e+09	6.4892e+05
2.7339e+00	4.4897e+09	6.4983e+05
2.7688e+00	4.4194e+09	6.5076e+05
2.8041e+00	4.3502e+09	6.5169e+05
2.8398e+00	4.2820e+09	6.5264e+05
2.8760e+00	4.2150e+09	6.5360e+05
2.9127e+00	4.1488e+09	6.5458e+05
2.9498e+00	4.0833e+09	6.5556e+05
2.9874e+00	4.0191e+09	6.5656e+05
3.0255e+00	3.9564e+09	6.5757e+05
3.0640e+00	3.8941e+09	6.5859e+05
3.1031e+00	3.8321e+09	6.5963e+05
3.1426e+00	3.7716e+09	6.6068e+05
3.1827e+00	3.7129e+09	6.6174e+05
3.2232e+00	3.6545e+09	6.6281e+05
3.2643e+00	3.5957e+09	6.6390e+05
3.3059e+00	3.5382e+09	6.6500e+05
3.3481e+00	3.4827e+09	6.6612e+05
3.3907e+00	3.4274e+09	6.6725e+05
3.4340e+00	3.3728e+09	6.6840e+05
3.4777e+00	3.3182e+09	6.6956e+05
3.5221e+00	3.2662e+09	6.7073e+05
3.5670e+00	3.2142e+09	6.7192e+05
3.6124e+00	3.1623e+09	6.7313e+05
3.6585e+00	3.1115e+09	6.7435e+05
3.7051e+00	3.0613e+09	6.7558e+05
3.7523e+00	3.0124e+09	6.7683e+05
3.8001e+00	2.9640e+09	6.7810e+05
3.8486e+00	2.9165e+09	6.7938e+05
3.8976e+00	2.8691e+09	6.8068e+05
3.9473e+00	2.8221e+09	6.8199e+05
3.9976e+00	2.7765e+09	6.8333e+05
4.0486e+00	2.7316e+09	6.8467e+05
4.1002e+00	2.6876e+09	6.8604e+05
4.1524e+00	2.6444e+09	6.8742e+05
4.2054e+00	2.6017e+09	6.8883e+05
4.2590e+00	2.5596e+09	6.9025e+05
4.3132e+00	2.5173e+09	6.9168e+05
4.3682e+00	2.4763e+09	6.9314e+05
4.4239e+00	2.4357e+09	6.9461e+05
4.4803e+00	2.3956e+09	6.9610e+05
4.5374e+00	2.3562e+09	6.9761e+05
4.5952e+00	2.3176e+09	6.9914e+05
4.6538e+00	2.2797e+09	7.0069e+05
4.7131e+00	2.2423e+09	7.0225e+05
4.7732e+00	2.2050e+09	7.0384e+05
4.8340e+00	2.1684e+09	7.0544e+05
4.8956e+00	2.1320e+09	7.0706e+05
4.9580e+00	2.0964e+09	7.0871e+05
5.0212e+00	2.0611e+09	7.1037e+05
5.0852e+00	2.0270e+09	7.1205e+05
5.1500e+00	1.9933e+09	7.1374e+05
5.2157e+00	1.9600e+09	7.1545e+05
5.2822e+00	1.9272e+09	7.1702e+05
5.3495e+00	1.8943e+09	7.1860e+05
5.4177e+00	1.8621e+09	7.2036e+05
5.4867e+00	1.8309e+09	7.2216e+05
5.5567e+00	1.8000e+09	7.2398e+05
5.6275e+00	1.7689e+09	7.2583e+05
5.6992e+00	1.7386e+09	7.2770e+05
5.7718e+00	1.7090e+09	7.2959e+05
5.8454e+00	1.6798e+09	7.3150e+05
5.9199e+00	1.6512e+09	7.3344e+05
5.9954e+00	1.6228e+09	7.3540e+05
6.0718e+00	1.5953e+09	7.3738e+05
6.1492e+00	1.5678e+09	7.3938e+05
6.2275e+00	1.5409e+09	7.4141e+05
6.3069e+00	1.5143e+09	7.4346e+05
6.3873e+00	1.4882e+09	7.4554e+05
6.4687e+00	1.4623e+09	7.4764e+05
6.5512e+00	1.4370e+09	7.4977e+05
6.6347e+00	1.4119e+09	7.5192e+05
6.7192e+00	1.3875e+09	7.5409e+05
6.8049e+00	1.3632e+09	7.5630e+05
6.8916e+00	1.3394e+09	7.5852e+05
6.9795e+00	1.3158e+09	7.6078e+05
7.0684e+00	1.2929e+09	7.6305e+05
7.1585e+00	1.2706e+09	7.6536e+05
7.2497e+00	1.2483e+09	7.6769e+05
7.3421e+00	1.2264e+09	7.7005e+05
7.4357e+00	1.2047e+09	7.7243e+05
7.5305e+00	1.1833e+09	7.7485e+05
7.6265e+00	1.1621e+09	7.7728e+05
7.7237e+00	1.1413e+09	7.7975e+05
7.8221e+00	1.1209e+09	7.8224e+05
7.9218e+00	1.1008e+09	7.8476e+05
8.0228e+00	1.0812e+09	7.8731e+05
8.1251e+00	1.0619e+09	7.8989e+05
8.2286e+00	1.0427e+09	7.9250e+05
8.3335e+00	1.0238e+09	7.9514e+05
8.4397e+00	1.0052e+09	7.9780e+05
8.5473e+00	9.8710e+08	8.0050e+05
8.6562e+00	9.6891e+08	8.0323e+05
8.7666e+00	9.5108e+08	8.0599e+05
8.8783e+00	9.3361e+08	8.0879e+05
8.9915e+00	9.1645e+08	8.1161e+05
9.1061e+00	8.9962e+08	8.1447e+05
9.2221e+00	8.8284e+08	8.1736e+05
9.3397e+00	8.6653e+08	8.2027e+05
9.4587e+00	8.5062e+08	8.2321e+05
9.5793e+00	8.3495e+08	8.2621e+05
9.7014e+00	8.1936e+08	8.2933e+05
9.8250e+00	8.0433e+08	8.3251e+05
9.9503e+00	7.8926e+08	8.3569e+05
1.0077e+01	7.7455e+08	8.3890e+05
1.0206e+01	7.6003e+08	8.4214e+05
1.0336e+01	7.4571e+08	8.4522e+05
1.0467e+01	7.3166e+08	8.4834e+05
1.0601e+01	7.1773e+08	8.5151e+05
1.0736e+01	7.0400e+08	8.5471e+05
1.0873e+01	6.9052e+08	8.5794e+05
1.1011e+01	6.7728e+08	8.6121e+05
1.1152e+01	6.6443e+08	8.6450e+05
1.1294e+01	6.5159e+08	8.6785e+05
1.1438e+01	6.3907e+08	8.7124e+05
1.1583e+01	6.2678e+08	8.7480e+05
1.1731e+01	6.1468e+08	8.7915e+05
1.1881e+01	6.0259e+08	8.8293e+05
1.2032e+01	5.9077e+08	8.8642e+05
1.2185e+01	5.7910e+08	8.8991e+05
1.2341e+01	5.6764e+08	8.9343e+05
1.2498e+01	5.5625e+08	8.9697e+05
1.2657e+01	5.4526e+08	9.0054e+05
1.2819e+01	5.3440e+08	9.0415e+05
1.2982e+01	5.2375e+08	9.0779e+05
1.3148e+01	5.1321e+08	9.1149e+05
1.3315e+01	5.0285e+08	9.1526e+05
1.3485e+01	4.9265e+08	9.1910e+05
1.3657e+01	4.8269e+08	9.2299e+05
1.3831e+01	4.7286e+08	9.2671e+05
1.4007e+01	4.6317e+08	9.3016e+05
1.4186e+01	4.5370e+08	9.3403e+05
1.4366e+01	4.4437e+08	9.3792e+05
1.4549e+01	4.3524e+08	9.4182e+05
1.4735e+01	4.2619e+08	9.4572e+05
1.4923e+01	4.1736e+08	9.4964e+05
1.5113e+01	4.0864e+08	9.5356e+05
1.5306e+01	4.0008e+08	9.5749e+05
1.5501e+01	3.9166e+08	9.6144e+05
1.5698e+01	3.8337e+08	9.6541e+05
1.5898e+01	3.7522e+08	9.6939e+05
1.6101e+01	3.6721e+08	9.7341e+05
1.6306e+01	3.5937e+08	9.7745e+05
1.6514e+01	3.5166e+08	9.8149e+05
1.6724e+01	3.4406e+08	9.8499e+05
1.6938e+01	3.3661e+08	9.8899e+05
1.7154e+01	3.2929e+08	9.9303e+05
1.7372e+01	3.2211e+08	9.9708e+05
1.7594e+01	3.1501e+08	1.0011e+06
1.7818e+01	3.0805e+08	1.0052e+06
1.8045e+01	3.0123e+08	1.0093e+06
1.8275e+01	2.9454e+08	1.0134e+06
1.8508e+01	2.8795e+08	1.0175e+06
1.8744e+01	2.8150e+08	1.0216e+06
1.8983e+01	2.7514e+08	1.0258e+06
1.9225e+01	2.6891e+08	1.0300e+06
1.9470e+01	2.6277e+08	1.0342e+06
1.9718e+01	2.5675e+08	1.0386e+06
1.9969e+01	2.5083e+08	1.0431e+06
2.0224e+01	2.4501e+08	1.0471e+06
2.0481e+01	2.3928e+08	1.0512e+06
2.0742e+01	2.3368e+08	1.0552e+06
2.1007e+01	2.2817e+08	1.0594e+06
2.1275e+01	2.2280e+08	1.0651e+06
2.1546e+01	2.1751e+08	1.0692e+06
2.1820e+01	2.1231e+08	1.0732e+06
2.2099e+01	2.0721e+08	1.0771e+06
2.2380e+01	2.0218e+08	1.0813e+06
2.2665e+01	1.9729e+08	1.0856e+06
2.2954e+01	1.9254e+08	1.0890e+06
2.3247e+01	1.8787e+08	1.0931e+06
2.3543e+01	1.8321e+08	1.0970e+06
2.3843e+01	1.7870e+08	1.1008e+06
2.4147e+01	1.7432e+08	1.1046e+06
2.4455e+01	1.6996e+08	1.1084e+06
2.4767e+01	1.6571e+08	1.1121e+06
2.5082e+01	1.6153e+08	1.1157e+06
2.5402e+01	1.5744e+08	1.1193e+06
2.5726e+01	1.5342e+08	1.1228e+06
2.6054e+01	1.4949e+08	1.1263e+06
2.6386e+01	1.4563e+08	1.1297e+06
2.6722e+01	1.4186e+08	1.1331e+06
2.7063e+01	1.3817e+08	1.1366e+06
2.7408e+01	1.3456e+08	1.1402e+06
2.7757e+01	1.3101e+08	1.1439e+06
2.8111e+01	1.2757e+08	1.1469e+06
2.8469e+01	1.2418e+08	1.1501e+06
