Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.4152e+05
1.5000e-03	0.0000e+00	2.4158e+05
2.0000e-03	0.0000e+00	2.4162e+05
2.5000e-03	0.0000e+00	2.4166e+05
3.0000e-03	0.0000e+00	2.4168e+05
3.5000e-03	0.0000e+00	2.4170e+05
4.0000e-03	0.0000e+00	2.4172e+05
4.5000e-03	0.0000e+00	2.4174e+05
5.0000e-03	0.0000e+00	2.4175e+05
5.5000e-03	0.0000e+00	2.4176e+05
6.0000e-03	0.0000e+00	2.4177e+05
6.5000e-03	0.0000e+00	2.4178e+05
7.0000e-03	0.0000e+00	2.4179e+05
7.5000e-03	0.0000e+00	2.4180e+05
8.0000e-03	0.0000e+00	2.4181e+05
8.5000e-03	0.0000e+00	2.4182e+05
9.0000e-03	0.0000e+00	2.4183e+05
9.5000e-03	0.0000e+00	2.4184e+05
1.0000e-02	0.0000e+00	2.4184e+05
1.5000e-02	0.0000e+00	2.4190e+05
2.0000e-02	0.0000e+00	2.4194e+05
2.5000e-02	0.0000e+00	2.4198e+05
3.0000e-02	0.0000e+00	2.4201e+05
3.5000e-02	0.0000e+00	2.4204e+05
4.0000e-02	0.0000e+00	2.4208e+05
4.5000e-02	0.0000e+00	2.4212e+05
5.0000e-02	0.0000e+00	2.4216e+05
5.5000e-02	0.0000e+00	2.4219e+05
6.0000e-02	0.0000e+00	2.4223e+05
6.5000e-02	0.0000e+00	2.4228e+05
7.0000e-02	0.0000e+00	2.4233e+05
7.5000e-02	0.0000e+00	2.4237e+05
8.0000e-02	0.0000e+00	2.4241e+05
8.5000e-02	0.0000e+00	2.4246e+05
9.0000e-02	0.0000e+00	2.4250e+05
9.5000e-02	0.0000e+00	2.4254e+05
1.0000e-01	0.0000e+00	2.4259e+05
1.5000e-01	0.0000e+00	2.4305e+05
2.0000e-01	0.0000e+00	2.4352e+05
2.5000e-01	0.0000e+00	2.4398e+05
3.0000e-01	0.0000e+00	2.4445e+05
3.5000e-01	0.0000e+00	2.4492e+05
4.0000e-01	0.0000e+00	2.4539e+05
4.5000e-01	0.0000e+00	2.4585e+05
5.0000e-01	0.0000e+00	2.4626e+05
5.5000e-01	0.0000e+00	2.4665e+05
6.0000e-01	0.0000e+00	2.4710e+05
6.5000e-01	0.0000e+00	2.4757e+05
7.0000e-01	0.0000e+00	2.4803e+05
7.5000e-01	0.0000e+00	2.4849e+05
8.0000e-01	0.0000e+00	2.4895e+05
8.5000e-01	0.0000e+00	2.4942e+05
9.0000e-01	0.0000e+00	2.4989e+05
9.5000e-01	0.0000e+00	2.5035e+05
1.0000e+00	0.0000e+00	2.5082e+05
1.5000e+00	0.0000e+00	2.5548e+05
1.8000e+00	7.4944e+09	2.5810e+05
1.8229e+00	7.3808e+09	2.5832e+05
1.8462e+00	7.2680e+09	2.5854e+05
1.8697e+00	7.1569e+09	2.5876e+05
1.8935e+00	7.0466e+09	2.5898e+05
1.9177e+00	6.9386e+09	2.5921e+05
1.9421e+00	6.8334e+09	2.5943e+05
1.9669e+00	6.7292e+09	2.5967e+05
1.9919e+00	6.6260e+09	2.5990e+05
2.0173e+00	6.5252e+09	2.6014e+05
2.0430e+00	6.4246e+09	2.6038e+05
2.0691e+00	6.3264e+09	2.6062e+05
2.0955e+00	6.2294e+09	2.6087e+05
2.1222e+00	6.1344e+09	2.6112e+05
2.1492e+00	6.0404e+09	2.6137e+05
2.1766e+00	5.9464e+09	2.6163e+05
2.2043e+00	5.8548e+09	2.6189e+05
2.2324e+00	5.7643e+09	2.6215e+05
2.2609e+00	5.6759e+09	2.6242e+05
2.2897e+00	5.5894e+09	2.6269e+05
2.3189e+00	5.5036e+09	2.6296e+05
2.3485e+00	5.4196e+09	2.6324e+05
2.3784e+00	5.3360e+09	2.6352e+05
2.4087e+00	5.2534e+09	2.6381e+05
2.4394e+00	5.1730e+09	2.6409e+05
2.4705e+00	5.0916e+09	2.6439e+05
2.5020e+00	5.0124e+09	2.6468e+05
2.5339e+00	4.9340e+09	2.6498e+05
2.5662e+00	4.8568e+09	2.6522e+05
2.5989e+00	4.7811e+09	2.6539e+05
2.6320e+00	4.7061e+09	2.6566e+05
2.6655e+00	4.6329e+09	2.6596e+05
2.6995e+00	4.5607e+09	2.6628e+05
2.7339e+00	4.4897e+09	2.6660e+05
2.7688e+00	4.4194e+09	2.6693e+05
2.8041e+00	4.3502e+09	2.6726e+05
2.8398e+00	4.2820e+09	2.6759e+05
2.8760e+00	4.2150e+09	2.6793e+05
2.9127e+00	4.1488e+09	2.6828e+05
2.9498e+00	4.0833e+09	2.6862e+05
2.9874e+00	4.0191e+09	2.6898e+05
3.0255e+00	3.9564e+09	2.6934e+05
3.0640e+00	3.8941e+09	2.6970e+05
3.1031e+00	3.8321e+09	2.7006e+05
3.1426e+00	3.7716e+09	2.7043e+05
3.1827e+00	3.7129e+09	2.7081e+05
3.2232e+00	3.6545e+09	2.7118e+05
3.2643e+00	3.5957e+09	2.7157e+05
3.3059e+00	3.5382e+09	2.7196e+05
3.3481e+00	3.4827e+09	2.7236e+05
3.3907e+00	3.4274e+09	2.7277e+05
3.4340e+00	3.3728e+09	2.7318e+05
3.4777e+00	3.3182e+09	2.7360e+05
3.5221e+00	3.2662e+09	2.7401e+05
3.5670e+00	3.2142e+09	2.7444e+05
3.6124e+00	3.1623e+09	2.7486e+05
3.6585e+00	3.1115e+09	2.7530e+05
3.7051e+00	3.0613e+09	2.7574e+05
3.7523e+00	3.0124e+09	2.7618e+05
3.8001e+00	2.9640e+09	2.7663e+05
3.8486e+00	2.9165e+09	2.7708e+05
3.8976e+00	2.8691e+09	2.7754e+05
3.9473e+00	2.8221e+09	2.7800e+05
3.9976e+00	2.7765e+09	2.7848e+05
4.0486e+00	2.7316e+09	2.7896e+05
4.1002e+00	2.6876e+09	2.7945e+05
4.1524e+00	2.6444e+09	2.7994e+05
4.2054e+00	2.6017e+09	2.8043e+05
4.2590e+00	2.5596e+09	2.8093e+05
4.3132e+00	2.5173e+09	2.8145e+05
4.3682e+00	2.4763e+09	2.8196e+05
4.4239e+00	2.4357e+09	2.8248e+05
4.4803e+00	2.3956e+09	2.8301e+05
4.5374e+00	2.3562e+09	2.8355e+05
4.5952e+00	2.3176e+09	2.8409e+05
4.6538e+00	2.2797e+09	2.8464e+05
4.7131e+00	2.2423e+09	2.8520e+05
4.7732e+00	2.2050e+09	2.8577e+05
4.8340e+00	2.1684e+09	2.8634e+05
4.8956e+00	2.1320e+09	2.8692e+05
4.9580e+00	2.0964e+09	2.8751e+05
5.0212e+00	2.0611e+09	2.8810e+05
5.0852e+00	2.0270e+09	2.8870e+05
5.1500e+00	1.9933e+09	2.8931e+05
5.2157e+00	1.9600e+09	2.8992e+05
5.2822e+00	1.9272e+09	2.9052e+05
5.3495e+00	1.8943e+09	2.9114e+05
5.4177e+00	1.8621e+09	2.9177e+05
5.4867e+00	1.8309e+09	2.9241e+05
5.5567e+00	1.8000e+09	2.9307e+05
5.6275e+00	1.7689e+09	2.9372e+05
5.6992e+00	1.7386e+09	2.9439e+05
5.7718e+00	1.7090e+09	2.9506e+05
5.8454e+00	1.6798e+09	2.9575e+05
5.9199e+00	1.6512e+09	2.9644e+05
5.9954e+00	1.6228e+09	2.9714e+05
6.0718e+00	1.5953e+09	2.9785e+05
6.1492e+00	1.5678e+09	2.9857e+05
6.2275e+00	1.5409e+09	2.9929e+05
6.3069e+00	1.5143e+09	3.0004e+05
6.3873e+00	1.4882e+09	3.0081e+05
6.4687e+00	1.4623e+09	3.0157e+05
6.5512e+00	1.4370e+09	3.0233e+05
6.6347e+00	1.4119e+09	3.0309e+05
6.7192e+00	1.3875e+09	3.0387e+05
6.8049e+00	1.3632e+09	3.0466e+05
6.8916e+00	1.3394e+09	3.0545e+05
6.9795e+00	1.3158e+09	3.0626e+05
7.0684e+00	1.2929e+09	3.0707e+05
7.1585e+00	1.2706e+09	3.0790e+05
7.2497e+00	1.2483e+09	3.0875e+05
7.3421e+00	1.2264e+09	3.0959e+05
7.4357e+00	1.2047e+09	3.1044e+05
7.5305e+00	1.1833e+09	3.1131e+05
7.6265e+00	1.1621e+09	3.1219e+05
7.7237e+00	1.1413e+09	3.1307e+05
7.8221e+00	1.1209e+09	3.1397e+05
7.9218e+00	1.1008e+09	3.1488e+05
8.0228e+00	1.0812e+09	3.1579e+05
8.1251e+00	1.0619e+09	3.1672e+05
8.2286e+00	1.0427e+09	3.1766e+05
8.3335e+00	1.0238e+09	3.1860e+05
8.4397e+00	1.0052e+09	3.1957e+05
8.5473e+00	9.8710e+08	3.2054e+05
8.6562e+00	9.6891e+08	3.2153e+05
8.7666e+00	9.5108e+08	3.2254e+05
8.8783e+00	9.3361e+08	3.2355e+05
8.9915e+00	9.1645e+08	3.2457e+05
9.1061e+00	8.9962e+08	3.2561e+05
9.2221e+00	8.8284e+08	3.2667e+05
9.3397e+00	8.6653e+08	3.2773e+05
9.4587e+00	8.5062e+08	3.2879e+05
9.5793e+00	8.3495e+08	3.2986e+05
9.7014e+00	8.1936e+08	3.3095e+05
9.8250e+00	8.0433e+08	3.3204e+05
9.9503e+00	7.8926e+08	3.3315e+05
1.0077e+01	7.7455e+08	3.3428e+05
1.0206e+01	7.6003e+08	3.3542e+05
1.0336e+01	7.4571e+08	3.3657e+05
1.0467e+01	7.3166e+08	3.3770e+05
1.0601e+01	7.1773e+08	3.3886e+05
1.0736e+01	7.0400e+08	3.4000e+05
1.0873e+01	6.9052e+08	3.4117e+05
1.1011e+01	6.7728e+08	3.4237e+05
1.1152e+01	6.6443e+08	3.4357e+05
1.1294e+01	6.5159e+08	3.4479e+05
1.1438e+01	6.3907e+08	3.4601e+05
1.1583e+01	6.2678e+08	3.4726e+05
