# Energy(MeV) Phi16 Phi84
1.800000e+00 6.878413e+09 8.028047e+09
1.822942e+00 6.776076e+09 7.897339e+09
1.846177e+00 6.676330e+09 7.769733e+09
1.869708e+00 6.579693e+09 7.647652e+09
1.893539e+00 6.484939e+09 7.527137e+09
1.917674e+00 6.391987e+09 7.407111e+09
1.942116e+00 6.301111e+09 7.288927e+09
1.966870e+00 6.207876e+09 7.172075e+09
1.991940e+00 6.116373e+09 7.056674e+09
2.017328e+00 6.022808e+09 6.942430e+09
2.043041e+00 5.933272e+09 6.832220e+09
2.069081e+00 5.846712e+09 6.722934e+09
2.095453e+00 5.760047e+09 6.617172e+09
2.122162e+00 5.674103e+09 6.514380e+09
2.149210e+00 5.589114e+09 6.409830e+09
2.176604e+00 5.505682e+09 6.304935e+09
2.204346e+00 5.425013e+09 6.204568e+09
2.232442e+00 5.346248e+09 6.104429e+09
2.260897e+00 5.268707e+09 6.007153e+09
2.289714e+00 5.192537e+09 5.911137e+09
2.318898e+00 5.117342e+09 5.815585e+09
2.348454e+00 5.042850e+09 5.720652e+09
2.378387e+00 4.968446e+09 5.628385e+09
2.408702e+00 4.895701e+09 5.538005e+09
2.439402e+00 4.822917e+09 5.448339e+09
2.470495e+00 4.750708e+09 5.360872e+09
2.501983e+00 4.681297e+09 5.275359e+09
2.533873e+00 4.613137e+09 5.190053e+09
2.566169e+00 4.544707e+09 5.106367e+09
2.598877e+00 4.475538e+09 5.024540e+09
2.632002e+00 4.408364e+09 4.944432e+09
2.665549e+00 4.342428e+09 4.864667e+09
2.699523e+00 4.277407e+09 4.787215e+09
2.733931e+00 4.213700e+09 4.711159e+09
2.768777e+00 4.151011e+09 4.636241e+09
2.804067e+00 4.089181e+09 4.562197e+09
2.839808e+00 4.028068e+09 4.488454e+09
2.876003e+00 3.966308e+09 4.415383e+09
2.912660e+00 3.905489e+09 4.344951e+09
2.949784e+00 3.845890e+09 4.274634e+09
2.987382e+00 3.787381e+09 4.206008e+09
3.025458e+00 3.729501e+09 4.137331e+09
3.064020e+00 3.673355e+09 4.069623e+09
3.103074e+00 3.618546e+09 4.003281e+09
3.142625e+00 3.564534e+09 3.938887e+09
3.182680e+00 3.510104e+09 3.874089e+09
3.223246e+00 3.456442e+09 3.810204e+09
3.264329e+00 3.404169e+09 3.746969e+09
3.305936e+00 3.353459e+09 3.686000e+09
3.348072e+00 3.302053e+09 3.625695e+09
3.390746e+00 3.251913e+09 3.566561e+09
3.433964e+00 3.201793e+09 3.507364e+09
3.477733e+00 3.151657e+09 3.450007e+09
3.522059e+00 3.103085e+09 3.393950e+09
3.566951e+00 3.055974e+09 3.338403e+09
3.612415e+00 3.009721e+09 3.282952e+09
3.658458e+00 2.963681e+09 3.228249e+09
3.705088e+00 2.918362e+09 3.174730e+09
3.752312e+00 2.873600e+09 3.122046e+09
3.800138e+00 2.829539e+09 3.070810e+09
3.848574e+00 2.786415e+09 3.020081e+09
3.897627e+00 2.742973e+09 2.969885e+09
3.947306e+00 2.699916e+09 2.919915e+09
3.997617e+00 2.657900e+09 2.870893e+09
4.048570e+00 2.616565e+09 2.822980e+09
4.100173e+00 2.575352e+09 2.776299e+09
4.152433e+00 2.534577e+09 2.730804e+09
4.205359e+00 2.494137e+09 2.686151e+09
4.258959e+00 2.453792e+09 2.641108e+09
4.313243e+00 2.414866e+09 2.596119e+09
4.368219e+00 2.376798e+09 2.552823e+09
4.423896e+00 2.338548e+09 2.510856e+09
