# Energy(MeV) Fluence_Sferica_Median
1.800000e+00 7.494368e+09
1.822942e+00 7.380819e+09
1.846177e+00 7.268012e+09
1.869708e+00 7.156858e+09
1.893539e+00 7.046566e+09
1.917674e+00 6.938601e+09
1.942116e+00 6.833442e+09
1.966870e+00 6.729186e+09
1.991940e+00 6.625954e+09
2.017328e+00 6.525185e+09
2.043041e+00 6.424641e+09
2.069081e+00 6.326445e+09
2.095453e+00 6.229439e+09
2.122162e+00 6.134435e+09
2.149210e+00 6.040404e+09
2.176604e+00 5.946359e+09
2.204346e+00 5.854816e+09
2.232442e+00 5.764285e+09
2.260897e+00 5.675871e+09
2.289714e+00 5.589439e+09
2.318898e+00 5.503584e+09
2.348454e+00 5.419633e+09
2.378387e+00 5.335981e+09
2.408702e+00 5.253444e+09
2.439402e+00 5.172975e+09
2.470495e+00 5.091639e+09
2.501983e+00 5.012395e+09
2.533873e+00 4.934033e+09
2.566169e+00 4.856781e+09
2.598877e+00 4.781149e+09
2.632002e+00 4.706120e+09
2.665549e+00 4.632854e+09
2.699523e+00 4.560692e+09
2.733931e+00 4.489659e+09
2.768777e+00 4.419431e+09
2.804067e+00 4.350219e+09
2.839808e+00 4.282049e+09
2.876003e+00 4.214989e+09
2.912660e+00 4.148751e+09
2.949784e+00 4.083279e+09
2.987382e+00 4.019147e+09
3.025458e+00 3.956380e+09
3.064020e+00 3.894060e+09
3.103074e+00 3.832055e+09
3.142625e+00 3.771580e+09
3.182680e+00 3.712895e+09
3.223246e+00 3.654487e+09
3.264329e+00 3.595731e+09
3.305936e+00 3.538175e+09
3.348072e+00 3.482668e+09
3.390746e+00 3.427434e+09
3.433964e+00 3.372764e+09
3.477733e+00 3.318230e+09
3.522059e+00 3.266162e+09
3.566951e+00 3.214196e+09
3.612415e+00 3.162324e+09
3.658458e+00 3.111520e+09
3.705088e+00 3.061345e+09
3.752312e+00 3.012422e+09
3.800138e+00 2.964027e+09
3.848574e+00 2.916471e+09
3.897627e+00 2.869091e+09
3.947306e+00 2.822107e+09
3.997617e+00 2.776453e+09
4.048570e+00 2.731636e+09
4.100173e+00 2.687636e+09
4.152433e+00 2.644360e+09
4.205359e+00 2.601712e+09
4.258959e+00 2.559603e+09
4.313243e+00 2.517281e+09
4.368219e+00 2.476309e+09
4.423896e+00 2.435707e+09
4.480282e+00 2.395596e+09
4.537387e+00 2.356232e+09
4.595219e+00 2.317621e+09
4.653789e+00 2.279713e+09
4.713105e+00 2.242303e+09
4.773178e+00 2.204952e+09
4.834016e+00 2.168362e+09
4.895629e+00 2.131993e+09
4.958028e+00 2.096420e+09
5.021222e+00 2.061091e+09
5.085222e+00 2.027026e+09
5.150037e+00 1.993327e+09
5.215678e+00 1.959994e+09
5.282156e+00 1.927246e+09
5.349482e+00 1.894281e+09
5.417665e+00 1.862135e+09
5.486718e+00 1.830902e+09
