Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	2.9109e+03
1.5000e-03	0.0000e+00	2.9115e+03
2.0000e-03	0.0000e+00	2.9120e+03
2.5000e-03	0.0000e+00	2.9123e+03
3.0000e-03	0.0000e+00	2.9126e+03
3.5000e-03	0.0000e+00	2.9128e+03
4.0000e-03	0.0000e+00	2.9130e+03
4.5000e-03	0.0000e+00	2.9132e+03
5.0000e-03	0.0000e+00	2.9134e+03
5.5000e-03	0.0000e+00	2.9135e+03
6.0000e-03	0.0000e+00	2.9137e+03
6.5000e-03	0.0000e+00	2.9138e+03
7.0000e-03	0.0000e+00	2.9139e+03
7.5000e-03	0.0000e+00	2.9140e+03
8.0000e-03	0.0000e+00	2.9141e+03
8.5000e-03	0.0000e+00	2.9142e+03
9.0000e-03	0.0000e+00	2.9143e+03
9.5000e-03	0.0000e+00	2.9144e+03
1.0000e-02	0.0000e+00	2.9145e+03
1.5000e-02	0.0000e+00	2.9151e+03
2.0000e-02	0.0000e+00	2.9156e+03
2.5000e-02	0.0000e+00	2.9159e+03
3.0000e-02	0.0000e+00	2.9162e+03
3.5000e-02	0.0000e+00	2.9166e+03
4.0000e-02	0.0000e+00	2.9176e+03
4.5000e-02	0.0000e+00	2.9185e+03
5.0000e-02	2.1045e+11	2.9194e+03
5.1002e-02	2.0599e+11	2.9195e+03
5.2025e-02	2.0113e+11	2.9197e+03
5.3067e-02	1.9627e+11	2.9198e+03
5.4131e-02	1.9180e+11	2.9200e+03
5.5216e-02	1.8768e+11	2.9201e+03
5.6323e-02	1.8364e+11	2.9203e+03
5.7452e-02	1.7965e+11	2.9204e+03
5.8604e-02	1.7566e+11	2.9206e+03
5.9778e-02	1.7151e+11	2.9208e+03
6.0977e-02	1.6778e+11	2.9209e+03
6.2199e-02	1.6413e+11	2.9211e+03
6.3446e-02	1.6041e+11	2.9212e+03
6.4717e-02	1.5687e+11	2.9214e+03
6.6015e-02	1.5326e+11	2.9215e+03
6.7338e-02	1.4974e+11	2.9217e+03
6.8688e-02	1.4616e+11	2.9218e+03
7.0065e-02	1.4281e+11	2.9220e+03
7.1469e-02	1.3964e+11	2.9221e+03
7.2902e-02	1.3651e+11	2.9223e+03
7.4363e-02	1.3342e+11	2.9225e+03
7.5853e-02	1.3044e+11	2.9226e+03
7.7374e-02	1.2764e+11	2.9228e+03
7.8925e-02	1.2466e+11	2.9229e+03
8.0507e-02	1.2157e+11	2.9231e+03
8.2121e-02	1.1875e+11	2.9232e+03
8.3767e-02	1.1603e+11	2.9234e+03
8.5446e-02	1.1349e+11	2.9235e+03
8.7159e-02	1.1093e+11	2.9237e+03
8.8906e-02	1.0841e+11	2.9239e+03
9.0688e-02	1.0596e+11	2.9241e+03
9.2506e-02	1.0375e+11	2.9244e+03
9.4360e-02	1.0144e+11	2.9247e+03
9.6251e-02	9.9147e+10	2.9250e+03
9.8181e-02	9.6869e+10	2.9254e+03
1.0015e-01	9.4586e+10	2.9257e+03
1.0216e-01	9.2360e+10	2.9260e+03
1.0420e-01	9.0292e+10	2.9263e+03
1.0629e-01	8.8134e+10	2.9266e+03
1.0842e-01	8.6078e+10	2.9269e+03
1.1060e-01	8.4140e+10	2.9272e+03
1.1281e-01	8.2245e+10	2.9275e+03
1.1507e-01	8.0371e+10	2.9278e+03
1.1738e-01	7.8490e+10	2.9281e+03
1.1973e-01	7.6679e+10	2.9285e+03
1.2213e-01	7.4939e+10	2.9288e+03
1.2458e-01	7.3173e+10	2.9291e+03
1.2708e-01	7.1516e+10	2.9294e+03
1.2963e-01	6.9826e+10	2.9297e+03
1.3223e-01	6.8209e+10	2.9300e+03
1.3488e-01	6.6582e+10	2.9303e+03
1.3758e-01	6.4999e+10	2.9306e+03
1.4034e-01	6.3554e+10	2.9309e+03
1.4315e-01	6.2049e+10	2.9312e+03
1.4602e-01	6.0595e+10	2.9316e+03
1.4895e-01	5.9103e+10	2.9321e+03
1.5193e-01	5.7804e+10	2.9325e+03
1.5498e-01	5.6465e+10	2.9330e+03
1.5808e-01	5.5170e+10	2.9335e+03
1.6125e-01	5.3930e+10	2.9339e+03
1.6449e-01	5.2700e+10	2.9344e+03
1.6778e-01	5.1406e+10	2.9348e+03
1.7115e-01	5.0190e+10	2.9353e+03
1.7458e-01	4.9018e+10	2.9358e+03
1.7808e-01	4.7931e+10	2.9362e+03
1.8165e-01	4.6816e+10	2.9367e+03
1.8529e-01	4.5700e+10	2.9372e+03
1.8900e-01	4.4541e+10	2.9376e+03
1.9279e-01	4.3413e+10	2.9381e+03
1.9665e-01	4.2373e+10	2.9385e+03
2.0060e-01	4.1358e+10	2.9390e+03
2.0462e-01	4.0361e+10	2.9396e+03
2.0872e-01	3.9405e+10	2.9402e+03
2.1290e-01	3.8457e+10	2.9409e+03
2.1717e-01	3.7527e+10	2.9415e+03
2.2152e-01	3.6641e+10	2.9421e+03
2.2596e-01	3.5742e+10	2.9427e+03
2.3049e-01	3.4838e+10	2.9433e+03
2.3511e-01	3.3959e+10	2.9439e+03
2.3983e-01	3.3099e+10	2.9445e+03
2.4463e-01	3.2260e+10	2.9451e+03
2.4954e-01	3.1467e+10	2.9457e+03
2.5454e-01	3.0649e+10	2.9464e+03
