Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.7196e+06
1.5000e-03	0.0000e+00	5.7213e+06
2.0000e-03	0.0000e+00	5.7225e+06
2.5000e-03	0.0000e+00	5.7234e+06
3.0000e-03	0.0000e+00	5.7242e+06
3.5000e-03	0.0000e+00	5.7248e+06
4.0000e-03	0.0000e+00	5.7254e+06
4.5000e-03	0.0000e+00	5.7259e+06
5.0000e-03	0.0000e+00	5.7263e+06
5.5000e-03	0.0000e+00	5.7267e+06
6.0000e-03	0.0000e+00	5.7270e+06
6.5000e-03	0.0000e+00	5.7274e+06
7.0000e-03	0.0000e+00	5.7277e+06
7.5000e-03	0.0000e+00	5.7280e+06
8.0000e-03	0.0000e+00	5.7282e+06
8.5000e-03	0.0000e+00	5.7285e+06
9.0000e-03	0.0000e+00	5.7287e+06
9.5000e-03	0.0000e+00	5.7289e+06
1.0000e-02	0.0000e+00	5.7295e+06
1.5000e-02	0.0000e+00	5.7350e+06
2.0000e-02	0.0000e+00	5.7389e+06
2.5000e-02	0.0000e+00	5.7419e+06
3.0000e-02	0.0000e+00	5.7460e+06
3.5000e-02	0.0000e+00	5.7503e+06
4.0000e-02	0.0000e+00	5.7541e+06
4.5000e-02	0.0000e+00	5.7576e+06
5.0000e-02	9.9944e+10	5.7621e+06
5.1684e-02	9.6912e+10	5.7635e+06
5.3424e-02	9.3972e+10	5.7649e+06
5.5224e-02	9.1121e+10	5.7663e+06
5.7083e-02	8.8357e+10	5.7677e+06
5.9006e-02	8.5675e+10	5.7691e+06
6.0993e-02	8.3075e+10	5.7704e+06
6.3047e-02	8.0553e+10	5.7722e+06
6.5170e-02	7.8108e+10	5.7741e+06
6.7365e-02	7.5736e+10	5.7759e+06
6.9633e-02	7.3437e+10	5.7778e+06
7.1978e-02	7.1206e+10	5.7797e+06
7.4402e-02	6.9043e+10	5.7815e+06
7.6908e-02	6.6946e+10	5.7834e+06
7.9498e-02	6.4911e+10	5.7854e+06
8.2175e-02	6.2939e+10	5.7877e+06
8.4943e-02	6.1026e+10	5.7900e+06
