Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	1.0565e+05
1.5000e-03	0.0000e+00	1.0567e+05
2.0000e-03	0.0000e+00	1.0569e+05
2.5000e-03	0.0000e+00	1.0570e+05
3.0000e-03	0.0000e+00	1.0571e+05
3.5000e-03	0.0000e+00	1.0572e+05
4.0000e-03	0.0000e+00	1.0573e+05
4.5000e-03	0.0000e+00	1.0574e+05
5.0000e-03	0.0000e+00	1.0574e+05
5.5000e-03	0.0000e+00	1.0575e+05
6.0000e-03	0.0000e+00	1.0575e+05
6.5000e-03	0.0000e+00	1.0576e+05
7.0000e-03	0.0000e+00	1.0576e+05
7.5000e-03	0.0000e+00	1.0576e+05
8.0000e-03	0.0000e+00	1.0577e+05
8.5000e-03	0.0000e+00	1.0577e+05
9.0000e-03	0.0000e+00	1.0577e+05
9.5000e-03	0.0000e+00	1.0578e+05
1.0000e-02	0.0000e+00	1.0578e+05
1.5000e-02	0.0000e+00	1.0580e+05
2.0000e-02	0.0000e+00	1.0582e+05
2.5000e-02	0.0000e+00	1.0583e+05
3.0000e-02	0.0000e+00	1.0584e+05
3.5000e-02	0.0000e+00	1.0585e+05
4.0000e-02	0.0000e+00	1.0589e+05
4.5000e-02	0.0000e+00	1.0592e+05
5.0000e-02	9.9041e+10	1.0595e+05
5.1684e-02	9.6019e+10	1.0596e+05
5.3424e-02	9.3061e+10	1.0597e+05
5.5224e-02	9.0304e+10	1.0598e+05
5.7083e-02	8.7564e+10	1.0599e+05
5.9006e-02	8.4949e+10	1.0600e+05
6.0993e-02	8.2340e+10	1.0601e+05
6.3047e-02	7.9837e+10	1.0602e+05
6.5170e-02	7.7428e+10	1.0602e+05
6.7365e-02	7.5084e+10	1.0603e+05
6.9633e-02	7.2827e+10	1.0604e+05
7.1978e-02	7.0604e+10	1.0605e+05
7.4402e-02	6.8490e+10	1.0606e+05
7.6908e-02	6.6454e+10	1.0607e+05
7.9498e-02	6.4430e+10	1.0608e+05
8.2175e-02	6.2525e+10	1.0609e+05
8.4943e-02	6.0601e+10	1.0610e+05
8.7803e-02	5.8833e+10	1.0611e+05
