Energy(MeV)	Incoming Spectral Fluence(MeV-1 cm-2)	Residual Spectral Fluence(MeV-1 cm-2)
1.0000e-03	0.0000e+00	5.0089e+04
1.5000e-03	0.0000e+00	5.0099e+04
2.0000e-03	0.0000e+00	5.0105e+04
2.5000e-03	0.0000e+00	5.0111e+04
3.0000e-03	0.0000e+00	5.0115e+04
3.5000e-03	0.0000e+00	5.0118e+04
4.0000e-03	0.0000e+00	5.0121e+04
4.5000e-03	0.0000e+00	5.0124e+04
5.0000e-03	0.0000e+00	5.0126e+04
5.5000e-03	0.0000e+00	5.0129e+04
6.0000e-03	0.0000e+00	5.0131e+04
6.5000e-03	0.0000e+00	5.0133e+04
7.0000e-03	0.0000e+00	5.0134e+04
7.5000e-03	0.0000e+00	5.0136e+04
8.0000e-03	0.0000e+00	5.0137e+04
8.5000e-03	0.0000e+00	5.0139e+04
9.0000e-03	0.0000e+00	5.0140e+04
9.5000e-03	0.0000e+00	5.0141e+04
1.0000e-02	0.0000e+00	5.0142e+04
1.5000e-02	0.0000e+00	5.0152e+04
2.0000e-02	0.0000e+00	5.0158e+04
2.5000e-02	0.0000e+00	5.0164e+04
3.0000e-02	0.0000e+00	5.0168e+04
3.5000e-02	0.0000e+00	5.0171e+04
4.0000e-02	0.0000e+00	5.0174e+04
4.5000e-02	0.0000e+00	5.0177e+04
5.0000e-02	3.1526e+10	5.0180e+04
5.1684e-02	3.0564e+10	5.0180e+04
5.3424e-02	2.9622e+10	5.0181e+04
5.5224e-02	2.8745e+10	5.0182e+04
5.7083e-02	2.7872e+10	5.0183e+04
5.9006e-02	2.7040e+10	5.0183e+04
6.0993e-02	2.6210e+10	5.0184e+04
6.3047e-02	2.5413e+10	5.0185e+04
6.5170e-02	2.4646e+10	5.0186e+04
6.7365e-02	2.3900e+10	5.0186e+04
6.9633e-02	2.3181e+10	5.0187e+04
7.1978e-02	2.2474e+10	5.0188e+04
7.4402e-02	2.1801e+10	5.0189e+04
7.6908e-02	2.1153e+10	5.0190e+04
7.9498e-02	2.0509e+10	5.0191e+04
8.2175e-02	1.9902e+10	5.0196e+04
8.4943e-02	1.9290e+10	5.0201e+04
8.7803e-02	1.8727e+10	5.0205e+04
9.0760e-02	1.8162e+10	5.0210e+04
9.3817e-02	1.7600e+10	5.0215e+04
9.6976e-02	1.7068e+10	5.0220e+04
1.0024e-01	1.6549e+10	5.0225e+04
1.0362e-01	1.6062e+10	5.0229e+04
1.0711e-01	1.5593e+10	5.0234e+04
1.1071e-01	1.5121e+10	5.0239e+04
1.1444e-01	1.4672e+10	5.0244e+04
1.1830e-01	1.4238e+10	5.0249e+04
1.2228e-01	1.3808e+10	5.0254e+04
1.2640e-01	1.3392e+10	5.0258e+04
1.3066e-01	1.2987e+10	5.0263e+04
1.3506e-01	1.2599e+10	5.0268e+04
1.3960e-01	1.2225e+10	5.0273e+04
1.4430e-01	1.1844e+10	5.0278e+04
1.4916e-01	1.1479e+10	5.0283e+04
1.5419e-01	1.1135e+10	5.0287e+04
1.5938e-01	1.0787e+10	5.0292e+04
1.6475e-01	1.0455e+10	5.0300e+04
1.7030e-01	1.0137e+10	5.0310e+04
1.7603e-01	9.8354e+09	5.0320e+04
1.8196e-01	9.5439e+09	5.0329e+04
1.8809e-01	9.2349e+09	5.0339e+04
1.9442e-01	8.9524e+09	5.0348e+04
2.0097e-01	8.6796e+09	5.0358e+04
2.0774e-01	8.4109e+09	5.0368e+04
2.1473e-01	8.1442e+09	5.0377e+04
2.2196e-01	7.8957e+09	5.0387e+04
2.2944e-01	7.6516e+09	5.0396e+04
2.3717e-01	7.4139e+09	5.0406e+04
2.4515e-01	7.1881e+09	5.0416e+04
2.5341e-01	6.9719e+09	5.0428e+04
2.6194e-01	6.7628e+09	5.0440e+04
2.7076e-01	6.5549e+09	5.0452e+04
2.7988e-01	6.3516e+09	5.0463e+04
2.8931e-01	6.1533e+09	5.0475e+04
2.9905e-01	5.9589e+09	5.0487e+04
3.0912e-01	5.7791e+09	5.0499e+04
3.1953e-01	5.5933e+09	5.0511e+04
3.3029e-01	5.4227e+09	5.0524e+04
3.4142e-01	5.2591e+09	5.0540e+04
3.5291e-01	5.0973e+09	5.0555e+04
3.6480e-01	4.9403e+09	5.0570e+04
3.7708e-01	4.7846e+09	5.0585e+04
3.8978e-01	4.6344e+09	5.0600e+04
