Energy(MeV)	Elec. Stopping Power(MeV cm2 g-1)	Ionizing Dose*(MeV g-1)	Ionizing Dose*(Gy)
5.0000e-02	5.3800e+02	5.3800e+02	8.6218e-08
5.0000e-02	5.3800e+02	5.3800e+02	8.6218e-08
5.1680e-02	5.3830e+02	5.3830e+02	8.6266e-08
5.3420e-02	5.3840e+02	5.3840e+02	8.6282e-08
5.5000e-02	5.3820e+02	5.3820e+02	8.6250e-08
5.5220e-02	5.3810e+02	5.3810e+02	8.6234e-08
5.7080e-02	5.3770e+02	5.3770e+02	8.6170e-08
5.9010e-02	5.3690e+02	5.3690e+02	8.6042e-08
6.0000e-02	5.3650e+02	5.3650e+02	8.5978e-08
6.0990e-02	5.3600e+02	5.3600e+02	8.5897e-08
6.3050e-02	5.3470e+02	5.3470e+02	8.5689e-08
6.5000e-02	5.3340e+02	5.3340e+02	8.5481e-08
6.5170e-02	5.3330e+02	5.3330e+02	8.5465e-08
6.7360e-02	5.3160e+02	5.3160e+02	8.5192e-08
6.9630e-02	5.2960e+02	5.2960e+02	8.4872e-08
7.0000e-02	5.2930e+02	5.2930e+02	8.4824e-08
7.1980e-02	5.2750e+02	5.2750e+02	8.4535e-08
7.4400e-02	5.2510e+02	5.2510e+02	8.4151e-08
7.5000e-02	5.2450e+02	5.2450e+02	8.4054e-08
7.6910e-02	5.2250e+02	5.2250e+02	8.3734e-08
7.9500e-02	5.1980e+02	5.1980e+02	8.3301e-08
8.0000e-02	5.1920e+02	5.1920e+02	8.3205e-08
8.2170e-02	5.1680e+02	5.1680e+02	8.2821e-08
8.4940e-02	5.1360e+02	5.1360e+02	8.2308e-08
8.5000e-02	5.1360e+02	5.1360e+02	8.2308e-08
8.7800e-02	5.1030e+02	5.1030e+02	8.1779e-08
9.0000e-02	5.0770e+02	5.0770e+02	8.1362e-08
9.0760e-02	5.0680e+02	5.0680e+02	8.1218e-08
9.3820e-02	5.0320e+02	5.0320e+02	8.0641e-08
9.5000e-02	5.0170e+02	5.0170e+02	8.0401e-08
9.6980e-02	4.9940e+02	4.9940e+02	8.0032e-08
1.0000e-01	4.9570e+02	4.9570e+02	7.9439e-08
1.0020e-01	4.9540e+02	4.9540e+02	7.9391e-08
1.0360e-01	4.9130e+02	4.9130e+02	7.8734e-08
1.0710e-01	4.8710e+02	4.8710e+02	7.8061e-08
1.1070e-01	4.8280e+02	4.8280e+02	7.7372e-08
1.1440e-01	4.7830e+02	4.7830e+02	7.6651e-08
1.1830e-01	4.7370e+02	4.7370e+02	7.5913e-08
1.2230e-01	4.6910e+02	4.6910e+02	7.5176e-08
1.2640e-01	4.6430e+02	4.6430e+02	7.4407e-08
1.3070e-01	4.5950e+02	4.5950e+02	7.3638e-08
1.3510e-01	4.5460e+02	4.5460e+02	7.2853e-08
1.3960e-01	4.4960e+02	4.4960e+02	7.2051e-08
1.4430e-01	4.4460e+02	4.4460e+02	7.1250e-08
1.4920e-01	4.3950e+02	4.3950e+02	7.0433e-08
1.5000e-01	4.3870e+02	4.3870e+02	7.0304e-08
1.5420e-01	4.3440e+02	4.3440e+02	6.9615e-08
1.5940e-01	4.2920e+02	4.2920e+02	6.8782e-08
1.6480e-01	4.2400e+02	4.2400e+02	6.7949e-08
1.7030e-01	4.1880e+02	4.1880e+02	6.7115e-08
1.7600e-01	4.1350e+02	4.1350e+02	6.6266e-08
1.8200e-01	4.0820e+02	4.0820e+02	6.5417e-08
1.8810e-01	4.0290e+02	4.0290e+02	6.4567e-08
1.9440e-01	3.9760e+02	3.9760e+02	6.3718e-08
2.0000e-01	3.9300e+02	3.9300e+02	6.2981e-08
2.0100e-01	3.9220e+02	3.9220e+02	6.2853e-08
2.0770e-01	3.8690e+02	3.8690e+02	6.2003e-08
2.1470e-01	3.8160e+02	3.8160e+02	6.1154e-08
